Time	[CD14]	[IRAK4]	[LBP]	[LPS]	[LPS:LBP:CD14:TLR4:TIRAP:MyD88:IRAK4]	[MyD88]	[TIRAP]	[TLR4]	[IRAK1]	[TRAF6]	[TAK1:TAB1:TAB2]	[TAK1:TAB1:TAB2:TRAF6]	[IKK]	[RIP1]	[TRAM]	[TRIF]	[IRF3]	[source]	[sink]	[TNFa]	[TNFR1]	[TRADD]	[TRAF2]	[TNFa:TNFR1:TRAF2:TRADD:RIP1]	[IkBa]	[IkBa:NFkB]	[NFkB]	[IkBb]	[IkBb:NFkB]	[IkBe]	[IkBe:NFkB]	[NFkB(nuc)]	[IkBa(nuc)]	[IkBa:NFkB(nuc)]	[IkBb(nuc)]	[IkBb:NFkB(nuc)]	[IkBe(nuc)]	[IkBe:NFkB(nuc)]	[IkBa_mRNA]	[IkBb_mRNA]	[IkBe_mRNA]	[LPS:LBP:CD14:TLR4:RIP1:TRAM:TRIF:TBK/IKKe]	[TBK1/IKKe]
33	1	1	1	1	0.00329456	1	1	1	0.999946	1	1	1.60488e-06	0.0975135	1	1	1	0.997271	1	0	0.00800406	1	1	1	0.00671893	0.000130207	5.54127e-06	0.00519832	3.67122e-07	2.59796e-08	2.61921e-07	1.8527e-08	0.094796	2.43979e-07	6.97883e-08	4.30079e-10	1.63787e-10	3.06844e-10	1.16857e-10	0.00291878	5.84695e-06	4.1717e-06	0.00329456	1
34	1	1	1	1	0.00339423	1	1	1	0.999943	1	1	1.74943e-06	0.0974314	1	1	1	0.997137	1	0	0.00808263	1	1	1	0.00684505	0.000142022	5.8751e-06	0.00475786	3.90304e-07	2.69049e-08	2.78459e-07	1.91861e-08	0.0952361	2.72523e-07	8.09733e-08	4.65647e-10	1.84068e-10	3.32219e-10	1.31327e-10	0.00306845	6.02328e-06	4.29751e-06	0.00339423	1
35	1	1	1	1	0.00349388	1	1	1	0.99994	1	1	1.90205e-06	0.0973514	1	1	1	0.997002	1	0	0.00815825	1	1	1	0.0069665	0.000154445	6.20764e-06	0.00435533	4.14225e-07	2.78036e-08	2.95524e-07	1.98262e-08	0.0956383	3.03234e-07	9.34571e-08	5.02923e-10	2.06061e-10	3.58813e-10	1.47018e-10	0.00321941	6.19957e-06	4.42329e-06	0.00349388	1
36	1	1	1	1	0.00359353	1	1	1	0.999936	1	1	2.06295e-06	0.0972736	1	1	1	0.996865	1	0	0.00823102	1	1	1	0.00708345	0.000167482	6.53799e-06	0.00398749	4.38886e-07	2.8675e-08	3.13117e-07	2.04467e-08	0.0960058	3.36185e-07	1.07333e-07	5.41929e-10	2.29844e-10	3.86641e-10	1.63986e-10	0.00337154	6.37581e-06	4.54903e-06	0.00359353	1
37	1	1	1	1	0.00369316	1	1	1	0.999932	1	1	2.23229e-06	0.0971979	1	1	1	0.996726	1	0	0.00830106	1	1	1	0.00719607	0.000181138	6.86532e-06	0.00365133	4.64285e-07	2.95186e-08	3.31236e-07	2.10473e-08	0.0963416	3.71443e-07	1.22695e-07	5.82689e-10	2.55496e-10	4.1572e-10	1.82287e-10	0.00352474	6.552e-06	4.67474e-06	0.00369316	1
38	1	1	1	1	0.00379279	1	1	1	0.999929	1	1	2.41026e-06	0.0971244	1	1	1	0.996586	1	0	0.00836848	1	1	1	0.0073045	0.000195418	7.18889e-06	0.00334414	4.90425e-07	3.03342e-08	3.49883e-07	2.16279e-08	0.0966485	4.09078e-07	1.39642e-07	6.25224e-10	2.83095e-10	4.46065e-10	2.01978e-10	0.00367891	6.72814e-06	4.80042e-06	0.00379279	1
39	1	1	1	1	0.0038924	1	1	1	0.999925	1	1	2.59703e-06	0.097053	1	1	1	0.996444	1	0	0.00843336	1	1	1	0.00740891	0.000210327	7.50803e-06	0.00306341	5.17303e-07	3.11217e-08	3.69058e-07	2.21883e-08	0.0969288	4.49155e-07	1.58271e-07	6.69554e-10	3.12722e-10	4.77691e-10	2.23115e-10	0.00383398	6.90423e-06	4.92605e-06	0.0038924	1
40	1	1	1	1	0.00399201	1	1	1	0.999921	1	1	2.79277e-06	0.0969837	1	1	1	0.996301	1	0	0.00849582	1	1	1	0.00750944	0.000225867	7.82216e-06	0.00280687	5.44919e-07	3.1881e-08	3.88758e-07	2.27286e-08	0.097185	4.91738e-07	1.78685e-07	7.15701e-10	3.44456e-10	5.10613e-10	2.45755e-10	0.00398986	7.08028e-06	5.05166e-06	0.00399201	1
41	1	1	1	1	0.00409161	1	1	1	0.999917	1	1	2.99766e-06	0.0969165	1	1	1	0.996156	1	0	0.00855593	1	1	1	0.00760623	0.000242042	8.13076e-06	0.00257243	5.73274e-07	3.26125e-08	4.08985e-07	2.3249e-08	0.0974191	5.36888e-07	2.00985e-07	7.63682e-10	3.78377e-10	5.44843e-10	2.69956e-10	0.00414648	7.25627e-06	5.17723e-06	0.00409161	1
42	1	1	1	1	0.00419119	1	1	1	0.999913	1	1	3.21185e-06	0.0968513	1	1	1	0.99601	1	0	0.0086138	1	1	1	0.00769943	0.000258856	8.4334e-06	0.0023582	6.02366e-07	3.33162e-08	4.29738e-07	2.37495e-08	0.097633	5.84666e-07	2.25275e-07	8.13517e-10	4.14566e-10	5.80395e-10	2.95775e-10	0.00430378	7.43221e-06	5.30276e-06	0.00419119	1
43	1	1	1	1	0.00429077	1	1	1	0.999909	1	1	3.43552e-06	0.0967882	1	1	1	0.995863	1	0	0.0086695	1	1	1	0.00778915	0.00027631	8.72972e-06	0.00216242	6.32194e-07	3.39927e-08	4.51016e-07	2.42305e-08	0.0978285	6.35129e-07	2.5166e-07	8.65224e-10	4.53104e-10	6.17282e-10	3.23269e-10	0.0044617	7.60811e-06	5.42826e-06	0.00429077	1
44	1	1	1	1	0.00439033	1	1	1	0.999905	1	1	3.66883e-06	0.0967271	1	1	1	0.995714	1	0	0.00872312	1	1	1	0.00787554	0.000294407	9.01941e-06	0.00198352	6.62758e-07	3.46424e-08	4.72819e-07	2.46923e-08	0.0980071	6.88334e-07	2.80247e-07	9.18818e-10	4.94072e-10	6.55516e-10	3.52497e-10	0.00462017	7.78395e-06	5.55372e-06	0.00439033	1
