Time	[H2O2{phagosome}]	[Ferric peroxidase]	[compound I]	[Melatonin{phagosome}]	[compound II]	[Melatonin free radical{phagosome}]	[Superoxide{phagosome}]	[Hydrogen{phagosome}]	[Oxygen{phagosome}]	[NADPH]	[Oxygen{cytoplasm}]	[NADP]	[H2O2{cytoplasm}]	[NADP]	[Superoxide{cytoplasm}]	[Hydrogen{cytoplasm}]	[Melatonin free radical{cytoplasm}]	[Melatonin{cytoplasm}]	[compound III]	[NADP2]
11	0.00013035	200.371	0.000446707	299.766	0.89257	0.234108	0.00599554	-0.00132544	91.4333	269.34	92.4062	5.66029	0.0427869	5.66029	0.0151621	-0.592735	8.68804e-05	300	98.7364	2.84009e-07
12	0.00019627	174.271	0.000592227	299.688	1.19588	0.312151	0.00796094	-0.00228886	96.3174	292.745	97.3948	7.25518	0.0560398	7.25518	0.0175384	-0.859911	0.000106585	300	124.532	4.80645e-07
13	0.000307421	144.345	0.000781696	299.587	1.58466	0.412708	0.0109486	-0.00404797	100.616	315.865	101.803	9.13473	0.0727189	9.13473	0.020195	-1.21538	0.00013061	300	154.07	7.94824e-07
14	0.000521776	110.482	0.00104291	299.452	2.10149	0.548144	0.0160858	-0.00760445	104.332	338.665	105.631	11.3348	0.0945075	11.3348	0.0233031	-1.68707	0.000161796	300	187.416	1.30269e-06
15	0.00105233	72.673	0.00145279	299.25	2.84921	0.750098	0.0271067	-0.0164278	107.469	361.09	108.878	13.9098	0.125488	13.9098	0.0272946	-2.32301	0.000207658	300	224.476	2.16315e-06
16	0.00351289	31.3056	0.00239046	298.848	4.21329	1.15161	0.0675123	-0.0538095	110.05	383.021	111.544	16.9785	0.180875	16.9785	0.03388	-3.23791	0.000300545	300	264.479	3.85091e-06
17	0.601408	0.339308	0.0117537	295.522	12.9366	4.47792	0.87967	-3.85739	113.39	403.498	114.025	21.5016	0.712978	21.5016	0.067804	-5.41907	0.00110919	299.999	286.712	1.43966e-05
18	2.0687	0.31728	0.019666	290.947	32.4151	9.05302	0.955977	-20.7835	115.526	419.143	116.126	30.8557	2.87143	30.8557	0.0959044	-12.3581	0.00215914	299.998	267.248	0.000100696
19	3.68578	0.298005	0.0274216	286.62	51.7994	13.3805	1.01965	-40.3428	115.469	430.215	116.044	44.7819	5.17303	44.7819	0.116351	-23.7448	0.00310924	299.997	247.875	0.000327454
20	5.43014	0.279761	0.0348507	282.55	70.7091	17.4503	1.07181	-62.2593	113.443	436.99	113.992	63.005	7.57166	63.005	0.132727	-39.346	0.00399218	299.996	228.976	0.000761614
21	7.27004	0.26308	0.0418427	278.786	88.8133	21.2139	1.11224	-86.1551	109.678	439.798	110.199	85.1956	10.027	85.1956	0.146241	-58.8747	0.00482228	299.995	210.882	0.00147918
22	9.17243	0.248044	0.0483256	275.354	105.865	24.6461	1.14102	-111.586	104.414	439	104.905	110.991	12.5011	110.991	0.157552	-82.0076	0.0056127	299.994	193.838	0.00257493
23	11.1045	0.234611	0.0542611	272.259	121.702	27.7405	1.15848	-138.067	97.8869	434.97	98.3459	140.016	14.9588	140.016	0.167087	-108.406	0.00637593	299.994	178.01	0.00417595
24	13.0348	0.222692	0.0596378	269.495	136.233	30.5045	1.16511	-165.103	90.3236	428.078	90.7481	171.902	17.3689	171.902	0.175159	-137.733	0.00712408	299.993	163.485	0.00646262
25	14.9345	0.212178	0.064465	267.045	149.43	32.9547	1.16146	-192.207	81.9337	418.676	82.3214	206.297	19.7039	206.297	0.182007	-169.662	0.00786911	299.992	150.294	0.00970405
26	16.7773	0.202955	0.0687661	264.887	161.31	35.1133	1.14816	-218.914	72.9082	407.091	73.2569	242.871	21.9402	242.871	0.187824	-203.888	0.00862313	299.991	138.418	0.0143222
27	18.5404	0.194914	0.0725736	262.995	171.924	37.0052	1.12581	-244.803	63.4178	393.621	63.7255	281.325	24.0578	281.325	0.192766	-240.127	0.00939864	299.991	127.808	0.0210169
28	20.2035	0.187955	0.0759244	261.344	181.345	38.6561	1.09495	-269.495	53.6127	378.539	53.8777	321.385	26.0395	321.385	0.196959	-278.123	0.010209	299.99	118.391	0.0310322
29	21.7481	0.181999	0.0788563	259.91	189.654	40.0904	1.0559	-292.657	43.625	362.085	43.8457	362.803	27.8703	362.803	0.200503	-317.638	0.0110688	299.989	110.085	0.0467922
30	23.1553	0.177	0.0814044	258.669	196.939	41.3307	1.00851	-314	33.572	344.475	33.747	405.353	29.534	405.353	0.203461	-358.455	0.0119944	299.988	102.803	0.0736691
31	24.3971	0.172989	0.0835961	257.604	203.277	42.3956	0.951236	-333.246	23.5661	325.905	23.6937	448.807	31.0061	448.807	0.205817	-400.355	0.0130043	299.987	96.4659	0.12616
32	25.4007	0.170301	0.0854345	256.704	208.721	43.2957	0.877005	-350.045	13.7546	306.56	13.8313	492.859	32.2161	492.859	0.207151	-443.047	0.0141181	299.986	91.0232	0.259453
33	25.6916	0.171883	0.0867788	255.995	213.197	44.0048	0.737964	-363.487	4.68871	286.674	4.72031	536.307	32.6739	536.307	0.200964	-485.393	0.0153443	299.985	86.5445	0.924219
34	20.6015	0.217309	0.0870389	255.667	215.93	44.3334	0.445668	-370.349	1.08483	266.766	1.2209	568.453	27.5459	568.453	0.157296	-516.94	0.0166121	299.983	83.766	7.18856
35	11.8536	0.377568	0.0867357	255.621	216.858	44.379	0.358846	-373.588	1.02839	246.937	1.17156	593.114	18.8095	593.114	0.155312	-541.19	0.0179639	299.982	82.6779	17.2686
36	3.30033	1.31421	0.0833423	256.382	214.677	43.6177	0.194578	-375.33	0.999453	227.42	1.17383	617.506	10.0922	617.506	0.154404	-565.213	0.0191706	299.981	83.9254	27.334
37	0.0875395	30.5391	0.0491316	266.529	179.516	33.471	0.011993	-375.49	1.18019	212.4	1.43244	640.919	4.44181	640.919	0.14872	-588.267	0.0157535	299.984	89.8961	35.6861
38	0.0308875	71.715	0.0395555	274.36	130.323	25.6396	0.00620121	-375.491	1.86382	208.079	2.17766	662.937	3.64578	662.937	0.145432	-609.866	0.0123172	299.988	97.9221	39.3946
39	0.0246159	85.6552	0.0372253	277.585	106.783	22.415	0.00607613	-375.492	2.75722	208.799	3.12768	684.191	3.46669	684.191	0.142773	-630.621	0.0107306	299.989	107.525	40.9398
40	0.0238991	85.326	0.0358109	279.151	96.0919	20.849	0.00688449	-375.493	3.79698	211.715	4.21609	704.83	3.35335	704.83	0.140653	-650.691	0.00984337	299.99	118.546	41.6806
41	0.0253198	78.5266	0.0348197	280.021	90.6386	19.9786	0.00822769	-375.494	4.91862	215.738	5.37882	725.015	3.27185	725.015	0.139069	-670.241	0.00925652	299.991	130.8	42.0875
42	0.0285421	68.3531	0.0341163	280.559	87.4851	19.4414	0.0102169	-375.495	6.06893	220.388	6.56447	744.877	3.21426	744.877	0.137898	-689.41	0.00881759	299.991	144.128	42.3382
43	0.0342891	56.0888	0.0336127	280.915	85.4789	19.085	0.0132928	-375.498	7.21066	225.424	7.73726	764.512	3.17489	764.512	0.13703	-708.301	0.00846265	299.992	158.399	42.5073
44	0.0449058	42.3589	0.0332558	281.16	84.1278	18.8399	0.0185942	-375.503	8.31968	230.707	8.87352	783.992	3.15126	783.992	0.136393	-726.986	0.00816276	299.992	173.48	42.6296
45	0.0682871	27.5999	0.0330162	281.327	83.2066	18.6731	0.0297315	-375.514	9.38414	236.145	9.95975	803.371	3.14658	803.371	0.135952	-745.525	0.0079042	299.992	189.16	42.7231
46	0.147673	12.5827	0.0328077	281.449	82.5678	18.5512	0.0650873	-375.554	10.424	241.675	11.0046	822.696	3.18522	822.696	0.135643	-763.966	0.00767299	299.992	204.817	42.7977
47	0.710557	2.38927	0.0313506	281.943	81.0037	18.0572	0.245753	-375.989	11.7332	247.391	12.2158	841.864	3.49136	841.864	0.134076	-782.223	0.00729629	299.993	216.576	42.8577
48	1.54389	1.0891	0.0320753	281.998	79.6791	18.0017	0.375987	-378.083	13.5242	253.494	13.9228	860.675	4.26321	860.675	0.134032	-800.104	0.00709864	299.993	219.2	42.9027
49	2.3114	0.756222	0.0337754	281.38	81.6528	18.6199	0.441342	-381.473	15.1907	259.205	15.5504	879.893	5.11964	879.893	0.136394	-818.354	0.00718061	299.993	217.557	42.9392
50	3.06431	0.602821	0.0358923	280.431	85.6006	19.5685	0.485398	-385.792	16.477	264.071	16.8099	899.961	6.0201	899.961	0.139863	-837.416	0.0074074	299.993	213.761	42.9722
51	3.8135	0.515534	0.0382715	279.289	90.7232	20.7109	0.517952	-390.843	17.2618	267.847	17.5722	921.12	6.95169	921.12	0.143898	-857.539	0.00772935	299.992	208.723	43.0047
52	4.56155	0.459518	0.0408018	278.038	96.5498	21.9619	0.54239	-396.479	17.4915	270.395	17.7809	943.502	7.90303	943.502	0.148168	-878.863	0.00811901	299.992	202.95	43.0392
53	5.3057	0.420677	0.0433982	276.737	102.77	23.2634	0.560016	-402.568	17.1536	271.65	17.4222	967.167	8.86191	967.167	0.152461	-901.46	0.00856042	299.991	196.766	43.0783
54	6.03911	0.392352	0.045994	275.427	109.161	24.5731	0.571283	-408.979	16.2629	271.595	16.5105	992.124	9.81465	992.124	0.156632	-925.351	0.00904419	299.991	190.4	43.1254
55	6.75089	0.371113	0.0485344	274.141	115.552	25.8593	0.576167	-415.575	14.8547	270.254	15.0807	1018.34	10.7452	1018.34	0.160573	-950.514	0.00956479	299.99	184.028	43.1859
56	7.42448	0.355187	0.0509717	272.904	121.804	27.0963	0.574202	-422.205	12.9812	267.675	13.1847	1045.75	11.6327	1045.75	0.164184	-976.893	0.0101188	299.99	177.79	43.2691
57	8.03242	0.343915	0.0532592	271.738	127.794	28.2617	0.564197	-428.702	10.714	263.935	10.8944	1074.23	12.4462	1074.23	0.167327	-1004.38	0.0107035	299.989	171.809	43.3944
58	8.52052	0.337927	0.0553389	270.669	133.397	29.3312	0.543359	-434.861	8.15893	259.135	8.31548	1103.58	13.1272	1103.58	0.169694	-1032.81	0.0113143	299.989	166.21	43.6071
59	8.75451	0.340916	0.0571134	269.731	138.443	30.2688	0.505043	-440.399	5.51013	253.413	5.64456	1133.41	13.5338	1133.41	0.17034	-1061.79	0.0119395	299.988	161.159	44.0357
60	8.34739	0.367968	0.0583868	268.995	142.627	31.0047	0.4375	-444.901	3.22759	246.972	3.35306	1162.69	13.2576	1162.69	0.166473	-1090.33	0.0125487	299.987	156.947	45.0874
61	6.64086	0.470312	0.0589021	268.567	145.442	31.4327	0.353466	-448.03	2.05163	240.093	2.19513	1189.66	11.6119	1189.66	0.158578	-1116.72	0.0130862	299.987	154.029	47.5073
62	3.97728	0.782517	0.0582601	268.591	146.237	31.4093	0.27751	-450.04	1.76103	233.093	1.9327	1214.64	8.93336	1214.64	0.154983	-1141.19	0.0134691	299.987	152.922	51.0072
63	1.40986	2.09545	0.0545345	269.649	142.968	30.3509	0.160971	-451.074	1.69562	226.589	1.92439	1238.82	6.14934	1238.82	0.152702	-1164.89	0.0133891	299.987	154.882	54.6733
64	0.261103	9.4432	0.0444558	273.299	129.021	26.7013	0.0485215	-451.277	1.87097	222.386	2.18325	1261.96	4.27186	1261.96	0.147985	-1187.55	0.0120022	299.988	161.491	57.7246
65	0.118176	18.456	0.038771	276.758	110.66	23.2424	0.0289316	-451.302	2.50429	222.069	2.87905	1283.78	3.67669	1283.78	0.144086	-1208.83	0.0104621	299.99	170.845	59.5057
66	0.10804	19.1755	0.0366215	278.609	99.1041	21.3906	0.0312314	-451.319	3.38811	224.275	3.8126	1304.77	3.49021	1304.77	0.141636	-1229.21	0.00953372	299.99	181.684	60.4266
67	0.145751	13.7499	0.0354232	279.631	92.7654	20.3686	0.046784	-451.348	4.4032	227.798	4.86301	1325.24	3.41905	1325.24	0.139939	-1249.02	0.00893781	299.991	193.449	60.9382
68	0.316229	6.08251	0.0343508	280.321	88.9228	19.679	0.10296	-451.447	5.54634	232.076	6.01056	1345.36	3.46352	1345.36	0.13853	-1268.41	0.00847613	299.992	204.96	61.249
69	0.888979	2.02171	0.0330938	281.045	85.4002	18.955	0.238299	-452.056	7.0342	237.009	7.44111	1365.05	3.82353	1365.05	0.136671	-1287.33	0.0079944	299.992	212.545	61.4434
70	1.54607	1.15326	0.033547	281.144	83.9073	18.8562	0.330901	-453.734	8.7634	242.323	9.12704	1384.5	4.43829	1384.5	0.136722	-1305.97	0.00777828	299.992	214.906	61.5659
71	2.20308	0.828221	0.0347588	280.745	85.0152	19.2553	0.39086	-456.372	10.3931	247.407	10.7286	1404.25	5.14792	1404.25	0.138374	-1324.86	0.00777966	299.992	214.122	61.6526
72	2.86105	0.663566	0.0364177	280.032	87.8886	19.9679	0.433764	-459.793	11.729	251.877	12.0425	1424.65	5.91405	1424.65	0.141021	-1344.36	0.00792441	299.992	211.411	61.7224
73	3.52037	0.566159	0.0383693	279.118	91.9225	20.8819	0.466024	-463.856	12.6597	255.487	12.9539	1445.91	6.7176	1445.91	0.144262	-1364.7	0.00817006	299.992	207.473	61.7852
74	4.17924	0.502692	0.0405049	278.079	96.7108	21.9211	0.490439	-468.442	13.1268	258.089	13.4024	1468.18	7.54412	1468.18	0.147815	-1386.02	0.0084902	299.992	202.746	61.8473
75	4.83295	0.458605	0.0427407	276.97	101.966	23.0304	0.508232	-473.44	13.1079	259.597	13.3649	1491.54	8.37987	1491.54	0.151479	-1408.42	0.00886802	299.991	197.532	61.9137
76	5.47351	0.426707	0.0450094	275.832	107.473	24.1681	0.519843	-478.735	12.6071	259.975	12.8451	1516.01	9.21006	1516.01	0.155101	-1431.92	0.00929255	299.991	192.055	61.9901
77	6.08864	0.403224	0.047254	274.699	113.059	25.3012	0.525215	-484.207	11.6492	259.223	11.8677	1541.57	10.017	1541.57	0.158558	-1456.52	0.00975642	299.99	186.49	62.0844
78	6.65915	0.386262	0.0494229	273.598	118.582	26.4021	0.523799	-489.722	10.2787	257.374	10.4772	1568.16	10.7771	1568.16	0.161722	-1482.18	0.0102541	299.99	180.983	62.2103
79	7.15208	0.375321	0.0514626	272.555	123.906	27.4451	0.514276	-495.126	8.56389	254.487	8.74172	1595.66	11.4529	1595.66	0.164407	-1508.78	0.01078	299.989	175.668	62.3943
80	7.50213	0.37174	0.0533058	271.599	128.888	28.4014	0.493839	-500.23	6.61425	250.651	6.7718	1623.88	11.9739	1623.88	0.166231	-1536.15	0.0113263	299.989	170.687	62.6959
81	7.55986	0.381198	0.0548456	270.771	133.336	29.2295	0.457084	-504.785	4.63381	245.995	4.77467	1652.36	12.1812	1652.36	0.166229	-1563.85	0.0118771	299.988	166.228	63.2654
82	6.99369	0.422587	0.0559041	270.139	136.943	29.8613	0.399182	-508.485	3.02179	240.709	3.15918	1680.2	11.724	1680.2	0.162744	-1591.02	0.0124002	299.988	162.579	64.4616
83	5.4726	0.54713	0.0562563	269.797	139.259	30.2034	0.332789	-511.168	2.19133	235.041	2.34381	1706.39	10.2526	1706.39	0.157576	-1616.64	0.0128446	299.987	160.137	66.6777
84	3.34361	0.889374	0.0554559	269.902	139.611	30.0975	0.263762	-512.97	1.9333	229.31	2.11333	1731.24	8.09625	1731.24	0.154762	-1640.97	0.0131195	299.987	159.444	69.6115
85	1.3387	2.11198	0.0520307	270.944	136.189	29.0565	0.162109	-513.926	1.87602	224.122	2.11004	1755.36	5.88662	1755.36	0.15246	-1664.59	0.012959	299.987	161.647	72.6512
86	0.345036	7.12656	0.0443543	273.822	124.868	26.1783	0.063753	-514.171	2.0467	220.879	2.35619	1778.52	4.34259	1778.52	0.148355	-1687.26	0.0118472	299.988	167.961	75.2077
87	0.167083	13.1687	0.0391858	276.758	109.829	23.2417	0.0399005	-514.218	2.62333	220.758	2.99156	1800.48	3.75609	1800.48	0.144597	-1708.68	0.0105239	299.989	176.963	76.8129
88	0.158247	13.1785	0.0369697	278.487	99.4634	21.5132	0.044089	-514.251	3.46379	222.888	3.8766	1821.61	3.56284	1821.61	0.142158	-1729.21	0.00964798	299.99	187.321	77.6973
89	0.23936	8.38181	0.0356624	279.5	93.3825	20.4996	0.0721634	-514.313	4.46465	226.282	4.90281	1842.23	3.51778	1842.23	0.140432	-1749.16	0.00905555	299.991	198.2	78.2042
90	0.580327	3.25899	0.0342394	280.315	89.1644	19.685	0.163756	-514.573	5.6911	230.486	6.10881	1862.43	3.67545	1862.43	0.138654	-1768.65	0.00853718	299.991	207.542	78.5117
91	1.17745	1.54637	0.0337806	280.821	86.0665	19.1794	0.272362	-515.575	7.25137	235.345	7.62363	1882.21	4.14254	1882.21	0.13753	-1787.67	0.00814611	299.992	212.353	78.6992
92	1.79907	1.01633	0.0344688	280.737	85.5633	19.2625	0.344207	-517.514	8.88259	240.338	9.2236	1901.98	4.76122	1901.98	0.138187	-1806.64	0.00801143	299.992	213.386	78.8214
93	2.42777	0.773365	0.0357405	280.264	87.1791	19.736	0.394534	-520.266	10.3457	244.987	10.6636	1922.15	5.45707	1922.15	0.140064	-1825.98	0.00805261	299.992	212.012	78.9117
94	3.0599	0.638348	0.0373924	279.532	90.2449	20.4682	0.431901	-523.698	11.4941	248.982	11.7924	1943.01	6.202	1943.01	0.142736	-1845.96	0.00821737	299.992	209.079	78.987
95	3.6934	0.554113	0.0392957	278.631	94.2851	21.3695	0.460358	-527.692	12.2415	252.121	12.5216	1964.73	6.97883	1964.73	0.145884	-1866.78	0.0084724	299.992	205.122	79.0566
96	4.32472	0.497389	0.0413553	277.624	98.9649	22.3758	0.48179	-532.141	12.5435	254.279	12.8059	1987.43	7.77345	1987.43	0.149277	-1888.55	0.00879612	299.991	200.496	79.1268
97	4.94773	0.457192	0.0434961	276.56	104.038	23.4396	0.497017	-536.941	12.3861	255.388	12.6304	2011.17	8.57194	2011.17	0.152741	-1911.36	0.00917431	299.991	195.462	79.2031
98	5.55302	0.427849	0.0456563	275.476	109.312	24.5236	0.506268	-541.984	11.7783	255.42	12.0042	2035.96	9.35881	2035.96	0.156137	-1935.21	0.00959738	299.99	190.214	79.2922
99	6.12628	0.40635	0.0477821	274.402	114.631	25.5976	0.509323	-547.152	10.749	254.382	10.9559	2061.76	10.1148	2061.76	0.159344	-1960.1	0.0100585	299.99	184.915	79.4042
100	6.64458	0.391314	0.0498224	273.365	119.858	26.6352	0.505433	-552.314	9.34705	252.312	9.53449	2088.52	10.8126	2088.52	0.16222	-1985.97	0.0105521	299.989	179.701	79.5565
