Time	[CDC28_Clb2_Sic1_Complex]	[Clb2]	[Sic1]	[Phosphorylated Cdc28_Clb2_Sic1 Complex]	[Phosphorylated Clb2]	[SBF]	[Intermediary Enzyme]	[Cdc20 activated]	[Cdc20]	[Cdh1]	[Swe1]	[Swe1 modified]	[Phosphorylated Swe1]	[Phosphorylated Swe1M]	[Mih1a]	[Mcm]	[BE]	[Cln]	[mass]
31	0.00615213	2.05801e-05	1.22712	0.000139228	7.32774e-08	0.11499	5.07366e-07	2.01635e-09	0.165579	0.998088	0.0117581	0.0185469	6.49126e-07	9.18269e-07	6.20354e-06	1.23495e-05	0.0604999	0.080756	0.936752
32	0.006176	2.09635e-05	1.21351	0.000144477	7.83221e-08	0.121532	5.16449e-07	2.05155e-09	0.15458	0.997987	0.0121538	0.0182342	6.78776e-07	9.23389e-07	6.3131e-06	1.2556e-05	0.0625978	0.0843256	0.941447
33	0.00619982	2.14171e-05	1.19679	0.000149887	8.40273e-08	0.128692	5.27233e-07	2.09344e-09	0.144628	0.997875	0.0125608	0.0179268	7.11638e-07	9.31211e-07	6.44337e-06	1.28029e-05	0.0648507	0.0882074	0.946166
34	0.00622359	2.19474e-05	1.177	0.000155475	9.05096e-08	0.136542	5.39875e-07	2.14263e-09	0.135623	0.99775	0.0129805	0.0176246	7.48186e-07	9.41903e-07	6.59622e-06	1.30937e-05	0.067275	0.092434	0.950909
35	0.00624727	2.25626e-05	1.15416	0.000161265	9.7912e-08	0.145162	5.54565e-07	2.19987e-09	0.127475	0.997612	0.0134148	0.0173274	7.88981e-07	9.55681e-07	6.77394e-06	1.34328e-05	0.0698889	0.097042	0.955676
36	0.00627085	2.32724e-05	1.12834	0.00016728	1.06409e-07	0.154636	5.71534e-07	2.26607e-09	0.120102	0.997457	0.0138656	0.0170352	8.3469e-07	9.72817e-07	6.97931e-06	1.38255e-05	0.0727127	0.102072	0.960466
37	0.00629431	2.40886e-05	1.09961	0.000173548	1.16216e-07	0.165061	5.9106e-07	2.34232e-09	0.113431	0.997283	0.0143352	0.016748	8.86114e-07	9.93644e-07	7.2157e-06	1.42779e-05	0.0757687	0.107571	0.96528
38	0.00631762	2.50252e-05	1.06807	0.000180097	1.27601e-07	0.176539	6.13476e-07	2.42992e-09	0.107395	0.997087	0.014826	0.0164656	9.44209e-07	1.01857e-06	7.48712e-06	1.47979e-05	0.0790818	0.113588	0.970119
39	0.00634076	2.60992e-05	1.03383	0.000186963	1.40893e-07	0.189179	6.39183e-07	2.53046e-09	0.101933	0.996866	0.0153405	0.016188	1.01013e-06	1.04808e-06	7.79841e-06	1.53945e-05	0.0826797	0.120181	0.974981
40	0.00636368	2.73306e-05	0.997033	0.000194181	1.56509e-07	0.203098	6.6866e-07	2.6458e-09	0.096991	0.996614	0.0158817	0.015915	1.08526e-06	1.08277e-06	8.15535e-06	1.60786e-05	0.0865927	0.127409	0.979869
41	0.00638637	2.87438e-05	0.957863	0.000201793	1.74969e-07	0.218419	7.02479e-07	2.7782e-09	0.0925192	0.996326	0.0164529	0.0156466	1.17128e-06	1.12333e-06	8.56485e-06	1.68633e-05	0.0908548	0.135342	0.98478
42	0.00640878	3.03676e-05	0.916534	0.000209845	1.96929e-07	0.235268	7.41323e-07	2.93033e-09	0.088473	0.995996	0.0170575	0.0153828	1.27024e-06	1.17061e-06	9.03515e-06	1.77643e-05	0.0955031	0.14405	0.989716
43	0.00643089	3.22361e-05	0.873303	0.000218386	2.23221e-07	0.253772	7.86008e-07	3.10541e-09	0.0848118	0.995614	0.0176992	0.0151234	1.38459e-06	1.22559e-06	9.5761e-06	1.88002e-05	0.100578	0.153612	0.994677
44	0.00645265	3.43906e-05	0.828469	0.000227473	2.54902e-07	0.274057	8.37505e-07	3.30723e-09	0.081499	0.995171	0.0183822	0.0148683	1.51736e-06	1.28945e-06	1.01994e-05	1.99933e-05	0.106125	0.16411	0.999663
45	0.00647404	3.68792e-05	0.782375	0.000237166	2.93314e-07	0.296247	8.96963e-07	3.54032e-09	0.0785015	0.994651	0.0191107	0.0146175	1.67216e-06	1.36355e-06	1.0919e-05	2.137e-05	0.112192	0.175631	1.00467
46	0.00649503	3.97594e-05	0.73541	0.000247531	3.40178e-07	0.320454	9.65747e-07	3.81001e-09	0.0757892	0.994039	0.0198894	0.014371	1.85344e-06	1.44952e-06	1.17514e-05	2.29614e-05	0.118831	0.188264	1.00971
47	0.00651562	4.30983e-05	0.687999	0.000258641	3.97689e-07	0.34678	1.04546e-06	4.12259e-09	0.073335	0.993309	0.0207232	0.0141285	2.06652e-06	1.54922e-06	1.27158e-05	2.48045e-05	0.126098	0.202099	1.01477
48	0.00653582	4.69742e-05	0.640601	0.000270578	4.68652e-07	0.375308	1.13796e-06	4.48538e-09	0.0711144	0.992432	0.021617	0.0138902	2.31783e-06	1.66478e-06	1.38349e-05	2.69423e-05	0.134052	0.21723	1.01986
49	0.00655568	5.14773e-05	0.593693	0.00028343	5.56654e-07	0.406097	1.24541e-06	4.90685e-09	0.0691051	0.991363	0.0225761	0.0136558	2.61506e-06	1.79863e-06	1.51348e-05	2.94248e-05	0.142755	0.233744	1.02497
50	0.00657533	5.67102e-05	0.547757	0.000297298	6.66259e-07	0.43917	1.37029e-06	5.39664e-09	0.067287	0.990043	0.0236057	0.0134253	2.96731e-06	1.95348e-06	1.66454e-05	3.23092e-05	0.152271	0.251728	1.03011
51	0.00659501	6.27873e-05	0.503265	0.000312298	8.03268e-07	0.47451	1.51534e-06	5.9656e-09	0.0656419	0.988384	0.0247109	0.0131987	3.38524e-06	2.13227e-06	1.84002e-05	3.56603e-05	0.162668	0.271257	1.03527
52	0.00661515	6.9834e-05	0.460654	0.00032857	9.7501e-07	0.512042	1.68361e-06	6.62563e-09	0.0641534	0.986252	0.025897	0.0129759	3.88114e-06	2.33814e-06	2.04361e-05	3.95497e-05	0.174011	0.292398	1.04046
