Time	[A]	[G]	[GA]	[T]	[R]	[G*T]	[GD]	[Pi]	[D]	[RG]	[RG*T]	[G*AT]	[GAD]	[RGD]	[RGA]	[RG*AT]	[RGAD]
60	6.9757e-32	9.82999e-18	4.71478e-41	0.000467982	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149008	4.36784e-13	9.79155e-09	1.35855e-36	1.05029e-35	1.12105e-10	2.52653e-35	9.18716e-34	6.80793e-33
61	1.27408e-31	9.83e-18	8.61133e-41	0.000467982	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149008	4.36784e-13	9.79155e-09	2.48134e-36	1.91831e-35	1.12105e-10	4.61459e-35	1.67799e-33	1.24344e-32
62	1.85059e-31	9.83e-18	1.25079e-40	0.000467982	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149008	4.36785e-13	9.79155e-09	3.60412e-36	2.78632e-35	1.12105e-10	6.70266e-35	2.43727e-33	1.80608e-32
63	2.4271e-31	9.83e-18	1.64044e-40	0.000467982	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149008	4.36785e-13	9.79155e-09	4.7269e-36	3.65434e-35	1.12105e-10	8.79073e-35	3.19655e-33	2.36873e-32
64	3.00361e-31	9.83001e-18	2.0301e-40	0.000467982	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149008	4.36785e-13	9.79155e-09	5.84969e-36	4.52236e-35	1.12105e-10	1.08788e-34	3.95583e-33	2.93138e-32
65	3.58013e-31	9.83001e-18	2.41975e-40	0.000467982	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149008	4.36785e-13	9.79155e-09	6.97247e-36	5.39038e-35	1.12105e-10	1.29669e-34	4.7151e-33	3.49402e-32
66	4.15664e-31	9.83001e-18	2.80941e-40	0.000467982	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149008	4.36785e-13	9.79155e-09	8.09525e-36	6.2584e-35	1.12106e-10	1.50549e-34	5.47438e-33	4.05667e-32
67	4.73315e-31	9.83001e-18	3.19907e-40	0.000467982	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149008	4.36785e-13	9.79155e-09	9.21804e-36	7.12641e-35	1.12106e-10	1.7143e-34	6.23366e-33	4.61931e-32
68	5.30966e-31	9.83002e-18	3.58872e-40	0.000467981	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149009	4.36785e-13	9.79155e-09	1.03408e-35	7.99443e-35	1.12106e-10	1.92311e-34	6.99294e-33	5.18196e-32
69	5.88617e-31	9.83002e-18	3.97838e-40	0.000467981	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149009	4.36785e-13	9.79155e-09	1.14636e-35	8.86245e-35	1.12106e-10	2.13191e-34	7.75222e-33	5.74461e-32
70	6.46268e-31	9.83002e-18	4.36803e-40	0.000467981	9.90096e-07	9.58887e-11	1.60089e-14	0.00440001	0.000149009	4.36785e-13	9.79155e-09	1.25864e-35	9.73047e-35	1.12106e-10	2.34072e-34	8.51149e-33	6.30725e-32
