Time	[TGF_beta_ex]	[T1R_surf]	[T1R_endo]	[T2R_surf]	[T2R_endo]	[LRC_surf]	[LRC_endo]	[Smad2c]	[Smad2n]	[Smad4c]	[Smad4n]	[PSmad2c]	[PSmad2_PSmad2_c]	[PSmad2_Smad4_c]	[PSmad2n]	[PSmad2_PSmad2_n]	[PSmad2_Smad4_n]	[TGF_beta_endo]	[TGF_beta_ns]	[AA]	[empty_degraded]
45	0.0469776	0.491597	5.38878	0.0122316	0.54938	0.0254942	0.28341	42.8619	21.8927	36.1103	46.2139	0.471938	0.0235025	1.7947	3.33854	2.25025	34.2446	0.0376063	0.00116832	0	0
46	0.0469521	0.490736	5.37172	0.0121582	0.540419	0.0252451	0.278822	42.8495	21.8846	36.1061	46.2036	0.469861	0.0233042	1.78673	3.34343	2.2589	34.2829	0.0369814	0.00116768	0	0
47	0.0469268	0.489869	5.35478	0.0120866	0.531648	0.0250118	0.274364	42.8459	21.8801	36.108	46.1957	0.467653	0.0230931	1.77855	3.34657	2.26505	34.3052	0.0363723	0.00116705	0	0
48	0.0469019	0.488997	5.33797	0.0120168	0.523065	0.0247933	0.270035	42.8504	21.8788	36.1157	46.1901	0.465326	0.0228706	1.77019	3.34807	2.26886	34.3125	0.0357794	0.00116642	0	0
49	0.0468772	0.48812	5.32128	0.0119488	0.514667	0.0245886	0.265833	42.8626	21.8807	36.1286	46.1865	0.462892	0.0226381	1.76166	3.34803	2.27047	34.3059	0.0352025	0.0011658	0	0
50	0.0468528	0.487238	5.30471	0.0118826	0.506451	0.0243967	0.261756	42.8818	21.8853	36.1466	46.1848	0.460361	0.0223969	1.75299	3.34657	2.27002	34.2862	0.0346417	0.00116519	0	0
51	0.0468287	0.486351	5.28826	0.0118181	0.498416	0.0242168	0.257804	42.9076	21.8927	36.1691	46.1849	0.457745	0.0221482	1.7442	3.34378	2.26765	34.2544	0.0340968	0.00116459	0	0
52	0.0468048	0.48546	5.27193	0.0117553	0.490558	0.0240481	0.253975	42.9395	21.9025	36.1959	46.1868	0.455052	0.0218931	1.7353	3.33974	2.2635	34.2113	0.0335678	0.001164	0	0
53	0.0467812	0.484565	5.25573	0.0116942	0.482876	0.02389	0.250266	42.9772	21.9146	36.2267	46.1903	0.452292	0.0216325	1.72631	3.33455	2.25768	34.1577	0.0330545	0.00116341	0	0
54	0.0467579	0.483665	5.23964	0.0116348	0.475367	0.0237418	0.246675	43.02	21.9288	36.2612	46.1952	0.449474	0.0213676	1.71725	3.32828	2.25033	34.0944	0.0325567	0.00116282	0	0
55	0.0467348	0.482761	5.22367	0.0115771	0.468029	0.023603	0.2432	43.0678	21.945	36.299	46.2015	0.446605	0.0210992	1.70812	3.32102	2.24156	34.022	0.0320742	0.00116224	0	0
56	0.0467119	0.481853	5.20783	0.0115211	0.460859	0.0234729	0.239839	43.12	21.9631	36.34	46.2092	0.443695	0.0208281	1.69895	3.31283	2.23148	33.9413	0.0316068	0.00116167	0	0
57	0.0466893	0.480942	5.1921	0.0114666	0.453856	0.0233512	0.236589	43.1763	21.9828	36.3838	46.218	0.440749	0.0205552	1.68975	3.30379	2.22021	33.8528	0.0311542	0.00116111	0	0
58	0.0466669	0.480027	5.17649	0.0114138	0.447017	0.0232373	0.233448	43.2364	22.004	36.4303	46.228	0.437774	0.020281	1.68052	3.29397	2.20783	33.7572	0.0307161	0.00116055	0	0
59	0.0466447	0.479109	5.16099	0.0113626	0.44034	0.0231307	0.230413	43.3	22.0267	36.4791	46.239	0.434778	0.0200064	1.67129	3.28343	2.19446	33.655	0.0302923	0.00115999	0	0
60	0.0466227	0.478188	5.14562	0.011313	0.433822	0.0230312	0.227483	43.3667	22.0507	36.5302	46.2509	0.431765	0.0197319	1.66206	3.27223	2.18018	33.5469	0.0298825	0.00115944	0	0
61	0.046601	0.477263	5.13036	0.0112649	0.427461	0.0229383	0.224654	43.4362	22.0758	36.5833	46.2637	0.428742	0.0194581	1.65283	3.26042	2.16508	33.4332	0.0294864	0.0011589	0	0
62	0.0465794	0.476336	5.11521	0.0112184	0.421254	0.0228516	0.221924	43.5084	22.102	36.6382	46.2774	0.425714	0.0191855	1.64364	3.24805	2.14925	33.3144	0.0291036	0.00115836	0	0
63	0.0465581	0.475406	5.10018	0.0111734	0.4152	0.0227709	0.219291	43.5828	22.1292	36.6947	46.2918	0.422685	0.0189145	1.63447	3.23519	2.13276	33.1911	0.0287339	0.00115783	0	0
