Time	[aca]	[oaa]	[coa]	[cit]	[icit]	[akg]	[sca]	[suc]	[fa]	[mal]	[gly]	[biosyn]
45	0.5	0.004	0.0001	0.0819137	0.00363471	0.0183262	0.680355	0.161902	1.0742	0.287546	0.0109856	0.1
46	0.5	0.004	0.0001	0.0819137	0.00363381	0.0182904	0.677259	0.161869	1.07416	0.287542	0.0109831	0.1
47	0.5	0.004	0.0001	0.0819137	0.00363303	0.0182595	0.674586	0.161841	1.07412	0.287538	0.010981	0.1
48	0.5	0.004	0.0001	0.0819136	0.00363236	0.0182328	0.67228	0.161816	1.07409	0.287535	0.0109791	0.1
49	0.5	0.004	0.0001	0.0819136	0.00363178	0.0182098	0.670294	0.161794	1.07407	0.287532	0.0109775	0.1
50	0.5	0.004	0.0001	0.0819136	0.00363128	0.01819	0.668583	0.161775	1.07404	0.28753	0.0109761	0.1
51	0.5	0.004	0.0001	0.0819136	0.00363085	0.018173	0.667112	0.161759	1.07402	0.287528	0.0109749	0.1
52	0.5	0.004	0.0001	0.0819136	0.00363048	0.0181583	0.665847	0.161745	1.074	0.287526	0.0109739	0.1
53	0.5	0.004	0.0001	0.0819136	0.00363016	0.0181458	0.664761	0.161733	1.07399	0.287525	0.010973	0.1
54	0.5	0.004	0.0001	0.0819136	0.00362989	0.018135	0.663828	0.161723	1.07398	0.287523	0.0109722	0.1
55	0.5	0.004	0.0001	0.0819136	0.00362966	0.0181257	0.663027	0.161714	1.07396	0.287522	0.0109716	0.1
56	0.5	0.004	0.0001	0.0819136	0.00362946	0.0181178	0.66234	0.161706	1.07395	0.287521	0.010971	0.1
57	0.5	0.004	0.0001	0.0819136	0.00362929	0.0181109	0.661751	0.161699	1.07395	0.28752	0.0109706	0.1
58	0.5	0.004	0.0001	0.0819136	0.00362914	0.0181051	0.661245	0.161694	1.07394	0.28752	0.0109701	0.1
59	0.5	0.004	0.0001	0.0819136	0.00362901	0.0181001	0.660811	0.161689	1.07393	0.287519	0.0109698	0.1
60	0.5	0.004	0.0001	0.0819136	0.0036289	0.0180958	0.660439	0.161685	1.07393	0.287519	0.0109695	0.1
61	0.5	0.004	0.0001	0.0819136	0.00362881	0.0180921	0.660121	0.161681	1.07392	0.287518	0.0109692	0.1
62	0.5	0.004	0.0001	0.0819135	0.00362873	0.0180889	0.659848	0.161678	1.07392	0.287518	0.010969	0.1
63	0.5	0.004	0.0001	0.0819135	0.00362866	0.0180862	0.659614	0.161675	1.07392	0.287517	0.0109688	0.1
64	0.5	0.004	0.0001	0.0819135	0.0036286	0.0180839	0.659413	0.161673	1.07391	0.287517	0.0109687	0.1
65	0.5	0.004	0.0001	0.0819135	0.00362855	0.0180819	0.659241	0.161671	1.07391	0.287517	0.0109685	0.1
66	0.5	0.004	0.0001	0.0819135	0.00362851	0.0180802	0.659094	0.16167	1.07391	0.287517	0.0109684	0.1
67	0.5	0.004	0.0001	0.0819135	0.00362847	0.0180787	0.658968	0.161668	1.07391	0.287516	0.0109683	0.1
68	0.5	0.004	0.0001	0.0819135	0.00362844	0.0180775	0.65886	0.161667	1.07391	0.287516	0.0109682	0.1
69	0.5	0.004	0.0001	0.0819135	0.00362842	0.0180764	0.658767	0.161666	1.0739	0.287516	0.0109681	0.1
70	0.5	0.004	0.0001	0.0819135	0.00362839	0.0180755	0.658688	0.161665	1.0739	0.287516	0.0109681	0.1
71	0.5	0.004	0.0001	0.0819135	0.00362837	0.0180747	0.65862	0.161664	1.0739	0.287516	0.010968	0.1
72	0.5	0.004	0.0001	0.0819135	0.00362836	0.018074	0.658562	0.161664	1.0739	0.287516	0.010968	0.1
73	0.5	0.004	0.0001	0.0819135	0.00362834	0.0180735	0.658512	0.161663	1.0739	0.287516	0.0109679	0.1
74	0.5	0.004	0.0001	0.0819135	0.00362833	0.018073	0.65847	0.161663	1.0739	0.287516	0.0109679	0.1
75	0.5	0.004	0.0001	0.0819135	0.00362832	0.0180726	0.658433	0.161662	1.0739	0.287516	0.0109679	0.1
76	0.5	0.004	0.0001	0.0819135	0.00362831	0.0180722	0.658402	0.161662	1.0739	0.287516	0.0109678	0.1
77	0.5	0.004	0.0001	0.0819135	0.0036283	0.0180719	0.658375	0.161661	1.0739	0.287516	0.0109678	0.1
78	0.5	0.004	0.0001	0.0819135	0.00362829	0.0180716	0.658352	0.161661	1.0739	0.287516	0.0109678	0.1
79	0.5	0.004	0.0001	0.0819135	0.00362829	0.0180714	0.658333	0.161661	1.0739	0.287516	0.0109678	0.1
80	0.5	0.004	0.0001	0.0819135	0.00362828	0.0180712	0.658316	0.161661	1.0739	0.287516	0.0109678	0.1
81	0.5	0.004	0.0001	0.0819135	0.00362828	0.018071	0.658302	0.161661	1.0739	0.287516	0.0109678	0.1
82	0.5	0.004	0.0001	0.0819135	0.00362828	0.0180709	0.658289	0.16166	1.0739	0.287515	0.0109677	0.1
83	0.5	0.004	0.0001	0.0819135	0.00362827	0.0180708	0.658279	0.16166	1.0739	0.287515	0.0109677	0.1
84	0.5	0.004	0.0001	0.0819135	0.00362827	0.0180707	0.65827	0.16166	1.0739	0.287515	0.0109677	0.1
85	0.5	0.004	0.0001	0.0819135	0.00362827	0.0180706	0.658262	0.16166	1.0739	0.287515	0.0109677	0.1
86	0.5	0.004	0.0001	0.0819135	0.00362827	0.0180705	0.658255	0.16166	1.0739	0.287515	0.0109677	0.1
87	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180704	0.65825	0.16166	1.0739	0.287515	0.0109677	0.1
88	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180704	0.658245	0.16166	1.0739	0.287515	0.0109677	0.1
89	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180703	0.658241	0.16166	1.0739	0.287515	0.0109677	0.1
90	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180703	0.658237	0.16166	1.0739	0.287515	0.0109677	0.1
91	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180703	0.658234	0.16166	1.0739	0.287515	0.0109677	0.1
92	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180702	0.658232	0.16166	1.0739	0.287515	0.0109677	0.1
93	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180702	0.65823	0.16166	1.0739	0.287515	0.0109677	0.1
94	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180702	0.658228	0.16166	1.0739	0.287515	0.0109677	0.1
95	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180702	0.658226	0.16166	1.0739	0.287515	0.0109677	0.1
96	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180701	0.658225	0.16166	1.0739	0.287515	0.0109677	0.1
97	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180701	0.658224	0.16166	1.0739	0.287515	0.0109677	0.1
98	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180701	0.658223	0.16166	1.0739	0.287515	0.0109677	0.1
99	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180701	0.658222	0.16166	1.0739	0.287515	0.0109677	0.1
100	0.5	0.004	0.0001	0.0819135	0.00362826	0.0180701	0.658221	0.16166	1.0739	0.287515	0.0109677	0.1
