Time	[AsIIIex]	[Ycf1]	[Hog1PP]	[Hog1]	[Fps1P]	[Fps1]	[Acr3]	[vAsGS3]	[AsGS3]	[AsIIIin]	[AsIIIProt]	[GSH]
63	977.544	0.013151	0.010399	0.156601	0.0298146	0.000185397	0.000316038	371.085	1777.32	141.476	216.708	380.624
64	981.558	0.013151	0.0104545	0.156546	0.0298156	0.00018442	0.000316038	372.875	1778.11	142.282	217.815	378.635
65	985.441	0.013151	0.0105081	0.156492	0.0298165	0.000183487	0.000316038	374.611	1778.86	143.061	218.928	376.729
66	989.197	0.013151	0.01056	0.15644	0.0298174	0.000182594	0.000316038	376.294	1779.57	143.814	220.048	374.903
67	992.829	0.013151	0.01061	0.15639	0.0298183	0.000181739	0.000316038	377.926	1780.23	144.542	221.172	373.151
68	996.343	0.013151	0.0106584	0.156342	0.0298191	0.000180921	0.000316038	379.508	1780.86	145.246	222.303	371.47
69	999.741	0.013151	0.0107052	0.156295	0.0298199	0.000180137	0.000316038	381.041	1781.45	145.927	223.439	369.857
70	1003.03	0.013151	0.0107504	0.15625	0.0298206	0.000179386	0.000316038	382.527	1782	146.585	224.58	368.309
71	1006.21	0.013151	0.0107941	0.156206	0.0298213	0.000178666	0.000316038	383.968	1782.53	147.222	225.726	366.822
72	1009.28	0.013151	0.0108363	0.156164	0.029822	0.000177975	0.000316038	385.364	1783.03	147.838	226.876	365.394
73	1012.26	0.013151	0.0108772	0.156123	0.0298227	0.000177313	0.000316038	386.717	1783.5	148.433	228.032	364.022
74	1015.13	0.013151	0.0109166	0.156083	0.0298233	0.000176677	0.000316038	388.027	1783.94	149.009	229.191	362.703
75	1017.92	0.013151	0.0109548	0.156045	0.0298239	0.000176067	0.000316038	389.297	1784.36	149.567	230.355	361.436
76	1020.61	0.013151	0.0109916	0.156008	0.0298245	0.000175481	0.000316038	390.528	1784.76	150.105	231.523	360.217
77	1023.21	0.013151	0.0110273	0.155973	0.0298251	0.000174919	0.000316038	391.719	1785.14	150.626	232.695	359.046
78	1025.73	0.013151	0.0110617	0.155938	0.0298256	0.000174379	0.000316038	392.874	1785.5	151.13	233.871	357.919
79	1028.16	0.013151	0.0110951	0.155905	0.0298261	0.000173859	0.000316038	393.993	1785.84	151.618	235.05	356.834
80	1030.52	0.013151	0.0111273	0.155873	0.0298266	0.00017336	0.000316038	395.076	1786.16	152.089	236.232	355.791
81	1032.79	0.013151	0.0111584	0.155842	0.0298271	0.00017288	0.000316038	396.125	1786.46	152.545	237.418	354.786
82	1035	0.013151	0.0111885	0.155811	0.0298276	0.000172419	0.000316038	397.142	1786.75	152.987	238.608	353.819
83	1037.13	0.013151	0.0112176	0.155782	0.029828	0.000171975	0.000316038	398.126	1787.03	153.413	239.8	352.888
84	1039.19	0.013151	0.0112458	0.155754	0.0298285	0.000171548	0.000316038	399.079	1787.29	153.826	240.995	351.992
85	1041.18	0.013151	0.011273	0.155727	0.0298289	0.000171137	0.000316038	400.002	1787.54	154.225	242.193	351.128
86	1043.11	0.013151	0.0112993	0.155701	0.0298293	0.000170742	0.000316038	400.896	1787.77	154.611	243.393	350.296
87	1044.98	0.013151	0.0113248	0.155675	0.0298296	0.000170361	0.000316038	401.761	1788	154.985	244.596	349.495
88	1046.78	0.013151	0.0113494	0.155651	0.02983	0.000169995	0.000316038	402.599	1788.21	155.347	245.802	348.723
89	1048.53	0.013151	0.0113732	0.155627	0.0298304	0.000169642	0.000316038	403.411	1788.41	155.696	247.01	347.979
90	1050.21	0.013151	0.0113962	0.155604	0.0298307	0.000169302	0.000316038	404.196	1788.61	156.034	248.22	347.261
91	1051.85	0.013151	0.0114185	0.155581	0.029831	0.000168974	0.000316038	404.957	1788.79	156.361	249.432	346.569
92	1053.42	0.013151	0.01144	0.15556	0.0298313	0.000168659	0.000316038	405.694	1788.97	156.678	250.646	345.902
93	1054.95	0.013151	0.0114609	0.155539	0.0298316	0.000168355	0.000316038	406.407	1789.13	156.984	251.862	345.259
94	1056.43	0.013151	0.011481	0.155519	0.0298319	0.000168062	0.000316038	407.097	1789.29	157.28	253.081	344.639
95	1057.86	0.013151	0.0115005	0.155499	0.0298322	0.00016778	0.000316038	407.765	1789.45	157.567	254.3	344.041
96	1059.24	0.013151	0.0115193	0.155481	0.0298325	0.000167507	0.000316038	408.412	1789.59	157.844	255.522	343.464
97	1060.57	0.013151	0.0115376	0.155462	0.0298328	0.000167245	0.000316038	409.038	1789.73	158.112	256.745	342.908
98	1061.87	0.013151	0.0115552	0.155445	0.029833	0.000166992	0.000316038	409.644	1789.86	158.372	257.97	342.371
99	1063.12	0.013151	0.0115722	0.155428	0.0298333	0.000166748	0.000316038	410.231	1789.99	158.623	259.196	341.853
100	1064.33	0.013151	0.0115887	0.155411	0.0298335	0.000166513	0.000316038	410.798	1790.11	158.865	260.423	341.353
