Time	[NO]	[sGCfast]	[NO_sGCfast]	[NO_sGCfast_6coord]	[NO_sGCfast_5coord]	[sGCslow]	[NO_sGCslow]	[NO_sGCslow_6coord]	[NO_sGCslow_6coord_NO_int]	[NO_sGCslow_5coord]	[NO_sGC_5coord_tot]	[sGC_inact_tot]
51	0.5	6.11181e-25	1.41484e-25	0.00110891	0.110891	1.65132e-24	3.82563e-25	0.0317256	0.00317208	0.253102	0.363993	0.0360066
52	0.5	3.32467e-25	7.70087e-26	0.00110891	0.110891	8.98279e-25	2.08221e-25	0.0317144	0.00317102	0.253115	0.364006	0.0359943
53	0.5	-2.45089e-24	-5.67341e-25	0.00110891	0.110891	-6.62194e-24	-1.53406e-24	0.0317048	0.00317012	0.253125	0.364016	0.0359838
54	0.5	4.09758e-24	9.48216e-25	0.00110891	0.110891	1.1071e-23	2.56396e-24	0.0316966	0.00316936	0.253134	0.364025	0.0359749
55	0.5	9.99864e-24	2.31416e-24	0.00110891	0.110891	2.70148e-23	6.25739e-24	0.0316896	0.0031687	0.253142	0.364033	0.0359672
56	0.5	2.88197e-25	6.71931e-26	0.00110891	0.110891	7.78696e-25	1.8163e-25	0.0316836	0.00316814	0.253148	0.364039	0.0359606
57	0.5	-5.19164e-24	-1.20125e-24	0.00110891	0.110891	-1.4027e-23	-3.24816e-24	0.0316785	0.00316766	0.253154	0.364045	0.035955
58	0.5	-4.1241e-24	-9.54854e-25	0.00110891	0.110891	-1.11427e-23	-2.58185e-24	0.0316741	0.00316725	0.253159	0.36405	0.0359502
59	0.5	5.63886e-24	1.30432e-24	0.00110891	0.110891	1.52353e-23	3.52692e-24	0.0316703	0.0031669	0.253163	0.364054	0.0359462
60	0.5	5.65313e-24	1.3084e-24	0.00110891	0.110891	1.52739e-23	3.53787e-24	0.0316671	0.0031666	0.253166	0.364057	0.0359427
61	0.5	-3.85313e-24	-8.90503e-25	0.00110891	0.110891	-1.04105e-23	-2.40804e-24	0.0316644	0.00316634	0.253169	0.36406	0.0359397
62	0.5	-5.80512e-24	-1.34332e-24	0.00110891	0.110891	-1.56845e-23	-3.6323e-24	0.0316621	0.00316612	0.253172	0.364063	0.0359371
63	0.5	-8.81233e-25	-2.04977e-25	0.00110891	0.110891	-2.38102e-24	-5.54129e-25	0.0316601	0.00316593	0.253174	0.364065	0.0359349
64	0.5	6.02947e-24	1.39338e-24	0.00110891	0.110891	1.62906e-23	3.76789e-24	0.0316584	0.00316578	0.253176	0.364067	0.0359331
65	0.5	1.26864e-24	2.93496e-25	0.00110891	0.110891	3.42767e-24	7.93615e-25	0.0316569	0.00316564	0.253177	0.364069	0.0359315
66	0.5	-2.30885e-24	-5.33426e-25	0.00110891	0.110891	-6.23812e-24	-1.44247e-24	0.0316557	0.00316552	0.253179	0.36407	0.0359301
67	0.5	1.95533e-26	4.3222e-27	0.00110891	0.110891	5.28174e-26	1.1711e-26	0.0316546	0.00316542	0.25318	0.364071	0.0359289
68	0.5	6.92752e-25	1.59703e-25	0.00110891	0.110891	1.87167e-24	4.31906e-25	0.0316537	0.00316534	0.253181	0.364072	0.0359279
