Time	[AA]	[5-HPETE]	[5-HETE]	[LTA4]	[LTB4]	[w-LTB4]	[PLA2]	[15-LOX]	[12-LOX]	[COX-2]	[PGES]	[15-HPETE]	[TXAS]	[5-LOX]	[LTA4H]	[CYP4F3]	[PHGPx]	[exo-AA]	[15-HETE]	[12-HPETE]	[12-HETE]	[PGH2]	[PGE2]	[TXA2]	[TXB2]
39	0.322346	0.000594384	12.3065	0.375882	0.297327	89.7567	1.5	5.8597	-1.21466e-35	0.2	0.5	11.6365	-1.59892e-25	0.00184442	0.00254509	0.07	0.8	0	721.575	-2.95633e-35	0.263521	1.61315	36.6917	0.166961	4.71872
40	0.317931	0.000484687	12.2972	0.345091	0.256076	89.8008	1.5	5.95065	-7.19248e-36	0.2	0.5	11.8229	1.13346e-25	0.00156276	0.00250183	0.07	0.8	0	739.764	1.14147e-35	0.263521	1.6136	37.2624	0.151073	4.72989
41	0.313688	0.00039618	12.2874	0.316893	0.220727	89.8388	1.5	6.04069	2.90158e-36	0.2	0.5	12.0079	7.26303e-26	0.0013258	0.0024627	0.07	0.8	0	757.798	9.48431e-36	0.263521	1.61395	37.8207	0.136696	4.73953
42	0.309608	0.000324553	12.2771	0.29106	0.190426	89.8716	1.5	6.12984	-1.4994e-35	0.2	0.5	12.1915	-1.42809e-25	0.00112606	0.00242725	0.07	0.8	0	775.679	-1.53777e-35	0.263521	1.61422	38.3674	0.123688	4.74779
43	0.305681	0.000266418	12.2665	0.267382	0.16444	89.9	1.5	6.2181	-5.72712e-35	0.2	0.5	12.3737	-1.54364e-25	0.000957385	0.0023951	0.07	0.8	0	793.406	4.81344e-36	0.263521	1.61441	38.9028	0.111918	4.75481
44	0.301901	0.000219104	12.2555	0.245672	0.142145	89.9245	1.5	6.30548	1.41817e-33	0.2	0.5	12.5546	3.23407e-25	0.000814688	0.00236591	0.07	0.8	0	810.981	5.52568e-36	0.263521	1.61453	39.4276	0.101267	4.76071
45	0.298257	0.000180496	12.2444	0.22576	0.123007	89.9458	1.5	6.39199	3.02519e-35	0.2	0.5	12.734	-4.67645e-26	0.000693775	0.00233937	0.07	0.8	0	828.406	1.15353e-36	0.263521	1.61458	39.9423	0.0916304	4.76558
46	0.294745	0.000148917	12.2331	0.207491	0.106568	89.9642	1.5	6.47764	5.10541e-34	0.2	0.5	12.9122	1.80356e-25	0.000591168	0.00231522	0.07	0.8	0	845.68	4.19448e-36	0.263521	1.61457	40.4472	0.0829106	4.76953
47	0.291356	0.000123029	12.2216	0.190726	0.0924378	89.9802	1.5	6.56244	6.22423e-34	0.2	0.5	13.089	9.78909e-27	0.000503978	0.00229322	0.07	0.8	0	862.806	3.9689e-36	0.263521	1.61449	40.9428	0.0750206	4.77265
48	0.288085	0.000101762	12.21	0.175335	0.0802838	89.994	1.5	6.64639	1.38314e-33	0.2	0.5	13.2644	-4.18694e-27	0.000429801	0.00227317	0.07	0.8	0	879.783	1.54357e-35	0.263521	1.61436	41.4294	0.0678814	4.77502
49	0.284925	8.42586e-05	12.1983	0.161204	0.0698211	90.0061	1.5	6.72951	3.02867e-33	0.2	0.5	13.4385	1.85379e-26	0.000366628	0.00225488	0.07	0.8	0	896.614	3.01131e-35	0.263521	1.61418	41.9075	0.0614217	4.7767
50	0.281872	6.98279e-05	12.1866	0.148227	0.0608063	90.0166	1.5	6.81181	1.63909e-32	0.2	0.5	13.6113	2.15749e-26	0.000312778	0.00223818	0.07	0.8	0	913.299	1.57349e-34	0.263521	1.61395	42.3774	0.0555766	4.77777
51	0.27892	5.79122e-05	12.1747	0.136306	0.0530319	90.0258	1.5	6.89328	-6.23184e-34	0.2	0.5	13.7827	2.35043e-26	0.000266841	0.00222292	0.07	0.8	0	929.84	2.49251e-34	0.263521	1.61367	42.8394	0.0502878	4.77828
52	0.276065	4.80597e-05	12.1629	0.125354	0.0463205	90.0338	1.5	6.97394	8.55273e-33	0.2	0.5	13.9528	5.35093e-26	0.00022763	0.00220897	0.07	0.8	0	946.237	-1.13871e-35	0.263521	1.61335	43.2938	0.0455023	4.77829
53	0.273301	3.9903e-05	12.151	0.115291	0.0405205	90.0408	1.5	7.0538	-7.37513e-34	0.2	0.5	14.1216	-1.44153e-25	0.000194144	0.00219622	0.07	0.8	0	962.491	-3.04592e-35	0.263521	1.61299	43.7409	0.0411722	4.77784
54	0.270625	3.31432e-05	12.139	0.106044	0.0355024	90.047	1.5	7.13287	3.64451e-34	0.2	0.5	14.2891	-1.10974e-25	0.000165538	0.00218455	0.07	0.8	0	978.603	8.61406e-37	0.263521	1.61259	44.181	0.0372541	4.77698
55	0.268032	2.75359e-05	12.127	0.0975437	0.0311557	90.0524	1.5	7.21115	2.23803e-32	0.2	0.5	14.4553	1.52027e-25	0.000141095	0.00217386	0.07	0.8	0	994.576	7.66881e-35	0.263521	1.61215	44.6143	0.0337089	4.77575
56	0.26552	2.28811e-05	12.1151	0.0897304	0.0273859	90.0571	1.5	7.28865	2.03334e-35	0.2	0.5	14.6202	-8.56304e-29	0.000120209	0.00216407	0.07	0.8	0	1010.41	-9.57245e-36	0.263521	1.61168	45.0412	0.0305011	4.77418
57	0.263084	1.90145e-05	12.1031	0.0825473	0.0241119	90.0613	1.5	7.36538	4.50656e-36	0.2	0.5	14.7838	3.25974e-28	0.000102361	0.0021551	0.07	0.8	0	1026.1	-5.00265e-37	0.263521	1.61117	45.4617	0.0275985	4.77231
58	0.260722	1.58009e-05	12.0911	0.0759429	0.0212648	90.065	1.5	7.44134	5.28088e-37	0.2	0.5	14.9461	1.40461e-24	8.71121e-05	0.00214688	0.07	0.8	0	1041.66	9.45492e-38	0.263521	1.61064	45.8762	0.0249722	4.77016
59	0.258429	1.31291e-05	12.0791	0.06987	0.0187853	90.0682	1.5	7.51655	-3.12477e-36	0.2	0.5	15.1072	-3.5734e-25	7.40868e-05	0.00213934	0.07	0.8	0	1057.08	-1.033e-37	0.263521	1.61007	46.2848	0.0225958	4.76777
60	0.256204	1.09071e-05	12.0671	0.0642854	0.0166227	90.0711	1.5	7.59102	3.37693e-35	0.2	0.5	15.267	4.82636e-25	6.29644e-05	0.00213243	0.07	0.8	0	1072.37	8.65016e-38	0.263521	1.60948	46.6878	0.0204455	4.76516
61	0.254042	9.05883e-06	12.0551	0.0591494	0.0147338	90.0736	1.5	7.66474	1.73878e-34	0.2	0.5	15.4255	4.96176e-25	5.34711e-05	0.00212608	0.07	0.8	0	1087.52	3.42773e-37	0.263521	1.60887	47.0853	0.0184999	4.76234
62	0.251943	7.52138e-06	12.0431	0.0544256	0.0130812	90.0759	1.5	7.73772	-7.99758e-33	0.2	0.5	15.5828	-5.30215e-24	4.53724e-05	0.00212026	0.07	0.8	0	1102.54	-2.18229e-35	0.263521	1.60822	47.4775	0.0167394	4.75934
63	0.249903	6.24247e-06	12.0311	0.0500807	0.0116331	90.0779	1.5	7.80998	-1.68996e-32	0.2	0.5	15.7389	4.2666e-24	3.84673e-05	0.00211492	0.07	0.8	0	1117.42	7.02736e-35	0.263521	1.60756	47.8646	0.0151464	4.75617
64	0.24792	5.17876e-06	12.0191	0.0460839	0.0103621	90.0797	1.5	7.88153	-4.34399e-33	0.2	0.5	15.8937	3.63105e-25	3.25839e-05	0.00211001	0.07	0.8	0	1132.18	-7.65299e-35	0.263521	1.60687	48.2467	0.013705	4.75286
65	0.245991	4.2942e-06	12.0071	0.0424073	0.00924477	90.0813	1.5	7.95236	-2.93064e-33	0.2	0.5	16.0473	-4.80713e-25	2.75745e-05	0.00210551	0.07	0.8	0	1146.81	1.16261e-35	0.263521	1.60617	48.6241	0.0124008	4.74941
66	0.244115	3.5588e-06	11.9951	0.0390249	0.0082608	90.0827	1.5	8.02248	5.52417e-33	0.2	0.5	16.1996	1.11523e-25	2.33127e-05	0.00210137	0.07	0.8	0	1161.3	2.26658e-35	0.263521	1.60544	48.9968	0.0112207	4.74584
67	0.242289	2.94763e-06	11.9831	0.0359132	0.00739284	90.084	1.5	8.09191	5.5916e-32	0.2	0.5	16.3508	3.25445e-25	1.96899e-05	0.00209757	0.07	0.8	0	1175.67	2.70099e-34	0.263521	1.60469	49.365	0.0101529	4.74217
68	0.240512	2.43989e-06	11.9712	0.0330502	0.00662591	90.0852	1.5	8.16065	1.41064e-32	0.2	0.5	16.5007	-2.82181e-25	1.66131e-05	0.00209407	0.07	0.8	0	1189.92	2.03678e-34	0.263521	1.60393	49.7288	0.00918675	4.73839
69	0.238782	2.01828e-06	11.9592	0.0304161	0.0059471	90.0862	1.5	8.2287	3.48931e-31	0.2	0.5	16.6495	8.89175e-25	1.40023e-05	0.00209086	0.07	0.8	0	1204.03	1.65681e-34	0.263521	1.60315	50.0884	0.00831252	4.73453
70	0.237097	1.66836e-06	11.9473	0.0279924	0.00534528	90.0871	1.5	8.29607	-6.51886e-34	0.2	0.5	16.7971	-2.51002e-26	1.17891e-05	0.00208791	0.07	0.8	0	1218.03	-1.16855e-35	0.263521	1.60235	50.4438	0.00752148	4.73059
71	0.235455	1.37811e-06	11.9353	0.0257622	0.00481082	90.088	1.5	8.36278	7.71178e-35	0.2	0.5	16.9434	-1.08197e-26	9.91494e-06	0.0020852	0.07	0.8	0	1231.89	3.72356e-37	0.263521	1.60154	50.7953	0.00680572	4.72658
72	0.233855	1.1375e-06	11.9234	0.0237101	0.00433538	90.0887	1.5	8.42882	4.28858e-35	0.2	0.5	17.0887	5.6705e-25	8.32944e-06	0.00208271	0.07	0.8	0	1245.64	-1.33351e-36	0.263521	1.60071	51.1429	0.00615807	4.7225
73	0.232296	9.38158e-07	11.9115	0.0218217	0.00391177	90.0894	1.5	8.49421	6.68056e-34	0.2	0.5	17.2327	-2.89604e-26	6.98961e-06	0.00208042	0.07	0.8	0	1259.27	4.12895e-36	0.263521	1.59987	51.4867	0.00557205	4.71837
74	0.230775	7.73132e-07	11.8996	0.020084	0.00353373	90.09	1.5	8.55894	2.16897e-33	0.2	0.5	17.3756	1.28601e-25	5.85862e-06	0.00207831	0.07	0.8	0	1272.77	2.11614e-36	0.263521	1.59902	51.8268	0.0050418	4.71418
75	0.229293	6.36609e-07	11.8877	0.0184849	0.00319583	90.0905	1.5	8.62303	-6.12402e-33	0.2	0.5	17.5174	7.2924e-26	4.90499e-06	0.00207637	0.07	0.8	0	1286.15	-1.29247e-35	0.263521	1.59815	52.1634	0.00456201	4.70995
76	0.227846	5.23752e-07	11.8758	0.0170132	0.00289334	90.0911	1.5	8.68648	-1.37923e-32	0.2	0.5	17.658	-3.96675e-26	4.10183e-06	0.00207459	0.07	0.8	0	1299.42	-3.23425e-35	0.263521	1.59728	52.4964	0.00412787	4.70567
