Time	[PFKL]	[FBPase]	[F6P]	[PEP]	[Isocitrate]	[2-oxoglutarate]	[Malate]	[Citrate]	[sa4_degraded]	[ALDO]	[pPFKL]	[sa8_degraded]	[sa7_degraded]	[sa5_degraded]	[sa6_degraded]	[sa9_degraded]	[sa13_degraded]	[sa3_degraded]	[sa10_degraded]	[F6P_proxy]
68	1	1	12.7803	160.483	2.65158	37.5716	121.669	40.1609	63.3168	1	1.39037	-52.7903	-12.3831	-52.3881	-0.856711	-0.322702	-0.621435	1.29715	-22.4133	12.7803
69	1	1	12.8507	160.181	2.68326	37.9411	122.172	40.4676	64.1772	1	1.39711	-53.2931	-12.7526	-52.0865	-0.888385	-0.319646	-0.628166	1.22676	-22.72	12.8507
70	1	1	12.9211	159.879	2.71493	38.3107	122.675	40.7743	65.0304	1	1.40384	-53.7959	-13.1221	-51.7848	-0.92006	-0.316591	-0.634896	1.15637	-23.0266	12.9211
71	1	1	12.9914	159.578	2.74661	38.6802	123.177	41.0809	65.8763	1	1.41057	-54.2986	-13.4917	-51.4831	-0.951734	-0.313535	-0.641627	1.08599	-23.3333	12.9914
72	1	1	13.0618	159.276	2.77828	39.0497	123.68	41.3876	66.7148	1	1.4173	-54.8014	-13.8612	-51.1815	-0.983408	-0.310479	-0.648358	1.0156	-23.64	13.0618
73	1	1	13.1322	158.974	2.80995	39.4193	124.183	41.6943	67.5456	1	1.42403	-55.3042	-14.2307	-50.8798	-1.01508	-0.307424	-0.655088	0.945211	-23.9467	13.1322
74	1	1	13.2026	158.673	2.84163	39.7888	124.686	42.001	68.3685	1	1.43076	-55.8069	-14.6003	-50.5782	-1.04676	-0.304368	-0.661819	0.874824	-24.2534	13.2026
75	1	1	13.273	158.371	2.8733	40.1583	125.189	42.3077	69.1835	1	1.43749	-56.3097	-14.9698	-50.2765	-1.07843	-0.301312	-0.668549	0.804437	-24.5601	13.273
76	1	1	13.3434	158.069	2.90498	40.5279	125.691	42.6144	69.9904	1	1.44422	-56.8125	-15.3393	-49.9748	-1.1101	-0.298257	-0.67528	0.73405	-24.8668	13.3434
77	1	1	13.4138	157.768	2.93665	40.8974	126.194	42.9211	70.7889	1	1.45095	-57.3152	-15.7088	-49.6732	-1.14178	-0.295201	-0.682011	0.663663	-25.1735	13.4138
78	1	1	13.4842	157.466	2.96832	41.2669	126.697	43.2278	71.579	1	1.45768	-57.818	-16.0784	-49.3715	-1.17345	-0.292146	-0.688741	0.593275	-25.4801	13.4842
79	1	1	13.5545	157.164	3	41.6365	127.2	43.5344	72.3605	1	1.46441	-58.3208	-16.4479	-49.0699	-1.20513	-0.28909	-0.695472	0.522888	-25.7868	13.5545
80	1	1	13.6249	156.863	3.03167	42.006	127.702	43.8411	73.1333	1	1.47114	-58.8235	-16.8174	-48.7682	-1.2368	-0.286034	-0.702202	0.452501	-26.0935	13.6249
81	1	1	13.6953	156.561	3.06335	42.3755	128.205	44.1478	73.8971	1	1.47787	-59.3263	-17.187	-48.4665	-1.26848	-0.282979	-0.708933	0.382114	-26.4002	13.6953
82	1	1	13.7657	156.259	3.09502	42.745	128.708	44.4545	74.6519	1	1.4846	-59.8291	-17.5565	-48.1649	-1.30015	-0.279923	-0.715664	0.311727	-26.7069	13.7657
83	1	1	13.8361	155.958	3.1267	43.1146	129.211	44.7612	75.3975	1	1.49133	-60.3318	-17.926	-47.8632	-1.33182	-0.276867	-0.722394	0.24134	-27.0136	13.8361
84	1	1	13.9065	155.656	3.15837	43.4841	129.713	45.0679	76.1337	1	1.49806	-60.8346	-18.2956	-47.5616	-1.3635	-0.273812	-0.729125	0.170953	-27.3203	13.9065
85	1	1	13.9769	155.354	3.19004	43.8536	130.216	45.3746	76.8605	1	1.50479	-61.3374	-18.6651	-47.2599	-1.39517	-0.270756	-0.735855	0.100566	-27.627	13.9769
86	1	1	14.0472	155.053	3.22172	44.2232	130.719	45.6813	77.5776	1	1.51153	-61.8401	-19.0346	-46.9582	-1.42685	-0.267701	-0.742586	0.0301787	-27.9336	14.0472
87	1	1	14.1176	154.751	3.25339	44.5927	131.222	45.9879	78.285	1	1.51826	-62.3429	-19.4042	-46.6566	-1.45852	-0.264645	-0.749317	-0.0402084	-28.2403	14.1176
88	1	1	14.188	154.449	3.28507	44.9622	131.724	46.2946	78.9826	1	1.52499	-62.8456	-19.7737	-46.3549	-1.4902	-0.261589	-0.756047	-0.110596	-28.547	14.188
89	1	1	14.2584	154.148	3.31674	45.3318	132.227	46.6013	79.6701	1	1.53172	-63.3484	-20.1432	-46.0533	-1.52187	-0.258534	-0.762778	-0.180983	-28.8537	14.2584
90	1	1	14.3288	153.846	3.34842	45.7013	132.73	46.908	80.3475	1	1.53845	-63.8512	-20.5128	-45.7516	-1.55354	-0.255478	-0.769508	-0.25137	-29.1604	14.3288
