Time	[A_b]	[O_b]	[P_b]	[L_b]	[S_b]	[NAPE_b]	[NOPE_b]	[NPPE_b]	[NLPE_b]	[NSPE_b]	[FAAH_b]	[FAAHinh_b]	[A_r]	[O_r]	[P_r]	[L_r]	[S_r]	[NAPE_r]	[NOPE_r]	[NPPE_r]	[NLPE_r]	[NSPE_r]	[FAAH_r]	[FAAHinh_r]	[A_m]	[O_m]	[P_m]	[L_m]	[S_m]	[FAAH_m]	[FAAHinh_m]	[A_p]	[O_p]	[P_p]	[L_p]	[S_p]	[PFM_gut]	[PFM_p]	[PFM_r]
30	73.77	1286.52	250.375	276.484	399.73	0.000264126	0.00600169	0.00117953	0.000514106	0.00086654	0.00158988	15.3644	5.29402	92.0698	17.8834	19.8794	28.7455	5.81749e-06	0.00013219	2.59797e-05	1.13234e-05	1.90859e-05	0.000194234	2.16567	32.3204	792.304	153.055	0	246.777	0.00110565	10.6849	8.53887	32.8822	21.0394	22.3364	3.12792	-7.34093e+06	914984	1.83414e+06
31	73.7531	1286.33	250.351	276.442	399.687	0.000264091	0.0060009	0.00117937	0.000514038	0.000866426	0.00163404	15.3644	5.29391	92.0686	17.8833	19.879	28.7449	5.81747e-06	0.000132189	2.59795e-05	1.13234e-05	1.90858e-05	0.00019963	2.16567	32.3161	792.203	153.043	0	246.754	0.00113636	10.6849	8.53869	32.8817	21.0392	22.336	3.12786	-7.34093e+06	890241	1.7849e+06
32	73.7356	1286.13	250.327	276.39	399.627	0.000264055	0.00600007	0.00117921	0.000513967	0.000866306	0.00167943	15.3643	5.2938	92.0673	17.8831	19.8786	28.7443	5.81744e-06	0.000132189	2.59794e-05	1.13233e-05	1.90857e-05	0.000205175	2.16566	32.3116	792.099	153.03	0	246.723	0.00116793	10.6848	8.53851	32.8813	21.0391	22.3355	3.12779	-7.34093e+06	866166	1.73695e+06
33	73.7175	1285.92	250.303	276.33	399.554	0.000264016	0.0059992	0.00117904	0.000513892	0.00086618	0.00172608	15.3643	5.29369	92.0661	17.883	19.8781	28.7436	5.81741e-06	0.000132188	2.59793e-05	1.13233e-05	1.90857e-05	0.000210876	2.16566	32.307	791.992	153.018	0	246.685	0.00120037	10.6848	8.53833	32.8808	21.0389	22.3349	3.12772	-7.34093e+06	842737	1.69026e+06
34	73.6988	1285.71	250.278	276.263	399.468	0.000263976	0.00599829	0.00117886	0.000513814	0.000866048	0.00177405	15.3642	5.29357	92.0648	17.8828	19.8776	28.7429	5.81738e-06	0.000132187	2.59792e-05	1.13232e-05	1.90856e-05	0.000216736	2.16565	32.3023	791.882	153.005	0	246.64	0.00123373	10.6848	8.53814	32.8804	21.0387	22.3344	3.12764	-7.34093e+06	819934	1.6448e+06
35	73.6796	1285.5	250.252	276.19	399.372	0.000263935	0.00599734	0.00117867	0.000513733	0.000865912	0.00182337	15.3642	5.29345	92.0634	17.8827	19.877	28.7422	5.81735e-06	0.000132187	2.5979e-05	1.13231e-05	1.90855e-05	0.000222762	2.16565	32.2974	791.769	152.991	0	246.591	0.00126803	10.6847	8.53794	32.8799	21.0385	22.3338	3.12756	-7.34093e+06	797740	1.60054e+06
36	73.6597	1285.27	250.225	276.111	399.268	0.000263891	0.00599636	0.00117848	0.000513649	0.00086577	0.00187408	15.3641	5.29332	92.062	17.8825	19.8765	28.7414	5.81732e-06	0.000132186	2.59789e-05	1.13231e-05	1.90854e-05	0.000228959	2.16564	32.2923	791.653	152.977	0	246.537	0.0013033	10.6847	8.53774	32.8794	21.0383	22.3332	3.12747	-7.34093e+06	776136	1.55745e+06
37	73.6392	1285.04	250.198	276.029	399.156	0.000263847	0.00599535	0.00117828	0.000513562	0.000865623	0.00192624	15.3641	5.29319	92.0606	17.8823	19.8759	28.7406	5.81729e-06	0.000132185	2.59788e-05	1.1323e-05	1.90853e-05	0.000235331	2.16563	32.2871	791.534	152.963	0	246.479	0.00133957	10.6847	8.53754	32.8789	21.0381	22.3325	3.12738	-7.34093e+06	755106	1.5155e+06
38	73.6182	1284.81	250.17	275.941	399.037	0.000263801	0.0059943	0.00117808	0.000513473	0.000865472	0.00197987	15.364	5.29306	92.0591	17.8822	19.8753	28.7398	5.81726e-06	0.000132185	2.59786e-05	1.1323e-05	1.90851e-05	0.000241884	2.16563	32.2818	791.411	152.948	0	246.417	0.00137687	10.6846	8.53732	32.8784	21.0379	22.3319	3.12729	-7.34093e+06	734633	1.47465e+06
39	73.5966	1284.57	250.141	275.85	398.911	0.000263753	0.00599322	0.00117786	0.00051338	0.000865316	0.00203503	15.364	5.29292	92.0576	17.882	19.8747	28.7389	5.81722e-06	0.000132184	2.59785e-05	1.13229e-05	1.9085e-05	0.000248624	2.16562	32.2762	791.285	152.933	0	246.353	0.00141523	10.6846	8.53711	32.8778	21.0377	22.3312	3.1272	-7.34093e+06	714703	1.43489e+06
