Time	[RuBP]	[PGA]	[TP]	[HeP]	[TPGA]	[E4P]	[S7P]	[Ru5P]	[GG]	[ATP]	[ADP]	[UTP]	[UDP]	[Pi]	[CO2]	[TPc]	[HePc]	[Suc]	[Pic]	[SucV]	[E]	[Resp]
17	1.31515	5.91556	0.115264	1.57534	0.196384	0.190364	0.227416	2.47946	100.083	2.99163	1.41337	3.91018	1.57382	1.44968	31	0.115518	0.0777107	77.2709	0.781588	77.31	0.5	1
18	1.29971	6.03394	0.121432	1.57895	0.178149	0.172717	0.223931	2.45882	100.086	2.9598	1.4452	3.91131	1.57269	1.42599	31	0.118884	0.0828269	77.269	0.771978	77.31	0.5	1
19	1.28299	6.14307	0.126695	1.58786	0.164355	0.158232	0.218828	2.43553	100.09	2.9322	1.4728	3.9118	1.5722	1.40661	31	0.121652	0.0880229	77.2677	0.763522	77.31	0.5	1
20	1.26532	6.2427	0.131133	1.60128	0.153717	0.146785	0.212781	2.41008	100.094	2.90858	1.49642	3.91168	1.57232	1.39103	31	0.123892	0.0931176	77.2668	0.75631	77.31	0.5	1
21	1.247	6.33273	0.134842	1.61841	0.145386	0.13804	0.206443	2.38294	100.098	2.8887	1.5163	3.91098	1.57302	1.37891	31	0.125694	0.0979802	77.2665	0.750347	77.31	0.5	1
22	1.2283	6.41313	0.137914	1.63851	0.138823	0.131579	0.20034	2.35455	100.101	2.87239	1.53261	3.90975	1.57425	1.37	31	0.127144	0.102528	77.2666	0.745582	77.31	0.5	1
23	1.20946	6.48399	0.14043	1.66091	0.133686	0.126984	0.194837	2.32541	100.105	2.85948	1.54552	3.90804	1.57596	1.36403	31	0.128316	0.106716	77.2672	0.741933	77.31	0.5	1
24	1.19072	6.54545	0.142458	1.68503	0.129741	0.123879	0.19015	2.29604	100.11	2.8498	1.5552	3.9059	1.5781	1.36075	31	0.129268	0.110528	77.2681	0.739303	77.3099	0.5	1
25	1.17227	6.59773	0.144062	1.71032	0.126812	0.121945	0.186373	2.26697	100.114	2.84314	1.56186	3.90339	1.58061	1.35993	31	0.130046	0.113968	77.2695	0.737592	77.3099	0.5	1
26	1.1543	6.64113	0.145295	1.73632	0.124753	0.120922	0.183508	2.23867	100.118	2.83927	1.56573	3.90057	1.58343	1.36128	31	0.130683	0.117052	77.2711	0.736699	77.3099	0.5	1
27	1.137	6.67603	0.146209	1.76261	0.123435	0.120605	0.181503	2.21155	100.123	2.83793	1.56707	3.89746	1.58654	1.36455	31	0.131208	0.119801	77.273	0.736527	77.3099	0.5	1
28	1.12051	6.70285	0.146846	1.78887	0.122744	0.120829	0.180271	2.18596	100.127	2.83887	1.56613	3.89413	1.58987	1.36949	31	0.13164	0.122243	77.2752	0.736986	77.3099	0.5	1
29	1.10496	6.72208	0.147246	1.81478	0.122577	0.121469	0.179708	2.16214	100.132	2.8418	1.5632	3.89061	1.59339	1.37585	31	0.131996	0.124404	77.2776	0.737994	77.3099	0.5	1
30	1.09045	6.73427	0.147443	1.84012	0.122844	0.122425	0.179709	2.14028	100.137	2.84645	1.55855	3.88692	1.59708	1.38341	31	0.132288	0.126313	77.2802	0.739474	77.3099	0.5	1
31	1.07705	6.73998	0.147468	1.86468	0.123465	0.123619	0.180171	2.12046	100.142	2.85256	1.55244	3.88312	1.60088	1.39194	31	0.132528	0.127995	77.2829	0.741361	77.3099	0.5	1
32	1.06482	6.73983	0.147346	1.88831	0.124371	0.124992	0.180999	2.10273	100.147	2.85989	1.54511	3.87921	1.60479	1.40126	31	0.132723	0.129476	77.2858	0.743593	77.3099	0.5	1
33	1.05378	6.73443	0.147101	1.91089	0.125504	0.126495	0.182111	2.08707	100.152	2.86818	1.53682	3.87523	1.60877	1.41116	31	0.13288	0.130777	77.2889	0.746118	77.3099	0.5	1
34	1.04395	6.72439	0.146751	1.9323	0.126814	0.128089	0.183434	2.0734	100.158	2.87723	1.52777	3.87119	1.61281	1.4215	31	0.133005	0.131919	77.292	0.748887	77.3099	0.5	1
35	1.0353	6.71034	0.146315	1.9525	0.128258	0.129745	0.184906	2.06165	100.163	2.88684	1.51816	3.86712	1.61688	1.4321	31	0.133102	0.13292	77.2952	0.751861	77.3099	0.5	1
36	1.02781	6.69286	0.145807	1.97143	0.129801	0.131438	0.186476	2.0517	100.169	2.89682	1.50818	3.86303	1.62097	1.44285	31	0.133175	0.133797	77.2985	0.755001	77.3099	0.5	1
37	1.02143	6.67255	0.145242	1.98906	0.131411	0.133147	0.188099	2.04341	100.174	2.90703	1.49797	3.85893	1.62507	1.4536	31	0.133227	0.134565	77.3019	0.758276	77.3099	0.5	1
38	1.01611	6.64993	0.144631	2.00539	0.133064	0.134856	0.189743	2.03665	100.18	2.91732	1.48768	3.85484	1.62916	1.46425	31	0.133262	0.135235	77.3053	0.761659	77.3099	0.5	1
39	1.01179	6.62554	0.143986	2.02041	0.134738	0.13655	0.191378	2.03127	100.186	2.92757	1.47743	3.85077	1.63323	1.47472	31	0.133283	0.135821	77.3088	0.765123	77.3099	0.5	1
40	1.0084	6.59983	0.143316	2.03415	0.136414	0.138218	0.192982	2.02713	100.192	2.93768	1.46732	3.84673	1.63727	1.48491	31	0.133291	0.136333	77.3123	0.768648	77.3099	0.5	1
41	1.00585	6.57325	0.14263	2.04662	0.138076	0.139849	0.194539	2.02408	100.198	2.94755	1.45745	3.84272	1.64128	1.49476	31	0.13329	0.136779	77.3158	0.772214	77.3099	0.5	1
42	1.00409	6.54619	0.141936	2.05787	0.139711	0.141436	0.196034	2.022	100.204	2.95713	1.44787	3.83875	1.64525	1.50423	31	0.133282	0.137169	77.3194	0.775803	77.3099	0.5	1
43	1.00303	6.51899	0.141242	2.06793	0.141308	0.142971	0.197459	2.02076	100.21	2.96634	1.43866	3.83482	1.64918	1.51326	31	0.133268	0.13751	77.323	0.7794	77.3099	0.5	1
44	1.00258	6.49196	0.140553	2.07686	0.142857	0.144447	0.198807	2.02023	100.216	2.97515	1.42985	3.83095	1.65305	1.52182	31	0.133252	0.137809	77.3266	0.782993	77.3099	0.5	1
45	1.00269	6.46537	0.139876	2.08471	0.144351	0.145859	0.200073	2.02031	100.223	2.98353	1.42147	3.82713	1.65687	1.52989	31	0.133234	0.138072	77.3302	0.786569	77.3099	0.5	1
46	1.00327	6.43944	0.139214	2.09154	0.145782	0.147204	0.201255	2.0209	100.229	2.99144	1.41356	3.82336	1.66064	1.53746	31	0.133216	0.138306	77.3339	0.790117	77.3099	0.5	1
47	1.00427	6.41436	0.138574	2.0974	0.147145	0.148478	0.202351	2.0219	100.235	2.99888	1.40612	3.81965	1.66435	1.54452	31	0.133201	0.138517	77.3375	0.793629	77.3099	0.5	1
48	1.0056	6.39029	0.137957	2.10237	0.148436	0.149677	0.203363	2.02324	100.242	3.00583	1.39917	3.816	1.668	1.55107	31	0.133189	0.138708	77.3411	0.797098	77.3099	0.5	1
49	1.00722	6.36735	0.137367	2.1065	0.149652	0.1508	0.20429	2.02484	100.248	3.0123	1.3927	3.81242	1.67158	1.55712	31	0.133182	0.138885	77.3448	0.800515	77.3099	0.5	1
50	1.00906	6.34562	0.136806	2.10985	0.15079	0.151847	0.205136	2.02662	100.255	3.0183	1.3867	3.80889	1.67511	1.56269	31	0.133181	0.139053	77.3485	0.803877	77.3099	0.5	1
51	1.01108	6.32517	0.136276	2.11249	0.151848	0.152815	0.205903	2.02855	100.261	3.02383	1.38117	3.80542	1.67858	1.5678	31	0.133187	0.139214	77.3521	0.807179	77.3099	0.5	1
52	1.01323	6.30605	0.13578	2.11449	0.152827	0.153706	0.206593	2.03056	100.268	3.02891	1.37609	3.80201	1.68199	1.57245	31	0.133201	0.139372	77.3558	0.810416	77.3099	0.5	1
53	1.01547	6.28826	0.135316	2.1159	0.153725	0.154519	0.207211	2.03261	100.274	3.03356	1.37144	3.79866	1.68534	1.57669	31	0.133222	0.139531	77.3594	0.813586	77.3099	0.5	1
54	1.01776	6.27182	0.134886	2.11678	0.154545	0.155257	0.207759	2.03466	100.281	3.03779	1.36721	3.79537	1.68863	1.58053	31	0.133253	0.139693	77.3631	0.816687	77.3099	0.5	1
55	1.02007	6.25669	0.13449	2.11719	0.155287	0.15592	0.208242	2.03669	100.287	3.04164	1.36336	3.79213	1.69187	1.584	31	0.133293	0.139861	77.3668	0.819719	77.31	0.5	1
56	1.02237	6.24287	0.134128	2.11718	0.155953	0.156511	0.208663	2.03865	100.294	3.04513	1.35987	3.78894	1.69506	1.58714	31	0.133342	0.140037	77.3704	0.822681	77.31	0.5	1
57	1.02463	6.23029	0.133798	2.11681	0.156546	0.157033	0.209026	2.04053	100.3	3.04828	1.35672	3.7858	1.6982	1.58997	31	0.133401	0.140223	77.3741	0.825572	77.31	0.5	1
58	1.02684	6.21892	0.1335	2.11612	0.157068	0.157488	0.209334	2.04232	100.307	3.05111	1.35389	3.78272	1.70128	1.59252	31	0.133468	0.14042	77.3778	0.828394	77.31	0.5	1
59	1.02899	6.20869	0.133234	2.11516	0.157523	0.15788	0.209593	2.04399	100.313	3.05366	1.35134	3.77968	1.70432	1.59482	31	0.133546	0.140629	77.3815	0.831149	77.31	0.5	1
60	1.03104	6.19955	0.132997	2.11396	0.157913	0.158212	0.209805	2.04552	100.32	3.05596	1.34904	3.77668	1.70732	1.59691	31	0.133632	0.140853	77.3852	0.833836	77.31	0.5	1
61	1.033	6.19142	0.132788	2.11258	0.158244	0.158488	0.209974	2.04692	100.326	3.05802	1.34698	3.77372	1.71028	1.59881	31	0.133727	0.14109	77.3889	0.83646	77.31	0.5	1
62	1.03485	6.18423	0.132606	2.11105	0.158518	0.158712	0.210104	2.04817	100.333	3.05988	1.34512	3.77081	1.71319	1.60054	31	0.13383	0.141342	77.3926	0.839021	77.31	0.5	1
63	1.0366	6.17791	0.132449	2.10939	0.158741	0.158888	0.210197	2.04928	100.339	3.06155	1.34345	3.76793	1.71607	1.60214	31	0.133941	0.14161	77.3964	0.841524	77.31	0.5	1
64	1.03822	6.17239	0.132315	2.10765	0.158914	0.15902	0.210259	2.05022	100.346	3.06307	1.34193	3.76508	1.71892	1.60363	31	0.134059	0.141892	77.4001	0.843969	77.31	0.5	1
65	1.03973	6.1676	0.132203	2.10584	0.159044	0.159111	0.210291	2.05101	100.352	3.06445	1.34055	3.76226	1.72174	1.60503	31	0.134185	0.14219	77.4039	0.846361	77.31	0.5	1
66	1.04113	6.16346	0.132111	2.10399	0.159134	0.159166	0.210296	2.05164	100.359	3.06572	1.33928	3.75948	1.72452	1.60637	31	0.134316	0.142502	77.4077	0.848703	77.31	0.5	1
67	1.0424	6.1599	0.132037	2.10212	0.159187	0.159188	0.210279	2.05212	100.365	3.06689	1.33811	3.75672	1.72728	1.60766	31	0.134454	0.142829	77.4115	0.850997	77.31	0.5	1
68	1.04356	6.15687	0.131979	2.10025	0.159209	0.159182	0.210241	2.05244	100.372	3.06799	1.33701	3.75399	1.73001	1.60893	31	0.134597	0.143169	77.4153	0.853247	77.3101	0.5	1
69	1.0446	6.15428	0.131937	2.0984	0.159201	0.159151	0.210185	2.05261	100.378	3.06904	1.33596	3.75128	1.73272	1.61018	31	0.134744	0.143523	77.4192	0.855456	77.3101	0.5	1
70	1.04554	6.15208	0.131907	2.09658	0.159169	0.159098	0.210113	2.05264	100.385	3.07005	1.33495	3.74859	1.73541	1.61145	31	0.134896	0.14389	77.4231	0.857627	77.3101	0.5	1
71	1.04637	6.15021	0.131889	2.09481	0.159116	0.159026	0.210029	2.05253	100.391	3.07104	1.33396	3.74592	1.73808	1.61274	31	0.135051	0.144269	77.427	0.859763	77.3101	0.5	1
72	1.0471	6.14862	0.131881	2.09308	0.159044	0.158939	0.209934	2.05227	100.397	3.07201	1.33299	3.74327	1.74073	1.61406	31	0.135209	0.144659	77.4309	0.861867	77.3101	0.5	1
73	1.04774	6.14725	0.131882	2.09142	0.158957	0.158839	0.20983	2.05189	100.404	3.07299	1.33201	3.74063	1.74337	1.61542	31	0.13537	0.145059	77.4348	0.863942	77.3101	0.5	1
74	1.04828	6.14605	0.131891	2.08983	0.158858	0.15873	0.209718	2.05138	100.41	3.07399	1.33101	3.73801	1.74599	1.61684	31	0.135533	0.145468	77.4388	0.865989	77.3101	0.5	1
75	1.04874	6.14499	0.131906	2.08831	0.158749	0.158612	0.209602	2.05075	100.416	3.07501	1.32999	3.7354	1.7486	1.61833	31	0.135697	0.145886	77.4428	0.868013	77.3101	0.5	1
76	1.04913	6.14402	0.131926	2.08686	0.158632	0.15849	0.209482	2.05001	100.423	3.07606	1.32894	3.73281	1.75119	1.61989	31	0.135863	0.146312	77.4469	0.870015	77.3102	0.5	1
77	1.04944	6.1431	0.13195	2.0855	0.15851	0.158363	0.209359	2.04917	100.429	3.07716	1.32784	3.73023	1.75377	1.62153	31	0.13603	0.146745	77.451	0.871998	77.3102	0.5	1
78	1.04969	6.14219	0.131978	2.08421	0.158384	0.158235	0.209235	2.04822	100.435	3.0783	1.3267	3.72766	1.75634	1.62325	31	0.136198	0.147184	77.4551	0.873963	77.3102	0.5	1
79	1.04987	6.14128	0.132008	2.083	0.158257	0.158107	0.209112	2.04718	100.442	3.0795	1.3255	3.72509	1.75891	1.62506	31	0.136365	0.147628	77.4592	0.875912	77.3102	0.5	1
80	1.05	6.14033	0.13204	2.08187	0.158129	0.157979	0.208989	2.04606	100.448	3.08076	1.32424	3.72254	1.76146	1.62697	31	0.136533	0.148077	77.4634	0.877847	77.3102	0.5	1
81	1.05008	6.13932	0.132072	2.08082	0.158003	0.157854	0.208868	2.04485	100.454	3.08208	1.32292	3.72	1.764	1.62897	31	0.1367	0.14853	77.4676	0.87977	77.3102	0.5	1
82	1.05012	6.13822	0.132105	2.07984	0.157878	0.157732	0.208749	2.04357	100.461	3.08348	1.32152	3.71747	1.76653	1.63106	31	0.136867	0.148985	77.4718	0.881682	77.3102	0.5	1
83	1.05012	6.13702	0.132138	2.07894	0.157757	0.157614	0.208634	2.04222	100.467	3.08494	1.32006	3.71494	1.76906	1.63326	31	0.137033	0.149443	77.4761	0.883584	77.3103	0.5	1
84	1.05009	6.13571	0.13217	2.0781	0.15764	0.157501	0.208522	2.0408	100.473	3.08647	1.31853	3.71242	1.77158	1.63555	31	0.137198	0.149903	77.4804	0.885477	77.3103	0.5	1
85	1.05002	6.13426	0.132201	2.07734	0.157527	0.157392	0.208415	2.03933	100.479	3.08807	1.31693	3.70991	1.77409	1.63795	31	0.137362	0.150364	77.4847	0.887362	77.3103	0.5	1
86	1.04993	6.13268	0.132231	2.07663	0.157419	0.15729	0.208311	2.0378	100.486	3.08975	1.31525	3.70741	1.77659	1.64044	31	0.137525	0.150826	77.4891	0.889241	77.3103	0.5	1
87	1.04982	6.13094	0.132259	2.07599	0.157317	0.157193	0.208212	2.03623	100.492	3.09151	1.31349	3.70491	1.77909	1.64304	31	0.137686	0.151288	77.4935	0.891113	77.3103	0.5	1
88	1.04969	6.12905	0.132285	2.07539	0.157221	0.157102	0.208118	2.03461	100.498	3.09333	1.31167	3.70243	1.78157	1.64573	31	0.137846	0.151749	77.4979	0.892979	77.3104	0.5	1
89	1.04955	6.127	0.132309	2.07486	0.157131	0.157018	0.208029	2.03295	100.504	3.09523	1.30977	3.69995	1.78405	1.64852	31	0.138004	0.15221	77.5024	0.89484	77.3104	0.5	1
90	1.04939	6.12478	0.132331	2.07436	0.157046	0.156939	0.207944	2.03125	100.51	3.0972	1.3078	3.69747	1.78653	1.65141	31	0.138161	0.15267	77.5069	0.896696	77.3104	0.5	1
91	1.04923	6.1224	0.132351	2.07392	0.156968	0.156867	0.207864	2.02952	100.517	3.09925	1.30575	3.69501	1.78899	1.65439	31	0.138316	0.153129	77.5114	0.898548	77.3104	0.5	1
92	1.04906	6.11985	0.132368	2.07351	0.156897	0.156801	0.207789	2.02776	100.523	3.10136	1.30364	3.69255	1.79145	1.65746	31	0.13847	0.153586	77.516	0.900395	77.3104	0.5	1
93	1.04888	6.11713	0.132383	2.07313	0.156831	0.156741	0.207719	2.02597	100.529	3.10354	1.30146	3.6901	1.7939	1.66062	31	0.138622	0.154041	77.5206	0.902237	77.3105	0.5	1
94	1.04871	6.11425	0.132396	2.07279	0.156771	0.156686	0.207653	2.02415	100.535	3.10578	1.29922	3.68766	1.79634	1.66387	31	0.138772	0.154494	77.5252	0.904076	77.3105	0.5	1
95	1.04853	6.11121	0.132406	2.07248	0.156716	0.156637	0.207591	2.02232	100.541	3.10809	1.29691	3.68523	1.79877	1.6672	31	0.13892	0.154944	77.5299	0.90591	77.3105	0.5	1
96	1.04836	6.108	0.132415	2.07219	0.156667	0.156593	0.207533	2.02046	100.548	3.11047	1.29453	3.6828	1.8012	1.67062	31	0.139067	0.155392	77.5346	0.90774	77.3105	0.5	1
97	1.04819	6.10464	0.132421	2.07193	0.156624	0.156554	0.207479	2.01858	100.554	3.1129	1.2921	3.68038	1.80362	1.67413	31	0.139212	0.155838	77.5393	0.909565	77.3105	0.5	1
98	1.04802	6.10112	0.132424	2.07168	0.156585	0.15652	0.207428	2.01669	100.56	3.11539	1.28961	3.67798	1.80602	1.67771	31	0.139356	0.156281	77.5441	0.911386	77.3106	0.5	1
99	1.04786	6.09746	0.132426	2.07145	0.156551	0.156491	0.207381	2.01478	100.566	3.11793	1.28707	3.67558	1.80842	1.68137	31	0.139498	0.156721	77.5489	0.913202	77.3106	0.5	1
100	1.0477	6.09366	0.132426	2.07124	0.156521	0.156465	0.207337	2.01286	100.572	3.12053	1.28447	3.67319	1.81081	1.6851	31	0.139638	0.157158	77.5537	0.915013	77.3106	0.5	1
