Time	[srci]	[srco]	[srca]	[srcc]	[Cbp_P_CSK]	[CSK_cytoplasm]	[PTP]	[PTP_pY789]	[Cbp]	[Cbp_P]
51	0.367195	0.212335	0.259698	0.160772	0.679944	0.320056	0.244752	0.755248	1.51141e-08	0.320056
52	0.370012	0.213463	0.256677	0.159848	0.683264	0.316736	0.246496	0.753504	9.94479e-09	0.316736
53	0.372663	0.214521	0.253852	0.158965	0.68635	0.31365	0.248158	0.751842	6.56867e-09	0.31365
54	0.375159	0.215513	0.251209	0.158119	0.689218	0.310782	0.249742	0.750258	4.35438e-09	0.310782
55	0.37751	0.216444	0.248734	0.157312	0.691888	0.308112	0.251252	0.748748	2.89589e-09	0.308112
56	0.379727	0.217319	0.246414	0.15654	0.694372	0.305628	0.25269	0.74731	1.93229e-09	0.305628
57	0.381816	0.218141	0.244239	0.155803	0.696686	0.303314	0.254061	0.745939	1.29313e-09	0.303314
58	0.383786	0.218915	0.242198	0.155101	0.698842	0.301158	0.255367	0.744633	8.67763e-10	0.301158
59	0.385645	0.219643	0.240282	0.15443	0.700852	0.299148	0.256611	0.743389	5.83979e-10	0.299148
60	0.387399	0.220329	0.238481	0.153791	0.702727	0.297273	0.257796	0.742204	3.93967e-10	0.297273
61	0.389054	0.220975	0.23679	0.153182	0.704475	0.295525	0.258924	0.741076	2.66422e-10	0.295525
62	0.390616	0.221584	0.235199	0.152602	0.706107	0.293893	0.259997	0.740003	1.80652e-10	0.293893
63	0.39209	0.222158	0.233703	0.152049	0.70763	0.29237	0.261019	0.738981	1.22756e-10	0.29237
64	0.393482	0.222699	0.232295	0.151524	0.709053	0.290947	0.261991	0.738009	8.35417e-11	0.290947
65	0.394797	0.22321	0.23097	0.151023	0.710382	0.289618	0.262916	0.737084	5.69882e-11	0.289618
66	0.396038	0.223692	0.229723	0.150547	0.711623	0.288377	0.263796	0.736204	3.89197e-11	0.288377
67	0.39721	0.224147	0.228549	0.150095	0.712783	0.287217	0.264632	0.735368	2.66577e-11	0.287217
68	0.398317	0.224576	0.227443	0.149664	0.713868	0.286132	0.265427	0.734573	1.83036e-11	0.286132
69	0.399362	0.224981	0.226401	0.149255	0.714882	0.285118	0.266183	0.733817	1.25531e-11	0.285118
70	0.400349	0.225364	0.22542	0.148867	0.71583	0.28417	0.2669	0.7331	8.62636e-12	0.28417
71	0.401281	0.225726	0.224495	0.148498	0.716717	0.283283	0.267582	0.732418	5.93781e-12	0.283283
72	0.402162	0.226067	0.223624	0.148148	0.717547	0.282453	0.26823	0.73177	4.10193e-12	0.282453
73	0.402993	0.226389	0.222802	0.147815	0.718323	0.281677	0.268844	0.731156	2.83e-12	0.281677
74	0.403778	0.226694	0.222028	0.147499	0.71905	0.28095	0.269427	0.730573	1.95058e-12	0.28095
75	0.404519	0.226982	0.221299	0.1472	0.71973	0.28027	0.269981	0.730019	1.3477e-12	0.28027
76	0.405219	0.227254	0.220611	0.146916	0.720367	0.279633	0.270506	0.729494	9.32414e-13	0.279633
77	0.40588	0.22751	0.219963	0.146647	0.720963	0.279037	0.271004	0.728996	6.44681e-13	0.279037
78	0.406504	0.227753	0.219352	0.146391	0.721521	0.278479	0.271476	0.728524	4.46939e-13	0.278479
79	0.407092	0.227982	0.218776	0.14615	0.722043	0.277957	0.271923	0.728077	3.10092e-13	0.277957
80	0.407648	0.228198	0.218234	0.14592	0.722533	0.277467	0.272347	0.727653	2.17043e-13	0.277467
81	0.408172	0.228402	0.217722	0.145703	0.722991	0.277009	0.272748	0.727252	1.50777e-13	0.277009
82	0.408667	0.228595	0.21724	0.145498	0.72342	0.27658	0.273128	0.726872	1.04488e-13	0.27658
83	0.409134	0.228777	0.216785	0.145303	0.723822	0.276178	0.273488	0.726512	7.27036e-14	0.276178
84	0.409574	0.228949	0.216357	0.145119	0.724199	0.275801	0.273829	0.726171	5.06547e-14	0.275801
85	0.40999	0.229112	0.215954	0.144945	0.724552	0.275448	0.274152	0.725848	3.53789e-14	0.275448
86	0.410382	0.229265	0.215573	0.14478	0.724883	0.275117	0.274457	0.725543	2.46657e-14	0.275117
87	0.410751	0.22941	0.215215	0.144624	0.725193	0.274807	0.274745	0.725255	1.71721e-14	0.274807
88	0.4111	0.229546	0.214877	0.144477	0.725483	0.274517	0.275018	0.724982	1.19748e-14	0.274517
89	0.411428	0.229675	0.214559	0.144338	0.725755	0.274245	0.275276	0.724724	8.43451e-15	0.274245
90	0.411738	0.229797	0.214259	0.144206	0.72601	0.27399	0.27552	0.72448	5.98003e-15	0.27399
91	0.41203	0.229911	0.213977	0.144082	0.726249	0.273751	0.27575	0.72425	4.2957e-15	0.273751
92	0.412305	0.23002	0.213711	0.143964	0.726473	0.273527	0.275968	0.724032	3.09758e-15	0.273527
93	0.412565	0.230122	0.213461	0.143853	0.726684	0.273316	0.276173	0.723827	2.2305e-15	0.273316
94	0.412809	0.230218	0.213225	0.143748	0.72688	0.27312	0.276368	0.723632	1.60178e-15	0.27312
95	0.413039	0.230309	0.213003	0.143649	0.727065	0.272935	0.276551	0.723449	1.13334e-15	0.272935
96	0.413256	0.230394	0.212793	0.143556	0.727238	0.272762	0.276724	0.723276	7.73403e-16	0.272762
97	0.413461	0.230475	0.212597	0.143468	0.7274	0.2726	0.276887	0.723113	4.80138e-16	0.2726
98	0.413653	0.230551	0.212411	0.143384	0.727552	0.272448	0.277041	0.722959	2.25982e-16	0.272448
99	0.413835	0.230623	0.212237	0.143306	0.727695	0.272305	0.277187	0.722813	8.58841e-17	0.272305
100	0.414005	0.23069	0.212072	0.143232	0.727829	0.272171	0.277324	0.722676	-4.38776e-17	0.272171
