Time	[Cdc20]	[Cdh1]	[cyclin A:Cdk2]	[cyclin B:Cdk2]	[cyclin D:Cdk2]	[cyclin E:Cdk2]	[delayed-response genes]	[E2F]	[E2F:Rb]	[early-response genes]	[general machinery for protein synthesis]	[hypophosphorylated Rb]	[inactive Cdc20]	[mass]	[P27]	[P27:cyclin A:Cdk2]	[P27:cyclin D:Cdk2]	[P27:cyclin E:Cdk2]	[phosphorylated E2F]	[phosphorylated E2F:Rb]	[phosphorylated intermediary enzyme]	[PPX]	[retinoblastoma protein (Rb)]
32	1.9159e-07	0.99972	0.000262853	0.00507859	0.0115321	0.0084549	0.900533	0.224628	4.02513	0.0121809	0.812801	4.87808	0.254023	1.01192	0.986909	0.0118565	0.438734	0.39216	0.0396552	0.710585	1.95929e-05	1	0.386208
33	1.80505e-07	0.999713	0.000689065	0.00507863	0.0136941	0.012845	0.900533	0.369336	4.32433	0.0121809	0.853618	5.14087	0.0606257	1.06274	0.834512	0.0262499	0.436572	0.495966	0.0241045	0.282224	1.9593e-05	1	0.252577
34	1.51965e-07	0.999648	0.00457997	0.00507889	0.0359702	0.0574659	0.900533	1.68675	3.16463	0.0121809	0.896484	6.69792	0.0174729	1.11611	0.324559	0.0602714	0.414296	0.762881	0.0516719	0.0969456	1.9594e-05	1	0.0405048
35	1.20383e-07	0.991502	0.27401	0.00511867	0.400319	1.14722	0.900533	4.36406	0.0593405	0.0121809	0.941502	9.93255	0.00786113	1.17215	0.012033	0.0357322	0.049947	0.147698	0.56886	0.0077351	1.97464e-05	1	0.000381534
36	1.08465e-07	0.9635	0.483292	0.0052589	0.397121	0.876069	0.900533	3.69549	0.0574643	0.0121809	0.988781	9.92302	0.00578377	1.23102	0.012532	0.068006	0.0531458	0.120827	1.22795	0.0190944	2.02834e-05	1	0.000425548
37	1.48636e-07	0.670582	0.657778	0.00716753	0.3891	0.573003	0.900533	3.18203	0.0630414	0.0121809	1.03843	9.90235	0.00593335	1.29283	0.0137337	0.10932	0.0611665	0.0923366	1.72083	0.0340926	2.75297e-05	1	0.000522644
38	5.45175e-06	0.00850324	0.842154	0.152508	0.395637	0.343027	0.900533	2.75597	0.0554497	0.0121809	1.09058	9.90085	0.0455032	1.35776	0.0136657	0.122243	0.0546297	0.0477468	2.14542	0.0431655	0.000610809	1	0.000532295
39	3.99654e-05	0.0021092	1.04478	0.753374	0.417318	0.11967	0.900533	2.00868	0.0284336	0.0121809	1.14535	9.9298	0.413268	1.42594	0.0124823	0.085118	0.0329485	0.00919743	2.92153	0.0413553	0.00403452	1	0.000409763
40	0.000109161	0.00121272	1.19304	1.36213	0.428817	0.051718	0.900533	1.49509	0.014163	0.0121809	1.20286	9.95278	0.972541	1.49754	0.0111582	0.0610214	0.0214497	0.00245963	3.45799	0.0327576	0.010791	1	0.000304058
41	0.000287335	0.000868754	1.30524	1.94348	0.434847	0.0335526	0.900533	1.21783	0.00829279	0.0121809	1.26327	9.96595	1.55725	1.57275	0.0101416	0.0470962	0.0154197	0.00112649	3.74835	0.0255242	0.0274075	1	0.000240088
42	0.00104807	0.000695081	1.38869	2.49577	0.438283	0.0251543	0.900533	1.0459	0.00552224	0.0121809	1.3267	9.97354	2.12542	1.65172	0.00943406	0.0385198	0.0119831	0.000651281	3.92783	0.0207384	0.0874906	1	0.000201875
43	0.00728072	0.000655	1.39248	3.01251	0.440099	0.0213201	0.900533	0.93479	0.00421218	0.0121809	1.39333	9.97739	2.66524	1.73467	0.00916858	0.0325755	0.0101674	0.000468075	4.04278	0.0182168	0.302998	1	0.000183968
44	0.283754	0.00552977	0.304358	3.18984	0.429004	0.0601973	0.900533	1.00786	0.0128967	0.0121809	1.4633	9.93633	3.09315	1.82178	0.018041	0.0152827	0.0212626	0.00294599	3.92897	0.0502756	0.72562	1	0.000498074
45	5.31166e-05	0.999721	5.14473e-05	0.00512967	0.0111407	0.00682105	0.900533	0.125466	2.59552	0.0121809	0.768389	4.78479	1.39568	0.956631	1.01968	0.00223215	0.439126	0.329779	0.105086	2.17392	3.87068e-05	1	0.445768
46	1.9231e-07	0.999721	0.000224923	0.00507859	0.0113484	0.00807869	0.900533	0.211126	3.92682	0.0121809	0.806975	4.85428	0.315364	1.00467	1.00251	0.0102818	0.438918	0.381197	0.0439836	0.818069	1.95928e-05	1	0.400838
47	1.83068e-07	0.999714	0.000597186	0.00507862	0.0132161	0.0118785	0.900533	0.336751	4.31639	0.0121809	0.847499	5.0854	0.0743126	1.05512	0.863937	0.0236015	0.43705	0.476437	0.025102	0.321752	1.9593e-05	1	0.276457
48	1.57159e-07	0.999684	0.00242398	0.00507876	0.0234026	0.0323163	0.900533	1.05699	3.78112	0.0121809	0.890057	6.01505	0.0205268	1.10811	0.495171	0.051648	0.426864	0.694853	0.0353692	0.126525	1.95935e-05	1	0.0773105
49	1.24012e-07	0.993187	0.239679	0.00511022	0.398904	1.15634	0.900533	4.45904	0.0622728	0.0121809	0.934753	9.93075	0.0085379	1.16375	0.0122391	0.0322305	0.0513623	0.153671	0.472089	0.00659296	1.9714e-05	1	0.000390838
50	1.0883e-07	0.97118	0.455146	0.00522041	0.39824	0.92428	0.900533	3.78703	0.0568413	0.0121809	0.981693	9.92565	0.00591791	1.22219	0.0123631	0.0624632	0.0520268	0.12448	1.13903	0.0170963	2.01363e-05	1	0.000413089
51	1.30773e-07	0.769226	0.633537	0.00639431	0.390135	0.612942	0.900533	3.24596	0.0622892	0.0121809	1.03099	9.90535	0.00572949	1.28357	0.0135767	0.103168	0.0601312	0.0969642	1.6599	0.031853	2.45967e-05	1	0.000508628
52	2.95599e-06	0.0126777	0.808995	0.0909486	0.391671	0.374879	0.900533	2.83504	0.0595323	0.0121809	1.08276	9.89662	0.0268746	1.34802	0.013897	0.127636	0.0585951	0.056742	2.06212	0.0433018	0.000354598	1	0.000550592
53	3.33385e-05	0.00237588	1.01902	0.662152	0.415005	0.143681	0.900533	2.11375	0.0316021	0.0121809	1.13714	9.92592	0.340288	1.41572	0.0126502	0.0895124	0.0352609	0.0119582	2.81259	0.0420504	0.00337933	1	0.000426644
54	9.52919e-05	0.00129105	1.17395	1.27438	0.427564	0.0563256	0.900533	1.55119	0.0155393	0.0121809	1.19424	9.95009	0.886951	1.48681	0.0113395	0.0638025	0.0227028	0.00284787	3.39922	0.0340524	0.00945027	1	0.000316789
55	0.000246323	0.000905107	1.29048	1.85991	0.434169	0.0353444	0.900533	1.25002	0.00888913	0.0121809	1.25421	9.96445	1.47199	1.56147	0.0102696	0.048714	0.0160976	0.00124102	3.71467	0.0264157	0.0236804	1	0.000247495
56	0.000839123	0.000713771	1.3788	2.41657	0.437885	0.0260727	0.900533	1.06693	0.00582162	0.0121809	1.31719	9.97266	2.04355	1.63988	0.00951953	0.0395667	0.0123814	0.000698004	3.90594	0.0213125	0.0725296	1	0.000206322
57	0.00508263	0.000643547	1.40537	2.93999	0.439954	0.0215583	0.900533	0.947311	0.00431853	0.0121809	1.38334	9.97713	2.58825	1.72223	0.00914665	0.0333635	0.0103122	0.000479741	4.03	0.0183716	0.256404	1	0.000184626
58	0.184108	0.00314849	0.591599	3.26082	0.434072	0.039901	0.900533	0.960445	0.00820233	0.0121809	1.45281	9.95732	3.05955	1.80872	0.0143437	0.0223542	0.0161947	0.00145458	3.99721	0.0341368	0.664702	1	0.000341757
59	0.309735	0.99995	6.32785e-05	0.00631314	0.0134558	0.00815885	0.900533	0.143578	2.22118	0.0121809	0.762881	4.96958	1.73823	0.949774	0.848012	0.00222696	0.436811	0.323762	0.16	2.47524	0.172417	1	0.334001
60	1.92895e-07	0.999721	0.000190671	0.00507859	0.0111851	0.00774305	0.900533	0.198165	3.81007	0.0121809	0.80119	4.83288	0.391817	0.997468	1.01682	0.00881221	0.439081	0.371094	0.0490325	0.942735	1.95928e-05	1	0.414327
61	1.85242e-07	0.999716	0.000519562	0.00507862	0.012817	0.01107	0.900533	0.310146	4.29593	0.0121809	0.841423	5.03797	0.0913714	1.04756	0.89018	0.0211856	0.437449	0.4588	0.0265244	0.367398	1.95929e-05	1	0.298702
62	1.62119e-07	0.999696	0.00170949	0.00507871	0.0192999	0.0241138	0.900533	0.780108	4.04164	0.0121809	0.883677	5.69703	0.0243332	1.10016	0.597438	0.0450362	0.430966	0.641336	0.0288387	0.14941	1.95933e-05	1	0.111926
63	1.28106e-07	0.994624	0.204481	0.00510302	0.396253	1.14648	0.900533	4.54657	0.0670693	0.0121809	0.928052	9.92691	0.00938334	1.15541	0.0126249	0.0290878	0.0540133	0.161355	0.380744	0.00561659	1.96863e-05	1	0.00041022
64	1.0969e-07	0.976905	0.426166	0.00519176	0.399243	0.971869	0.900533	3.88223	0.0563859	0.0121809	0.974656	9.92802	0.00609334	1.21343	0.0122107	0.057161	0.0510234	0.128071	1.04619	0.0151949	2.00267e-05	1	0.000401891
65	1.20519e-07	0.839557	0.608958	0.00593479	0.391263	0.654671	0.900533	3.31348	0.0614649	0.0121809	1.0236	9.90845	0.00562499	1.27437	0.0134077	0.0969545	0.0590033	0.101437	1.59545	0.0295955	2.28526e-05	1	0.000494152
66	1.48943e-06	0.0190506	0.778742	0.0513969	0.389007	0.406028	0.900533	2.90184	0.0622472	0.0121809	1.075	9.89444	0.0162096	1.33836	0.0140405	0.1296	0.061259	0.0649	1.99315	0.042755	0.000197291	1	0.000559909
67	2.72956e-05	0.00272206	0.992095	0.570747	0.412515	0.172892	0.900533	2.2256	0.0350218	0.0121809	1.12899	9.9221	0.271829	1.40557	0.012799	0.0940669	0.0377516	0.0155941	2.69694	0.0424389	0.00278103	1	0.00044292
68	8.30489e-05	0.00138116	1.15404	1.18603	0.426179	0.0619005	0.900533	1.6129	0.0171193	0.0121809	1.18568	9.94716	0.801965	1.47615	0.0115294	0.0668347	0.0240876	0.00333795	3.33458	0.0353932	0.008261	1	0.000330605
69	0.000212421	0.000945213	1.27516	1.77572	0.433432	0.0373497	0.900533	1.28458	0.00955536	0.0121809	1.24522	9.96283	1.38638	1.55028	0.0104044	0.0504539	0.0168339	0.00137418	3.6785	0.0273625	0.0205561	1	0.000255481
70	0.000679912	0.000734654	1.3679	2.33669	0.437454	0.0270828	0.900533	1.08923	0.00615191	0.0121809	1.30775	9.97171	1.96111	1.62813	0.00961179	0.0406754	0.0128122	0.00075092	3.88268	0.0219291	0.0603993	1	0.000211145
71	0.00368978	0.000642003	1.41092	2.86593	0.439755	0.0219417	0.900533	0.96134	0.0044602	0.0121809	1.37342	9.97673	2.51034	1.70989	0.00915716	0.0341666	0.0105116	0.000497581	4.01557	0.0186305	0.215375	1	0.000186253
72	0.107455	0.00186886	0.894191	3.27454	0.437398	0.0293104	0.900533	0.929425	0.00578843	0.0121809	1.44239	9.9688	3.00733	1.79575	0.0117659	0.0266352	0.0128688	0.00083407	4.03963	0.0251587	0.597502	1	0.000254458
73	0.55108	0.999866	0.000392309	0.0280651	0.0366793	0.022513	0.900533	0.673314	1.28058	0.0121809	0.757412	6.68031	2.16348	0.942965	0.34059	0.00411323	0.413587	0.290145	1.04969	1.99641	0.426343	1	0.0427058
74	1.93371e-07	0.999722	0.000159698	0.00507859	0.0110403	0.00744441	0.900533	0.185462	3.67229	0.0121809	0.795447	4.81371	0.487106	0.990318	1.02985	0.00744357	0.439226	0.361844	0.0549135	1.08733	1.95928e-05	1	0.426669
75	1.8707e-07	0.999717	0.000452711	0.00507861	0.0124768	0.0103799	0.900533	0.287799	4.26362	0.0121809	0.835392	4.99674	0.112634	1.04005	0.91386	0.0189635	0.43779	0.442716	0.0283646	0.420209	1.95929e-05	1	0.319429
76	1.66749e-07	0.999702	0.00133036	0.00507868	0.0171673	0.019838	0.900533	0.623402	4.17897	0.0121809	0.877343	5.5043	0.0290774	1.09228	0.669565	0.0398182	0.433099	0.599752	0.0256534	0.171968	1.95932e-05	1	0.144761
