Time	[Hsp90]	[HCom]	[HSF1]	[MisP]	[MCom]	[TriH]	[DiH]	[NatP]	[AggP]	[HSE]	[HSETriH]	[X]	[ROS]	[ATP]	[ADP]	[source]
70	31983.2	6000	0.000375197	0.00717221	267275	-2.36771e-07	-3.56239e-06	5.73343e+06	-1.1122e-08	1	-9.0836e-08	70	100	10084.7	915.308	0
71	31308.5	6000	0.000383282	0.00732593	267947	-2.47628e-07	-3.64141e-06	5.73276e+06	-1.14819e-08	1	-9.54928e-08	71	100	10082.6	917.381	0
72	30659.6	6000	0.000391394	0.00748016	268593	-2.58794e-07	-3.72081e-06	5.73213e+06	-1.18493e-08	1	-1.00321e-07	72	100	10080.6	919.374	0
73	30035.5	6000	0.000399528	0.00763479	269215	-2.70265e-07	-3.80053e-06	5.73151e+06	-1.22243e-08	1	-1.05321e-07	73	100	10078.7	921.29	0
74	29435.1	6000	0.000407676	0.00778971	269813	-2.82036e-07	-3.88052e-06	5.73093e+06	-1.26069e-08	1	-1.10496e-07	74	100	10076.9	923.132	0
75	28857.7	6000	0.000415834	0.00794481	270388	-2.94102e-07	-3.96073e-06	5.73036e+06	-1.29972e-08	1	-1.15846e-07	75	100	10075.1	924.903	0
76	28302.2	6000	0.000423995	0.00809997	270941	-3.06458e-07	-4.04109e-06	5.72982e+06	-1.33951e-08	1	-1.21371e-07	76	100	10073.4	926.606	0
77	27767.9	6000	0.000432153	0.00825507	271473	-3.19096e-07	-4.12155e-06	5.7293e+06	-1.38006e-08	1	-1.27072e-07	77	100	10071.8	928.243	0
78	27254	6000	0.000440302	0.00841001	271985	-3.32009e-07	-4.20205e-06	5.7288e+06	-1.42138e-08	1	-1.32949e-07	78	100	10070.2	929.818	0
79	26759.6	6000	0.000448437	0.00856466	272477	-3.45189e-07	-4.28254e-06	5.72831e+06	-1.46345e-08	1	-1.39001e-07	79	100	10068.7	931.331	0
80	26284.1	6000	0.000456551	0.00871892	272951	-3.58627e-07	-4.36295e-06	5.72785e+06	-1.50629e-08	1	-1.45227e-07	80	100	10067.2	932.787	0
81	25826.6	6000	0.000464638	0.00887268	273406	-3.72313e-07	-4.44324e-06	5.7274e+06	-1.54988e-08	1	-1.51626e-07	81	100	10065.8	934.187	0
82	25386.5	6000	0.000472693	0.00902582	273844	-3.86238e-07	-4.52333e-06	5.72698e+06	-1.59423e-08	1	-1.58197e-07	82	100	10064.5	935.533	0
83	24963.1	6000	0.00048071	0.00917825	274265	-4.00389e-07	-4.60319e-06	5.72656e+06	-1.63932e-08	1	-1.64938e-07	83	100	10063.2	936.827	0
84	24555.8	6000	0.000488683	0.00932984	274671	-4.14755e-07	-4.68274e-06	5.72617e+06	-1.68517e-08	1	-1.71845e-07	84	100	10061.9	938.072	0
85	24164	6000	0.000496607	0.0094805	275060	-4.29325e-07	-4.76195e-06	5.72579e+06	-1.73175e-08	1	-1.78917e-07	85	100	10060.7	939.269	0
86	23787	6000	0.000504477	0.00963013	275435	-4.44084e-07	-4.84074e-06	5.72542e+06	-1.77907e-08	1	-1.8615e-07	86	100	10059.6	940.42	0
87	23424.4	6000	0.000512287	0.00977863	275796	-4.5902e-07	-4.91908e-06	5.72507e+06	-1.82712e-08	1	-1.9354e-07	87	100	10058.5	941.527	0
88	23075.5	6000	0.000520033	0.00992589	276143	-4.7412e-07	-4.99691e-06	5.72474e+06	-1.8759e-08	1	-2.01084e-07	88	100	10057.4	942.592	0
89	22739.8	6000	0.000527709	0.0100718	276477	-4.89369e-07	-5.07419e-06	5.72441e+06	-1.92539e-08	1	-2.08777e-07	89	100	10056.4	943.616	0
90	22416.9	6000	0.000535311	0.0102164	276798	-5.04753e-07	-5.15085e-06	5.7241e+06	-1.9756e-08	1	-2.16615e-07	90	100	10055.4	944.601	0
91	22106.2	6000	0.000542835	0.0103594	277107	-5.20256e-07	-5.22686e-06	5.7238e+06	-2.02651e-08	1	-2.24593e-07	91	100	10054.5	945.549	0
92	21807.2	6000	0.000550277	0.0105009	277404	-5.35866e-07	-5.30217e-06	5.72352e+06	-2.07812e-08	1	-2.32704e-07	92	100	10053.5	946.46	0
93	21519.6	6000	0.000557632	0.0106408	277690	-5.51565e-07	-5.37675e-06	5.72324e+06	-2.13042e-08	1	-2.40945e-07	93	100	10052.7	947.336	0
94	21242.8	6000	0.000564896	0.0107789	277965	-5.67339e-07	-5.45054e-06	5.72297e+06	-2.18339e-08	1	-2.49308e-07	94	100	10051.8	948.179	0
95	20976.6	6000	0.000572067	0.0109152	278230	-5.83174e-07	-5.52351e-06	5.72272e+06	-2.23704e-08	1	-2.57787e-07	95	100	10051	948.99	0
96	20720.4	6000	0.00057914	0.0110497	278484	-5.99053e-07	-5.59562e-06	5.72248e+06	-2.29135e-08	1	-2.66377e-07	96	100	10050.2	949.77	0
97	20473.8	6000	0.000586114	0.0111823	278729	-6.14961e-07	-5.66685e-06	5.72224e+06	-2.34631e-08	1	-2.7507e-07	97	100	10049.5	950.52	0
98	20236.6	6000	0.000592984	0.011313	278965	-6.30885e-07	-5.73715e-06	5.72202e+06	-2.40192e-08	1	-2.8386e-07	98	100	10048.8	951.241	0
99	20008.4	6000	0.000599748	0.0114416	279191	-6.46808e-07	-5.80649e-06	5.7218e+06	-2.45816e-08	1	-2.92739e-07	99	100	10048.1	951.935	0
100	19788.8	6000	0.000606405	0.0115682	279409	-6.62716e-07	-5.87485e-06	5.72159e+06	-2.51502e-08	1	-3.017e-07	100	100	10047.4	952.603	0
