Time	[G3P]	[PYR]	[ATP]	[NADHm]	[NADHc]	[Vm]	[Cam]	Values[Vp]	Values[Cac]
52	25.1219	14.9039	3697.71	85.4758	13.4046	104.512	0.200274	-69.9302	0.0999519
53	25.0369	14.9884	3697.69	85.7046	13.4613	104.606	0.20028	-69.9289	0.0999509
54	24.9523	15.0725	3697.67	85.9293	13.5177	104.701	0.200285	-69.9275	0.09995
55	24.8679	15.1563	3697.65	86.1502	13.5737	104.795	0.200291	-69.9262	0.0999491
56	24.7839	15.2397	3697.63	86.3673	13.6294	104.888	0.200296	-69.9249	0.0999482
57	24.7002	15.3227	3697.61	86.5809	13.6847	104.981	0.200301	-69.9235	0.0999473
58	24.6169	15.4054	3697.59	86.791	13.7397	105.073	0.200307	-69.9222	0.0999463
59	24.5338	15.4877	3697.58	86.9978	13.7944	105.165	0.200312	-69.9208	0.0999454
60	24.451	15.5696	3697.56	87.2015	13.8487	105.256	0.200318	-69.9195	0.0999445
61	24.3686	15.6512	3697.54	87.4022	13.9026	105.347	0.200323	-69.9181	0.0999436
62	24.2864	15.7324	3697.53	87.6	13.9563	105.437	0.200328	-69.9168	0.0999426
63	24.2046	15.8133	3697.52	87.7949	14.0096	105.527	0.200334	-69.9155	0.0999417
64	24.1231	15.8938	3697.5	87.9872	14.0625	105.616	0.200339	-69.9141	0.0999408
65	24.0419	15.9739	3697.49	88.1768	14.1151	105.704	0.200345	-69.9128	0.0999399
66	23.961	16.0537	3697.48	88.364	14.1674	105.792	0.20035	-69.9114	0.099939
67	23.8804	16.1332	3697.47	88.5486	14.2193	105.879	0.200355	-69.9101	0.0999381
68	23.8001	16.2122	3697.46	88.731	14.271	105.966	0.200361	-69.9087	0.0999371
69	23.7201	16.291	3697.45	88.9111	14.3222	106.052	0.200366	-69.9074	0.0999362
70	23.6404	16.3694	3697.45	89.0889	14.3732	106.138	0.200372	-69.906	0.0999353
71	23.561	16.4474	3697.44	89.2646	14.4238	106.223	0.200377	-69.9047	0.0999344
72	23.4819	16.5251	3697.44	89.4383	14.4741	106.307	0.200383	-69.9034	0.0999335
73	23.4031	16.6024	3697.43	89.6099	14.524	106.391	0.200388	-69.902	0.0999325
74	23.3246	16.6794	3697.43	89.7795	14.5737	106.474	0.200393	-69.9007	0.0999316
75	23.2464	16.756	3697.42	89.9473	14.623	106.556	0.200399	-69.8993	0.0999307
76	23.1685	16.8323	3697.42	90.1131	14.6719	106.638	0.200404	-69.898	0.0999298
77	23.0909	16.9083	3697.42	90.2772	14.7206	106.719	0.20041	-69.8966	0.0999289
78	23.0135	16.9839	3697.42	90.4395	14.7689	106.8	0.200415	-69.8953	0.0999279
79	22.9365	17.0592	3697.42	90.6	14.8169	106.88	0.200421	-69.894	0.099927
80	22.8598	17.1341	3697.42	90.7589	14.8646	106.96	0.200426	-69.8926	0.0999261
81	22.7834	17.2087	3697.42	90.9162	14.9119	107.038	0.200432	-69.8913	0.0999252
82	22.7072	17.283	3697.42	91.0718	14.959	107.117	0.200437	-69.8899	0.0999243
83	22.6313	17.3569	3697.43	91.2258	15.0057	107.194	0.200443	-69.8886	0.0999234
84	22.5558	17.4305	3697.43	91.3783	15.0521	107.271	0.200448	-69.8872	0.0999224
85	22.4805	17.5037	3697.44	91.5293	15.0982	107.348	0.200454	-69.8859	0.0999215
86	22.4055	17.5766	3697.44	91.6788	15.144	107.424	0.200459	-69.8845	0.0999206
87	22.3308	17.6492	3697.45	91.8269	15.1894	107.499	0.200464	-69.8832	0.0999197
88	22.2564	17.7215	3697.46	91.9735	15.2346	107.573	0.20047	-69.8819	0.0999188
89	22.1822	17.7934	3697.46	92.1187	15.2794	107.647	0.200475	-69.8805	0.0999179
90	22.1084	17.865	3697.47	92.2626	15.3239	107.721	0.200481	-69.8792	0.099917
91	22.0348	17.9363	3697.48	92.4051	15.3681	107.794	0.200486	-69.8778	0.099916
92	21.9615	18.0073	3697.49	92.5463	15.412	107.866	0.200492	-69.8765	0.0999151
93	21.8885	18.0779	3697.5	92.6861	15.4556	107.937	0.200497	-69.8751	0.0999142
94	21.8158	18.1482	3697.51	92.8247	15.4989	108.008	0.200503	-69.8738	0.0999133
95	21.7433	18.2182	3697.53	92.9621	15.5419	108.079	0.200508	-69.8724	0.0999124
96	21.6712	18.2879	3697.54	93.0982	15.5846	108.149	0.200514	-69.8711	0.0999115
97	21.5993	18.3572	3697.55	93.233	15.627	108.218	0.200519	-69.8697	0.0999105
98	21.5277	18.4262	3697.57	93.3667	15.669	108.286	0.200525	-69.8684	0.0999096
99	21.4563	18.4949	3697.58	93.4992	15.7108	108.355	0.20053	-69.8671	0.0999087
100	21.3853	18.5633	3697.6	93.6305	15.7523	108.422	0.200536	-69.8657	0.0999078
