Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]	[Mr]	[Rc]	[Rn]
72	10.1945	4.30129	0.152655	2.91363	150.321	4.29521	0.74991	3.96886	0.0483338	0.0293266	3.39466	7.30886	0.630636	0.11432	0.311464	1.24972	2.6841	1.35319	0.786667
73	9.76303	4.1401	0.151136	2.65835	155.422	4.47759	0.750506	4.69263	0.0549765	0.0335045	3.89805	7.49488	0.765466	0.110649	0.379191	1.5518	2.76387	1.52015	0.971846
74	9.16418	3.86614	0.148265	2.23138	160.168	4.6236	0.751092	5.34656	0.0615463	0.0380681	4.66451	7.73975	1.03069	0.103444	0.50242	1.97035	2.81794	1.68026	1.17735
75	8.42587	3.47048	0.143474	1.67053	164.503	4.69584	0.751645	5.88327	0.0671642	0.0421204	5.52043	8.03913	1.47916	0.0908252	0.708993	2.47242	2.82007	1.8074	1.38876
76	7.59055	2.98707	0.13636	1.11547	168.268	4.6035	0.752151	6.17938	0.0706246	0.0447939	6.34777	8.3789	2.18356	0.0728092	1.01659	2.91005	2.70652	1.83616	1.56783
77	6.71667	2.48295	0.126989	0.701175	171.098	4.18226	0.752594	6.00648	0.0698238	0.0445433	6.9637	8.7433	3.14382	0.0533421	1.4224	3.11772	2.36385	1.62965	1.62433
78	5.90198	2.02476	0.11606	0.454673	172.393	3.32597	0.752952	5.20586	0.0630654	0.0400548	7.0922	9.11384	4.15034	0.0379988	1.89685	3.02638	1.73064	1.04183	1.40148
79	5.37724	1.66632	0.10511	0.324752	171.602	2.16143	0.753193	3.91497	0.0510333	0.0319262	6.53309	9.46732	4.82239	0.0284124	2.39846	2.67163	0.94018	0.301211	0.817002
80	5.4918	1.47975	0.0976697	0.270714	168.605	0.974874	0.753285	2.41997	0.0356949	0.021887	5.29088	9.77184	4.80313	0.0238936	2.88571	2.14338	0.30359	0.0527121	0.233761
81	5.93889	1.47968	0.0967228	0.28201	164.104	0.232601	0.75321	1.0373	0.0194995	0.0117771	3.54904	9.97091	3.91189	0.0243064	3.30818	1.55938	0.103224	0.0130674	0.0253499
82	6.39449	1.58504	0.0999946	0.374254	159.73	0.150175	0.752996	0.286455	0.00788139	0.0046592	1.76197	9.93567	2.32859	0.0304041	3.56892	0.984864	0.123321	0.0137506	0.00440538
83	6.83625	1.75606	0.105288	0.608621	155.932	0.304235	0.752703	0.367357	0.00544587	0.00300758	0.684518	9.43788	0.824931	0.0443182	3.42862	0.421109	0.24968	0.0283661	0.00599139
84	7.26486	1.99249	0.111954	0.998451	152.649	0.628821	0.752371	0.819954	0.00906685	0.00489124	0.463533	8.518	0.229733	0.0633168	2.61735	0.0799562	0.494967	0.0619604	0.0132811
85	7.68076	2.2737	0.119096	1.3961	150.206	1.02463	0.752034	1.05507	0.0117523	0.00650685	0.559752	7.6122	0.167614	0.0786839	1.53636	0.0469124	0.778647	0.111036	0.0257784
86	8.08379	2.5635	0.12563	1.74096	148.751	1.41412	0.751733	1.36274	0.0153453	0.00857595	0.729263	6.85781	0.179056	0.0892665	0.608283	0.062729	1.04417	0.169742	0.0424797
87	8.47309	2.8452	0.13124	2.04615	148.176	1.78197	0.751494	1.67629	0.0191004	0.0107876	0.942961	6.27709	0.195567	0.096985	0.139054	0.0860703	1.28391	0.237008	0.0634296
88	8.84681	3.11503	0.136016	2.32284	148.398	2.12842	0.751332	1.98162	0.0227688	0.0129867	1.18174	5.85575	0.219374	0.102988	0.0912374	0.115976	1.50085	0.313562	0.0895947
89	9.20154	3.36827	0.140063	2.55321	149.348	2.45452	0.751253	2.2742	0.0262449	0.0151049	1.4397	5.57127	0.255943	0.107459	0.105368	0.162682	1.69771	0.400255	0.122482
90	9.53139	3.59795	0.143425	2.73152	150.963	2.76076	0.751259	2.55185	0.0294539	0.0170904	1.71018	5.40139	0.296799	0.11063	0.1251	0.226397	1.87626	0.497466	0.163933
91	9.82688	3.79886	0.146157	2.85881	153.183	3.04811	0.751345	2.81401	0.0323529	0.0189092	1.98749	5.32568	0.340908	0.112774	0.147525	0.309457	2.03824	0.605321	0.216158
92	10.0735	3.96605	0.148307	2.93586	155.955	3.31749	0.751505	3.06069	0.0349209	0.0205406	2.2674	5.32663	0.3888	0.114059	0.172873	0.416171	2.18512	0.723669	0.28173
93	10.2505	4.09334	0.149896	2.9625	159.229	3.56953	0.75173	3.29187	0.0371502	0.0219729	2.54664	5.38975	0.441554	0.114573	0.201874	0.551255	2.31796	0.852016	0.363443
94	10.3314	4.17249	0.150906	2.93716	162.956	3.80434	0.752012	3.50717	0.0390401	0.0231999	2.82252	5.5032	0.5008	0.114328	0.235642	0.718543	2.43736	0.989427	0.46401
95	10.2867	4.19303	0.151276	2.85658	167.09	4.0213	0.752339	3.70551	0.0405926	0.0242178	3.09258	5.65735	0.56892	0.11326	0.27581	0.919208	2.54327	1.13434	0.585587
96	10.091	4.1435	0.150899	2.71649	171.582	4.21862	0.752703	3.88686	0.0418099	0.0250216	3.35422	5.84432	0.64935	0.111221	0.324738	1.14953	2.63482	1.28418	0.729109
97	9.73101	4.01244	0.149619	2.49425	176.066	4.39228	0.75309	4.59716	0.0478881	0.0287653	3.84481	6.06719	0.781829	0.107752	0.392281	1.41906	2.70947	1.43452	0.893398
98	9.21108	3.7787	0.147089	2.11456	180.193	4.52852	0.753478	5.23575	0.053929	0.0328437	4.59533	6.34702	1.04298	0.100892	0.514529	1.79949	2.75775	1.57542	1.07339
99	8.55407	3.43142	0.142793	1.60909	183.904	4.58937	0.753848	5.7545	0.0591286	0.03648	5.43002	6.67961	1.47857	0.0889412	0.718278	2.26436	2.75306	1.68043	1.2544
100	7.80039	2.99952	0.136405	1.10276	187.043	4.48823	0.754188	6.03575	0.0624091	0.0389197	6.22837	7.0507	2.148	0.0721195	1.01908	2.68175	2.63484	1.6864	1.39868
