Time	[S-adenosyl-L-methionine]	[S-adenosylmethioninamine]	[Putrescine]	[Spermine]	[Spermidine]	[N1-Acetylspermine]	[N1-Acetylspermidine]	[Methionine]	[L-Ornithine]	[Acetyl-CoA]	[CoA]	Values[Vmaxodc]	Values[Vmaxssat]	Values[Vmaxsamdc]	Values[Antz]
26	1.40509	0.00772286	632.834	0.294076	4.38775	6.30525e-06	0.00249407	50	300	39.5	160	44.7715	0.0646045	9.17858	0.349798
27	1.40004	0.00762634	660.63	0.318191	4.58695	6.69701e-06	0.00256233	50	300	39.5	160	44.8576	0.0632255	9.16773	0.343777
28	1.39615	0.00753637	688.098	0.342955	4.78366	7.0971e-06	0.00262984	50	300	39.5	160	44.9238	0.061978	9.15078	0.337916
29	1.39338	0.00745258	715.227	0.368345	4.97796	7.50581e-06	0.00269683	50	300	39.5	160	44.9726	0.0608482	9.12834	0.33221
30	1.39166	0.00737457	742.012	0.39434	5.16994	7.92345e-06	0.00276352	50	300	39.5	160	45.0061	0.059824	9.10096	0.326656
31	1.39096	0.00730192	768.446	0.42092	5.35971	8.35034e-06	0.00283009	50	300	39.5	160	45.0264	0.0588949	9.06913	0.321251
32	1.39121	0.00723425	794.524	0.448068	5.54734	8.78683e-06	0.00289672	50	300	39.5	160	45.035	0.0580519	9.03329	0.315991
33	1.39235	0.00717116	820.246	0.475767	5.73292	9.23325e-06	0.00296354	50	300	39.5	160	45.0333	0.0572871	8.99383	0.310873
34	1.39434	0.00711227	845.607	0.504003	5.91654	9.68997e-06	0.00303069	50	300	39.5	160	45.0226	0.0565935	8.95109	0.305893
35	1.39712	0.00705723	870.609	0.532761	6.09827	1.01573e-05	0.00309829	50	300	39.5	160	45.004	0.055965	8.90541	0.301049
36	1.40064	0.00700573	895.251	0.562029	6.27819	1.06357e-05	0.00316643	50	300	39.5	160	44.9785	0.0553961	8.85706	0.296338
37	1.40486	0.00695745	919.533	0.591793	6.45637	1.11253e-05	0.00323521	50	300	39.5	160	44.9469	0.0548821	8.8063	0.291756
38	1.40973	0.00691213	943.457	0.622043	6.63286	1.16266e-05	0.00330471	50	300	39.5	160	44.9099	0.0544186	8.75339	0.2873
39	1.41522	0.0068695	967.025	0.652767	6.80774	1.21399e-05	0.003375	50	300	39.5	160	44.8682	0.0540017	8.69852	0.282968
40	1.42128	0.00682934	990.239	0.683955	6.98106	1.26656e-05	0.00344615	50	300	39.5	160	44.8224	0.0536279	8.6419	0.278757
41	1.42788	0.00679143	1013.1	0.715595	7.15287	1.32038e-05	0.00351821	50	300	39.5	160	44.773	0.0532942	8.58371	0.274665
42	1.435	0.0067556	1035.62	0.747679	7.32321	1.3755e-05	0.00359123	50	300	39.5	160	44.7204	0.0529977	8.52412	0.270688
43	1.44261	0.00672165	1057.78	0.780196	7.49215	1.43195e-05	0.00366526	50	300	39.5	160	44.665	0.0527359	8.46328	0.266824
44	1.45067	0.00668945	1079.61	0.813137	7.65971	1.48974e-05	0.00374034	50	300	39.5	160	44.6072	0.0525063	8.40133	0.26307
45	1.45918	0.00665884	1101.1	0.846494	7.82594	1.54892e-05	0.0038165	50	300	39.5	160	44.5473	0.0523069	8.3384	0.259424
46	1.46809	0.0066297	1122.25	0.880256	7.99088	1.60951e-05	0.00389378	50	300	39.5	160	44.4855	0.0521358	8.27461	0.255884
47	1.47741	0.00660191	1143.08	0.914415	8.15456	1.67154e-05	0.0039722	50	300	39.5	160	44.4221	0.0519911	8.21006	0.252448
48	1.4871	0.00657537	1163.57	0.948964	8.31701	1.73503e-05	0.00405179	50	300	39.5	160	44.3573	0.0518713	8.14487	0.249112
49	1.49716	0.00654998	1183.74	0.983893	8.47827	1.80002e-05	0.00413258	50	300	39.5	160	44.2913	0.0517747	8.07912	0.245875
50	1.50756	0.00652566	1203.6	1.0192	8.63836	1.86652e-05	0.00421457	50	300	39.5	160	44.2242	0.0517001	8.0129	0.242734
51	1.5183	0.00650234	1223.14	1.05486	8.79732	1.93456e-05	0.0042978	50	300	39.5	160	44.1561	0.0516462	7.94629	0.239687
52	1.52936	0.00647992	1242.37	1.09089	8.95517	2.00416e-05	0.00438227	50	300	39.5	160	44.0873	0.0516118	7.87936	0.236733
53	1.54074	0.00645837	1261.29	1.12726	9.11193	2.07536e-05	0.004468	50	300	39.5	160	44.0178	0.0515959	7.8122	0.233869
54	1.55242	0.00643761	1279.91	1.16397	9.26762	2.14816e-05	0.00455501	50	300	39.5	160	43.9476	0.0515973	7.74485	0.231093
55	1.56439	0.00641759	1298.23	1.20102	9.42228	2.2226e-05	0.0046433	50	300	39.5	160	43.877	0.0516152	7.67737	0.228403
56	1.57665	0.00639827	1316.25	1.2384	9.57592	2.2987e-05	0.00473288	50	300	39.5	160	43.8058	0.0516487	7.60984	0.225797
57	1.58918	0.0063796	1333.99	1.2761	9.72857	2.37647e-05	0.00482377	50	300	39.5	160	43.7343	0.051697	7.54228	0.223274
58	1.60199	0.00636153	1351.44	1.31411	9.88023	2.45595e-05	0.00491598	50	300	39.5	160	43.6624	0.0517593	7.47476	0.220831
59	1.61506	0.00634404	1368.61	1.35242	10.0309	2.53714e-05	0.00500949	50	300	39.5	160	43.5902	0.0518349	7.40732	0.218467
60	1.62839	0.00632709	1385.5	1.39104	10.1807	2.62007e-05	0.00510434	50	300	39.5	160	43.5176	0.0519232	7.33999	0.21618
61	1.64197	0.00631064	1402.11	1.42995	10.3295	2.70476e-05	0.00520051	50	300	39.5	160	43.4448	0.0520236	7.27282	0.213968
62	1.6558	0.00629467	1418.46	1.46915	10.4775	2.79123e-05	0.00529802	50	300	39.5	160	43.3718	0.0521354	7.20583	0.21183
63	1.66988	0.00627915	1434.53	1.50864	10.6245	2.8795e-05	0.00539686	50	300	39.5	160	43.2985	0.0522582	7.13907	0.209763
64	1.68419	0.00626405	1450.35	1.54839	10.7707	2.96958e-05	0.00549705	50	300	39.5	160	43.225	0.0523913	7.07257	0.207767
65	1.69874	0.00624936	1465.9	1.58842	10.916	3.0615e-05	0.00559858	50	300	39.5	160	43.1512	0.0525344	7.00634	0.205839
66	1.71352	0.00623505	1481.2	1.62871	11.0604	3.15526e-05	0.00570145	50	300	39.5	160	43.0772	0.052687	6.94042	0.203978
67	1.72853	0.0062211	1496.25	1.66925	11.204	3.2509e-05	0.00580567	50	300	39.5	160	43.003	0.0528487	6.87483	0.202183
