Time	[S1]	[DNA0000]	[DNA0001]	[DNA0010]	[DNA0100]	[DNA1000]	[DNA1100]	[DNA1010]	[DNA1001]	[DNA0110]	[DNA0101]	[DNA0011]	[DNA1110]	[DNA1011]	[DNA1101]	[DNA0111]	[DNA1111]	[DNA001_1]	[DNA01_10]	[DNA01_11]	[DNA011_1]	[DNA01_1_1]	[DNA101_1]	[DNA1_100]	[DNA1_101]	[DNA1_110]	[DNA11_10]	[DNA1_1_10]	[DNA1_111]	[DNA11_11]	[DNA111_1]	[DNA1_1_11]	[DNA1_11_1]	[DNA11_1_1]	[DNA1_1_1_1]
86	1.00344e-11	9.93354e-11	3.98709e-15	1.99354e-13	1.99354e-13	3.98709e-15	8.00152e-18	8.0015e-18	1.60032e-19	3.99861e-16	8.0015e-18	8.00152e-18	1.11999e-20	3.21156e-22	3.21156e-22	1.11999e-20	2.53352e-26	4.80091e-15	2.39917e-13	6.59386e-18	6.59386e-18	3.95619e-15	1.92694e-19	4.80091e-15	1.92694e-19	6.59386e-18	6.59386e-18	3.95619e-15	6.4827e-25	6.4827e-25	6.4827e-25	3.81686e-22	3.81686e-22	3.81686e-22	2.28997e-19
87	1.00343e-11	9.93354e-11	3.98703e-15	1.99351e-13	1.99351e-13	3.98703e-15	8.00131e-18	8.00128e-18	1.60028e-19	3.99853e-16	8.00128e-18	8.00131e-18	1.12663e-20	3.21143e-22	3.21143e-22	1.12663e-20	2.54941e-26	4.80078e-15	2.39912e-13	6.6354e-18	6.6354e-18	3.98112e-15	1.92686e-19	4.80078e-15	1.92686e-19	6.6354e-18	6.6354e-18	3.98112e-15	6.60447e-25	6.60447e-25	6.60447e-25	3.8895e-22	3.8895e-22	3.8895e-22	2.33356e-19
88	1.00341e-11	9.93353e-11	3.98698e-15	1.99349e-13	1.99349e-13	3.98698e-15	8.00109e-18	8.00107e-18	1.60023e-19	3.99845e-16	8.00107e-18	8.00109e-18	1.13316e-20	3.2113e-22	3.2113e-22	1.13316e-20	2.56508e-26	4.80066e-15	2.39907e-13	6.6763e-18	6.6763e-18	4.00566e-15	1.92678e-19	4.80066e-15	1.92678e-19	6.6763e-18	6.6763e-18	4.00566e-15	6.72701e-25	6.72701e-25	6.72701e-25	3.96262e-22	3.96262e-22	3.96262e-22	2.37743e-19
89	1.0034e-11	9.93353e-11	3.98692e-15	1.99346e-13	1.99346e-13	3.98692e-15	8.00088e-18	8.00086e-18	1.60019e-19	3.99838e-16	8.00086e-18	8.00088e-18	1.1396e-20	3.21118e-22	3.21118e-22	1.1396e-20	2.58058e-26	4.80053e-15	2.39903e-13	6.71663e-18	6.71663e-18	4.02985e-15	1.92671e-19	4.80053e-15	1.92671e-19	6.71663e-18	6.71663e-18	4.02985e-15	6.85022e-25	6.85022e-25	6.85022e-25	4.03614e-22	4.03614e-22	4.03614e-22	2.42154e-19
90	1.00339e-11	9.93353e-11	3.98687e-15	1.99343e-13	1.99343e-13	3.98687e-15	8.00068e-18	8.00065e-18	1.60015e-19	3.9983e-16	8.00065e-18	8.00068e-18	1.14595e-20	3.21105e-22	3.21105e-22	1.14595e-20	2.59591e-26	4.80041e-15	2.39898e-13	6.7564e-18	6.7564e-18	4.05372e-15	1.92663e-19	4.80041e-15	1.92663e-19	6.7564e-18	6.7564e-18	4.05372e-15	6.97407e-25	6.97407e-25	6.97407e-25	4.11005e-22	4.11005e-22	4.11005e-22	2.46588e-19
91	1.00337e-11	9.93352e-11	3.98682e-15	1.99341e-13	1.99341e-13	3.98682e-15	8.00047e-18	8.00045e-18	1.60011e-19	3.99823e-16	8.00045e-18	8.00047e-18	1.15221e-20	3.21093e-22	3.21093e-22	1.15221e-20	2.61105e-26	4.80028e-15	2.39894e-13	6.79563e-18	6.79563e-18	4.07726e-15	1.92656e-19	4.80028e-15	1.92656e-19	6.79563e-18	6.79563e-18	4.07726e-15	7.09857e-25	7.09857e-25	7.09857e-25	4.18436e-22	4.18436e-22	4.18436e-22	2.51047e-19
92	1.00336e-11	9.93352e-11	3.98677e-15	1.99338e-13	1.99338e-13	3.98677e-15	8.00027e-18	8.00025e-18	1.60007e-19	3.99815e-16	8.00025e-18	8.00027e-18	1.15839e-20	3.21081e-22	3.21081e-22	1.15839e-20	2.62603e-26	4.80016e-15	2.39889e-13	6.83433e-18	6.83433e-18	4.10048e-15	1.92649e-19	4.80016e-15	1.92649e-19	6.83433e-18	6.83433e-18	4.10048e-15	7.22369e-25	7.22369e-25	7.22369e-25	4.25905e-22	4.25905e-22	4.25905e-22	2.55528e-19
93	1.00335e-11	9.93352e-11	3.98672e-15	1.99336e-13	1.99336e-13	3.98672e-15	8.00007e-18	8.00005e-18	1.60003e-19	3.99808e-16	8.00005e-18	8.00007e-18	1.16449e-20	3.21069e-22	3.21069e-22	1.16449e-20	2.64085e-26	4.80004e-15	2.39885e-13	6.8725e-18	6.8725e-18	4.12338e-15	1.92641e-19	4.80004e-15	1.92641e-19	6.8725e-18	6.8725e-18	4.12338e-15	7.34943e-25	7.34943e-25	7.34943e-25	4.33411e-22	4.33411e-22	4.33411e-22	2.60032e-19
94	1.00334e-11	9.93351e-11	3.98667e-15	1.99333e-13	1.99333e-13	3.98667e-15	7.99987e-18	7.99985e-18	1.59999e-19	3.99801e-16	7.99985e-18	7.99987e-18	1.1705e-20	3.21057e-22	3.21057e-22	1.1705e-20	2.65549e-26	4.79993e-15	2.39881e-13	6.91015e-18	6.91015e-18	4.14598e-15	1.92634e-19	4.79993e-15	1.92634e-19	6.91015e-18	6.91015e-18	4.14598e-15	7.47578e-25	7.47578e-25	7.47578e-25	4.40954e-22	4.40954e-22	4.40954e-22	2.64557e-19
95	1.00333e-11	9.93351e-11	3.98662e-15	1.99331e-13	1.99331e-13	3.98662e-15	7.99968e-18	7.99966e-18	1.59995e-19	3.99794e-16	7.99966e-18	7.99968e-18	1.17643e-20	3.21045e-22	3.21045e-22	1.17643e-20	2.66998e-26	4.79981e-15	2.39876e-13	6.9473e-18	6.9473e-18	4.16827e-15	1.92627e-19	4.79981e-15	1.92627e-19	6.9473e-18	6.9473e-18	4.16827e-15	7.60272e-25	7.60272e-25	7.60272e-25	4.48533e-22	4.48533e-22	4.48533e-22	2.69105e-19
96	1.00331e-11	9.93351e-11	3.98657e-15	1.99328e-13	1.99328e-13	3.98657e-15	7.99949e-18	7.99947e-18	1.59991e-19	3.99787e-16	7.99947e-18	7.99949e-18	1.18229e-20	3.21034e-22	3.21034e-22	1.18229e-20	2.68431e-26	4.79969e-15	2.39872e-13	6.98396e-18	6.98396e-18	4.19027e-15	1.9262e-19	4.79969e-15	1.9262e-19	6.98396e-18	6.98396e-18	4.19027e-15	7.73024e-25	7.73024e-25	7.73024e-25	4.56148e-22	4.56148e-22	4.56148e-22	2.73674e-19
97	1.0033e-11	9.9335e-11	3.98652e-15	1.99326e-13	1.99326e-13	3.98652e-15	7.9993e-18	7.99928e-18	1.59987e-19	3.9978e-16	7.99928e-18	7.9993e-18	1.18806e-20	3.21023e-22	3.21023e-22	1.18806e-20	2.69849e-26	4.79958e-15	2.39868e-13	7.02013e-18	7.02013e-18	4.21197e-15	1.92614e-19	4.79958e-15	1.92614e-19	7.02013e-18	7.02013e-18	4.21197e-15	7.85833e-25	7.85833e-25	7.85833e-25	4.63797e-22	4.63797e-22	4.63797e-22	2.78263e-19
98	1.00329e-11	9.9335e-11	3.98647e-15	1.99323e-13	1.99323e-13	3.98647e-15	7.99911e-18	7.99909e-18	1.59984e-19	3.99774e-16	7.99909e-18	7.99911e-18	1.19376e-20	3.21011e-22	3.21011e-22	1.19376e-20	2.71251e-26	4.79947e-15	2.39864e-13	7.05582e-18	7.05582e-18	4.23338e-15	1.92607e-19	4.79947e-15	1.92607e-19	7.05582e-18	7.05582e-18	4.23338e-15	7.98698e-25	7.98698e-25	7.98698e-25	4.71481e-22	4.71481e-22	4.71481e-22	2.82873e-19
99	1.00328e-11	9.9335e-11	3.98643e-15	1.99321e-13	1.99321e-13	3.98643e-15	7.99893e-18	7.99891e-18	1.5998e-19	3.99767e-16	7.99891e-18	7.99893e-18	1.19936e-20	3.21001e-22	3.21001e-22	1.19936e-20	2.72632e-26	4.79936e-15	2.3986e-13	7.09086e-18	7.09086e-18	4.25441e-15	1.926e-19	4.79936e-15	1.926e-19	7.09086e-18	7.09086e-18	4.25441e-15	8.1164e-25	8.1164e-25	8.1164e-25	4.79211e-22	4.79211e-22	4.79211e-22	2.87511e-19
100	1.00327e-11	9.93349e-11	3.98638e-15	1.99319e-13	1.99319e-13	3.98638e-15	7.99875e-18	7.99873e-18	1.59976e-19	3.9976e-16	7.99873e-18	7.99875e-18	1.20489e-20	3.2099e-22	3.2099e-22	1.20489e-20	2.74002e-26	4.79925e-15	2.39856e-13	7.12553e-18	7.12553e-18	4.27522e-15	1.92594e-19	4.79925e-15	1.92594e-19	7.12553e-18	7.12553e-18	4.27522e-15	8.24625e-25	8.24625e-25	8.24625e-25	4.86967e-22	4.86967e-22	4.86967e-22	2.92165e-19
