Time	[S1]	[DNA0000]	[DNA0001]	[DNA0010]	[DNA0100]	[DNA1000]	[DNA1100]	[DNA1010]	[DNA1001]	[DNA0110]	[DNA0101]	[DNA0011]	[DNA1110]	[DNA1011]	[DNA1101]	[DNA0111]	[DNA1111]	[DNA001_1]	[DNA01_10]	[DNA01_11]	[DNA011_1]	[DNA01_1_1]	[DNA101_1]	[DNA1_100]	[DNA1_101]	[DNA1_110]	[DNA11_10]	[DNA1_1_10]	[DNA1_111]	[DNA11_11]	[DNA111_1]	[DNA1_1_11]	[DNA1_11_1]	[DNA11_1_1]	[DNA1_1_1_1]
20	1.00494e-11	9.93399e-11	3.99322e-15	1.9966e-13	1.9966e-13	3.99322e-15	8.02567e-18	8.02563e-18	1.60518e-19	4.00435e-16	8.02563e-18	8.02567e-18	3.96322e-21	3.22609e-22	3.22609e-22	3.96322e-21	9.14613e-27	4.8154e-15	2.4026e-13	2.06244e-18	2.06244e-18	1.23715e-15	1.93565e-19	4.8154e-15	1.93565e-19	2.06244e-18	2.06244e-18	1.23715e-15	5.59708e-26	5.59708e-26	5.59708e-26	3.08666e-23	3.08666e-23	3.08666e-23	1.85146e-20
21	1.0049e-11	9.93397e-11	3.99304e-15	1.99652e-13	1.99652e-13	3.99304e-15	8.02503e-18	8.02493e-18	1.60504e-19	4.00501e-16	8.02493e-18	8.02503e-18	4.12959e-21	3.22568e-22	3.22568e-22	4.12959e-21	9.50473e-27	4.81502e-15	2.403e-13	2.16654e-18	2.16654e-18	1.29961e-15	1.93541e-19	4.81502e-15	1.93541e-19	2.16654e-18	2.16654e-18	1.29961e-15	6.07379e-26	6.07379e-26	6.07379e-26	3.36217e-23	3.36217e-23	3.36217e-23	2.01674e-20
22	1.00486e-11	9.93396e-11	3.99288e-15	1.99643e-13	1.99643e-13	3.99288e-15	8.02437e-18	8.02428e-18	1.60491e-19	4.00541e-16	8.02428e-18	8.02437e-18	4.29365e-21	3.22527e-22	3.22527e-22	4.29365e-21	9.85878e-27	4.81463e-15	2.40325e-13	2.26922e-18	2.26922e-18	1.36122e-15	1.93517e-19	4.81463e-15	1.93517e-19	2.26922e-18	2.26922e-18	1.36122e-15	6.5676e-26	6.5676e-26	6.5676e-26	3.64808e-23	3.64808e-23	3.64808e-23	2.18827e-20
23	1.00482e-11	9.93395e-11	3.99272e-15	1.99636e-13	1.99636e-13	3.99272e-15	8.02371e-18	8.02367e-18	1.60479e-19	4.00565e-16	8.02367e-18	8.02371e-18	4.45545e-21	3.22484e-22	3.22484e-22	4.45545e-21	1.02083e-26	4.81423e-15	2.40339e-13	2.3705e-18	2.3705e-18	1.422e-15	1.9349e-19	4.81423e-15	1.9349e-19	2.3705e-18	2.3705e-18	1.422e-15	7.07824e-26	7.07824e-26	7.07824e-26	3.94424e-23	3.94424e-23	3.94424e-23	2.36594e-20
24	1.00478e-11	9.93394e-11	3.99258e-15	1.99628e-13	1.99628e-13	3.99258e-15	8.02312e-18	8.0231e-18	1.60467e-19	4.00576e-16	8.0231e-18	8.02312e-18	4.61501e-21	3.22449e-22	3.22449e-22	4.61501e-21	1.05534e-26	4.81387e-15	2.40345e-13	2.47039e-18	2.47039e-18	1.48193e-15	1.93469e-19	4.81387e-15	1.93469e-19	2.47039e-18	2.47039e-18	1.48193e-15	7.6055e-26	7.6055e-26	7.6055e-26	4.2505e-23	4.2505e-23	4.2505e-23	2.54968e-20
25	1.00475e-11	9.93393e-11	3.99244e-15	1.99621e-13	1.99621e-13	3.99244e-15	8.02255e-18	8.02254e-18	1.60456e-19	4.00579e-16	8.02254e-18	8.02255e-18	4.77236e-21	3.22417e-22	3.22417e-22	4.77236e-21	1.0894e-26	4.81353e-15	2.40347e-13	2.5689e-18	2.5689e-18	1.54105e-15	1.9345e-19	4.81353e-15	1.9345e-19	2.5689e-18	2.5689e-18	1.54105e-15	8.14913e-26	8.14913e-26	8.14913e-26	4.56673e-23	4.56673e-23	4.56673e-23	2.7394e-20
26	1.00471e-11	9.93392e-11	3.9923e-15	1.99615e-13	1.99615e-13	3.9923e-15	8.02203e-18	8.02201e-18	1.60445e-19	4.00576e-16	8.02201e-18	8.02203e-18	4.92755e-21	3.22387e-22	3.22387e-22	4.92755e-21	1.12303e-26	4.81322e-15	2.40346e-13	2.66607e-18	2.66607e-18	1.59935e-15	1.93432e-19	4.81322e-15	1.93432e-19	2.66607e-18	2.66607e-18	1.59935e-15	8.70891e-26	8.70891e-26	8.70891e-26	4.8928e-23	4.8928e-23	4.8928e-23	2.93502e-20
27	1.00468e-11	9.93391e-11	3.99217e-15	1.99608e-13	1.99608e-13	3.99217e-15	8.02154e-18	8.02149e-18	1.60434e-19	4.00569e-16	8.02149e-18	8.02154e-18	5.08059e-21	3.22358e-22	3.22358e-22	5.08059e-21	1.15623e-26	4.81293e-15	2.40341e-13	2.76189e-18	2.76189e-18	1.65685e-15	1.93415e-19	4.81293e-15	1.93415e-19	2.76189e-18	2.76189e-18	1.65685e-15	9.28462e-26	9.28462e-26	9.28462e-26	5.22855e-23	5.22855e-23	5.22855e-23	3.13645e-20
28	1.00465e-11	9.9339e-11	3.99204e-15	1.99602e-13	1.99602e-13	3.99204e-15	8.02104e-18	8.02098e-18	1.60424e-19	4.00558e-16	8.02098e-18	8.02104e-18	5.23151e-21	3.22328e-22	3.22328e-22	5.23151e-21	1.18901e-26	4.81263e-15	2.40335e-13	2.85639e-18	2.85639e-18	1.71356e-15	1.93397e-19	4.81263e-15	1.93397e-19	2.85639e-18	2.85639e-18	1.71356e-15	9.87603e-26	9.87603e-26	9.87603e-26	5.57386e-23	5.57386e-23	5.57386e-23	3.34361e-20
29	1.00462e-11	9.93389e-11	3.99191e-15	1.99595e-13	1.99595e-13	3.99191e-15	8.02055e-18	8.02049e-18	1.60414e-19	4.00544e-16	8.02049e-18	8.02055e-18	5.38035e-21	3.22299e-22	3.22299e-22	5.38035e-21	1.22137e-26	4.81233e-15	2.40327e-13	2.9496e-18	2.9496e-18	1.76948e-15	1.93379e-19	4.81233e-15	1.93379e-19	2.9496e-18	2.9496e-18	1.76948e-15	1.04829e-25	1.04829e-25	1.04829e-25	5.92859e-23	5.92859e-23	5.92859e-23	3.55644e-20
30	1.00459e-11	9.93388e-11	3.99179e-15	1.99589e-13	1.99589e-13	3.99179e-15	8.02006e-18	8.02001e-18	1.60405e-19	4.0053e-16	8.02001e-18	8.02006e-18	5.52714e-21	3.2227e-22	3.2227e-22	5.52714e-21	1.25332e-26	4.81204e-15	2.40318e-13	3.04151e-18	3.04151e-18	1.82463e-15	1.93362e-19	4.81204e-15	1.93362e-19	3.04151e-18	3.04151e-18	1.82463e-15	1.11051e-25	1.11051e-25	1.11051e-25	6.29262e-23	6.29262e-23	6.29262e-23	3.77483e-20
31	1.00456e-11	9.93387e-11	3.99167e-15	1.99583e-13	1.99583e-13	3.99167e-15	8.01958e-18	8.01953e-18	1.60395e-19	4.00514e-16	8.01953e-18	8.01958e-18	5.6719e-21	3.22241e-22	3.22241e-22	5.6719e-21	1.28487e-26	4.81175e-15	2.40308e-13	3.13216e-18	3.13216e-18	1.87903e-15	1.93345e-19	4.81175e-15	1.93345e-19	3.13216e-18	3.13216e-18	1.87903e-15	1.17423e-25	1.17423e-25	1.17423e-25	6.6658e-23	6.6658e-23	6.6658e-23	3.99873e-20
32	1.00453e-11	9.93386e-11	3.99155e-15	1.99577e-13	1.99577e-13	3.99155e-15	8.01912e-18	8.01906e-18	1.60386e-19	4.00498e-16	8.01906e-18	8.01912e-18	5.81466e-21	3.22213e-22	3.22213e-22	5.81466e-21	1.31601e-26	4.81147e-15	2.40299e-13	3.22156e-18	3.22156e-18	1.93267e-15	1.93328e-19	4.81147e-15	1.93328e-19	3.22156e-18	3.22156e-18	1.93267e-15	1.23944e-25	1.23944e-25	1.23944e-25	7.04803e-23	7.04803e-23	7.04803e-23	4.22804e-20
33	1.0045e-11	9.93385e-11	3.99144e-15	1.99571e-13	1.99571e-13	3.99144e-15	8.01865e-18	8.0186e-18	1.60376e-19	4.00482e-16	8.0186e-18	8.01865e-18	5.95544e-21	3.22185e-22	3.22185e-22	5.95544e-21	1.34676e-26	4.81119e-15	2.40289e-13	3.30972e-18	3.30972e-18	1.98557e-15	1.93311e-19	4.81119e-15	1.93311e-19	3.30972e-18	3.30972e-18	1.98557e-15	1.30611e-25	1.30611e-25	1.30611e-25	7.43916e-23	7.43916e-23	7.43916e-23	4.46271e-20
34	1.00447e-11	9.93385e-11	3.99132e-15	1.99566e-13	1.99566e-13	3.99132e-15	8.01819e-18	8.01815e-18	1.60367e-19	4.00465e-16	8.01815e-18	8.01819e-18	6.09429e-21	3.22157e-22	3.22157e-22	6.09429e-21	1.37712e-26	4.81092e-15	2.40279e-13	3.39666e-18	3.39666e-18	2.03774e-15	1.93294e-19	4.81092e-15	1.93294e-19	3.39666e-18	3.39666e-18	2.03774e-15	1.37422e-25	1.37422e-25	1.37422e-25	7.83908e-23	7.83908e-23	7.83908e-23	4.70264e-20
35	1.00445e-11	9.93384e-11	3.99121e-15	1.9956e-13	1.9956e-13	3.99121e-15	8.01775e-18	8.0177e-18	1.60358e-19	4.00449e-16	8.0177e-18	8.01775e-18	6.23121e-21	3.22131e-22	3.22131e-22	6.23121e-21	1.4071e-26	4.81065e-15	2.4027e-13	3.48241e-18	3.48241e-18	2.08919e-15	1.93279e-19	4.81065e-15	1.93279e-19	3.48241e-18	3.48241e-18	2.08919e-15	1.44376e-25	1.44376e-25	1.44376e-25	8.24767e-23	8.24767e-23	8.24767e-23	4.94777e-20
36	1.00442e-11	9.93383e-11	3.99109e-15	1.99554e-13	1.99554e-13	3.99109e-15	8.01731e-18	8.01726e-18	1.60349e-19	4.00433e-16	8.01726e-18	8.01731e-18	6.36625e-21	3.22104e-22	3.22104e-22	6.36625e-21	1.4367e-26	4.81039e-15	2.4026e-13	3.56697e-18	3.56697e-18	2.13993e-15	1.93263e-19	4.81039e-15	1.93263e-19	3.56697e-18	3.56697e-18	2.13993e-15	1.51471e-25	1.51471e-25	1.51471e-25	8.6648e-23	8.6648e-23	8.6648e-23	5.19804e-20
37	1.00439e-11	9.93382e-11	3.99098e-15	1.99549e-13	1.99549e-13	3.99098e-15	8.01688e-18	8.01683e-18	1.60341e-19	4.00418e-16	8.01683e-18	8.01688e-18	6.49942e-21	3.22078e-22	3.22078e-22	6.49942e-21	1.46593e-26	4.81013e-15	2.40251e-13	3.65036e-18	3.65036e-18	2.18997e-15	1.93247e-19	4.81013e-15	1.93247e-19	3.65036e-18	3.65036e-18	2.18997e-15	1.58703e-25	1.58703e-25	1.58703e-25	9.09035e-23	9.09035e-23	9.09035e-23	5.45335e-20
