Time	[PLG]	[PLS]	[scUPA]	[tcUPA]	[LTGFb1]	[TGFb1]	[TSP1]	[PAI1]	[TSP1:PLS]	[A2M]	[A2M:PLS]	[PAI1:tcUPA]	[PAI1:scUPA]
26	0.720513	0.000841518	0.0488393	0.00010401	0.0500842	0.010093	0.0025595	0.0667439	1.50485e-06	0.0651475	0.0111352	8.62682e-07	0.00109325
27	0.741352	0.000870135	0.0495008	0.000112784	0.0491562	0.0112284	0.00289064	0.0764372	1.75737e-06	0.0662423	0.0121865	1.11353e-06	0.00131422
28	0.761766	0.000897902	0.050091	0.000121709	0.0479036	0.0124403	0.0032705	0.0871466	2.05176e-06	0.0672617	0.0132762	1.42255e-06	0.00156888
29	0.781763	0.000924662	0.0506095	0.00013074	0.046319	0.013725	0.00370842	0.0989287	2.39579e-06	0.0682088	0.0144014	1.79975e-06	0.0018606
30	0.801352	0.000950225	0.0510562	0.000139829	0.0443995	0.0150754	0.00421584	0.111833	2.79884e-06	0.0690876	0.0155591	2.25616e-06	0.00219283
31	0.820541	0.000974365	0.0514306	0.000148921	0.0421486	0.01648	0.00480685	0.125898	3.27216e-06	0.0699022	0.0167457	2.80373e-06	0.00256901
32	0.839339	0.000996813	0.0517323	0.000157957	0.0395781	0.0179222	0.00549866	0.141149	3.82918e-06	0.0706569	0.0179573	3.45518e-06	0.00299254
33	0.857756	0.00101726	0.0519612	0.000166874	0.0367109	0.0193785	0.00631222	0.157589	4.4857e-06	0.0713569	0.0191897	4.22379e-06	0.00346664
34	0.8758	0.00103534	0.0521173	0.000175601	0.0335838	0.0208173	0.0072726	0.175191	5.25987e-06	0.0720075	0.0204378	5.1231e-06	0.00399425
35	0.89348	0.00105067	0.052201	0.000184064	0.0302504	0.0221974	0.00840907	0.193893	6.17174e-06	0.0726148	0.0216963	6.16643e-06	0.0045779
36	0.910806	0.00106281	0.0522133	0.000192184	0.0267834	0.0234681	0.00975438	0.213587	7.242e-06	0.0731855	0.0229591	7.3663e-06	0.0052195
37	0.927786	0.00107136	0.0521557	0.00019988	0.0232757	0.0245698	0.0113425	0.234108	8.4894e-06	0.0737266	0.0242196	8.73374e-06	0.00592019
38	0.94443	0.00107596	0.0520308	0.00020707	0.019837	0.0254379	0.0132042	0.255233	9.92653e-06	0.0742459	0.0254708	1.02774e-05	0.00668012
39	0.960747	0.00107637	0.0518422	0.000213673	0.0165872	0.026011	0.0153594	0.276674	1.15539e-05	0.0747512	0.0267052	1.20028e-05	0.00749826
40	0.976746	0.00107259	0.0515945	0.000219619	0.0136417	0.0262419	0.0178078	0.298093	1.33531e-05	0.0752504	0.0279154	1.39112e-05	0.00837225
41	0.992436	0.00106494	0.0512936	0.000224849	0.0110942	0.0261116	0.0205177	0.319126	1.52822e-05	0.075751	0.0290947	1.59993e-05	0.00929835
42	1.00783	0.00105408	0.0509463	0.000229328	0.00899759	0.0256403	0.0234215	0.339413	1.72763e-05	0.0762591	0.0302373	1.82585e-05	0.0102715
43	1.02292	0.00104096	0.0505603	0.000233041	0.00735512	0.0248881	0.0264195	0.358646	1.92565e-05	0.0767793	0.0313392	2.06759e-05	0.0112856
44	1.03774	0.00102667	0.0501437	0.000236004	0.00612384	0.0239446	0.0293963	0.376603	2.11447e-05	0.0773142	0.0323983	2.32345e-05	0.0123338
45	1.05228	0.00101222	0.0497044	0.000238254	0.00523132	0.0229079	0.0322426	0.393163	2.28787e-05	0.0778641	0.0334146	2.59148e-05	0.013409
46	1.06655	0.000998395	0.0492499	0.00023985	0.00459669	0.0218645	0.0348749	0.408308	2.44211e-05	0.0784281	0.0343898	2.86963e-05	0.0145043
47	1.08056	0.000985694	0.0487871	0.000240859	0.00414708	0.0208775	0.0372439	0.422097	2.57596e-05	0.0790036	0.0353266	3.15582e-05	0.0156131
48	1.09431	0.000974332	0.0483217	0.00024135	0.00382538	0.0199836	0.0393328	0.434639	2.69005e-05	0.079588	0.0362285	3.44812e-05	0.0167297
49	1.10782	0.000964334	0.0478585	0.000241395	0.00359087	0.0191985	0.0411485	0.446066	2.78618e-05	0.0801782	0.0370987	3.74474e-05	0.0178493
50	1.12108	0.00095561	0.0474016	0.000241055	0.00341601	0.0185233	0.0427125	0.456518	2.86661e-05	0.0807713	0.0379406	4.04409e-05	0.0189675
51	1.1341	0.00094802	0.0469538	0.00024039	0.00328267	0.017951	0.0440531	0.466125	2.93366e-05	0.081365	0.038757	4.34478e-05	0.0200812
52	1.1469	0.000941412	0.0465174	0.00023945	0.00317889	0.0174707	0.0451999	0.475007	2.9895e-05	0.0819572	0.0395506	4.6456e-05	0.0211874
53	1.15946	0.000935641	0.0460941	0.000238279	0.00309665	0.0170704	0.0461812	0.483268	3.03605e-05	0.082546	0.0403235	4.94553e-05	0.0222841
54	1.1718	0.00093058	0.045685	0.000236917	0.00303047	0.0167384	0.0470227	0.490997	3.07495e-05	0.08313	0.0410775	5.24369e-05	0.0233696
55	1.18392	0.000926118	0.0452908	0.000235397	0.00297647	0.0164641	0.0477467	0.498272	3.10756e-05	0.0837081	0.0418142	5.53935e-05	0.0244426
56	1.19583	0.000922163	0.0449119	0.000233748	0.00293185	0.016238	0.0483724	0.505156	3.13504e-05	0.0842794	0.042535	5.83189e-05	0.0255021
57	1.20753	0.00091864	0.0445483	0.000231995	0.00289455	0.016052	0.0489163	0.511702	3.15834e-05	0.0848431	0.0432408	6.12081e-05	0.0265476
58	1.21902	0.000915486	0.0442001	0.000230161	0.00286303	0.0158993	0.0493918	0.517956	3.17822e-05	0.0853987	0.0439328	6.40568e-05	0.0275784
59	1.23031	0.000912649	0.0438668	0.000228263	0.0028361	0.015774	0.0498103	0.523953	3.19532e-05	0.0859457	0.0446117	6.68616e-05	0.0285943
60	1.2414	0.000910086	0.0435483	0.000226319	0.00281286	0.0156713	0.0501814	0.529726	3.21017e-05	0.0864839	0.0452783	6.96197e-05	0.0295952
61	1.25229	0.000907764	0.0432439	0.000224342	0.00279261	0.0155872	0.0505128	0.5353	3.2232e-05	0.0870129	0.045933	7.2329e-05	0.0305809
62	1.26299	0.000905653	0.0429533	0.000222345	0.00277479	0.0155183	0.050811	0.540696	3.23474e-05	0.0875326	0.0465766	7.49878e-05	0.0315516
63	1.2735	0.000903729	0.0426758	0.000220339	0.00275894	0.0154619	0.0510814	0.545931	3.24509e-05	0.0880429	0.0472093	7.75947e-05	0.0325072
64	1.28383	0.000901973	0.0424109	0.000218333	0.00274475	0.0154158	0.0513282	0.551021	3.25446e-05	0.0885437	0.0478317	8.01488e-05	0.0334481
65	1.29397	0.000900369	0.0421581	0.000216334	0.00273192	0.0153781	0.051555	0.555977	3.26306e-05	0.089035	0.0484442	8.26496e-05	0.0343742
66	1.30394	0.000898903	0.0419168	0.000214349	0.00272022	0.0153472	0.0517649	0.56081	3.27103e-05	0.0895167	0.049047	8.50968e-05	0.0352859
67	1.31373	0.000897562	0.0416863	0.000212385	0.00270949	0.0153219	0.0519602	0.565528	3.2785e-05	0.089989	0.0496405	8.74902e-05	0.0361833
68	1.32334	0.000896338	0.0414661	0.000210446	0.00269958	0.0153012	0.052143	0.57014	3.28556e-05	0.0904518	0.050225	8.983e-05	0.0370667
69	1.33279	0.000895221	0.0412558	0.000208537	0.00269037	0.0152842	0.0523149	0.57465	3.29229e-05	0.0909053	0.0508007	9.21163e-05	0.0379364
70	1.34207	0.000894204	0.0410547	0.00020666	0.00268176	0.0152703	0.0524772	0.579064	3.29877e-05	0.0913494	0.0513679	9.43497e-05	0.0387925
71	1.35119	0.000893281	0.0408625	0.00020482	0.00267367	0.0152589	0.0526311	0.583387	3.30504e-05	0.0917842	0.0519268	9.65307e-05	0.0396354
72	1.36014	0.000892447	0.0406785	0.000203018	0.00266605	0.0152495	0.0527775	0.587623	3.31114e-05	0.0922099	0.0524775	9.86599e-05	0.0404653
73	1.36894	0.000891695	0.0405024	0.000201256	0.00265884	0.0152417	0.0529172	0.591774	3.31711e-05	0.0926266	0.0530204	0.000100738	0.0412825
74	1.37758	0.000891022	0.0403338	0.000199536	0.002652	0.0152354	0.0530507	0.595845	3.32298e-05	0.0930343	0.0535556	0.000102766	0.0420871
75	1.38606	0.000890424	0.0401721	0.000197859	0.00264549	0.0152301	0.0531787	0.599837	3.32876e-05	0.0934332	0.0540832	0.000104745	0.0428795
76	1.3944	0.000889896	0.0400171	0.000196225	0.00263928	0.0152257	0.0533015	0.603754	3.33447e-05	0.0938234	0.0546035	0.000106675	0.0436598
77	1.40259	0.000889437	0.0398684	0.000194637	0.00263335	0.0152221	0.0534195	0.607596	3.34013e-05	0.094205	0.0551167	0.000108558	0.0444283
78	1.41063	0.000889041	0.0397257	0.000193093	0.00262767	0.0152191	0.0535331	0.611367	3.34575e-05	0.094578	0.0556227	0.000110394	0.0451852
79	1.41853	0.000888707	0.0395885	0.000191594	0.00262223	0.0152165	0.0536425	0.615068	3.35132e-05	0.0949427	0.0561219	0.000112185	0.0459308
80	1.42629	0.000888431	0.0394567	0.000190139	0.00261702	0.0152144	0.0537479	0.6187	3.35687e-05	0.0952992	0.0566144	0.000113932	0.0466652
81	1.43391	0.000888212	0.0393299	0.00018873	0.00261201	0.0152126	0.0538495	0.622265	3.36239e-05	0.0956475	0.0571002	0.000115635	0.0473886
82	1.4414	0.000888046	0.0392079	0.000187365	0.0026072	0.015211	0.0539475	0.625766	3.36788e-05	0.0959879	0.0575796	0.000117296	0.0481012
83	1.44875	0.000887932	0.0390905	0.000186043	0.00260258	0.0152097	0.054042	0.629202	3.37335e-05	0.0963203	0.0580527	0.000118916	0.0488033
84	1.45597	0.000887868	0.0389773	0.000184765	0.00259814	0.0152086	0.0541332	0.632575	3.3788e-05	0.096645	0.0585195	0.000120496	0.0494949
85	1.46307	0.00088785	0.0388682	0.000183529	0.00259387	0.0152076	0.0542212	0.635887	3.38423e-05	0.0969621	0.0589802	0.000122037	0.0501764
86	1.47003	0.000887878	0.0387629	0.000182335	0.00258976	0.0152067	0.0543061	0.639139	3.38963e-05	0.0972717	0.0594349	0.00012354	0.0508478
87	1.47688	0.000887949	0.0386614	0.000181183	0.00258581	0.0152059	0.054388	0.642332	3.39501e-05	0.0975739	0.0598838	0.000125006	0.0515093
88	1.4836	0.000888062	0.0385633	0.00018007	0.00258202	0.0152052	0.0544669	0.645467	3.40037e-05	0.0978688	0.0603269	0.000126437	0.0521611
89	1.4902	0.000888215	0.0384685	0.000178997	0.00257837	0.0152046	0.0545429	0.648545	3.40571e-05	0.0981566	0.0607643	0.000127832	0.0528034
90	1.49668	0.000888406	0.0383769	0.000177962	0.00257487	0.015204	0.0546162	0.651568	3.41102e-05	0.0984374	0.0611961	0.000129194	0.0534362
91	1.50305	0.000888634	0.0382884	0.000176964	0.0025715	0.0152035	0.0546868	0.654535	3.41631e-05	0.0987113	0.0616225	0.000130523	0.0540598
92	1.5093	0.000888898	0.0382027	0.000176003	0.00256826	0.015203	0.0547547	0.657449	3.42157e-05	0.0989784	0.0620435	0.000131821	0.0546743
93	1.51545	0.000889195	0.0381197	0.000175077	0.00256516	0.0152026	0.0548201	0.66031	3.4268e-05	0.0992389	0.0624592	0.000133087	0.0552799
94	1.52148	0.000889524	0.0380394	0.000174186	0.00256218	0.0152022	0.054883	0.66312	3.432e-05	0.0994928	0.0628697	0.000134324	0.0558765
95	1.5274	0.000889885	0.0379615	0.000173328	0.00255932	0.0152018	0.0549433	0.665879	3.43717e-05	0.0997404	0.0632751	0.000135531	0.0564645
96	1.53322	0.000890275	0.0378861	0.000172503	0.00255658	0.0152014	0.0550013	0.668587	3.44231e-05	0.0999816	0.0636754	0.000136711	0.057044
97	1.53893	0.000890694	0.0378129	0.000171709	0.00255396	0.015201	0.055057	0.671247	3.44742e-05	0.100217	0.0640708	0.000137863	0.057615
98	1.54454	0.00089114	0.037742	0.000170946	0.00255144	0.0152007	0.0551104	0.673859	3.45249e-05	0.100446	0.0644614	0.000138989	0.0581776
99	1.55005	0.000891613	0.0376731	0.000170212	0.00254904	0.0152003	0.0551615	0.676423	3.45752e-05	0.100669	0.0648471	0.000140089	0.0587321
100	1.55547	0.00089211	0.0376062	0.000169507	0.00254674	0.0152	0.0552104	0.678942	3.46252e-05	0.100886	0.0652281	0.000141165	0.0592785
