Time	[NADH]	[O2]	[H2O2]	[per3]	[coI]	[ArH]	[coII]	[Ar]	[NADrad]	[super]	[coIII]	[per2]	[NAD2]	[NAD]	[O2g]	[NADHres]
64	5.11612	3.82291	2.33006e-06	1.39742	7.8316e-07	500	2.23446e-05	3.25041e-05	1.47179e-06	4.73104e-06	0.00254673	9.59212e-06	0	0	12	0
65	5.19594	3.87165	2.39684e-06	1.3973	8.0561e-07	500	2.29893e-05	3.29293e-05	1.49579e-06	4.87e-06	0.00266431	9.6271e-06	0	0	12	0
66	5.27576	3.92009	2.46437e-06	1.39718	8.28312e-07	500	2.36414e-05	3.33519e-05	1.51979e-06	5.01058e-06	0.00278525	9.66184e-06	0	0	12	0
67	5.35557	3.96823	2.53264e-06	1.39706	8.51267e-07	500	2.43008e-05	3.37721e-05	1.54378e-06	5.15277e-06	0.00290958	9.69636e-06	0	0	12	0
68	5.43538	4.01609	2.60167e-06	1.39693	8.7447e-07	500	2.49673e-05	3.41897e-05	1.56778e-06	5.29655e-06	0.00303735	9.73067e-06	0	0	12	0
69	5.51518	4.06365	2.67143e-06	1.3968	8.9792e-07	500	2.56411e-05	3.46049e-05	1.59178e-06	5.44192e-06	0.00316859	9.76479e-06	0	0	12	0
70	5.59498	4.11092	2.74191e-06	1.39666	9.21614e-07	500	2.63218e-05	3.50177e-05	1.61577e-06	5.58886e-06	0.00330334	9.79873e-06	0	0	12	0
71	5.67477	4.15791	2.81313e-06	1.39652	9.45551e-07	500	2.70096e-05	3.5428e-05	1.63977e-06	5.73735e-06	0.00344163	9.8325e-06	0	0	12	0
72	5.75456	4.20461	2.88506e-06	1.39638	9.69727e-07	500	2.77044e-05	3.5836e-05	1.66376e-06	5.88739e-06	0.00358349	9.8661e-06	0	0	12	0
73	5.83434	4.25102	2.9577e-06	1.39623	9.94142e-07	500	2.8406e-05	3.62416e-05	1.68776e-06	6.03895e-06	0.00372897	9.89956e-06	0	0	12	0
74	5.91411	4.29715	3.03105e-06	1.39608	1.01879e-06	500	2.91144e-05	3.66448e-05	1.71175e-06	6.19204e-06	0.0038781	9.93287e-06	0	0	12	0
75	5.99388	4.343	3.10509e-06	1.39593	1.04367e-06	500	2.98296e-05	3.70456e-05	1.73575e-06	6.34662e-06	0.0040309	9.96605e-06	0	0	12	0
76	6.07364	4.38857	3.17983e-06	1.39577	1.06879e-06	500	3.05515e-05	3.74441e-05	1.75975e-06	6.5027e-06	0.00418743	9.9991e-06	0	0	12	0
77	6.1534	4.43386	3.25525e-06	1.39561	1.09413e-06	500	3.128e-05	3.78404e-05	1.78374e-06	6.66027e-06	0.0043477	1.0032e-05	0	0	12	0
78	6.23315	4.47888	3.33136e-06	1.39545	1.1197e-06	500	3.20151e-05	3.82343e-05	1.80774e-06	6.81929e-06	0.00451175	1.00648e-05	0	0	12	0
79	6.3129	4.52361	3.40814e-06	1.39528	1.1455e-06	500	3.27567e-05	3.86259e-05	1.83174e-06	6.97978e-06	0.00467961	1.00976e-05	0	0	12	0
80	6.39264	4.56808	3.48558e-06	1.3951	1.17151e-06	500	3.35047e-05	3.90153e-05	1.85574e-06	7.14171e-06	0.00485132	1.01302e-05	0	0	12	0
81	6.47238	4.61227	3.5637e-06	1.39493	1.19775e-06	500	3.42592e-05	3.94024e-05	1.87973e-06	7.30507e-06	0.00502691	1.01627e-05	0	0	12	0
82	6.55211	4.6562	3.64247e-06	1.39475	1.22421e-06	500	3.50199e-05	3.97873e-05	1.90373e-06	7.46986e-06	0.00520642	1.01951e-05	0	0	12	0
83	6.63183	4.69985	3.72189e-06	1.39456	1.25088e-06	500	3.57869e-05	4.017e-05	1.92773e-06	7.63605e-06	0.00538986	1.02274e-05	0	0	12	0
84	6.71155	4.74324	3.80195e-06	1.39437	1.27777e-06	500	3.65601e-05	4.05505e-05	1.95174e-06	7.80364e-06	0.00557727	1.02597e-05	0	0	12	0
85	6.79126	4.78636	3.88266e-06	1.39418	1.30487e-06	500	3.73395e-05	4.09288e-05	1.97574e-06	7.97263e-06	0.00576869	1.02918e-05	0	0	12	0
86	6.87096	4.82922	3.96401e-06	1.39399	1.33218e-06	500	3.8125e-05	4.1305e-05	1.99974e-06	8.14298e-06	0.00596414	1.03239e-05	0	0	12	0
87	6.95066	4.87182	4.04598e-06	1.39379	1.3597e-06	500	3.89165e-05	4.1679e-05	2.02375e-06	8.31471e-06	0.00616366	1.03559e-05	0	0	12	0
88	7.03035	4.91415	4.12858e-06	1.39358	1.38743e-06	500	3.9714e-05	4.20509e-05	2.04776e-06	8.48779e-06	0.00636727	1.03879e-05	0	0	12	0
89	7.11004	4.95623	4.2118e-06	1.39337	1.41536e-06	500	4.05175e-05	4.24206e-05	2.07177e-06	8.66222e-06	0.006575	1.04198e-05	0	0	12	0
90	7.18972	4.99805	4.29563e-06	1.39316	1.44349e-06	500	4.13268e-05	4.27882e-05	2.09578e-06	8.83798e-06	0.00678689	1.04516e-05	0	0	12	0
91	7.26939	5.03961	4.38008e-06	1.39294	1.47183e-06	500	4.21419e-05	4.31538e-05	2.11979e-06	9.01506e-06	0.00700295	1.04834e-05	0	0	12	0
92	7.34906	5.08091	4.46512e-06	1.39272	1.50036e-06	500	4.29628e-05	4.35173e-05	2.1438e-06	9.19347e-06	0.00722323	1.05151e-05	0	0	12	0
93	7.42872	5.12197	4.55077e-06	1.3925	1.52909e-06	500	4.37894e-05	4.38787e-05	2.16782e-06	9.37317e-06	0.00744774	1.05467e-05	0	0	12	0
94	7.50838	5.16277	4.63701e-06	1.39227	1.55802e-06	500	4.46216e-05	4.42381e-05	2.19183e-06	9.55418e-06	0.00767652	1.05783e-05	0	0	12	0
95	7.58802	5.20332	4.72385e-06	1.39203	1.58714e-06	500	4.54595e-05	4.45954e-05	2.21585e-06	9.73646e-06	0.0079096	1.06099e-05	0	0	12	0
96	7.66766	5.24362	4.81126e-06	1.39179	1.61645e-06	500	4.63029e-05	4.49507e-05	2.23987e-06	9.92003e-06	0.00814699	1.06414e-05	0	0	12	0
97	7.7473	5.28367	4.89926e-06	1.39155	1.64595e-06	500	4.71518e-05	4.5304e-05	2.2639e-06	1.01049e-05	0.00838873	1.06728e-05	0	0	12	0
98	7.82693	5.32348	4.98783e-06	1.3913	1.67564e-06	500	4.80062e-05	4.56554e-05	2.28792e-06	1.02909e-05	0.00863485	1.07042e-05	0	0	12	0
99	7.90655	5.36304	5.07698e-06	1.39105	1.70552e-06	500	4.8866e-05	4.60047e-05	2.31195e-06	1.04783e-05	0.00888536	1.07356e-05	0	0	12	0
100	7.98616	5.40236	5.16669e-06	1.3908	1.73558e-06	500	4.97311e-05	4.63521e-05	2.33598e-06	1.06669e-05	0.00914031	1.07669e-05	0	0	12	0
