Time	[Mb]	[Bc]	[Bcp]	[Bn]	[Cc]	[Mc]	[Ccp]	[Mp]	[Pc]	[Pcp]	[PCc]	[PCcp]	[PCn]	[Bnp]	[PCnp]	[In]
20	10.0421	2.10965	0.873484	0.582281	0.0882638	0.208438	0.115901	0.141639	3.90142	0.134607	0.479089	0.202006	1.01527	0.235118	0.230681	0.232121
21	10.0858	2.18477	0.880152	0.777719	0.184816	0.439501	0.16909	0.361436	3.67258	0.134293	0.330338	0.180154	0.50503	0.255737	0.212458	0.148657
22	10.0707	2.27345	0.886753	1.03954	0.39759	0.753192	0.251168	0.753261	3.41581	0.133889	0.351568	0.166404	0.193815	0.275779	0.172002	0.0719988
23	9.97565	2.3727	0.893356	1.33358	0.731249	1.07877	0.334537	1.23987	3.12709	0.133367	0.568693	0.175046	0.103007	0.293608	0.114009	0.0333738
24	9.79944	2.47045	0.899947	1.59529	1.16491	1.38167	0.406522	1.74147	2.81331	0.132681	0.958732	0.194138	0.136955	0.30799	0.0980912	0.0364261
25	9.56216	2.55046	0.906412	1.77647	1.67717	1.65775	0.465855	2.50978	2.57464	0.131908	1.47213	0.211479	0.230175	0.318662	0.117752	0.0690294
26	9.29409	2.59802	0.912564	1.84239	2.21522	1.91024	0.514028	3.2497	2.46624	0.131356	2.09276	0.224377	0.374069	0.325869	0.145035	0.133527
27	9.02989	2.60208	0.91818	1.77283	2.72979	2.14197	0.552888	3.96222	2.45233	0.131123	2.81046	0.233473	0.576667	0.329822	0.170069	0.239445
28	8.80634	2.55752	0.923024	1.57103	3.18548	2.35281	0.58418	4.64019	2.504	0.131167	3.61302	0.239818	0.860133	0.330421	0.190843	0.3939
29	8.65835	2.46759	0.926859	1.26935	3.55949	2.53431	0.609364	5.25351	2.59855	0.1314	4.48383	0.244266	1.26406	0.327	0.207551	0.589466
30	8.60748	2.34523	0.929486	0.929447	3.83	2.64613	0.629589	5.68952	2.70806	0.131722	5.39223	0.247417	1.84212	0.31798	0.220759	0.792288
31	8.6463	2.21141	0.930787	0.627683	3.93597	2.54332	0.645664	5.64508	2.77552	0.131998	6.24702	0.249654	2.63508	0.30077	0.230946	0.947853
32	8.74224	2.08888	0.930798	0.417736	3.72584	2.05366	0.657869	4.9678	2.76629	0.132086	6.8267	0.251175	3.60138	0.273475	0.238484	1.01603
33	8.86381	1.99341	0.929733	0.299331	3.11139	1.34909	0.665677	4.00718	2.78587	0.132096	6.92245	0.252059	4.57378	0.239298	0.243759	1.00333
34	8.99439	1.92944	0.927938	0.239198	2.20637	0.672022	0.667348	2.99962	2.94905	0.132333	6.51986	0.252352	5.34715	0.206735	0.247234	0.944438
35	9.12743	1.89362	0.925786	0.210563	1.26887	0.197079	0.658039	2.0155	3.29684	0.132933	5.70552	0.252058	5.77506	0.182566	0.249362	0.866777
36	9.26028	1.88023	0.923594	0.20093	0.619794	0.0308538	0.625936	1.10023	3.73861	0.133728	4.65611	0.251081	5.79472	0.168561	0.250494	0.784105
37	9.39156	1.88406	0.921598	0.205132	0.319313	0.00804969	0.556902	0.355617	4.03527	0.13436	3.63984	0.249282	5.44579	0.163504	0.250848	0.702794
38	9.52025	1.90099	0.919958	0.221062	0.194213	0.00734459	0.454654	0.0339998	4.10308	0.134647	2.80508	0.24658	4.84308	0.165395	0.250539	0.625864
39	9.64528	1.9281	0.918765	0.248726	0.131482	0.0107676	0.340605	0.00692848	4.08258	0.134704	2.14726	0.24289	4.10358	0.172491	0.249585	0.554032
40	9.76522	1.96354	0.918067	0.290306	0.0939839	0.0188733	0.23743	0.0105624	4.02293	0.134664	1.61776	0.237959	3.31186	0.183583	0.247879	0.485861
41	9.8777	2.00649	0.917883	0.350637	0.0720196	0.0377308	0.162223	0.0216083	3.92244	0.134558	1.17916	0.231181	2.52353	0.197896	0.245114	0.417974
42	9.97856	2.05721	0.918216	0.43817	0.0661619	0.0836924	0.122686	0.0503407	3.78035	0.134383	0.814412	0.221329	1.77871	0.21485	0.240574	0.345515
43	10.0601	2.11707	0.919068	0.566159	0.0894055	0.193417	0.123175	0.129181	3.59903	0.13413	0.527919	0.206317	1.11479	0.23382	0.232553	0.263579
44	10.1083	2.1885	0.92045	0.751767	0.178768	0.410223	0.169497	0.328976	3.38606	0.13379	0.351732	0.185122	0.578152	0.253904	0.216555	0.172023
45	10.1012	2.27376	0.922378	1.00518	0.38633	0.716661	0.248752	0.701477	3.15066	0.133355	0.337934	0.168277	0.229821	0.273783	0.180975	0.086157
46	10.0159	2.37099	0.924855	1.30036	0.724672	1.04297	0.332257	1.1818	2.8922	0.132803	0.516046	0.172775	0.105846	0.29181	0.122085	0.0373125
47	9.84725	2.4694	0.927817	1.57367	1.17127	1.34904	0.405131	1.68333	2.61425	0.132095	0.870346	0.190704	0.124181	0.306614	0.0965842	0.0337004
48	9.61282	2.55292	0.931106	1.7742	1.71104	1.62832	0.465305	2.17381	2.33887	0.131212	1.34596	0.208447	0.204909	0.317773	0.112111	0.0606293
49	9.34124	2.6066	0.934497	1.86799	2.31969	1.88376	0.514409	2.93027	2.16233	0.130322	1.90176	0.221859	0.329514	0.325497	0.138408	0.11618
50	9.06503	2.61928	0.937728	1.83521	2.92383	2.11861	0.554237	3.65698	2.11444	0.129829	2.55279	0.231389	0.502729	0.330072	0.163362	0.207078
51	8.81866	2.58499	0.94053	1.67212	3.46848	2.334	0.586388	4.35222	2.14605	0.129762	3.30176	0.23814	0.745278	0.331545	0.1846	0.342351
52	8.63707	2.50453	0.94264	1.39798	3.92361	2.52573	0.612291	4.99885	2.22637	0.129991	4.13594	0.242954	1.09201	0.329481	0.202105	0.522485
53	8.54805	2.38726	0.943813	1.06123	4.27094	2.67098	0.633127	5.52886	2.33053	0.130373	5.03046	0.246416	1.59297	0.322657	0.216258	0.725336
54	8.55614	2.25129	0.94387	0.734286	4.47522	2.67498	0.649807	5.71498	2.41549	0.130755	5.92391	0.248914	2.29987	0.308766	0.227419	0.902182
55	8.63565	2.11936	0.942759	0.48464	4.41832	2.33047	0.66287	5.25412	2.42	0.130936	6.64377	0.250674	3.21298	0.285137	0.235884	1.00199
56	8.75137	2.01058	0.94061	0.333646	3.9469	1.66678	0.672275	4.35655	2.38903	0.130885	6.94776	0.25179	4.21119	0.252444	0.241968	1.01243
57	8.88079	1.9335	0.93772	0.254852	3.08609	0.950454	0.67722	3.35328	2.43873	0.130915	6.75947	0.252316	5.09244	0.217801	0.246082	0.963036
58	9.01444	1.88683	0.934456	0.215746	2.03053	0.364277	0.675412	2.35561	2.62909	0.131314	6.14387	0.252288	5.68862	0.189522	0.248696	0.88714
59	9.14869	1.86504	0.931157	0.198777	1.10687	0.0702056	0.660772	1.40875	2.94526	0.132071	5.21779	0.251674	5.9067	0.171198	0.25021	0.803632
60	9.28189	1.86242	0.928086	0.196626	0.564235	0.0115401	0.62188	0.583802	3.23513	0.132858	4.1911	0.250356	5.73775	0.162376	0.250897	0.721264
61	9.413	1.87432	0.925421	0.206274	0.313757	0.00620319	0.549951	0.0882104	3.34739	0.133321	3.26788	0.248217	5.25871	0.161197	0.250913	0.643942
62	9.5411	1.89731	0.923271	0.226906	0.195111	0.00774546	0.449781	0.00757125	3.35793	0.133468	2.51623	0.245159	4.58296	0.165827	0.250319	0.572862
63	9.66507	1.92908	0.921689	0.259607	0.130227	0.0124594	0.337357	0.0069769	3.33808	0.133481	1.91415	0.241016	3.80962	0.17491	0.249075	0.507089
64	9.78321	1.96837	0.920693	0.307633	0.0922285	0.0232331	0.234092	0.0130761	3.28074	0.133412	1.42178	0.235395	3.0087	0.187553	0.247	0.443816
65	9.89264	2.01488	0.920282	0.377141	0.0724587	0.0489411	0.160165	0.0284262	3.18096	0.133255	1.01169	0.227448	2.22818	0.203149	0.243653	0.378664
66	9.98812	2.06939	0.920448	0.478417	0.0739169	0.112507	0.127035	0.0697175	3.03998	0.132995	0.673872	0.215508	1.50582	0.221158	0.238026	0.306309
67	10.0599	2.13382	0.921188	0.626867	0.118367	0.258545	0.141747	0.183351	2.8657	0.13262	0.41993	0.196919	0.88082	0.24088	0.2276	0.222657
68	10.0907	2.21091	0.922509	0.839936	0.259015	0.516712	0.204463	0.44843	2.67537	0.132133	0.289087	0.172372	0.404935	0.261266	0.205345	0.131776
69	10.0559	2.30222	0.924424	1.11904	0.548258	0.839866	0.289953	0.876234	2.48369	0.131554	0.326482	0.159414	0.14094	0.280836	0.155166	0.0569331
70	9.9366	2.40292	0.926912	1.41926	0.978749	1.16193	0.371047	1.37397	2.28812	0.130876	0.545623	0.170896	0.0850158	0.297927	0.0957954	0.026689
71	9.7366	2.49939	0.929873	1.6791	1.51765	1.45854	0.439001	1.8744	2.09074	0.13007	0.921294	0.191644	0.124792	0.3115	0.0887414	0.0337866
72	9.4778	2.57594	0.933117	1.85824	2.14354	1.72907	0.494202	2.35968	1.90766	0.129149	1.40212	0.20972	0.211908	0.321501	0.111838	0.0661078
73	9.18941	2.61919	0.9364	1.92714	2.81961	1.97731	0.538856	3.11231	1.82042	0.128365	1.96243	0.222868	0.338971	0.328265	0.139653	0.126022
74	8.90341	2.61951	0.939461	1.86802	3.45769	2.20627	0.574871	3.83587	1.84016	0.128158	2.63254	0.232147	0.516929	0.332066	0.164725	0.222114
75	8.65417	2.57206	0.942031	1.67745	4.00661	2.4166	0.603829	4.5279	1.91695	0.128412	3.41154	0.23874	0.771001	0.332866	0.185957	0.364826
76	8.47719	2.47859	0.943842	1.37719	4.44648	2.60297	0.62709	5.16859	2.02653	0.128912	4.27867	0.243449	1.13932	0.330082	0.203466	0.553303
77	8.39944	2.34988	0.944646	1.02177	4.76591	2.73752	0.645754	5.6768	2.14836	0.129497	5.20284	0.246828	1.67569	0.322247	0.217576	0.760072
78	8.42105	2.20576	0.944267	0.689808	4.92677	2.70376	0.660649	5.78495	2.23746	0.130002	6.11056	0.249255	2.43242	0.306693	0.228618	0.930099
79	8.51104	2.07009	0.94267	0.448108	4.7919	2.28599	0.672239	5.21772	2.23777	0.130213	6.80412	0.250944	3.39674	0.280616	0.2369	1.01247
80	8.63308	1.96146	0.940019	0.308691	4.21564	1.58418	0.680429	4.27602	2.21455	0.130164	7.05091	0.251987	4.42456	0.245594	0.24277	1.00354
81	8.76643	1.88661	0.936652	0.237822	3.25291	0.867262	0.684415	3.26209	2.27543	0.13024	6.81325	0.252447	5.30789	0.210018	0.246688	0.939686
82	8.90297	1.84268	0.932962	0.202897	2.12016	0.306626	0.681944	2.26362	2.4679	0.130721	6.16889	0.252371	5.88912	0.182143	0.24915	0.854627
83	9.03967	1.82344	0.9293	0.18797	1.1631	0.0530998	0.667244	1.32189	2.76709	0.131556	5.23773	0.251729	6.08722	0.164721	0.25056	0.766113
84	9.17514	1.82293	0.92593	0.186543	0.607953	0.00873469	0.630171	0.514561	3.02115	0.13237	4.22512	0.250416	5.90283	0.156697	0.251188	0.682248
85	9.30847	1.83645	0.923028	0.195925	0.343972	0.0049813	0.562951	0.066474	3.10905	0.132819	3.31563	0.248328	5.41539	0.156008	0.251184	0.606423
86	9.43887	1.8606	0.920694	0.215425	0.213583	0.00629586	0.468232	0.0057533	3.12172	0.13296	2.56967	0.245375	4.73489	0.160846	0.25061	0.539191
87	9.56536	1.89309	0.918974	0.246064	0.140785	0.0100948	0.358131	0.00562718	3.11178	0.132984	1.96734	0.241398	3.95702	0.169945	0.249431	0.478948
88	9.68646	1.93266	0.917877	0.290804	0.0978035	0.0186887	0.251882	0.0104746	3.06631	0.132929	1.47178	0.236028	3.14985	0.182498	0.247484	0.422362
89	9.79965	1.97898	0.917394	0.355223	0.073961	0.0390822	0.170593	0.0224992	2.9787	0.132778	1.05657	0.228482	2.36018	0.197968	0.244382	0.364767
90	9.90038	2.03274	0.91751	0.448696	0.0694541	0.0899205	0.127954	0.0546064	2.84949	0.132513	0.71025	0.217198	1.6242	0.21588	0.239248	0.30068
91	9.98013	2.09572	0.918214	0.585648	0.100841	0.211876	0.131686	0.144423	2.68606	0.13212	0.439936	0.199387	0.978244	0.235619	0.229938	0.225354
92	10.0235	2.17065	0.919509	0.784	0.216248	0.445972	0.186026	0.368775	2.50669	0.131602	0.278612	0.173528	0.469766	0.256234	0.210482	0.140136
93	10.0068	2.25976	0.921405	1.05121	0.479379	0.762073	0.270924	0.766565	2.33253	0.130996	0.272671	0.153966	0.161917	0.276328	0.16498	0.0633449
94	9.9082	2.36001	0.923892	1.3521	0.897656	1.08855	0.35543	1.25708	2.1642	0.130324	0.442907	0.161242	0.0755485	0.294215	0.0976425	0.0256553
95	9.72621	2.45927	0.926885	1.62441	1.4342	1.39163	0.426967	1.75971	1.99622	0.129559	0.776649	0.183057	0.101227	0.308658	0.0799363	0.0266775
96	9.47939	2.5421	0.930207	1.82674	2.06	1.66795	0.484988	2.24927	1.83795	0.128697	1.22984	0.203547	0.175764	0.319473	0.100725	0.0518766
97	9.19514	2.59484	0.933623	1.92725	2.7358	1.92115	0.531732	3.00604	1.76954	0.127987	1.77505	0.21872	0.291016	0.326992	0.129677	0.102376
98	8.90468	2.60684	0.936873	1.90197	3.37384	2.15459	0.569284	3.73433	1.80342	0.127874	2.4382	0.229435	0.456467	0.331524	0.156773	0.187161
99	8.64242	2.57139	0.939686	1.74022	3.92315	2.36962	0.599381	4.43341	1.89082	0.128216	3.21529	0.236988	0.693801	0.333098	0.179943	0.318254
100	8.44511	2.48791	0.941787	1.45691	4.36467	2.56294	0.623497	5.08897	2.00955	0.128787	4.08364	0.242316	1.03702	0.331247	0.199008	0.498882
