Time	[AC_active_cyto_mem]	[G_GDP_cyto]	[G_protein_cyto]	[G_a_s_cyto]	[GRK_bg_cyto]	[iso_BAR_p_cyto_mem]	[PDE4_cyto]	[ATP_cyto]	[AC_PKA_cyto_mem]	[R2C2_cyto]	[PP_PDE_cyto]	[BAR_cyto_mem]	[BAR_G_cyto_mem]	[iso_extra]	[iso_BAR_cyto_mem]	[MAPK_active_cyto]	[MEK_cyto]	[MEK_active_cyto]	[B_Raf_active_cyto]	[bg_cyto]	[B_Raf_cyto]	[PKA_cyto]	[AC_cyto_mem]	[AMP_cyto]	[GRK_cyto]	[PP2A_cyto]	[MAPK_cyto]	[PTP_cyto]	[PTP_PKA_cyto]	[c_R2C2_cyto]	[c2_R2C2_cyto]	[c3_R2C2_cyto]	[iso_BAR_G_cyto_mem]	[PDE_high_km_cyto]	[cAMP_cyto]	[PTP_PP_cyto]	[PDE4_P_cyto]
24	53.1496	0.117144	2137.45	0.269829	0.0348725	0.000124131	240.792	3.0087e+06	0	119.842	120.4	0.011559	0.588824	5851.88	0.328969	0.000173717	108.359	0.00112675	0.00669148	10.982	120.393	0.000666137	246.85	3.01126e+06	0.567127	60.2	216.72	120.4	0.000269613	0.556364	0.000341515	0.00028886	93.0705	301	36.8783	60.2	0.0080711
25	55.319	0.122196	2137	0.28287	0.0364943	0.000132267	240.79	3.0086e+06	0	119.798	120.4	0.0115605	0.588824	5851.88	0.329038	0.000236957	108.358	0.00150833	0.00855792	11.4324	120.391	0.000813308	244.681	3.01136e+06	0.565506	60.2	216.72	120.4	0.000342591	0.600137	0.000373226	0.000322936	93.0704	301	38.3106	60.2	0.0102121
26	57.4831	0.127014	2136.55	0.296111	0.038104	0.000140673	240.787	3.0085e+06	0	119.753	120.4	0.0115621	0.588823	5851.88	0.329107	0.00031829	108.358	0.00199077	0.0108108	11.8816	120.389	0.000982813	242.517	3.01146e+06	0.563896	60.2	216.72	120.4	0.000429989	0.645537	0.000406101	0.000358677	93.0704	301	39.7437	60.2	0.0127633
27	59.6417	0.131597	2136.1	0.309555	0.0397014	0.000149345	240.784	3.00839e+06	0	119.705	120.4	0.0115636	0.588822	5851.88	0.329176	0.000421538	108.357	0.00259355	0.0135035	12.3298	120.386	0.00117659	240.358	3.01157e+06	0.562299	60.2	216.72	120.399	0.000533636	0.692562	0.000440132	0.000396063	93.0703	301	41.1776	60.2	0.0157739
28	61.7947	0.135948	2135.65	0.323207	0.0412865	0.000158283	240.781	3.00828e+06	0	119.656	120.4	0.0115651	0.588822	5851.88	0.329245	0.000551057	108.357	0.00333858	0.0166932	12.7768	120.383	0.00139661	238.205	3.01167e+06	0.560713	60.2	216.719	120.399	0.000655467	0.741208	0.00047531	0.000435083	93.0702	301	42.6122	60.2	0.0192956
29	63.9421	0.140072	2135.2	0.337071	0.0428592	0.000167484	240.777	3.00817e+06	0	119.606	120.4	0.0115666	0.588821	5851.88	0.329314	0.000711763	108.356	0.00425034	0.0204411	13.2227	120.38	0.00164494	236.058	3.01179e+06	0.559141	60.2	216.719	120.399	0.000797517	0.791471	0.000511631	0.000475729	93.0701	301	44.0473	60.2	0.0233822
30	66.0837	0.143976	2134.76	0.351151	0.0444195	0.000176946	240.772	3.00805e+06	0	119.554	120.4	0.0115681	0.588821	5851.88	0.329382	0.000909173	108.355	0.005356	0.0248121	13.6675	120.375	0.00192368	233.916	3.0119e+06	0.55758	60.2	216.719	120.399	0.000961928	0.843346	0.000549089	0.000518002	93.0701	301	45.4829	60.2	0.0280901
31	68.2196	0.147673	2134.31	0.365451	0.0459675	0.000186668	240.767	3.00793e+06	0	119.5	120.4	0.0115696	0.58882	5851.88	0.329451	0.00114943	108.353	0.00668554	0.0298752	14.1111	120.37	0.00223501	231.78	3.01202e+06	0.556033	60.2	216.719	120.399	0.00115094	0.896831	0.000587683	0.000561904	93.07	301	46.9189	60.2	0.033478
32	70.3495	0.151172	2133.87	0.379975	0.047503	0.000196646	240.76	3.00781e+06	0	119.444	120.4	0.0115711	0.588819	5851.88	0.329519	0.00143934	108.352	0.00827189	0.0357034	14.5535	120.364	0.00258115	229.651	3.01215e+06	0.554497	60.2	216.719	120.399	0.0013669	0.951919	0.000627407	0.000607439	93.0699	301	48.3551	60.2	0.0396066
33	72.4733	0.154488	2133.42	0.394729	0.0490263	0.000206881	240.753	3.00768e+06	0	119.387	120.4	0.0115726	0.588819	5851.88	0.329587	0.0017864	108.35	0.0101511	0.0423738	14.9949	120.358	0.0029644	227.527	3.01227e+06	0.552974	60.2	216.718	120.398	0.00161226	1.00861	0.000668259	0.000654614	93.0698	301	49.7914	60.2	0.0465393
34	74.591	0.157633	2132.98	0.409716	0.0505373	0.000217368	240.746	3.00755e+06	0	119.328	120.4	0.0115741	0.588818	5851.88	0.329655	0.00219886	108.348	0.0123624	0.0499674	15.435	120.35	0.00338712	225.409	3.0124e+06	0.551463	60.2	216.718	120.398	0.00188956	1.06689	0.000710236	0.000703436	93.0697	301	51.2277	60.2	0.0543415
35	76.7026	0.160624	2132.54	0.424941	0.0520362	0.000228107	240.737	3.00741e+06	0	119.268	120.4	0.0115756	0.588818	5851.88	0.329723	0.00268568	108.345	0.0149482	0.0585695	15.874	120.341	0.00385174	223.297	3.01254e+06	0.549964	60.2	216.717	120.398	0.00220146	1.12676	0.000753333	0.000753915	93.0697	301	52.6639	60.2	0.063081
36	78.8077	0.163474	2132.1	0.44041	0.053523	0.000239096	240.727	3.00727e+06	0	119.206	120.4	0.0115771	0.588817	5851.88	0.329791	0.00325664	108.342	0.0179548	0.0682697	16.3119	120.332	0.00436074	221.192	3.01267e+06	0.548477	60.2	216.717	120.397	0.00255071	1.18821	0.000797549	0.000806058	93.0696	301	54.0997	60.2	0.0728279
37	80.9065	0.166199	2131.66	0.456126	0.054998	0.000250333	240.716	3.00713e+06	0	119.142	120.4	0.0115785	0.588816	5851.88	0.329858	0.00392235	108.339	0.0214315	0.0791615	16.7486	120.321	0.00491666	219.094	3.01281e+06	0.547002	60.2	216.716	120.397	0.00294017	1.25124	0.000842878	0.000859874	93.0695	301	55.5352	60.2	0.0836544
38	82.9986	0.168812	2131.23	0.472095	0.0564611	0.000261815	240.704	3.00698e+06	0	119.077	120.4	0.01158	0.588816	5851.88	0.329926	0.00469424	108.335	0.0254318	0.091343	17.1842	120.309	0.00552212	217.001	3.01296e+06	0.545539	60.2	216.715	120.397	0.00337279	1.31584	0.000889316	0.000915373	93.0694	301	56.9701	60.2	0.0956351
39	85.0842	0.171328	2130.79	0.488323	0.0579125	0.000273541	240.691	3.00683e+06	0	119.01	120.4	0.0115815	0.588815	5851.88	0.329993	0.00558464	108.33	0.0300127	0.104916	17.6186	120.295	0.00617978	214.916	3.01311e+06	0.544088	60.2	216.714	120.396	0.00385163	1.382	0.000936861	0.000972563	93.0693	301	58.4042	60.2	0.108847
40	87.1629	0.173759	2130.36	0.504813	0.0593522	0.000285509	240.677	3.00668e+06	0	118.941	120.4	0.011583	0.588815	5851.88	0.33006	0.00660678	108.325	0.0352352	0.119988	18.0518	120.28	0.00689236	212.837	3.01326e+06	0.542648	60.2	216.713	120.396	0.00437984	1.44972	0.000985506	0.00103145	93.0693	301	59.8375	60.2	0.123368
41	89.2348	0.176119	2129.92	0.521571	0.0607805	0.000297718	240.661	3.00653e+06	0	118.871	120.4	0.0115844	0.588814	5851.88	0.330127	0.00777481	108.319	0.0411643	0.136668	18.4839	120.263	0.00766266	210.765	3.01341e+06	0.54122	60.2	216.712	120.395	0.0049607	1.51899	0.00103525	0.00109205	93.0692	301	61.2697	60.2	0.139281
42	91.2997	0.178418	2129.49	0.538603	0.0621973	0.000310165	240.643	3.00637e+06	0	118.799	120.4	0.0115859	0.588813	5851.88	0.330194	0.00910388	108.312	0.0478694	0.155073	18.9148	120.245	0.00849352	208.7	3.01357e+06	0.539803	60.2	216.711	120.394	0.00559755	1.58981	0.00108608	0.00115437	93.0691	301	62.7007	60.2	0.156668
