Time	[tim mRNA]	[per mRNA]	[TIM]	[TIM-p]	[TIM-pp]	[PER]	[PER-p]	[PER-pp]	[PER_TIM complex cytoplasm]	[PER_TIM complex nuclear]	[total TIM]	[total PER]
39	2.74005	0.986449	0.985828	0.92789	1.1509	0.278764	0.254022	0.120785	0.136294	0.568221	3.76913	1.35809
40	2.94537	1.01933	1.11534	1.07425	1.55711	0.293485	0.269327	0.123547	0.174109	0.628597	4.5494	1.48907
41	3.08794	1.00414	1.22953	1.21618	2.03724	0.295176	0.274232	0.120153	0.217582	0.722065	5.4226	1.62921
42	3.1267	0.913919	1.30399	1.33684	2.5848	0.275504	0.26174	0.109063	0.259526	0.844903	6.33005	1.75074
43	3.02781	0.732807	1.30851	1.41086	3.182	0.228146	0.224873	0.0895965	0.288097	0.983598	7.17306	1.81431
44	2.79524	0.486552	1.22627	1.41146	3.79344	0.158445	0.16464	0.0641659	0.291054	1.11345	7.83567	1.79175
45	2.47161	0.25321	1.07171	1.3263	4.35389	0.0875157	0.0970249	0.0391764	0.26597	1.20567	8.22355	1.69536
46	2.10964	0.123013	0.883216	1.17049	4.76252	0.0414479	0.0471846	0.0218465	0.227264	1.24368	8.28716	1.58142
47	1.75185	0.08986	0.699052	0.981894	4.9081	0.0253427	0.0262986	0.0143278	0.196142	1.23534	8.02053	1.49745
48	1.4255	0.0910152	0.541447	0.799307	4.72635	0.0232308	0.0220864	0.0125158	0.178915	1.20298	7.44899	1.43973
49	1.14599	0.101732	0.41496	0.613261	2.40928	0.025275	0.0234458	0.0147137	0.162494	1.16016	4.76015	1.38608
50	0.92723	0.119219	0.314043	0.392213	0.349435	0.0292504	0.0269771	0.0185162	0.139825	1.10409	2.29961	1.31866
51	0.785281	0.146519	0.241384	0.238729	0.0594753	0.0355518	0.0323261	0.0205775	0.121816	1.03496	1.69637	1.24523
52	0.725863	0.184438	0.209033	0.195515	0.0470315	0.044653	0.0400639	0.0232114	0.112016	0.964979	1.52857	1.18492
53	0.740034	0.231917	0.204467	0.184768	0.0436392	0.0564513	0.0503469	0.0271765	0.104183	0.898958	1.43602	1.13712
54	0.814357	0.288451	0.220486	0.194242	0.0452816	0.0708639	0.0630707	0.0324164	0.0971873	0.837465	1.39466	1.101
55	0.936818	0.353515	0.253252	0.219398	0.0508148	0.0878602	0.0782039	0.0390019	0.0908615	0.780427	1.39475	1.07635
56	1.09797	0.426179	0.300565	0.257705	0.0597932	0.107339	0.09568	0.0470311	0.0852065	0.727718	1.43099	1.06297
57	1.2902	0.505067	0.361218	0.307706	0.0721425	0.129081	0.115336	0.0565827	0.0802743	0.679271	1.50061	1.06055
58	1.50695	0.588491	0.434556	0.36854	0.0880312	0.152758	0.13691	0.0676977	0.0761563	0.635108	1.60239	1.06863
59	1.7424	0.67463	0.520237	0.439677	0.107814	0.177959	0.160059	0.0803704	0.0729879	0.595371	1.73609	1.08675
60	1.9914	0.761694	0.618111	0.520796	0.132021	0.204233	0.184396	0.0945406	0.0709569	0.560348	1.90223	1.11448
61	2.24841	0.847203	0.730961	0.650093	0.526476	0.230962	0.208847	0.103439	0.0849304	0.537418	2.52988	1.1656
62	2.50268	0.924528	0.855855	0.7866	0.816191	0.25654	0.232666	0.113271	0.106893	0.539291	3.10483	1.24866
63	2.74128	0.985499	0.986585	0.928756	1.15324	0.278457	0.253735	0.120578	0.136361	0.568578	3.77351	1.35771
64	2.94634	1.01831	1.11602	1.0751	1.56004	0.293154	0.269019	0.123328	0.174171	0.628957	4.55429	1.48863
65	3.08859	1.00301	1.2301	1.21697	2.04074	0.29481	0.273895	0.119929	0.217617	0.722411	5.42784	1.62866
66	3.12701	0.912678	1.30439	1.33752	2.58882	0.275106	0.261371	0.108843	0.259509	0.845195	6.33543	1.75002
67	3.02786	0.731566	1.30872	1.41139	3.18648	0.227745	0.224491	0.0893975	0.288005	0.983775	7.17836	1.81341
68	2.7952	0.485533	1.22634	1.41182	3.79826	0.158107	0.1643	0.0640096	0.290894	1.11345	7.84077	1.79076
69	2.47165	0.252659	1.07175	1.32654	4.35892	0.0873106	0.0967959	0.039079	0.26579	1.20548	8.22849	1.69446
70	2.10985	0.122925	0.8833	1.1707	4.76759	0.041387	0.0470968	0.0218051	0.227132	1.24335	8.29207	1.58077
71	1.75229	0.089933	0.699218	0.982144	4.91318	0.0253507	0.0262943	0.0143174	0.196081	1.23497	8.02559	1.49702
72	1.42615	0.0911139	0.54169	0.799634	4.73155	0.0232544	0.0221051	0.0125147	0.1789	1.20264	7.45442	1.43942
73	1.14682	0.101831	0.415261	0.613712	2.41451	0.0253007	0.0234683	0.0147138	0.162504	1.15988	4.76587	1.38587
74	0.928163	0.119312	0.314389	0.392877	0.352465	0.0292751	0.0269994	0.0185186	0.139847	1.10389	2.30347	1.31853
75	0.786242	0.146607	0.24171	0.239069	0.0595675	0.0355753	0.032348	0.0205865	0.121809	1.03481	1.69696	1.24513
76	0.726812	0.184533	0.209333	0.195793	0.0470993	0.0446774	0.0400861	0.0232202	0.112003	0.96484	1.52907	1.18483
77	0.74096	0.232025	0.204755	0.185029	0.0437014	0.056479	0.0503717	0.0271865	0.10417	0.898831	1.43649	1.13704
78	0.815268	0.288574	0.22077	0.194496	0.0453422	0.0708959	0.0630993	0.0324284	0.0971753	0.837348	1.39513	1.10095
79	0.937724	0.353652	0.25354	0.219653	0.0508766	0.0878967	0.0782366	0.0390164	0.090851	0.78032	1.39524	1.07632
80	1.09888	0.426328	0.300865	0.257967	0.0598587	0.10738	0.0957168	0.0470482	0.0851975	0.727621	1.43151	1.06296
81	1.29112	0.505225	0.361534	0.30798	0.0722137	0.129126	0.115377	0.0566026	0.0802671	0.679184	1.50118	1.06056
82	1.50788	0.588655	0.434893	0.368828	0.0881105	0.152805	0.136953	0.0677204	0.0761513	0.635031	1.60301	1.06866
83	1.74333	0.674795	0.520598	0.439984	0.107904	0.178008	0.160104	0.0803956	0.0729855	0.595304	1.73678	1.0868
84	1.99233	0.761857	0.618498	0.521122	0.132124	0.204283	0.184443	0.0945679	0.0709577	0.560293	1.903	1.11455
85	2.24932	0.847359	0.731379	0.650473	0.526928	0.231012	0.208894	0.10346	0.0849504	0.537383	2.53111	1.1657
86	2.50358	0.924668	0.856306	0.787039	0.816958	0.256587	0.23271	0.113284	0.106942	0.5393	3.10655	1.24882
87	2.74213	0.985604	0.987062	0.929245	1.15433	0.278496	0.253772	0.120581	0.136442	0.568656	3.77573	1.35795
88	2.94708	1.01834	1.1165	1.07563	1.56146	0.293175	0.269042	0.123319	0.174282	0.629125	4.557	1.48894
89	3.08913	1.0029	1.23054	1.21749	2.04249	0.294793	0.273888	0.119903	0.217746	0.722679	5.43095	1.62901
90	3.12723	0.91234	1.3047	1.33798	2.59088	0.275024	0.261312	0.108797	0.259631	0.845551	6.33874	1.75032
91	3.02768	0.730981	1.30881	1.4117	3.18879	0.227587	0.224362	0.0893312	0.288082	0.984175	7.18157	1.81354
92	2.79466	0.484829	1.22619	1.41192	3.80072	0.157905	0.164118	0.0639344	0.290894	1.11382	7.84355	1.79067
93	2.47088	0.252102	1.07141	1.3264	4.36131	0.0871346	0.09662	0.0390149	0.265722	1.20574	8.23058	1.69423
94	2.10898	0.122699	0.882876	1.17037	4.7696	0.0412984	0.0469936	0.0217685	0.227048	1.24347	8.29336	1.58058
95	1.75141	0.089882	0.6988	0.981734	4.91449	0.0253252	0.0262599	0.014304	0.196031	1.235	8.02606	1.49692
96	1.42532	0.0911081	0.541324	0.799233	4.73203	0.0232496	0.0220974	0.012511	0.17888	1.20263	7.4541	1.43936
97	1.14607	0.101837	0.414955	0.613362	2.41416	0.0253014	0.0234681	0.0147136	0.162495	1.15986	4.76483	1.38583
98	0.927504	0.119324	0.314137	0.392556	0.351839	0.0292776	0.0270015	0.0185203	0.139837	1.10386	2.30223	1.3185
99	0.785697	0.146624	0.241513	0.238865	0.0595121	0.0355791	0.0323512	0.0205876	0.121803	1.03477	1.69647	1.24509
100	0.726381	0.184554	0.209184	0.195646	0.0470625	0.0446826	0.0400905	0.0232219	0.111998	0.964807	1.5287	1.1848
