Time	[IKBA]	[sa13_degraded]	[sa12_degraded]	[mRNAIKBA]	[A20{nucleus}]	[mRNAA20]	[A20{default}]	[sa444_degraded]	[IKKi]	[sa19_degraded]	[IKKa]	[IKKn]	[sa20_degraded]	[NFkB:IkB_alpha]	[IKKa/IKBa]	[IKK]	[NFkB/Ikb_alpha/IKKa]	[sa96_degraded]	[sa97_degraded]	[NFkB/IkB_alpha]	[IkB_alpha{default}]	[NFkB{default}]	[NFkB{nucleus}]	[IkB_alpha{nucleus}]
37	0	0	0	6.20596e-11	0	6.20596e-11	2.87167e-10	0	5.80267e-08	0	2.97451e-06	8.81499e-05	0	0.0599533	6.14837e-16	0	1.10547e-06	0	0	7.40625e-15	2.84105e-10	4.35841e-05	1.00806e-05	1.03933e-11
38	0	0	0	6.72115e-11	0	6.72115e-11	3.19383e-10	0	6.25925e-08	0	3.12394e-06	9.04156e-05	0	0.0599519	7.30586e-16	0	1.17429e-06	0	0	9.11411e-15	3.15843e-10	4.47866e-05	1.06329e-05	1.18622e-11
39	0	0	0	7.26412e-11	0	7.26412e-11	3.54233e-10	0	6.73845e-08	0	3.27672e-06	9.26753e-05	0	0.0599505	8.64099e-16	0	1.24518e-06	0	0	1.11548e-14	3.50156e-10	4.59932e-05	1.12002e-05	1.34919e-11
40	0	0	0	7.83561e-11	0	7.83561e-11	3.91859e-10	0	7.24075e-08	0	3.43282e-06	9.4929e-05	0	0.0599491	1.01748e-15	0	1.31814e-06	0	0	1.35802e-14	3.87179e-10	4.72038e-05	1.17827e-05	1.52952e-11
41	0	0	0	8.43637e-11	0	8.43637e-11	4.32403e-10	0	7.76665e-08	0	3.59224e-06	9.71769e-05	0	0.0599477	1.19307e-15	0	1.39314e-06	0	0	1.64514e-14	4.27049e-10	4.84188e-05	1.23804e-05	1.72852e-11
42	0	0	0	9.06715e-11	0	9.06715e-11	4.76013e-10	0	8.31664e-08	0	3.75496e-06	9.94189e-05	0	0.0599463	1.39339e-15	0	1.4702e-06	0	0	1.98363e-14	4.69907e-10	4.96383e-05	1.29932e-05	1.94762e-11
43	0	0	0	9.72869e-11	0	9.72869e-11	5.2284e-10	0	8.89122e-08	0	3.92097e-06	0.000101655	0	0.0599449	1.62115e-15	0	1.54929e-06	0	0	2.3809e-14	5.15896e-10	5.08626e-05	1.36213e-05	2.18826e-11
44	0	0	0	1.04218e-10	0	1.04218e-10	5.73038e-10	0	9.49088e-08	0	4.09026e-06	0.000103885	0	0.0599434	1.87932e-15	0	1.63042e-06	0	0	2.84559e-14	5.65164e-10	5.20917e-05	1.42648e-05	2.452e-11
45	0	0	0	1.11471e-10	0	1.11471e-10	6.26767e-10	0	1.01161e-07	0	4.26282e-06	0.00010611	0	0.059942	2.17108e-15	0	1.71358e-06	0	0	3.38711e-14	6.17861e-10	5.3326e-05	1.49236e-05	2.74043e-11
46	0	0	0	1.19055e-10	0	1.19055e-10	6.84188e-10	0	1.07674e-07	0	4.43862e-06	0.000108328	0	0.0599405	2.49984e-15	0	1.79875e-06	0	0	4.0158e-14	6.74141e-10	5.45655e-05	1.5598e-05	3.05523e-11
47	0	0	0	1.26976e-10	0	1.26976e-10	7.45467e-10	0	1.14451e-07	0	4.61767e-06	0.000110541	0	0.059939	2.86931e-15	0	1.88593e-06	0	0	4.74355e-14	7.34161e-10	5.58106e-05	1.62878e-05	3.39814e-11
48	0	0	0	1.35243e-10	0	1.35243e-10	8.10774e-10	0	1.215e-07	0	4.79994e-06	0.000112748	0	0.0599376	3.28342e-15	0	1.97512e-06	0	0	5.58312e-14	7.98081e-10	5.70613e-05	1.69932e-05	3.77099e-11
49	0	0	0	1.43864e-10	0	1.43864e-10	8.80282e-10	0	1.28823e-07	0	4.98543e-06	0.000114949	0	0.0599361	3.74639e-15	0	2.0663e-06	0	0	6.54864e-14	8.66064e-10	5.83179e-05	1.77144e-05	4.17566e-11
50	0	0	0	1.52845e-10	0	1.52845e-10	9.54169e-10	0	1.36425e-07	0	5.17413e-06	0.000117144	0	0.0599346	4.2628e-15	0	2.15947e-06	0	0	7.65607e-14	9.38276e-10	5.95805e-05	1.84512e-05	4.61412e-11
51	0	0	0	1.62195e-10	0	1.62195e-10	1.03262e-09	0	1.44312e-07	0	5.36601e-06	0.000119334	0	0.0599331	4.83743e-15	0	2.25462e-06	0	0	8.92242e-14	1.01489e-09	6.08493e-05	1.92039e-05	5.08843e-11
52	0	0	0	1.71922e-10	0	1.71922e-10	1.11581e-09	0	1.52489e-07	0	5.56107e-06	0.000121518	0	0.0599315	5.47546e-15	0	2.35174e-06	0	0	1.03667e-13	1.09607e-09	6.21245e-05	1.99725e-05	5.6007e-11
53	0	0	0	1.82033e-10	0	1.82033e-10	1.20393e-09	0	1.60959e-07	0	5.7593e-06	0.000123696	0	0.05993	6.18239e-15	0	2.45084e-06	0	0	1.20098e-13	1.18201e-09	6.34063e-05	2.0757e-05	6.15313e-11
54	0	0	0	1.92536e-10	0	1.92536e-10	1.29718e-09	0	1.69728e-07	0	5.96069e-06	0.000125868	0	0.0599284	6.96403e-15	0	2.55189e-06	0	0	1.38741e-13	1.27287e-09	6.46949e-05	2.15577e-05	6.74801e-11
55	0	0	0	2.03439e-10	0	2.03439e-10	1.39576e-09	0	1.788e-07	0	6.16522e-06	0.000128035	0	0.0599269	7.82659e-15	0	2.65489e-06	0	0	1.59846e-13	1.36884e-09	6.59904e-05	2.23744e-05	7.38771e-11
56	0	0	0	2.1475e-10	0	2.1475e-10	1.49985e-09	0	1.88181e-07	0	6.37288e-06	0.000130196	0	0.0599253	8.77667e-15	0	2.75983e-06	0	0	1.83684e-13	1.4701e-09	6.72931e-05	2.32075e-05	8.07466e-11
57	0	0	0	2.26477e-10	0	2.26477e-10	1.60967e-09	0	1.97873e-07	0	6.58366e-06	0.000132352	0	0.0599237	9.82118e-15	0	2.86671e-06	0	0	2.10544e-13	1.57685e-09	6.8603e-05	2.40568e-05	8.8114e-11
58	0	0	0	2.38629e-10	0	2.38629e-10	1.72543e-09	0	2.07884e-07	0	6.79754e-06	0.000134501	0	0.0599221	1.09676e-14	0	2.97552e-06	0	0	2.4075e-13	1.68928e-09	6.99204e-05	2.49226e-05	9.60055e-11
59	0	0	0	2.51212e-10	0	2.51212e-10	1.84734e-09	0	2.18216e-07	0	7.01452e-06	0.000136645	0	0.0599205	1.22236e-14	0	3.08625e-06	0	0	2.74647e-13	1.80758e-09	7.12454e-05	2.58048e-05	1.04448e-10
60	0	0	0	2.64235e-10	0	2.64235e-10	1.97561e-09	0	2.28874e-07	0	7.23459e-06	0.000138784	0	0.0599189	1.35971e-14	0	3.1989e-06	0	0	3.12588e-13	1.93194e-09	7.25783e-05	2.67037e-05	1.13469e-10
61	0	0	0	2.77707e-10	0	2.77707e-10	2.11046e-09	0	2.39864e-07	0	7.45773e-06	0.000140917	0	0.0599172	1.50978e-14	0	3.31345e-06	0	0	3.55036e-13	2.06258e-09	7.39191e-05	2.76193e-05	1.23098e-10
62	0	0	0	2.91635e-10	0	2.91635e-10	2.25213e-09	0	2.51189e-07	0	7.68393e-06	0.000143044	0	0.0599156	1.67339e-14	0	3.4299e-06	0	0	4.02376e-13	2.19968e-09	7.52681e-05	2.85517e-05	1.33364e-10
63	0	0	0	3.06028e-10	0	3.06028e-10	2.40083e-09	0	2.62854e-07	0	7.91318e-06	0.000145166	0	0.0599139	1.85155e-14	0	3.54824e-06	0	0	4.55113e-13	2.34348e-09	7.66254e-05	2.95011e-05	1.44299e-10
64	0	0	0	3.20894e-10	0	3.20894e-10	2.5568e-09	0	2.74864e-07	0	8.14547e-06	0.000147282	0	0.0599122	2.04529e-14	0	3.66847e-06	0	0	5.13772e-13	2.49416e-09	7.79913e-05	3.04674e-05	1.55933e-10
65	0	0	0	3.36242e-10	0	3.36242e-10	2.72028e-09	0	2.87223e-07	0	8.38078e-06	0.000149393	0	0.0599106	2.25562e-14	0	3.79057e-06	0	0	5.78857e-13	2.65195e-09	7.93657e-05	3.14509e-05	1.68299e-10
66	0	0	0	3.52079e-10	0	3.52079e-10	2.8915e-09	0	2.99936e-07	0	8.61911e-06	0.000151498	0	0.0599088	2.48364e-14	0	3.91454e-06	0	0	6.50948e-13	2.81706e-09	8.0749e-05	3.24516e-05	1.81429e-10
67	0	0	0	3.68415e-10	0	3.68415e-10	3.07071e-09	0	3.13007e-07	0	8.86044e-06	0.000153597	0	0.0599071	2.73062e-14	0	4.04038e-06	0	0	7.3075e-13	2.98971e-09	8.21413e-05	3.34697e-05	1.9536e-10
68	0	0	0	3.85257e-10	0	3.85257e-10	3.25817e-09	0	3.26441e-07	0	9.10476e-06	0.000155691	0	0.0599054	2.99771e-14	0	4.16807e-06	0	0	8.18884e-13	3.17013e-09	8.35427e-05	3.45052e-05	2.10124e-10
69	0	0	0	4.02615e-10	0	4.02615e-10	3.45411e-09	0	3.40241e-07	0	9.35207e-06	0.00015778	0	0.0599036	3.28614e-14	0	4.29761e-06	0	0	9.16026e-13	3.35853e-09	8.49534e-05	3.55583e-05	2.25758e-10
70	0	0	0	4.20496e-10	0	4.20496e-10	3.6588e-09	0	3.54413e-07	0	9.60234e-06	0.000159863	0	0.0599019	3.59738e-14	0	4.42899e-06	0	0	1.02307e-12	3.55515e-09	8.63736e-05	3.66291e-05	2.423e-10
71	0	0	0	4.3891e-10	0	4.3891e-10	3.87251e-09	0	3.68961e-07	0	9.85557e-06	0.000161941	0	0.0599001	3.9328e-14	0	4.56221e-06	0	0	1.14079e-12	3.76022e-09	8.78035e-05	3.77177e-05	2.59788e-10
72	0	0	0	4.57866e-10	0	4.57866e-10	4.0955e-09	0	3.83889e-07	0	1.01118e-05	0.000164013	0	0.0598983	4.29393e-14	0	4.69725e-06	0	0	1.27015e-12	3.97398e-09	8.92431e-05	3.88242e-05	2.78261e-10
73	0	0	0	4.77371e-10	0	4.77371e-10	4.32802e-09	0	3.99202e-07	0	1.03709e-05	0.00016608	0	0.0598965	4.682e-14	0	4.83411e-06	0	0	1.41181e-12	4.19664e-09	9.06927e-05	3.99488e-05	2.97754e-10
74	0	0	0	4.97436e-10	0	4.97436e-10	4.57037e-09	0	4.14903e-07	0	1.06329e-05	0.000168141	0	0.0598947	5.09899e-14	0	4.97278e-06	0	0	1.56711e-12	4.42848e-09	9.21524e-05	4.10916e-05	3.18316e-10
75	0	0	0	5.18068e-10	0	5.18068e-10	4.82282e-09	0	4.30998e-07	0	1.08979e-05	0.000170197	0	0.0598928	5.54637e-14	0	5.11326e-06	0	0	1.73696e-12	4.66971e-09	9.36223e-05	4.22526e-05	3.39983e-10
76	0	0	0	5.39277e-10	0	5.39277e-10	5.08565e-09	0	4.47491e-07	0	1.11657e-05	0.000172247	0	0.059891	6.02594e-14	0	5.25553e-06	0	0	1.92259e-12	4.92059e-09	9.51026e-05	4.34322e-05	3.628e-10
77	0	0	0	5.61072e-10	0	5.61072e-10	5.35915e-09	0	4.64385e-07	0	1.14365e-05	0.000174293	0	0.0598891	6.53956e-14	0	5.3996e-06	0	0	2.12527e-12	5.18137e-09	9.65936e-05	4.46303e-05	3.86812e-10
78	0	0	0	5.83462e-10	0	5.83462e-10	5.64362e-09	0	4.81685e-07	0	1.17101e-05	0.000176332	0	0.0598872	7.08904e-14	0	5.54545e-06	0	0	2.34626e-12	5.4523e-09	9.80952e-05	4.5847e-05	4.12062e-10
79	0	0	0	6.06456e-10	0	6.06456e-10	5.93934e-09	0	4.99396e-07	0	1.19866e-05	0.000178367	0	0.0598853	7.67631e-14	0	5.69308e-06	0	0	2.58688e-12	5.73363e-09	9.96077e-05	4.70827e-05	4.38597e-10
80	0	0	0	6.30063e-10	0	6.30063e-10	6.24662e-09	0	5.17522e-07	0	1.22659e-05	0.000180396	0	0.0598834	8.30336e-14	0	5.84247e-06	0	0	2.84853e-12	6.02561e-09	0.000101131	4.83373e-05	4.66463e-10
81	0	0	0	6.54292e-10	0	6.54292e-10	6.56576e-09	0	5.36066e-07	0	1.25481e-05	0.00018242	0	0.0598814	8.97228e-14	0	5.99363e-06	0	0	3.1327e-12	6.32853e-09	0.000102666	4.9611e-05	4.95708e-10
82	0	0	0	6.79153e-10	0	6.79153e-10	6.89707e-09	0	5.55033e-07	0	1.28332e-05	0.000184438	0	0.0598795	9.68523e-14	0	6.14654e-06	0	0	3.44095e-12	6.64262e-09	0.000104212	5.0904e-05	5.26381e-10
83	0	0	0	7.04656e-10	0	7.04656e-10	7.24087e-09	0	5.74428e-07	0	1.3121e-05	0.000186451	0	0.0598775	1.04446e-13	0	6.30121e-06	0	0	3.7751e-12	6.96817e-09	0.000105769	5.22163e-05	5.58532e-10
84	0	0	0	7.30809e-10	0	7.30809e-10	7.59748e-09	0	5.94254e-07	0	1.34117e-05	0.000188459	0	0.0598755	1.12527e-13	0	6.45761e-06	0	0	4.13711e-12	7.30543e-09	0.000107338	5.35482e-05	5.92211e-10
85	0	0	0	7.57622e-10	0	7.57622e-10	7.96722e-09	0	6.14516e-07	0	1.37052e-05	0.000190462	0	0.0598735	1.21123e-13	0	6.61575e-06	0	0	4.52893e-12	7.65467e-09	0.000108919	5.48998e-05	6.27471e-10
86	0	0	0	7.85106e-10	0	7.85106e-10	8.35041e-09	0	6.35218e-07	0	1.40015e-05	0.000192459	0	0.0598715	1.30257e-13	0	6.77561e-06	0	0	4.9526e-12	8.01618e-09	0.000110512	5.62713e-05	6.64365e-10
87	0	0	0	8.13269e-10	0	8.13269e-10	8.7474e-09	0	6.56363e-07	0	1.43005e-05	0.000194452	0	0.0598694	1.39958e-13	0	6.9372e-06	0	0	5.41025e-12	8.39023e-09	0.000112117	5.76627e-05	7.02947e-10
88	0	0	0	8.42121e-10	0	8.42121e-10	9.15852e-09	0	6.77957e-07	0	1.46024e-05	0.000196439	0	0.0598674	1.50253e-13	0	7.1005e-06	0	0	5.90411e-12	8.7771e-09	0.000113734	5.90742e-05	7.43273e-10
89	0	0	0	8.71672e-10	0	8.71672e-10	9.58413e-09	0	7.00002e-07	0	1.4907e-05	0.00019842	0	0.0598653	1.61171e-13	0	7.26551e-06	0	0	6.4365e-12	9.17707e-09	0.000115363	6.0506e-05	7.85401e-10
90	0	0	0	9.01933e-10	0	9.01933e-10	1.00246e-08	0	7.22504e-07	0	1.52143e-05	0.000200397	0	0.0598632	1.72741e-13	0	7.43222e-06	0	0	7.00999e-12	9.59044e-09	0.000117004	6.19583e-05	8.29386e-10
91	0	0	0	9.32912e-10	0	9.32912e-10	1.04802e-08	0	7.45466e-07	0	1.55244e-05	0.000202368	0	0.0598611	1.84992e-13	0	7.60062e-06	0	0	7.62745e-12	1.00175e-08	0.000118659	6.34312e-05	8.75286e-10
92	0	0	0	9.64621e-10	0	9.64621e-10	1.09513e-08	0	7.68892e-07	0	1.58372e-05	0.000204334	0	0.0598589	1.97957e-13	0	7.7707e-06	0	0	8.29166e-12	1.04585e-08	0.000120326	6.49248e-05	9.23161e-10
93	0	0	0	9.97069e-10	0	9.97069e-10	1.14383e-08	0	7.92787e-07	0	1.61527e-05	0.000206296	0	0.0598568	2.11666e-13	0	7.94247e-06	0	0	9.00552e-12	1.09137e-08	0.000122006	6.64394e-05	9.7307e-10
94	0	0	0	1.03027e-09	0	1.03027e-09	1.19416e-08	0	8.17154e-07	0	1.6471e-05	0.000208251	0	0.0598546	2.26153e-13	0	8.11591e-06	0	0	9.77206e-12	1.13835e-08	0.000123698	6.7975e-05	1.02507e-09
95	0	0	0	1.06422e-09	0	1.06422e-09	1.24616e-08	0	8.41997e-07	0	1.67919e-05	0.000210202	0	0.0598524	2.41451e-13	0	8.29101e-06	0	0	1.05944e-11	1.18682e-08	0.000125404	6.95319e-05	1.07924e-09
96	0	0	0	1.09895e-09	0	1.09895e-09	1.29985e-08	0	8.6732e-07	0	1.71155e-05	0.000212148	0	0.0598502	2.57595e-13	0	8.46777e-06	0	0	1.14758e-11	1.2368e-08	0.000127124	7.11102e-05	1.13562e-09
97	0	0	0	1.13446e-09	0	1.13446e-09	1.35529e-08	0	8.93128e-07	0	1.74418e-05	0.000214088	0	0.059848	2.74621e-13	0	8.64619e-06	0	0	1.24198e-11	1.28832e-08	0.000128856	7.27101e-05	1.19429e-09
98	0	0	0	1.17076e-09	0	1.17076e-09	1.4125e-08	0	9.19424e-07	0	1.77708e-05	0.000216024	0	0.0598457	2.92569e-13	0	8.82625e-06	0	0	1.34306e-11	1.34142e-08	0.000130603	7.43317e-05	1.25531e-09
99	0	0	0	1.20786e-09	0	1.20786e-09	1.47153e-08	0	9.46212e-07	0	1.81024e-05	0.000217954	0	0.0598434	3.11476e-13	0	9.00795e-06	0	0	1.45121e-11	1.39612e-08	0.000132362	7.59752e-05	1.31874e-09
100	0	0	0	1.24577e-09	0	1.24577e-09	1.53241e-08	0	9.73496e-07	0	1.84367e-05	0.00021988	0	0.0598411	3.31384e-13	0	9.19128e-06	0	0	1.56684e-11	1.45247e-08	0.000134136	7.76408e-05	1.38466e-09
