Time	[Fringe]	[fucose]	[Delta]	[NI_sub_c_sub_t]	[N_sub_tm]	[TACE]	[a7_degraded]	[Neuralized]	[Numb]	[Mastermind]	[Su(H)]	[CoR]	[Complex_br_(Su(H)/CoR)]	[CoA]	[NI_sub_c_sub_s{nucleus}]	[Complex_br_(Mastermind/Su(H)/_br_CoA/NI_sub_c_sub_s)]	[NI_sub_c_sub_s{nucleus}]	[Sel 10]	[Ub]	[a46_degraded]	[Notch]	[Complex_br_(Delta/N_sub_ext)]	[Notch]	[Neurotic]	[Serrate]	[Complex_br_(Serrate/Notch)]	[Complex_br_(Serrate/N_sub_ext)]	[NI_sub_c_sub_s{cytosol}]	[a25_degraded]	[LNXp80]	[Complex_br_(Notch/Delta)]	[E(spl)-C genes]	[s76]	[s77]	[dapt]	[gama secretase]
23	5	1.15636	2.15256	4.8853	0.450881	0.5	1.64013	0.5	0.43568	1.17734	3.6676	2.99026	0.10877	1.17734	0.836215	1.09216	0.836215	0.6	0.225983	0.13488	1.15636	0.0434154	1.15636	5	2.95883	1.74841	0.292764	0.0179895	0.20432	0.33	1.1639	0.131468	4.95098	4.95098	0	0.0490243
24	5	1.15793	2.13385	4.86734	0.470374	0.5	1.66626	0.5	0.435416	1.23688	3.50527	2.76839	0.113655	1.23688	0.902838	1.24056	0.902838	0.6	0.213862	0.14107	1.15793	0.043299	1.15793	5	2.95456	1.75102	0.294414	0.0182765	0.204584	0.33	1.15659	0.140515	4.95098	4.95098	0	0.0490243
25	5	1.15945	2.11588	4.84941	0.489817	0.5	1.69138	0.5	0.435203	1.298	3.33663	2.53864	0.117693	1.298	0.971742	1.39662	0.971742	0.6	0.202504	0.146876	1.15945	0.0431914	1.15945	5	2.95045	1.75351	0.296032	0.0185753	0.204797	0.33	1.14954	0.149053	4.95098	4.95098	0	0.0490243
26	5	1.1609	2.0986	4.8315	0.509212	0.5	1.71556	0.5	0.435032	1.36065	3.16371	2.30305	0.120679	1.36065	1.04286	1.55876	1.04286	0.6	0.191885	0.152308	1.1609	0.0430922	1.1609	5	2.94649	1.75589	0.297624	0.0188858	0.204968	0.33	1.14274	0.156853	4.95098	4.95098	0	0.0490243
27	5	1.16231	2.08197	4.81364	0.528558	0.5	1.73886	0.5	0.434895	1.42473	2.98885	2.06413	0.122388	1.42473	1.11605	1.7251	1.11605	0.6	0.181973	0.157381	1.16231	0.0430008	1.16231	5	2.94265	1.75815	0.299194	0.0192075	0.205105	0.33	1.13617	0.16366	4.95098	4.95098	0	0.0490243
28	5	1.16367	2.06595	4.79581	0.547854	0.5	1.76132	0.5	0.434784	1.48996	2.81479	1.82483	0.122579	1.48996	1.19101	1.89344	1.19101	0.6	0.172739	0.16211	1.16367	0.0429166	1.16367	5	2.93894	1.76031	0.300745	0.0195392	0.205216	0.33	1.12981	0.169189	4.95098	4.95098	0	0.0490243
29	5	1.16498	2.05051	4.77802	0.567101	0.5	1.78301	0.5	0.434695	1.55591	2.64451	1.58859	0.121012	1.55591	1.26729	2.06134	1.26729	0.6	0.164156	0.166509	1.16498	0.0428393	1.16498	5	2.93535	1.76237	0.30228	0.0198791	0.205305	0.33	1.12365	0.173141	4.95098	4.95098	0	0.0490243
30	5	1.16624	2.03561	4.76027	0.586298	0.5	1.80395	0.5	0.434624	1.62189	2.48117	1.35927	0.117476	1.62189	1.34417	2.22613	1.34417	0.6	0.1562	0.170591	1.16624	0.0427685	1.16624	5	2.93186	1.76434	0.303802	0.0202246	0.205376	0.33	1.11768	0.175226	4.95098	4.95098	0	0.0490243
31	5	1.16746	2.02122	4.74257	0.605446	0.5	1.82419	0.5	0.434566	1.68695	2.32794	1.14099	0.111831	1.68695	1.42068	2.38503	1.42068	0.6	0.148858	0.174364	1.16746	0.0427039	1.16746	5	2.92847	1.76622	0.305311	0.0205717	0.205434	0.33	1.11189	0.175197	4.95098	4.95098	0	0.0490243
32	5	1.16864	2.00731	4.72491	0.624544	0.5	1.84376	0.5	0.43452	1.74983	2.18776	0.937927	0.104064	1.74983	1.49558	2.53528	1.49558	0.6	0.14212	0.177834	1.16864	0.0426451	1.16864	5	2.92518	1.76801	0.306809	0.020915	0.20548	0.33	1.10628	0.172903	4.95098	4.95098	0	0.0490243
33	5	1.16978	1.99387	4.7073	0.643592	0.5	1.86271	0.5	0.434483	1.80911	2.06301	0.753909	0.0943426	1.80911	1.56743	2.6743	1.56743	0.6	0.135985	0.181002	1.16978	0.0425918	1.16978	5	2.92198	1.76972	0.308298	0.0212481	0.205517	0.33	1.10083	0.168346	4.95098	4.95098	0	0.0490243
34	5	1.17088	1.98087	4.68973	0.662591	0.5	1.88106	0.5	0.434453	1.86328	1.95529	0.592015	0.0830595	1.86328	1.63476	2.79991	1.63476	0.6	0.130454	0.183868	1.17088	0.0425439	1.17088	5	2.91886	1.77136	0.309778	0.0215638	0.205547	0.33	1.09553	0.161735	4.95098	4.95098	0	0.0490243
35	5	1.17195	1.96828	4.67221	0.68154	0.5	1.89884	0.5	0.43443	1.91102	1.86513	0.454111	0.0708282	1.91102	1.69623	2.91053	1.69623	0.6	0.125524	0.186433	1.17195	0.042501	1.17195	5	2.91583	1.77292	0.31125	0.0218552	0.20557	0.33	1.09038	0.153512	4.95098	4.95098	0	0.0490243
36	5	1.17298	1.95609	4.65474	0.70044	0.5	1.91607	0.5	0.43441	1.95142	1.79197	0.340552	0.0584124	1.95142	1.75093	3.0053	1.75093	0.6	0.121187	0.1887	1.17298	0.042463	1.17298	5	2.91287	1.77441	0.312715	0.0221163	0.20559	0.33	1.08537	0.144316	4.95098	4.95098	0	0.0490243
