Time	[Z1]	[Z2]	[Z4]	[E1]	[E2]	[E3]	[E4]
69	1.16493	6.80883	17.6545	0.000274266	0.000209669	2.10793e-07	4.1808e-06
70	1.16469	6.80866	17.6545	0.000245822	0.000187942	1.88844e-07	3.74569e-06
71	1.16449	6.8085	17.6545	0.000220307	0.000168449	1.69173e-07	3.3557e-06
72	1.1643	6.80835	17.6545	0.000197425	0.000150964	1.51546e-07	3.00618e-06
73	1.16413	6.80823	17.6545	0.000176907	0.000135283	1.35751e-07	2.69296e-06
74	1.16399	6.80811	17.6545	0.000158511	0.000121223	1.21598e-07	2.4123e-06
75	1.16385	6.80801	17.6545	0.00014202	0.000108617	1.08918e-07	2.16082e-06
76	1.16373	6.80792	17.6545	0.000127238	9.7316e-05	9.75577e-08	1.9355e-06
77	1.16362	6.80784	17.6545	0.000113988	8.71866e-05	8.73806e-08	1.73363e-06
78	1.16353	6.80776	17.6545	0.000102115	7.81079e-05	7.82636e-08	1.55279e-06
79	1.16344	6.8077	17.6545	9.1475e-05	6.99716e-05	7.00965e-08	1.39078e-06
80	1.16337	6.80764	17.6545	8.19408e-05	6.26806e-05	6.27808e-08	1.24565e-06
81	1.1633	6.80759	17.6545	7.33982e-05	5.61474e-05	5.62278e-08	1.11565e-06
82	1.16323	6.80754	17.6545	6.57443e-05	5.02937e-05	5.03582e-08	9.99204e-07
83	1.16318	6.8075	17.6545	5.88872e-05	4.50491e-05	4.51009e-08	8.949e-07
84	1.16313	6.80746	17.6545	5.27442e-05	4.03504e-05	4.03919e-08	8.01474e-07
85	1.16309	6.80742	17.6545	4.7241e-05	3.61411e-05	3.61744e-08	7.17795e-07
86	1.16305	6.80739	17.6545	4.23114e-05	3.23702e-05	3.23969e-08	6.42847e-07
87	1.16301	6.80737	17.6545	3.78955e-05	2.89923e-05	2.90137e-08	5.75719e-07
88	1.16298	6.80734	17.6545	3.39401e-05	2.59665e-05	2.59837e-08	5.15598e-07
89	1.16295	6.80732	17.6545	3.03971e-05	2.32561e-05	2.32699e-08	4.61752e-07
90	1.16292	6.8073	17.6545	2.72237e-05	2.08284e-05	2.08395e-08	4.13527e-07
91	1.1629	6.80728	17.6545	2.43814e-05	1.86539e-05	1.86628e-08	3.70336e-07
92	1.16288	6.80727	17.6545	2.18355e-05	1.67063e-05	1.67134e-08	3.31655e-07
93	1.16286	6.80725	17.6545	1.95554e-05	1.49619e-05	1.49676e-08	2.97013e-07
94	1.16285	6.80724	17.6545	1.75133e-05	1.33995e-05	1.34041e-08	2.65988e-07
95	1.16283	6.80723	17.6545	1.56843e-05	1.20002e-05	1.20039e-08	2.38204e-07
96	1.16282	6.80722	17.6545	1.40462e-05	1.0747e-05	1.07499e-08	2.13321e-07
97	1.16281	6.80721	17.6545	1.25792e-05	9.62457e-06	9.62693e-09	1.91037e-07
98	1.1628	6.8072	17.6545	1.12653e-05	8.61933e-06	8.62122e-09	1.7108e-07
99	1.16279	6.80719	17.6545	1.00886e-05	7.71904e-06	7.72056e-09	1.53207e-07
100	1.16278	6.80719	17.6545	9.03477e-06	6.91277e-06	6.91399e-09	1.37202e-07
