Time	[D]	[DR]	[DRG_GDP]	[DRG]	[GDP]	[DRG_GTP]	[GTP]	[R]	[G_GDP]	[G_GTP]
80	9.81705e-09	8.01066e-11	3.46279e-11	1.02739e-13	2.62725e-10	6.81092e-11	9.99974e-06	8.17054e-10	8.63776e-10	3.33845e-11
81	9.817e-09	8.01074e-11	3.46219e-11	1.02789e-13	2.66188e-10	6.81648e-11	9.99973e-06	8.17003e-10	8.63661e-10	3.34497e-11
82	9.81696e-09	8.01081e-11	3.46162e-11	1.02836e-13	2.6965e-10	6.8217e-11	9.99973e-06	8.16956e-10	8.63553e-10	3.35112e-11
83	9.81691e-09	8.01088e-11	3.46109e-11	1.02879e-13	2.73111e-10	6.82662e-11	9.99973e-06	8.16911e-10	8.63451e-10	3.35693e-11
84	9.81687e-09	8.01095e-11	3.46059e-11	1.02921e-13	2.76572e-10	6.83124e-11	9.99972e-06	8.16869e-10	8.63355e-10	3.36241e-11
85	9.81683e-09	8.01101e-11	3.46011e-11	1.0296e-13	2.80032e-10	6.8356e-11	9.99972e-06	8.1683e-10	8.63264e-10	3.36758e-11
86	9.81679e-09	8.01107e-11	3.45966e-11	1.02996e-13	2.83492e-10	6.83969e-11	9.99972e-06	8.16793e-10	8.63179e-10	3.37246e-11
87	9.81676e-09	8.01113e-11	3.45924e-11	1.03031e-13	2.86952e-10	6.84355e-11	9.99971e-06	8.16758e-10	8.63098e-10	3.37707e-11
88	9.81672e-09	8.01118e-11	3.45885e-11	1.03063e-13	2.90411e-10	6.84717e-11	9.99971e-06	8.16725e-10	8.63023e-10	3.38141e-11
89	9.81669e-09	8.01123e-11	3.45847e-11	1.03093e-13	2.93869e-10	6.85058e-11	9.99971e-06	8.16694e-10	8.62951e-10	3.38551e-11
90	9.81666e-09	8.01128e-11	3.45812e-11	1.03122e-13	2.97328e-10	6.8538e-11	9.9997e-06	8.16665e-10	8.62884e-10	3.38937e-11
91	9.81664e-09	8.01132e-11	3.45779e-11	1.03149e-13	3.00786e-10	6.85682e-11	9.9997e-06	8.16638e-10	8.62821e-10	3.39302e-11
92	9.81661e-09	8.01136e-11	3.45747e-11	1.03174e-13	3.04243e-10	6.85966e-11	9.9997e-06	8.16612e-10	8.62761e-10	3.39646e-11
93	9.81659e-09	8.0114e-11	3.45718e-11	1.03198e-13	3.077e-10	6.86234e-11	9.99969e-06	8.16588e-10	8.62705e-10	3.3997e-11
94	9.81656e-09	8.01144e-11	3.4569e-11	1.0322e-13	3.11157e-10	6.86485e-11	9.99969e-06	8.16565e-10	8.62652e-10	3.40275e-11
95	9.81654e-09	8.01147e-11	3.45664e-11	1.03242e-13	3.14614e-10	6.86722e-11	9.99969e-06	8.16543e-10	8.62602e-10	3.40563e-11
96	9.81652e-09	8.01151e-11	3.45639e-11	1.03261e-13	3.18071e-10	6.86945e-11	9.99968e-06	8.16523e-10	8.62555e-10	3.40835e-11
97	9.8165e-09	8.01154e-11	3.45615e-11	1.0328e-13	3.21527e-10	6.87155e-11	9.99968e-06	8.16504e-10	8.62511e-10	3.41091e-11
98	9.81649e-09	8.01157e-11	3.45593e-11	1.03298e-13	3.24983e-10	6.87352e-11	9.99968e-06	8.16486e-10	8.62469e-10	3.41332e-11
99	9.81647e-09	8.01159e-11	3.45573e-11	1.03314e-13	3.28439e-10	6.87538e-11	9.99967e-06	8.1647e-10	8.6243e-10	3.41559e-11
100	9.81645e-09	8.01162e-11	3.45553e-11	1.0333e-13	3.31894e-10	6.87712e-11	9.99967e-06	8.16454e-10	8.62393e-10	3.41774e-11
