Time	[ATP]	[ADP]	[AMP]	[GLC]	[F6P]	[FBP]	[GAP]	[NAD]	[NADH]	[DPG]	[PEP]	[PYR]	[ACA]	[EtOH]	[P]
21	4.25378	0.32318	0.0243284	1.99348	1.60864	1.33847	0.141597	1.00414	3.23323	2.60741	0.0347003	0.161112	0.192516	7.20778	1.02448
22	4.29335	0.288135	0.0197817	2.05174	1.02231	1.92913	0.175558	1.03508	3.20232	2.53301	0.0316598	0.170677	0.229454	7.82555	1.07664
23	4.46908	0.128381	0.00379154	2.10854	1.16156	1.80131	0.17035	0.962638	3.27479	2.7906	0.0230624	0.0709546	0.152632	8.383	1.11655
24	4.49828	0.100701	0.00226352	2.16401	1.5158	1.50297	0.156494	0.722028	3.51543	3.12662	0.0231917	0.0456226	0.082423	8.65651	1.17094
25	4.50411	0.0951108	0.00201078	2.21833	1.85102	1.27598	0.145593	0.530454	3.70703	3.32909	0.0242987	0.0448328	0.0712108	8.8314	1.24196
26	4.50539	0.0938664	0.00195504	2.27156	2.15931	1.10902	0.13645	0.4337	3.80381	3.42651	0.0249759	0.0454504	0.0692496	8.99584	1.32821
27	4.50405	0.0951448	0.00200724	2.32374	2.43747	0.984337	0.128494	0.396982	3.84056	3.46108	0.0254098	0.0466918	0.0697269	9.16073	1.42812
28	4.50063	0.098417	0.00214743	2.37493	2.68128	0.892681	0.121785	0.393923	3.84364	3.45979	0.025763	0.0486308	0.0717858	9.33005	1.53993
29	4.49475	0.104026	0.00239957	2.42516	2.88362	0.8338	0.116861	0.410238	3.82735	3.43644	0.0261678	0.0516145	0.0754311	9.50775	1.66164
30	4.48439	0.113899	0.00287682	2.47447	3.02907	0.818553	0.114937	0.438921	3.7987	3.39596	0.0268245	0.0566897	0.0814997	9.69973	1.79077
31	4.45912	0.137834	0.00420134	2.5229	3.06751	0.891698	0.11943	0.477826	3.75982	3.33155	0.0284776	0.0684038	0.0936355	9.91893	1.92344
32	4.34485	0.243075	0.0132136	2.57054	2.7006	1.33396	0.147274	0.538929	3.69874	3.16651	0.0359131	0.122627	0.135914	10.217	2.04887
33	4.26705	0.311398	0.0226764	2.61753	1.85767	2.19575	0.192532	0.665443	3.57225	2.89173	0.0383957	0.196121	0.208203	10.738	2.13987
34	4.32846	0.257002	0.0156563	2.66371	1.26205	2.7724	0.218214	0.754628	3.48309	2.81716	0.0334151	0.175213	0.219486	11.3885	2.19174
35	4.48597	0.112263	0.00287314	2.70888	1.41736	2.60683	0.212482	0.678764	3.55898	3.09774	0.0243442	0.0660363	0.133016	11.9052	2.23188
36	4.50555	0.0935872	0.00194946	2.75316	1.76278	2.30875	0.202543	0.447829	3.78994	3.40762	0.0247425	0.0455169	0.074192	12.1205	2.2866
37	4.50888	0.0903864	0.00181242	2.79668	2.08713	2.09814	0.195308	0.309673	3.92812	3.55243	0.0255807	0.0451471	0.0670699	12.2543	2.35743
38	4.50851	0.0907305	0.0018242	2.83947	2.38363	1.94495	0.188822	0.260967	3.97685	3.60036	0.0260244	0.0459635	0.0665891	12.382	2.44293
39	4.50623	0.092914	0.00191269	2.88155	2.64891	1.82491	0.182833	0.251547	3.9863	3.6067	0.0263384	0.0474058	0.0679078	12.5121	2.54148
40	4.50249	0.0964888	0.00206315	2.92295	2.8792	1.73003	0.177579	0.258181	3.97969	3.59523	0.0266595	0.049492	0.070345	12.6483	2.65128
41	4.49698	0.101751	0.00229524	2.96368	3.06866	1.66207	0.173465	0.272505	3.96538	3.57391	0.0270746	0.0524809	0.0739308	12.794	2.77036
42	4.48828	0.110055	0.00268611	3.00376	3.20557	1.63122	0.1712	0.292243	3.94567	3.54352	0.0277139	0.0571356	0.0792992	12.9542	2.89631
43	4.4704	0.127032	0.00357477	3.04322	3.25683	1.66898	0.172507	0.318864	3.91907	3.49696	0.0290201	0.0662906	0.0887745	13.1385	3.0258
44	4.39795	0.19469	0.00835432	3.08211	3.04566	1.9454	0.18556	0.364649	3.87331	3.38501	0.0341243	0.100262	0.115867	13.3792	3.15146
45	4.2917	0.28983	0.0194516	3.12055	2.26242	2.75061	0.220833	0.481561	3.75642	3.10844	0.0398069	0.183994	0.186105	13.8028	3.25014
46	4.308	0.275179	0.017795	3.15846	1.53803	3.45148	0.247728	0.601493	3.63651	2.95613	0.0366105	0.191047	0.214627	14.405	3.30767
47	4.4664	0.130581	0.00398079	3.19564	1.46826	3.48939	0.249886	0.590043	3.64798	3.13005	0.0266867	0.0928759	0.160257	14.9569	3.34252
48	4.50582	0.0931995	0.00193503	3.23208	1.80366	3.17312	0.240946	0.390181	3.84787	3.45934	0.0251228	0.0468587	0.0784114	15.2042	3.38723
49	4.50968	0.0894866	0.0017762	3.26794	2.12771	2.94862	0.234888	0.252244	3.98582	3.60973	0.0259327	0.0454078	0.0665993	15.3117	3.44804
50	4.50919	0.0899497	0.00179254	3.30325	2.42418	2.78792	0.229231	0.21045	4.02764	3.65096	0.0263375	0.0461733	0.0659936	15.4071	3.52363
51	4.50684	0.0921994	0.00188311	3.33803	2.68928	2.65917	0.223835	0.204739	4.03337	3.65354	0.0266324	0.0476219	0.0673772	15.5051	3.61237
52	4.50322	0.0956618	0.00202778	3.37229	2.91954	2.55346	0.218998	0.210964	4.02717	3.64254	0.0269512	0.0496832	0.0697778	15.6097	3.71246
53	4.49812	0.100546	0.00224116	3.40604	3.10993	2.47261	0.215045	0.222219	4.01593	3.62462	0.0273639	0.0525513	0.0731647	15.7239	3.82195
54	4.49043	0.107884	0.00258135	3.4393	3.25091	2.42545	0.212467	0.237198	4.00097	3.5999	0.0279688	0.0568215	0.07803	15.8521	3.93853
55	4.47617	0.121441	0.0032697	3.47208	3.31799	2.43582	0.21234	0.257444	3.98075	3.56289	0.029069	0.0644776	0.0860339	16.0022	4.05917
56	4.42896	0.165857	0.00605971	3.50442	3.20164	2.60977	0.219012	0.291573	3.94664	3.48307	0.0325423	0.087359	0.105374	16.1967	4.17822
57	4.31133	0.2725	0.0170374	3.53642	2.52931	3.30442	0.245524	0.384269	3.85396	3.2405	0.0400654	0.167602	0.167481	16.5348	4.27723
58	4.30204	0.28042	0.0183969	3.56806	1.74878	4.05902	0.271515	0.512298	3.72595	3.04436	0.0382399	0.196052	0.208974	17.0804	4.33588
59	4.437	0.157943	0.00590669	3.59915	1.49302	4.26844	0.278911	0.536473	3.7018	3.13565	0.0293729	0.12024	0.178182	17.6346	4.36537
60	4.50499	0.0938841	0.00196717	3.62959	1.8075	3.94928	0.270686	0.369685	3.8686	3.47072	0.0253153	0.0489741	0.0852282	17.9165	4.39928
61	4.50991	0.0891563	0.00176323	3.65956	2.13272	3.70826	0.265175	0.226471	4.01184	3.63506	0.0260942	0.0455921	0.0667098	18.0043	4.44923
62	4.50948	0.0895587	0.00177687	3.6891	2.43083	3.53829	0.259919	0.185765	4.05256	3.67568	0.0264882	0.0462689	0.0657235	18.0712	4.51415
63	4.50715	0.0917949	0.00186653	3.71821	2.69758	3.40054	0.254791	0.181103	4.05724	3.67726	0.0267753	0.0477008	0.0670874	18.1405	4.59243
64	4.50363	0.0951623	0.0020066	3.74691	2.92961	3.28493	0.250132	0.186717	4.05164	3.66695	0.0270922	0.0497303	0.0694386	18.2166	4.68226
65	4.49877	0.0998167	0.00220871	3.77522	3.12238	3.19311	0.246227	0.196272	4.04211	3.65095	0.0275006	0.0525117	0.0726948	18.3025	4.78169
66	4.49164	0.106626	0.00252158	3.80312	3.26748	3.13315	0.243462	0.208821	4.02958	3.6292	0.0280833	0.0565536	0.0772731	18.4022	4.88848
67	4.47912	0.118538	0.00311627	3.83065	3.34455	3.12514	0.242637	0.225767	4.01265	3.59711	0.0290805	0.0634485	0.0845212	18.5226	4.99976
68	4.44307	0.152562	0.00513662	3.85782	3.2729	3.24746	0.246624	0.253739	3.98469	3.53244	0.0318119	0.0815379	0.100403	18.6818	5.11063
69	4.32747	0.258129	0.0151636	3.88473	2.6972	3.84311	0.267091	0.329167	3.90928	3.32283	0.0397592	0.153778	0.154397	18.9596	5.20585
70	4.30159	0.280767	0.0183926	3.91138	1.89537	4.61641	0.291599	0.455816	3.78265	3.10454	0.0391094	0.196591	0.203871	19.4537	5.26246
71	4.41295	0.180099	0.00769115	3.93761	1.52309	4.9322	0.301567	0.497786	3.7407	3.14588	0.031424	0.138249	0.186597	19.994	5.28661
72	4.5039	0.0948238	0.00201118	3.96327	1.80807	4.62512	0.294198	0.357009	3.88149	3.47412	0.0254863	0.0514499	0.0918707	20.2957	5.31076
73	4.50997	0.0890001	0.00175722	3.98852	2.13403	4.37031	0.288992	0.211052	4.02746	3.64997	0.0261936	0.045746	0.0669684	20.3673	5.35078
74	4.50961	0.0893436	0.00176829	4.01343	2.43337	4.19225	0.283968	0.170815	4.06772	3.69061	0.0265816	0.0463401	0.0655845	20.4093	5.40594
75	4.50728	0.0915726	0.00185746	4.03798	2.70133	4.04681	0.278991	0.166764	4.07178	3.69161	0.0268643	0.047762	0.0669302	20.4534	5.47461
76	4.50382	0.0948865	0.00199497	4.06221	2.93462	3.92298	0.27443	0.171985	4.06658	3.68174	0.0271806	0.0497748	0.0692536	20.5045	5.55501
77	4.49909	0.0994139	0.00219092	4.08611	3.12895	3.82241	0.270548	0.180539	4.05804	3.66686	0.027587	0.0525093	0.0724371	20.5656	5.64518
78	4.49226	0.105942	0.00248936	4.10969	3.27653	3.75275	0.267677	0.191692	4.0469	3.6468	0.0281586	0.0564303	0.0768597	20.6404	5.74291
79	4.48061	0.117031	0.00303802	4.13295	3.35901	3.73225	0.266477	0.206757	4.03185	3.61742	0.0291056	0.0629427	0.0837172	20.7354	5.84541
80	4.44959	0.146349	0.00473228	4.15593	3.30859	3.82689	0.269173	0.231364	4.00726	3.56023	0.0315012	0.0788664	0.0979736	20.8667	5.94812
81	4.33907	0.247708	0.0138831	4.1787	2.7962	4.35526	0.285901	0.296593	3.94205	3.37288	0.0393581	0.144646	0.146465	21.103	6.03765
82	4.30285	0.279597	0.0182082	4.2013	1.98884	5.13055	0.308894	0.419107	3.81955	3.14544	0.0395843	0.195774	0.200032	21.556	6.09014
83	4.39924	0.192629	0.00878509	4.22355	1.55434	5.50065	0.319768	0.469008	3.76966	3.16059	0.0326483	0.147795	0.189895	22.077	6.10862
84	4.50305	0.0955464	0.00204571	4.2453	1.81355	5.20722	0.313146	0.344576	3.89411	3.47971	0.0256487	0.0535119	0.0964906	22.3826	6.12434
85	4.50999	0.0888943	0.00175312	4.2667	2.1396	4.94287	0.308146	0.199442	4.03926	3.66119	0.0262705	0.0458711	0.0671662	22.4387	6.15574
86	4.50963	0.0892364	0.00176401	4.2878	2.43935	4.75863	0.303265	0.160555	4.07816	3.70081	0.0266503	0.0464134	0.0655144	22.4587	6.20238
87	4.50729	0.0914818	0.00185377	4.30862	2.70765	4.60695	0.298383	0.157164	4.08156	3.70114	0.0269301	0.047839	0.0668663	22.4807	6.26264
88	4.50385	0.0947791	0.00199047	4.32917	2.94123	4.47653	0.293889	0.16218	4.07656	3.69148	0.0272474	0.049852	0.0691854	22.51	6.33474
89	4.49917	0.099251	0.00218378	4.34944	3.13595	4.36915	0.290029	0.170115	4.06864	3.67726	0.0276549	0.0525724	0.072339	22.5495	6.41672
90	4.49247	0.105651	0.00247577	4.36946	3.28428	4.2923	0.287103	0.180415	4.05835	3.65817	0.0282237	0.0564465	0.0766918	22.6029	6.50637
91	4.48122	0.116373	0.0030042	4.38921	3.36875	4.26345	0.285699	0.194359	4.04442	3.63026	0.0291514	0.0627992	0.0833731	22.6764	6.60094
92	4.45233	0.143693	0.00456465	4.40873	3.32701	4.34337	0.287738	0.217116	4.02168	3.57667	0.0314093	0.0778245	0.0969243	22.7853	6.69603
93	4.34565	0.241747	0.0131823	4.42809	2.84672	4.83474	0.302321	0.277008	3.9618	3.40126	0.039117	0.140025	0.14254	22.993	6.77908
94	4.30449	0.278087	0.0179944	4.44733	2.04005	5.60469	0.323946	0.39543	3.84339	3.17213	0.0398302	0.194917	0.197642	23.4158	6.8261
95	4.39413	0.197241	0.00920079	4.46628	1.5801	5.99355	0.334789	0.447263	3.79157	3.17735	0.0332277	0.151588	0.190519	23.917	6.83858
96	4.50276	0.095749	0.00205615	4.48478	1.82562	5.70583	0.328627	0.330538	3.90831	3.49065	0.0257807	0.0545792	0.098398	24.2136	6.84709
97	4.51001	0.0887928	0.00174906	4.50298	2.1512	5.43628	0.323796	0.189232	4.04963	3.67122	0.0263393	0.0459622	0.067199	24.2532	6.87116
98	4.50958	0.0892062	0.00176278	4.52092	2.45055	5.2478	0.319002	0.152931	4.08594	3.70833	0.0267072	0.0464971	0.0654861	24.2538	6.91054
99	4.5072	0.0914929	0.00185424	4.53864	2.71829	5.09125	0.314186	0.150344	4.08854	3.70781	0.0269852	0.0479413	0.0668738	24.2566	6.9636
100	4.50374	0.0948036	0.00199154	4.55612	2.95121	4.95568	0.309746	0.15529	4.08361	3.69818	0.0273051	0.0499699	0.0692094	24.267	7.02855
