Time	[Ste5]	[Ste11]	[Ste5Ste11]	[Gbg]	[Ste5Ste11Gbg]	[Fus3]	[Ste5Ste11GbgFus3]	[Ste5Ste11GbgFus3P]	[Fus3PP]	[Ste5Ste11GbgP]	[Ste11Ubi]	[p]	[Kss1]	[Ste5Ste11GbgKss1]	[Ste5Ste11GbgKss1P]	[Kss1PP]	[Ste11P]	[Ste12Kss1]	[Ste12]	[Ste12P]	[s]	[PREP]	[Ste12TeSte5Kss1]	[Ste12TeSte5]	[Ste12TeSte5P]	[FREP]
29	33.3368	1.1858	0.403367	50.1764	5.0531e-10	180.997	1.92093e-07	2.50693	33.4959	0.0132266	1.78109	0	21.5353	2.35612e-08	0.303486	52.6332	8.81908	30.8886	0.143657	4.93773	0	4.98368	3.6508	0.166885	8.78202	8.78312
30	33.2155	1.16884	0.39564	50.3054	3.00339e-10	181.963	1.13964e-07	2.39674	32.6403	0.0125809	1.73431	0	21.2714	1.37707e-08	0.285313	52.8728	8.84376	30.9385	0.145688	4.88583	0	4.93571	3.59352	0.166227	8.78488	8.78336
31	33.0999	1.15323	0.388535	50.4281	1.78693e-10	182.944	6.78141e-08	2.29186	31.7638	0.0119683	1.686	0	20.9985	8.06279e-09	0.268082	53.1153	8.86648	30.9912	0.147845	4.83091	0	4.88412	3.5356	0.165605	8.78999	8.78609
32	32.9897	1.13881	0.381984	50.5448	1.06437e-10	183.935	4.04434e-08	2.19199	30.8734	0.0113874	1.63662	0	20.7181	4.72687e-09	0.251776	53.36	8.88744	31.0464	0.150123	4.77347	0	4.82947	3.47727	0.165015	8.79713	8.79108
33	32.8846	1.12548	0.375931	50.6559	6.34546e-11	184.928	2.41625e-08	2.09686	29.9749	0.0108366	1.58655	0	20.4315	2.77388e-09	0.236371	53.6063	8.90683	31.1036	0.152517	4.71392	0	4.77227	3.41872	0.164458	8.80612	8.79812
34	32.7845	1.11312	0.370327	50.7617	3.78626e-11	185.92	1.4457e-08	2.00618	29.0737	0.0103144	1.53615	0	20.1399	1.62915e-09	0.221838	53.8535	8.92479	31.1623	0.155025	4.65265	0	4.71293	3.36012	0.16393	8.81678	8.80702
35	32.689	1.10165	0.365128	50.8623	2.26113e-11	186.906	8.65999e-09	1.91972	28.1739	0.00981933	1.4857	0	19.8443	9.5743e-10	0.208144	54.1011	8.94146	31.2224	0.157642	4.58997	0	4.65183	3.3016	0.163431	8.82894	8.81759
36	32.598	1.09098	0.360297	50.9581	1.3514e-11	187.883	5.19284e-09	1.83725	27.2795	0.00935002	1.43547	0	19.5459	5.62991e-10	0.195254	54.3486	8.95696	31.2835	0.160366	4.52616	0	4.5893	3.24331	0.162959	8.84245	8.82967
37	32.5113	1.08105	0.355801	51.0494	8.08331e-12	188.848	3.11657e-09	1.75857	26.3935	0.00890505	1.38567	0	19.2453	3.31221e-10	0.183132	54.5955	8.97139	31.3453	0.163196	4.46146	0	4.52563	3.18536	0.162513	8.85718	8.84311
38	32.4286	1.07178	0.351611	51.1363	4.83936e-12	189.798	1.87219e-09	1.68346	25.5187	0.00848312	1.33649	0	18.9436	1.94992e-10	0.17174	54.8413	8.98485	31.4078	0.166127	4.3961	0	4.46105	3.12785	0.162091	8.87299	8.85777
39	32.3497	1.06314	0.3477	51.2191	2.90521e-12	190.731	1.12536e-09	1.61174	24.6574	0.00808295	1.28808	0	18.6413	1.14839e-10	0.161041	55.0856	8.99741	31.4706	0.169159	4.33025	0	4.39579	3.07087	0.161693	8.88976	8.87351
40	32.2744	1.05505	0.344045	51.298	1.72566e-12	191.645	6.7699e-10	1.54325	23.8113	0.00770335	1.24057	0	18.3393	6.76031e-11	0.150999	55.3279	9.00915	31.5336	0.17229	4.26407	0	4.33003	3.0145	0.161318	8.90737	8.89022
41	32.2026	1.04749	0.340626	51.3733	1.03163e-12	192.54	4.07547e-10	1.47781	22.9821	0.00734317	1.19407	0	18.0382	3.98457e-11	0.141579	55.5679	9.02013	31.5968	0.175516	4.19769	0	4.26392	2.95881	0.160963	8.92571	8.90777
42	32.1341	1.0404	0.337423	51.445	6.22766e-13	193.414	2.45361e-10	1.41528	22.1709	0.00700133	1.14865	0	17.7384	2.35161e-11	0.132745	55.8051	9.03042	31.6599	0.178838	4.13124	0	4.19761	2.90386	0.160629	8.94469	8.92606
