Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[MK]	[MK_P]	[MK_PP]	[P1]	[P2]	[Sig]
51	0.236643	299.763	1089.45	7.24855	103.305	1181.48	7.09538	11.421	100	200	20
52	0.196202	299.804	1086.58	7.22982	106.186	1180.48	7.18014	12.3401	100	200	20
53	0.163072	299.837	1083.72	7.21109	109.068	1179.45	7.25581	13.2959	100	200	20
54	0.135937	299.864	1080.86	7.19236	111.95	1178.39	7.32294	14.2878	100	200	20
55	0.113715	299.886	1078	7.17363	114.831	1177.3	7.38208	15.3153	100	200	20
56	0.0955189	299.904	1075.13	7.15491	117.713	1176.19	7.43382	16.3777	100	200	20
57	0.0806224	299.919	1072.27	7.13618	120.594	1175.05	7.4787	17.4745	100	200	20
58	0.0684287	299.932	1069.41	7.11745	123.475	1173.88	7.5173	18.6052	100	200	20
59	0.0584491	299.942	1066.55	7.09873	126.356	1172.68	7.55013	19.7692	100	200	20
60	0.0502832	299.95	1063.68	7.08001	129.236	1171.46	7.57774	20.966	100	200	20
61	0.0436028	299.956	1060.82	7.06129	132.116	1170.2	7.60061	22.195	100	200	20
62	0.0381389	299.962	1057.96	7.04257	134.996	1168.92	7.61921	23.4559	100	200	20
63	0.0336715	299.966	1055.1	7.02385	137.876	1167.62	7.63398	24.7481	100	200	20
64	0.03002	299.97	1052.24	7.00514	140.755	1166.28	7.64533	26.0712	100	200	20
65	0.0270367	299.973	1049.38	6.98642	143.634	1164.92	7.65364	27.4249	100	200	20
66	0.0246007	299.975	1046.52	6.96771	146.513	1163.53	7.65924	28.8088	100	200	20
67	0.0226127	299.977	1043.66	6.949	149.391	1162.11	7.66247	30.2226	100	200	20
68	0.0209918	299.979	1040.8	6.9303	152.269	1160.67	7.66359	31.6659	100	200	20
69	0.0196714	299.98	1037.94	6.91159	155.147	1159.2	7.66287	33.1386	100	200	20
70	0.0185971	299.981	1035.08	6.89289	158.024	1157.7	7.66054	34.6404	100	200	20
71	0.0177243	299.982	1032.22	6.87419	160.901	1156.17	7.6568	36.1711	100	200	20
72	0.0170166	299.983	1029.37	6.85549	163.777	1154.62	7.65182	37.7304	100	200	20
73	0.0164441	299.984	1026.51	6.8368	166.654	1153.04	7.64576	39.3183	100	200	20
74	0.0159824	299.984	1023.65	6.81811	169.529	1151.43	7.63877	40.9346	100	200	20
75	0.0156113	299.984	1020.8	6.79942	172.405	1149.79	7.63096	42.5791	100	200	20
76	0.0153145	299.985	1017.94	6.78073	175.28	1148.13	7.62243	44.2517	100	200	20
77	0.0150786	299.985	1015.08	6.76204	178.154	1146.43	7.61327	45.9525	100	200	20
78	0.0148926	299.985	1012.23	6.74336	181.029	1144.72	7.60356	47.6811	100	200	20
79	0.0147475	299.985	1009.37	6.72468	183.903	1142.97	7.59336	49.4377	100	200	20
80	0.0146359	299.985	1006.52	6.706	186.776	1141.2	7.58273	51.222	100	200	20
81	0.0145517	299.985	1003.66	6.68732	189.649	1139.39	7.57171	53.0342	100	200	20
82	0.0144902	299.986	1000.81	6.66865	192.522	1137.57	7.56033	54.874	100	200	20
83	0.0144471	299.986	997.956	6.64998	195.394	1135.71	7.54864	56.7416	100	200	20
84	0.0144191	299.986	995.102	6.63131	198.266	1133.83	7.53665	58.6368	100	200	20
85	0.0144037	299.986	992.249	6.61265	201.138	1131.92	7.52439	60.5596	100	200	20
86	0.0143985	299.986	989.397	6.59398	204.009	1129.98	7.51188	62.5099	100	200	20
87	0.0144017	299.986	986.545	6.57532	206.88	1128.01	7.49913	64.4879	100	200	20
88	0.0144119	299.986	983.693	6.55667	209.75	1126.02	7.48615	66.4933	100	200	20
89	0.0144279	299.986	980.842	6.53801	212.62	1124	7.47295	68.5263	100	200	20
90	0.0144485	299.986	977.991	6.51936	215.49	1121.95	7.45955	70.5868	100	200	20
91	0.0144731	299.986	975.141	6.50071	218.359	1119.88	7.44594	72.6748	100	200	20
92	0.014501	299.985	972.291	6.48206	221.227	1117.78	7.43213	74.7902	100	200	20
93	0.0145315	299.985	969.441	6.46342	224.096	1115.65	7.41812	76.9331	100	200	20
94	0.0145643	299.985	966.592	6.44478	226.964	1113.49	7.40393	79.1034	100	200	20
95	0.0145991	299.985	963.743	6.42614	229.831	1111.31	7.38954	81.3012	100	200	20
96	0.0146354	299.985	960.894	6.4075	232.698	1109.1	7.37497	83.5263	100	200	20
97	0.014673	299.985	958.046	6.38887	235.565	1106.86	7.36021	85.7788	100	200	20
98	0.0147118	299.985	955.199	6.37024	238.431	1104.6	7.34527	88.0588	100	200	20
99	0.0147517	299.985	952.352	6.35161	241.297	1102.3	7.33015	90.366	100	200	20
100	0.0147923	299.985	949.505	6.33299	244.162	1099.98	7.31484	92.7007	100	200	20
