Time	[JAK2]	[EpoR]	[SHP1]	[SOS]	[Raf]	[MEK2]	[MEK1]	[ERK1]	[ERK2]	[pJAK2]	[pEpoR]	[mSHP1]	[actSHP1]	[mSOS]	[pRaf]	[ppMEK2]	[ppMEK1]	[ppERK1]	[ppERK2]	[pSOS]	[pMEK2]	[pMEK1]	[pERK1]	[pERK2]	[Delay01_mSHP1]	[Delay02_mSHP1]	[Delay03_mSHP1]	[Delay04_mSHP1]	[Delay05_mSHP1]	[Delay06_mSHP1]	[Delay07_mSHP1]	[Delay08_mSHP1]	[Epo]
14	0.325144	0.0999225	0.0665239	1.46238	3.77183	10.6729	23.8118	5.61091	16.9926	1.67486	0.900077	0.260642	0.528577	2.10286e-05	6.59913e-05	0.116393	0.0984812	0.343608	0.908325	1.0477	0.210682	0.0897362	1.04548	3.0991	0.695354	1.25623	1.70639	1.85622	1.68405	1.31059	0.893124	0.541402	50
15	0.464065	0.149194	0.0600903	1.46213	3.77184	10.6863	23.8175	5.74268	17.3699	1.53593	0.850806	0.191537	0.763678	2.36951e-05	5.55903e-05	0.104659	0.0898372	0.288318	0.761237	1.04795	0.209042	0.0926787	0.969001	2.8689	0.536542	1.03872	1.51584	1.77217	1.72794	1.44512	1.05822	0.689238	50
16	0.618617	0.212311	0.0623054	1.46961	3.77185	10.6998	23.8235	5.8647	17.7193	1.38138	0.787689	0.14394	1.05351	2.64141e-05	4.96694e-05	0.0940034	0.0818786	0.240722	0.634907	1.04046	0.206222	0.0946257	0.894578	2.64581	0.411827	0.84714	1.32081	1.65127	1.72197	1.54019	1.20611	0.840035	50
17	0.776375	0.287933	0.0722594	1.48528	3.77185	10.7131	23.8297	5.97553	18.0368	1.22362	0.712067	0.112463	1.39625	2.8959e-05	4.68e-05	0.0844449	0.0746909	0.200591	0.528602	1.02479	0.202408	0.0956242	0.823878	2.4346	0.315987	0.683294	1.13188	1.50636	1.67282	1.59343	1.32882	0.98554	50
18	0.925612	0.371786	0.0897956	1.50932	3.77185	10.7263	23.8359	6.07469	18.3211	1.07439	0.628214	0.0928448	1.78687	3.11232e-05	4.58979e-05	0.0759462	0.068295	0.167277	0.440496	1.00075	0.197786	0.0957606	0.75803	2.23842	0.243956	0.546648	0.956276	1.34891	1.58902	1.60588	1.42087	1.11803	50
19	1.0583	0.45737	0.115262	1.5413	3.77185	10.739	23.8422	6.16246	18.5729	0.941695	0.54263	0.0817095	2.21757	3.28057e-05	4.61463e-05	0.0684342	0.0626612	0.139905	0.368203	0.968764	0.192534	0.0951488	0.697637	2.05889	0.191101	0.435222	0.798317	1.18846	1.47976	1.58125	1.47945	1.231	50
20	1.17107	0.538074	0.149259	1.58014	3.77185	10.7514	23.8484	6.23961	18.7945	0.828927	0.461926	0.0764307	2.67847	3.40508e-05	4.69723e-05	0.0618152	0.0577262	0.117541	0.309199	0.929923	0.186812	0.0939162	0.642852	1.89632	0.153345	0.346242	0.660061	1.03233	1.35393	1.52503	1.50431	1.31968	50
21	1.26421	0.609256	0.192394	1.6242	3.77185	10.7632	23.8544	6.30721	18.9888	0.735795	0.390744	0.0750443	3.15838	3.50115e-05	4.8031e-05	0.0559889	0.0534095	0.0992943	0.261099	0.885867	0.180764	0.0921904	0.593496	1.75005	0.127222	0.276608	0.541879	0.885802	1.21954	1.44374	1.49731	1.38118	50
22	1.33997	0.668992	0.245096	1.67161	3.77185	10.7746	23.8603	6.36642	19.1593	0.660031	0.331008	0.0761616	3.64559	3.58735e-05	4.91653e-05	0.0508582	0.0496282	0.084384	0.221822	0.838451	0.17451	0.0900884	0.549194	1.61891	0.109873	0.223204	0.442966	0.752262	1.08334	1.34415	1.46194	1.41451	50
23	1.40122	0.717486	0.307506	1.72062	3.77185	10.7855	23.866	6.41834	19.3089	0.598782	0.282514	0.0788596	4.12868	3.67989e-05	5.03475e-05	0.0463352	0.0463069	0.0721614	0.189643	0.78944	0.168152	0.0877103	0.509495	1.5015	0.0990181	0.183108	0.361771	0.633554	0.950654	1.23279	1.40275	1.42041	50
24	1.45065	0.75608	0.379443	1.76974	3.77185	10.7959	23.8715	6.46394	19.4404	0.549346	0.24392	0.0825634	4.59706	3.7905e-05	5.16215e-05	0.042344	0.043382	0.0621055	0.16318	0.740325	0.161771	0.0851378	0.473951	1.39645	0.0928998	0.153707	0.296339	0.530304	0.825417	1.11552	1.32486	1.40099	50
25	1.49056	0.786467	0.460421	1.8178	3.77185	10.8057	23.8768	6.50404	19.5561	0.509442	0.213533	0.0869402	5.04149	3.92661e-05	5.30602e-05	0.0388204	0.0408025	0.0538051	0.141346	0.692259	0.155437	0.0824359	0.442156	1.30254	0.090202	0.132756	0.244558	0.442237	0.710289	0.997331	1.23347	1.35941	50
26	1.52277	0.810266	0.549683	1.86398	3.77185	10.8151	23.8818	6.5393	19.658	0.477231	0.189734	0.0918167	5.45437	4.09229e-05	5.47391e-05	0.0357106	0.0385285	0.0469371	0.123285	0.646074	0.149203	0.0796552	0.413765	1.21872	0.0899688	0.118388	0.204339	0.368462	0.606824	0.882227	1.13356	1.29947	50
27	1.54874	0.828858	0.646257	1.90773	3.77184	10.8239	23.8866	6.57027	19.7476	0.451259	0.171142	0.0971189	5.8299	4.28905e-05	5.67221e-05	0.0329693	0.0365286	0.0412466	0.108325	0.60233	0.143116	0.0768361	0.388482	1.14411	0.0915262	0.109096	0.173733	0.307712	0.515684	0.773224	1.02957	1.22528	50
28	1.56962	0.843351	0.749006	1.94868	3.77184	10.8322	23.8912	6.59741	19.8261	0.43038	0.156649	0.102832	6.1641	4.51648e-05	5.90553e-05	0.0305581	0.0347773	0.0365302	0.095929	0.561371	0.137212	0.0740107	0.366056	1.07795	0.0944125	0.103689	0.150999	0.258523	0.436846	0.672421	0.925322	1.14096	50
29	1.58631	0.854612	0.856682	1.98667	3.77184	10.84	23.8955	6.62111	19.8947	0.413692	0.145388	0.108971	6.45467	4.77262e-05	6.17646e-05	0.0284435	0.0332536	0.0326237	0.0856635	0.523382	0.131524	0.0712059	0.346265	1.01959	0.0983222	0.101254	0.134628	0.219382	0.369789	0.581112	0.823903	1.05038	50
30	1.59952	0.863306	0.967977	2.02162	3.77184	10.8473	23.8996	6.6417	19.9544	0.400477	0.136694	0.11557	6.70091	5.05427e-05	6.48558e-05	0.0265959	0.0319384	0.0293931	0.0771753	0.488429	0.126076	0.0684443	0.328909	0.96842	0.103061	0.101098	0.123355	0.18882	0.313668	0.49992	0.727676	0.957047	50
31	1.60984	0.869944	1.08156	2.05355	3.77183	10.8541	23.9034	6.65948	20.006	0.390163	0.130056	0.122662	6.9034	5.35725e-05	6.83159e-05	0.0249888	0.0308141	0.0267274	0.0701726	0.456497	0.120889	0.065746	0.313794	0.92387	0.10851	0.102713	0.116138	0.165478	0.267446	0.428936	0.638321	0.863934	50
32	1.61771	0.874918	1.19613	2.08253	3.77183	10.8604	23.907	6.67473	20.0502	0.38229	0.125082	0.130283	7.06382	5.67677e-05	7.21153e-05	0.023598	0.0298636	0.0245345	0.0644125	0.42751	0.115981	0.0631286	0.300737	0.88539	0.114605	0.10573	0.112142	0.148139	0.230001	0.367858	0.556913	0.773482	50
33	1.62352	0.878529	1.3104	2.10868	3.77182	10.8662	23.9103	6.68771	20.0879	0.376481	0.121471	0.138459	7.18468	6.0078e-05	7.62112e-05	0.0224011	0.0290698	0.022737	0.0596915	0.401357	0.111363	0.0606079	0.289554	0.852438	0.121309	0.109889	0.110708	0.135749	0.200211	0.316105	0.484009	0.687576	50
34	1.62757	0.881011	1.42319	2.13213	3.77182	10.8716	23.9134	6.69867	20.1197	0.372429	0.118989	0.147209	7.26908	6.3454e-05	8.05513e-05	0.0213772	0.028416	0.02127	0.0558386	0.377904	0.107044	0.0581976	0.280063	0.824479	0.12861	0.115009	0.111325	0.127412	0.177004	0.272923	0.419755	0.607578	50
35	1.63012	0.882549	1.5334	2.15303	3.77181	10.8765	23.9162	6.70783	20.1463	0.369877	0.117451	0.15654	7.32049	6.68509e-05	8.50782e-05	0.0205072	0.0278856	0.0200786	0.0527101	0.357002	0.103028	0.055909	0.272089	0.800989	0.136501	0.120965	0.113604	0.122385	0.159393	0.237466	0.363973	0.534385	50
36	1.63139	0.883289	1.64	2.17153	3.77181	10.8809	23.9188	6.71542	20.1684	0.36861	0.116711	0.166449	7.34258	7.02299e-05	8.97334e-05	0.0197732	0.0274628	0.019117	0.050185	0.338495	0.0993162	0.0537516	0.265459	0.781461	0.144978	0.127676	0.117254	0.120059	0.1465	0.208861	0.316256	0.468487	50
37	1.63155	0.883348	1.7421	2.1878	3.77181	10.8849	23.9211	6.72164	20.1864	0.368446	0.116652	0.176918	7.33906	7.356e-05	9.4461e-05	0.0191589	0.0271325	0.0183467	0.0481623	0.322229	0.0959063	0.051732	0.260011	0.765415	0.154036	0.135082	0.122055	0.119949	0.137559	0.18625	0.276044	0.410046	50
38	1.63077	0.882824	1.83891	2.20198	3.7718	10.8886	23.9233	6.72667	20.201	0.369229	0.117176	0.18792	7.31355	7.68171e-05	9.92101e-05	0.0186497	0.0268813	0.0177355	0.0465576	0.308048	0.0927924	0.0498543	0.255592	0.752404	0.163663	0.143145	0.127849	0.121667	0.131916	0.168831	0.242684	0.358962	50
39	1.62918	0.881796	1.92977	2.21422	3.7718	10.8918	23.9252	6.73068	20.2127	0.370823	0.118204	0.199411	7.2695	7.9983e-05	0.000103936	0.0182324	0.0266967	0.0172569	0.0453011	0.295802	0.0899663	0.0481203	0.252067	0.742022	0.173841	0.151832	0.134516	0.12491	0.129021	0.155866	0.215486	0.314944	50
40	1.62689	0.880333	2.01412	2.22467	3.77179	10.8947	23.9269	6.7338	20.2218	0.37311	0.119667	0.211338	7.21014	8.30439e-05	0.000108601	0.0178953	0.0265683	0.0168891	0.0443353	0.285347	0.0874175	0.0465293	0.249311	0.733909	0.184538	0.161112	0.141967	0.129444	0.128421	0.146699	0.193758	0.277564	50
41	1.62401	0.878493	2.09151	2.23347	3.77179	10.8972	23.9284	6.73617	20.2286	0.375985	0.121507	0.223635	7.13842	8.59885e-05	0.000113174	0.0176282	0.026487	0.016614	0.0436134	0.276543	0.0851335	0.0450788	0.247218	0.727749	0.195716	0.170955	0.150133	0.135086	0.129746	0.140759	0.176833	0.24631	50
42	1.62064	0.876329	2.16161	2.24075	3.77178	10.8995	23.9298	6.73789	20.2336	0.379357	0.123671	0.236222	7.057	8.88071e-05	0.000117629	0.0174222	0.0264453	0.0164173	0.043097	0.269258	0.0831009	0.0437642	0.245697	0.723271	0.207324	0.181324	0.158957	0.141693	0.132694	0.137552	0.164094	0.220626	50
43	1.61686	0.873886	2.22421	2.24664	3.77178	10.9014	23.931	6.73905	20.237	0.383142	0.126114	0.249013	6.96825	9.14905e-05	0.000121941	0.0172697	0.026437	0.0162871	0.0427552	0.263367	0.0813048	0.04258	0.244667	0.720242	0.219299	0.192176	0.168387	0.149154	0.137024	0.136663	0.154976	0.199945	50
44	1.61273	0.871206	2.27917	2.25126	3.77177	10.9031	23.932	6.73972	20.239	0.387266	0.128794	0.261912	6.87426	9.40299e-05	0.000126094	0.017164	0.026457	0.0162137	0.0425628	0.258751	0.0797299	0.0415194	0.244064	0.718468	0.231569	0.20346	0.178372	0.157375	0.142543	0.137741	0.148978	0.183713	50
45	1.60834	0.868327	2.32647	2.25471	3.77177	10.9045	23.9329	6.73998	20.2397	0.391661	0.131673	0.274816	6.77685	9.64169e-05	0.000130068	0.0170993	0.0265013	0.0161893	0.042499	0.255295	0.0783607	0.0405749	0.243829	0.717781	0.244054	0.215115	0.188861	0.16628	0.149092	0.140497	0.145661	0.171404	50
46	1.60373	0.865287	2.36617	2.25711	3.77177	10.9057	23.9337	6.73988	20.2394	0.396267	0.134713	0.287619	6.67757	9.86436e-05	0.000133848	0.0170704	0.0265663	0.0162074	0.0425468	0.252895	0.0771814	0.0397388	0.243915	0.718037	0.256665	0.227074	0.199797	0.175797	0.156543	0.144689	0.144643	0.162531	50
47	1.59897	0.862118	2.39841	2.25855	3.77176	10.9068	23.9343	6.73946	20.2382	0.401026	0.137882	0.300211	6.57778	0.000100704	0.000137421	0.0170729	0.026649	0.0162625	0.0426916	0.251447	0.0761761	0.0390029	0.244279	0.719114	0.269305	0.239259	0.211119	0.185861	0.164786	0.150119	0.145598	0.156654	50
48	1.59411	0.858854	2.42341	2.25914	3.77176	10.9076	23.9349	6.73877	20.2362	0.405888	0.141146	0.312484	6.47861	0.000102592	0.000140773	0.0171028	0.026747	0.0163496	0.0429208	0.250855	0.0753296	0.0383594	0.244884	0.7209	0.281875	0.251587	0.222758	0.196406	0.173728	0.156619	0.14825	0.153378	50
49	1.5892	0.855524	2.44146	2.25897	3.77176	10.9082	23.9353	6.73784	20.2335	0.410805	0.144476	0.324331	6.38101	0.000104306	0.000143896	0.0171562	0.0268578	0.0164647	0.0432231	0.25103	0.0746266	0.0378003	0.245696	0.723297	0.294272	0.263968	0.234641	0.207363	0.183283	0.16405	0.152362	0.152357	50
50	1.58427	0.85216	2.4529	2.25811	3.77175	10.9087	23.9357	6.73671	20.2302	0.415732	0.14784	0.335649	6.28581	0.000105844	0.00014678	0.0172298	0.0269794	0.0166037	0.0435883	0.251883	0.0740526	0.037318	0.246685	0.726213	0.306393	0.276308	0.246686	0.218662	0.193371	0.172291	0.157735	0.153288	50
51	1.57937	0.84879	2.45814	2.25666	3.77175	10.9091	23.936	6.73542	20.2264	0.420628	0.15121	0.346345	6.19368	0.000107209	0.000149422	0.0173205	0.0271095	0.016763	0.0440069	0.253333	0.0735936	0.0369054	0.24782	0.729563	0.318136	0.28851	0.258808	0.230228	0.203915	0.181235	0.164199	0.155908	50
52	1.57455	0.845441	2.45761	2.25469	3.77175	10.9093	23.9362	6.73399	20.2223	0.425454	0.154559	0.35633	6.10517	0.000108402	0.000151818	0.0174251	0.0272463	0.0169391	0.0444696	0.255302	0.0732362	0.0365555	0.249076	0.733265	0.329403	0.300475	0.270916	0.24198	0.214837	0.190785	0.171605	0.159989	50
53	1.56982	0.842141	2.4518	2.25228	3.77175	10.9095	23.9364	6.73245	20.2178	0.430176	0.157859	0.36553	6.02074	0.000109431	0.000153968	0.0175409	0.0273878	0.0171287	0.0449678	0.257714	0.072968	0.0362618	0.250425	0.737243	0.340101	0.312106	0.28292	0.253835	0.226059	0.200852	0.179825	0.165335	50
54	1.56524	0.838916	2.4412	2.24949	3.77174	10.9096	23.9364	6.73083	20.2131	0.434758	0.161084	0.373879	5.94077	0.000110302	0.000155877	0.0176652	0.0275322	0.0173286	0.0454929	0.260499	0.0727771	0.0360183	0.251843	0.741425	0.350146	0.32331	0.294725	0.265707	0.237498	0.211346	0.188743	0.171772	50
55	1.56083	0.83579	2.42635	2.2464	3.77174	10.9096	23.9365	6.72916	20.2082	0.439171	0.16421	0.381329	5.86555	0.000111023	0.000157549	0.0177956	0.0276776	0.0175356	0.0460369	0.26359	0.0726525	0.0358193	0.253307	0.745742	0.359463	0.333997	0.306238	0.277507	0.249072	0.222184	0.198254	0.17915	50
56	1.55661	0.832786	2.40778	2.24307	3.77174	10.9095	23.9365	6.72746	20.2033	0.443386	0.167214	0.38784	5.79533	0.000111602	0.000158992	0.0179298	0.0278225	0.0177469	0.0465918	0.266922	0.0725841	0.0356596	0.254795	0.750129	0.367987	0.344085	0.31737	0.289145	0.260696	0.23328	0.208258	0.187334	50
57	1.55262	0.829926	2.38601	2.23955	3.77174	10.9094	23.9365	6.72575	20.1983	0.447377	0.170074	0.393391	5.73028	0.000112051	0.000160217	0.0180656	0.0279653	0.0179595	0.0471504	0.270435	0.0725627	0.0355345	0.256287	0.754526	0.375664	0.353498	0.328032	0.300532	0.272281	0.244549	0.218662	0.196202	50
58	1.54888	0.827231	2.3616	2.23592	3.77174	10.9092	23.9365	6.72407	20.1934	0.45112	0.172769	0.397974	5.67052	0.000112379	0.000161233	0.018201	0.0281043	0.0181708	0.0477054	0.274072	0.0725797	0.0354394	0.257763	0.758877	0.382455	0.362171	0.338145	0.311579	0.283742	0.255904	0.229373	0.205643	50
59	1.5454	0.824718	2.33505	2.23221	3.77174	10.909	23.9364	6.72242	20.1886	0.454596	0.175282	0.401593	5.61613	0.000112595	0.000162054	0.0183343	0.0282384	0.0183782	0.0482504	0.277778	0.0726276	0.0353703	0.259206	0.763131	0.388333	0.37005	0.347634	0.322204	0.294991	0.267259	0.240303	0.215551	50
60	1.54221	0.822403	2.30687	2.22848	3.77174	10.9088	23.9363	6.72082	20.184	0.457787	0.177597	0.40427	5.56716	0.000112711	0.000162693	0.0184639	0.0283664	0.0185795	0.0487793	0.281504	0.0726996	0.0353237	0.260601	0.767243	0.393284	0.377093	0.356434	0.332326	0.305942	0.278527	0.251362	0.225828	50
61	1.53932	0.820298	2.27755	2.22478	3.77174	10.9086	23.9362	6.71929	20.1795	0.46068	0.179702	0.406037	5.52359	0.000112737	0.000163162	0.0185883	0.0284871	0.0187726	0.0492865	0.285202	0.0727894	0.035296	0.261934	0.771172	0.397309	0.383268	0.364491	0.341873	0.316515	0.289624	0.262463	0.236376	50
62	1.53674	0.818415	2.24754	2.22116	3.77174	10.9084	23.9361	6.71785	20.1754	0.463263	0.181585	0.406936	5.48539	0.000112681	0.000163477	0.0187063	0.0285996	0.0189555	0.049767	0.288832	0.0728917	0.0352844	0.263193	0.774883	0.40042	0.388558	0.371759	0.35078	0.32663	0.300465	0.273519	0.247105	50
63	1.53447	0.81676	2.21725	2.21764	3.77174	10.9082	23.936	6.71651	20.1714	0.465529	0.18324	0.407023	5.45248	0.000112555	0.000163651	0.018817	0.0287032	0.0191267	0.0502166	0.292352	0.0730017	0.0352861	0.264367	0.778344	0.402642	0.392957	0.378204	0.358991	0.336218	0.31097	0.284445	0.257922	50
64	1.53252	0.815338	2.18708	2.21426	3.77174	10.908	23.9359	6.71527	20.1678	0.467475	0.184662	0.406359	5.42474	0.000112366	0.000163697	0.0189193	0.0287971	0.0192847	0.0506316	0.295729	0.0731155	0.0352986	0.265449	0.781532	0.404012	0.396473	0.383804	0.36646	0.345212	0.321063	0.295158	0.26874	50
65	1.5309	0.814151	2.15738	2.21105	3.77174	10.9078	23.9358	6.71414	20.1646	0.469101	0.185849	0.405014	5.40203	0.000112124	0.00016363	0.0190127	0.0288811	0.0194283	0.051009	0.298933	0.0732293	0.0353197	0.266431	0.784426	0.404576	0.399123	0.38855	0.373149	0.353556	0.330673	0.305579	0.279473	50
66	1.52959	0.813197	2.12845	2.20805	3.77174	10.9076	23.9357	6.71314	20.1616	0.470411	0.186803	0.403061	5.38418	0.000111838	0.000163463	0.0190965	0.0289546	0.0195567	0.0513463	0.301937	0.0733403	0.0353474	0.267308	0.787011	0.404389	0.400938	0.392443	0.379033	0.361201	0.339734	0.315631	0.290037	50
67	1.52859	0.812472	2.10058	2.20527	3.77174	10.9074	23.9356	6.71225	20.1591	0.471412	0.187528	0.400579	5.37098	0.000111515	0.000163209	0.0191705	0.0290175	0.0196693	0.051642	0.304718	0.0734459	0.0353801	0.268077	0.789277	0.403513	0.401956	0.395495	0.384099	0.36811	0.34819	0.325244	0.300353	50
68	1.52789	0.811968	2.074	2.20273	3.77174	10.9072	23.9355	6.7115	20.1569	0.472115	0.188032	0.397647	5.3622	0.000111164	0.00016288	0.0192344	0.0290697	0.0197656	0.0518948	0.30726	0.0735441	0.0354161	0.268736	0.791217	0.402016	0.402226	0.39773	0.388342	0.374254	0.355991	0.334353	0.310344	50
69	1.52747	0.811676	2.0489	2.20044	3.77174	10.9071	23.9354	6.71087	20.1551	0.472532	0.188324	0.394342	5.35759	0.000110792	0.000162489	0.0192882	0.0291112	0.0198454	0.0521045	0.309549	0.0736331	0.0354541	0.269284	0.792832	0.399968	0.401803	0.39918	0.391771	0.379614	0.363096	0.3429	0.319941	50
70	1.52732	0.811583	2.02544	2.19841	3.77174	10.907	23.9354	6.71037	20.1536	0.472681	0.188417	0.390742	5.35687	0.000110406	0.000162047	0.0193319	0.0291423	0.0199088	0.0522711	0.311575	0.0737118	0.0354929	0.269722	0.794122	0.397444	0.400748	0.399887	0.394402	0.384183	0.369474	0.350834	0.329077	50
71	1.52742	0.811675	2.00374	2.19666	3.77174	10.9069	23.9353	6.70999	20.1525	0.47258	0.188325	0.386921	5.35975	0.000110012	0.000161566	0.0193658	0.0291633	0.0199562	0.0523953	0.313335	0.0737792	0.0355314	0.270052	0.795095	0.394518	0.399127	0.399901	0.396262	0.387963	0.375104	0.358113	0.337694	50
72	1.52775	0.811938	1.9839	2.19516	3.77174	10.9068	23.9353	6.70973	20.1518	0.472249	0.188062	0.38295	5.36593	0.000109617	0.000161055	0.0193901	0.0291744	0.0199879	0.0524785	0.314825	0.0738348	0.0355687	0.270278	0.79576	0.391264	0.397007	0.399275	0.397387	0.390967	0.379975	0.364703	0.345739	50
73	1.52829	0.812353	1.96598	2.19394	3.77174	10.9067	23.9352	6.70959	20.1513	0.471711	0.187647	0.378895	5.37507	0.000109227	0.000160525	0.0194053	0.0291762	0.0200046	0.0525223	0.31605	0.073878	0.035604	0.270404	0.796131	0.387752	0.394459	0.398069	0.397819	0.393215	0.384084	0.37058	0.35317	50
74	1.52901	0.812904	1.95001	2.19298	3.77174	10.9067	23.9352	6.70956	20.1512	0.470988	0.187096	0.374815	5.38686	0.000108845	0.000159985	0.0194118	0.0291693	0.0200071	0.0525288	0.317013	0.073909	0.0356368	0.270436	0.796222	0.384051	0.391552	0.396347	0.397608	0.394738	0.387438	0.375729	0.35995	50
75	1.5299	0.813572	1.936	2.19227	3.77174	10.9067	23.9352	6.70962	20.1514	0.470105	0.186428	0.370764	5.40095	0.000108477	0.000159443	0.0194102	0.0291543	0.0199964	0.0525006	0.317724	0.0739278	0.0356665	0.270379	0.796053	0.380228	0.388355	0.394174	0.396808	0.395573	0.390054	0.380143	0.366051	50
76	1.53092	0.81434	1.92392	2.1918	3.77174	10.9067	23.9352	6.70979	20.1519	0.469085	0.18566	0.366791	5.41702	0.000108126	0.000158907	0.0194012	0.0291319	0.0199735	0.0524404	0.318194	0.0739347	0.0356927	0.27024	0.795643	0.376341	0.384935	0.391616	0.395477	0.395763	0.391955	0.383826	0.371456	50
77	1.53205	0.815188	1.91374	2.19156	3.77174	10.9067	23.9352	6.71003	20.1526	0.467952	0.184812	0.362939	5.43473	0.000107796	0.000158384	0.0193855	0.0291027	0.0199395	0.0523511	0.318436	0.0739302	0.0357151	0.270027	0.795014	0.372445	0.381356	0.388739	0.393675	0.395357	0.393175	0.386789	0.376154	50
