Time	[GLC]	[G6P]	[ADP]	[ATP]	[F6P]	[F16P]	[E4P]	[PGN]	[GLC_e]	[NADP]	[NADPH]	[BPG]	[RU5P]	[X5P]	[R5P]	[GAP]	[S7P]	[NADH]	[NAD]	[AMP]	[PRPP]	[G1P]	[Pi]	[GLY]	[CIT]	[F26P]	[DHAP]	[PG3]	[PG2]	[PEP]	[PYR]	[LAC]	[CO2]	[O2]
23	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
24	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
25	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
26	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
27	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
28	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
29	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
30	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
31	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
32	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
33	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
34	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
35	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
36	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
37	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
38	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
39	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
40	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
41	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
42	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
43	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
44	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
45	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
46	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
47	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
48	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
49	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
50	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
51	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
52	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
53	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
54	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
55	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
56	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
57	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
58	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
59	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
60	0.000857888	0.00103944	0.00233578	0.00906422	3.10602e-05	0.000447288	0.00102192	0.000106172	0.01	6.13259e-07	1.87067e-05	8.68975e-05	0.000138681	0.000234928	2.67158e-05	0.00018148	6.81482e-05	5.0881e-06	0.00133991	0.00311	0.001	3.57382e-05	0.02	0.208404	0.00108	3.67e-06	0.000591973	7.39406e-05	5.2168e-05	5.3247e-05	0.00178188	0.0155	0.0214	6.5e-05
