Time	[APAF-1]	[Caspase 9]	[Caspase 9-XIAP complex]	[XIAP]	[APAF-1-Caspase 9-XIAP complex]	[APAF-1-Caspase 9 complex]	[Caspase 3]	[Caspase 3 cleaved]	[Caspase 3 cleaved - XIAP complex]	[Caspase 9 cleaved-XIAP complex]	[Caspase 9 cleaved]	[APAF-1-Caspase 9 cleaved complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]
41	15.3458	4.96925	10.2963	22.1343	3.14674	1.48293	193.792	1.82216	4.38588	0.0281482	0.052144	0.0158831	0.00860748
42	15.345	4.88023	10.3828	21.9077	3.17406	1.45593	193.682	1.82022	4.49731	0.0292426	0.0527472	0.0160711	0.00894484
43	15.3443	4.79446	10.4662	21.6867	3.20034	1.42986	193.575	1.81793	4.60716	0.0303361	0.0533163	0.0162483	0.00928174
44	15.3437	4.71179	10.5466	21.4713	3.22561	1.4047	193.469	1.81534	4.71544	0.031428	0.0538529	0.0164151	0.00961799
45	15.3431	4.63208	10.6242	21.2612	3.24994	1.3804	193.365	1.8125	4.82217	0.0325175	0.0543586	0.0165721	0.0099534
46	15.3427	4.5552	10.6991	21.0563	3.27337	1.35693	193.263	1.80944	4.92737	0.0336042	0.0548348	0.0167198	0.0102878
47	15.3423	4.48103	10.7713	20.8564	3.29594	1.33426	193.163	1.8062	5.03107	0.0346874	0.055283	0.0168587	0.0106211
48	15.342	4.40945	10.8411	20.6612	3.31769	1.31237	193.064	1.80281	5.13328	0.0357668	0.0557046	0.0169892	0.010953
49	15.3417	4.34034	10.9084	20.4707	3.33867	1.29121	192.967	1.79929	5.23403	0.0368417	0.0561008	0.0171117	0.0112836
50	15.3415	4.27362	10.9735	20.2847	3.3589	1.27077	192.871	1.79567	5.33335	0.037912	0.056473	0.0172268	0.0116126
51	15.3413	4.20916	11.0363	20.1031	3.37842	1.25101	192.777	1.79198	5.43126	0.0389771	0.0568225	0.0173347	0.01194
52	15.3411	4.1469	11.097	19.9256	3.39726	1.23192	192.684	1.78823	5.52778	0.0400367	0.0571502	0.0174359	0.0122656
53	15.341	4.08672	11.1557	19.7522	3.41544	1.21345	192.593	1.78444	5.62294	0.0410906	0.0574575	0.0175306	0.0125894
54	15.3409	4.02856	11.2124	19.5827	3.43301	1.1956	192.503	1.78063	5.71678	0.0421385	0.0577453	0.0176194	0.0129114
55	15.3408	3.97233	11.2672	19.4171	3.44998	1.17833	192.414	1.77682	5.8093	0.0431801	0.0580148	0.0177024	0.0132313
56	15.3407	3.91795	11.3202	19.2551	3.46637	1.16162	192.326	1.77301	5.90055	0.0442153	0.0582668	0.01778	0.0135493
57	15.3406	3.86536	11.3715	19.0966	3.48222	1.14546	192.24	1.76922	5.99055	0.0452438	0.0585023	0.0178526	0.0138651
58	15.3405	3.81448	11.4211	18.9416	3.49754	1.12983	192.155	1.76546	6.07931	0.0462654	0.0587223	0.0179203	0.0141789
59	15.3405	3.76525	11.469	18.79	3.51235	1.11469	192.071	1.76174	6.16688	0.0472801	0.0589276	0.0179834	0.0144905
60	15.3404	3.71761	11.5154	18.6415	3.52668	1.10004	191.989	1.75807	6.25327	0.0482876	0.0591189	0.0180423	0.0147998
61	15.3404	3.6715	11.5603	18.4962	3.54053	1.08586	191.907	1.75445	6.33852	0.049288	0.0592972	0.0180971	0.015107
62	15.3404	3.62686	11.6038	18.354	3.55394	1.07213	191.826	1.7509	6.42263	0.050281	0.059463	0.0181481	0.0154118
63	15.3403	3.58364	11.6458	18.2146	3.56692	1.05884	191.747	1.74741	6.50565	0.0512666	0.0596173	0.0181955	0.0157144
64	15.3403	3.54178	11.6865	18.0782	3.57947	1.04596	191.668	1.744	6.58759	0.0522448	0.0597605	0.0182396	0.0160147
65	15.3403	3.50125	11.7259	17.9444	3.59163	1.03349	191.591	1.74067	6.66848	0.0532155	0.0598934	0.0182804	0.0163127
66	15.3403	3.46198	11.7641	17.8134	3.60339	1.0214	191.514	1.73743	6.74834	0.0541786	0.0600166	0.0183183	0.0166084
67	15.3403	3.42394	11.8011	17.6849	3.61479	1.0097	191.439	1.73427	6.82719	0.0551342	0.0601307	0.0183533	0.0169017
68	15.3402	3.38708	11.8368	17.559	3.62582	0.998354	191.364	1.7312	6.90506	0.0560822	0.0602362	0.0183857	0.0171927
69	15.3402	3.35137	11.8715	17.4355	3.6365	0.987361	191.29	1.72822	6.98196	0.0570225	0.0603336	0.0184156	0.0174813
70	15.3402	3.31676	11.9051	17.3144	3.64685	0.976707	191.217	1.72535	7.05793	0.0579553	0.0604236	0.0184433	0.0177676
71	15.3402	3.28321	11.9376	17.1956	3.65688	0.966379	191.144	1.72257	7.13298	0.0588804	0.0605065	0.0184687	0.0180516
72	15.3402	3.25069	11.9691	17.079	3.66659	0.956368	191.073	1.71989	7.20713	0.059798	0.0605828	0.0184922	0.0183332
73	15.3402	3.21917	11.9997	16.9646	3.676	0.946663	191.002	1.71732	7.2804	0.060708	0.060653	0.0185137	0.0186125
74	15.3402	3.18861	12.0293	16.8523	3.68512	0.937252	190.932	1.71485	7.35282	0.0616105	0.0607175	0.0185335	0.0188895
75	15.3402	3.15898	12.0579	16.742	3.69396	0.928128	190.863	1.71248	7.42439	0.0625055	0.0607767	0.0185517	0.0191642
76	15.3402	3.13025	12.0857	16.6338	3.70252	0.919279	190.795	1.71022	7.49515	0.063393	0.060831	0.0185683	0.0194366
77	15.3402	3.10238	12.1127	16.5274	3.71082	0.910699	190.727	1.70807	7.5651	0.0642731	0.0608807	0.0185836	0.0197067
78	15.3402	3.07536	12.1388	16.423	3.71886	0.902377	190.66	1.70603	7.63427	0.0651458	0.0609261	0.0185975	0.0199745
79	15.3402	3.04916	12.1641	16.3204	3.72665	0.894305	190.593	1.7041	7.70268	0.0660112	0.0609677	0.0186103	0.0202401
80	15.3402	3.02374	12.1886	16.2195	3.73421	0.886476	190.527	1.70228	7.77034	0.0668693	0.0610057	0.0186219	0.0205035
81	15.3402	2.99909	12.2123	16.1204	3.74153	0.878882	190.462	1.70056	7.83726	0.0677203	0.0610405	0.0186326	0.0207647
82	15.3402	2.97518	12.2354	16.0229	3.74863	0.871516	190.398	1.69896	7.90348	0.068564	0.0610723	0.0186423	0.0210236
83	15.3402	2.95198	12.2577	15.9271	3.75552	0.86437	190.334	1.69747	7.96899	0.0694007	0.0611014	0.0186512	0.0212804
84	15.3402	2.92948	12.2793	15.8329	3.76219	0.857437	190.27	1.69608	8.03382	0.0702304	0.061128	0.0186593	0.021535
85	15.3402	2.90766	12.3003	15.7402	3.76865	0.850712	190.207	1.69481	8.09798	0.0710531	0.0611524	0.0186668	0.0217875
86	15.3402	2.88648	12.3207	15.649	3.77492	0.844187	190.145	1.69364	8.16149	0.071869	0.0611749	0.0186737	0.0220379
87	15.3402	2.86594	12.3404	15.5593	3.781	0.837857	190.083	1.69259	8.22436	0.072678	0.0611957	0.01868	0.0222862
