Time	[TGF_RII]	[TGFbeta_TGF_RII]	[TGF_RI]	[Rec_active]	[Smad2_c]	[SARA]	[Smad2_SARA]	[pSmad2_c]	[Smad4_c]	[pSmad2_Smad4_c]	[Smad7_c]	[Smad7_Smurf2_c]	[Rec_Smad7]	[Smurf2_c]	[SnoN_c]	[Smad3_c]	[pSmad3_c]	[Smad3_SARA]	[pSmad3_Smad4_c]	[Ski_c]	[Smad3_Ski_c]	[Smurf1_c]	[Smad7_Smurf1_c]	[pSmad2_Smad4_Ski_n]	[Smad2_Ski_c]	[pSmad2_SnoN_n]	[pSmad3_SnoN_n]	[Arkadia_c]	[Smad4_n]	[pSmad2_Smad4_n]	[SnoN_n]	[pSmad2_Smad4_SnoN_n]	[Smurf2_n]	[pSmad2_n]	[Smad2_n]	[Smad7_n]	[Smad7_Smurf2_n]	[Smad4_SnoN_n]	[Smad3_n]	[pSmad3_Smad4_n]	[Smad4_Smad2_n]	[pSmad3_n]	[pSmad3_Smad4_SnoN_n]	[Ski_n]	[Smad4_Ski_n]	[Smurf1_n]	[Smad7_Smurf1_n]	[pSmad3_Smad4_Ski_n]	[Smad4_Smad3_n]	[freePromoters]	[inactivePromoters]	[geneProduct]	[Arkadia_n]
20	0.0218951	0.000294304	0.191808	1.14731e-06	0.0709816	0.000574251	0.000256086	4.66097e-05	0.0672767	2.04579e-07	0.000837331	2.66093e-06	2.56817e-08	0.000551454	7.7999e-05	0.171339	5.69283e-05	0.000647173	3.07307e-07	7.5407e-05	9.12782e-06	5.05098e-05	1.17664e-06	1.16834e-08	3.6052e-06	2.51002e-26	4.07639e-26	0.00013229	0.054601	4.50119e-07	3.16366e-05	1.16834e-08	0.00349427	0.000112641	0.0327573	5.46556e-05	4.48221e-07	1.09805e-05	0.0506197	6.02486e-07	5.53706e-08	0.000137613	1.16834e-08	3.04854e-05	1.0174e-05	0.00155714	1.99356e-07	1.16834e-08	6.85672e-08	0.0999998	1.01504e-07	7.41414e-08	9.11009e-05
21	0.0226632	0.000330463	0.198881	1.44641e-06	0.0714616	0.000588179	0.000271122	5.89296e-05	0.0685776	3.50046e-07	0.000850075	3.09471e-06	3.48622e-08	0.000571221	7.84008e-05	0.171558	7.18372e-05	0.000680434	5.23425e-07	7.58896e-05	9.49367e-06	5.15575e-05	1.36987e-06	1.30751e-08	3.77499e-06	5.45217e-26	8.7667e-26	0.000134884	0.0565264	7.11034e-07	3.20129e-05	1.30751e-08	0.00365024	0.000142723	0.0335489	5.6819e-05	4.91087e-07	1.21382e-05	0.0511277	9.75639e-07	8.53436e-08	0.000174017	1.30751e-08	3.08559e-05	1.1217e-05	0.00163034	2.18878e-07	1.30751e-08	1.09574e-07	0.0999998	1.1295e-07	1.17245e-07	9.51469e-05
22	0.0234062	0.000368551	0.205759	1.79817e-06	0.0718336	0.000602243	0.000285915	7.34287e-05	0.0698129	5.79768e-07	0.000861691	3.56391e-06	4.64938e-08	0.000590695	7.87492e-05	0.171627	8.93709e-05	0.000712892	8.63572e-07	7.63264e-05	9.83321e-06	5.25976e-05	1.57937e-06	1.44975e-08	3.9348e-06	1.12557e-25	1.79406e-25	0.000137368	0.0583564	1.12149e-06	3.23464e-05	1.44975e-08	0.00380386	0.000178186	0.0343541	5.88381e-05	5.34378e-07	1.33142e-05	0.0516457	1.56629e-06	1.32782e-07	0.000216898	1.44975e-08	3.11888e-05	1.22728e-05	0.001703	2.38697e-07	1.44975e-08	1.75747e-07	0.0999997	1.24606e-07	1.86371e-07	9.90495e-05
23	0.0241251	0.000408494	0.212449	2.20707e-06	0.0721038	0.000616437	0.000300449	9.02843e-05	0.0709858	9.32098e-07	0.000872287	4.0674e-06	6.10142e-08	0.000609873	7.90528e-05	0.171557	0.000109747	0.000744566	1.38387e-06	7.67238e-05	1.01472e-05	5.36301e-05	1.80473e-06	1.59433e-08	4.08458e-06	2.21923e-25	3.51033e-25	0.000139749	0.0600953	1.75493e-06	3.2645e-05	1.59433e-08	0.00395511	0.000219475	0.0351866	6.07166e-05	5.77908e-07	1.45038e-05	0.0521869	2.48079e-06	2.0738e-07	0.000266801	1.59433e-08	3.14911e-05	1.33373e-05	0.00177514	2.58737e-07	1.59433e-08	2.81187e-07	0.0999996	1.36417e-07	2.95774e-07	0.000102812
24	0.0248207	0.000450215	0.218956	2.67732e-06	0.072278	0.000630755	0.000314706	0.000109658	0.0720995	1.45817e-06	0.000881959	4.60368e-06	7.88972e-08	0.00062875	7.93188e-05	0.171356	0.000133168	0.00077547	2.15914e-06	7.70877e-05	1.04366e-05	5.46551e-05	2.04539e-06	1.7406e-08	4.22432e-06	4.19643e-25	6.59405e-25	0.000142033	0.0617472	2.71242e-06	3.29154e-05	1.7406e-08	0.00410394	0.000266995	0.0360595	6.24589e-05	6.21506e-07	1.57026e-05	0.0527628	3.86523e-06	3.23326e-07	0.000324228	1.7406e-08	3.17686e-05	1.44066e-05	0.00184675	2.78927e-07	1.7406e-08	4.46487e-07	0.0999994	1.48335e-07	4.66015e-07	0.000106438
25	0.0254936	0.000493631	0.225284	3.21277e-06	0.0723616	0.000645195	0.000328671	0.000131693	0.0731569	2.22443e-06	0.000890799	5.17078e-06	1.0065e-07	0.000647322	7.95537e-05	0.171031	0.000159814	0.000805615	3.28671e-06	7.7423e-05	1.07021e-05	5.56728e-05	2.30058e-06	1.88799e-08	4.3541e-06	7.63811e-25	1.19342e-24	0.000144225	0.0633162	4.1295e-06	3.3163e-05	1.88799e-08	0.0042503	0.000321103	0.0369848	6.40703e-05	6.65014e-07	1.69068e-05	0.0533834	5.91526e-06	5.00849e-07	0.000389629	1.88799e-08	3.20259e-05	1.54774e-05	0.00191784	2.99205e-07	1.88799e-08	7.00969e-07	0.0999991	1.60315e-07	7.25965e-07	0.000109932
26	0.0261447	0.000538661	0.231439	3.81685e-06	0.07236	0.000659759	0.000342328	0.00015651	0.0741604	3.31523e-06	0.00089889	5.76629e-06	1.26808e-07	0.000665582	7.97628e-05	0.170587	0.000189842	0.000835012	4.89034e-06	7.77337e-05	1.09448e-05	5.66831e-05	2.56935e-06	2.03597e-08	4.47404e-06	1.34244e-24	2.08742e-24	0.000146331	0.0648057	6.18359e-06	3.33925e-05	2.03597e-08	0.00439414	0.000382103	0.0379738	6.55563e-05	7.08285e-07	1.8113e-05	0.0540573	8.88689e-06	7.68118e-07	0.000463394	2.03598e-08	3.2267e-05	1.65468e-05	0.00198841	3.19511e-07	2.03597e-08	1.0854e-06	0.0999987	1.72321e-07	1.11519e-06	0.000113298
27	0.0267748	0.000585217	0.237425	4.49253e-06	0.0722783	0.000674452	0.000355664	0.000184206	0.0751126	4.83525e-06	0.000906314	6.38736e-06	1.57934e-07	0.000683522	7.99508e-05	0.170026	0.000223382	0.000863665	7.12399e-06	7.80236e-05	1.11655e-05	5.76861e-05	2.85053e-06	2.18411e-08	4.58432e-06	2.28462e-24	3.53819e-24	0.000148354	0.0662193	9.10187e-06	3.36079e-05	2.18411e-08	0.00453539	0.000450235	0.0390368	6.69232e-05	7.51183e-07	1.93183e-05	0.0547919	1.31078e-05	1.16347e-06	0.000545843	2.18411e-08	3.24952e-05	1.76123e-05	0.00205847	3.39794e-07	2.18411e-08	1.65521e-06	0.0999981	1.84317e-07	1.68667e-06	0.00011654
28	0.0273845	0.000633213	0.243246	5.24225e-06	0.0721216	0.000689281	0.000368667	0.000214852	0.0760153	6.91172e-06	0.000913147	7.03069e-06	1.94612e-07	0.000701136	8.01217e-05	0.16935	0.000260535	0.000891576	1.01753e-05	7.82958e-05	1.13652e-05	5.86821e-05	3.14277e-06	2.33201e-08	4.68513e-06	3.77408e-24	5.82567e-24	0.000150299	0.0675599	1.3169e-05	3.38122e-05	2.33201e-08	0.00467396	0.000525672	0.0401826	6.81771e-05	7.93583e-07	2.05201e-05	0.055593	1.89887e-05	1.73798e-06	0.000637217	2.33201e-08	3.27131e-05	1.86717e-05	0.00212802	3.60005e-07	2.33201e-08	2.48421e-06	0.0999973	1.96275e-07	2.5098e-06	0.000119662
29	0.0279746	0.000682563	0.248908	6.06793e-06	0.0718949	0.000704256	0.000381326	0.000248491	0.0768706	9.69611e-06	0.00091947	7.69254e-06	2.37442e-07	0.000718413	8.02787e-05	0.168563	0.000301371	0.000918747	1.42687e-05	7.85529e-05	1.15447e-05	5.9671e-05	3.44453e-06	2.47931e-08	4.77674e-06	6.06508e-24	9.33738e-24	0.000152168	0.0688303	1.87348e-05	3.40081e-05	2.47931e-08	0.00480977	0.000608518	0.0414194	6.93247e-05	8.35371e-07	2.17161e-05	0.0564654	2.70346e-05	2.55838e-06	0.000737681	2.47931e-08	3.29228e-05	1.9723e-05	0.00219706	3.80101e-07	2.47931e-08	3.66878e-06	0.0999961	2.08169e-07	3.67371e-06	0.000122669
30	0.0285458	0.000733177	0.254415	6.97094e-06	0.0716036	0.00071939	0.000393633	0.00028514	0.0776802	1.33654e-05	0.000925362	8.36875e-06	2.87037e-07	0.000735343	8.04248e-05	0.167666	0.000345927	0.000945176	1.96672e-05	7.87971e-05	1.17048e-05	6.0653e-05	3.75405e-06	2.62571e-08	4.85939e-06	9.50037e-24	1.45963e-23	0.000153966	0.0700329	2.62211e-05	3.41978e-05	2.62571e-08	0.00494273	0.00069881	0.0427536	7.03727e-05	8.7644e-07	2.29043e-05	0.0574127	3.78551e-05	3.71019e-06	0.000847316	2.62571e-08	3.31261e-05	2.07646e-05	0.00226561	4.00044e-07	2.62571e-08	5.33245e-06	0.0999945	2.19976e-07	5.29062e-06	0.000125564
31	0.0290987	0.00078497	0.25977	7.95209e-06	0.0712527	0.000734698	0.000405583	0.000324791	0.0784453	1.81227e-05	0.000930909	9.05478e-06	3.44022e-07	0.000751917	8.05623e-05	0.16666	0.000394211	0.000970858	2.66743e-05	7.90305e-05	1.18463e-05	6.16282e-05	4.06942e-06	2.77096e-08	4.93339e-06	1.45309e-23	2.22916e-23	0.000155695	0.0711699	3.61275e-05	3.4383e-05	2.77096e-08	0.00507274	0.000796514	0.0441908	7.13282e-05	9.16694e-07	2.40831e-05	0.0584374	5.21728e-05	5.30112e-06	0.000966123	2.77096e-08	3.33245e-05	2.17951e-05	0.00233366	4.19801e-07	2.77096e-08	7.63084e-06	0.0999923	2.31676e-07	7.49929e-06	0.000128351
