Time	[Auxin]	[X]	[PLSp]	[Ra]	[Ra*]	[Ra_total]	[CK]	[ET]	[PLSm]	[Re]	[Re_total]	[Re*]	[CTR1]	[CTR1_total]	[CTR1*]	[IAA]	[ACC]	[Cytokinin_ext]
71	0.235402	2.15613	0.0373435	0.809308	0.190692	1	0.297904	0.107015	0.037304	0.289707	0.3	0.0102932	0.2189	0.3	0.0810999	0	0	0
72	0.23515	2.15933	0.0373052	0.809482	0.190518	1	0.298143	0.107013	0.0372681	0.289718	0.3	0.0102821	0.21903	0.3	0.0809699	0	0	0
73	0.234912	2.16233	0.0372692	0.809646	0.190354	1	0.298367	0.107011	0.0372343	0.289728	0.3	0.0102718	0.219153	0.3	0.0808474	0	0	0
74	0.234689	2.16517	0.0372353	0.8098	0.1902	1	0.298579	0.107009	0.0372025	0.289738	0.3	0.010262	0.219268	0.3	0.0807321	0	0	0
75	0.234479	2.16784	0.0372034	0.809945	0.190055	1	0.298779	0.107007	0.0371725	0.289747	0.3	0.0102528	0.219376	0.3	0.0806236	0	0	0
76	0.234281	2.17036	0.0371734	0.810081	0.189919	1	0.298967	0.107006	0.0371444	0.289756	0.3	0.0102442	0.219479	0.3	0.0805213	0	0	0
77	0.234095	2.17273	0.0371452	0.810209	0.189791	1	0.299144	0.107004	0.0371178	0.289764	0.3	0.010236	0.219575	0.3	0.0804251	0	0	0
78	0.23392	2.17496	0.0371186	0.81033	0.18967	1	0.299311	0.107003	0.0370929	0.289772	0.3	0.0102284	0.219666	0.3	0.0803344	0	0	0
79	0.233755	2.17707	0.0370936	0.810444	0.189556	1	0.299468	0.107002	0.0370694	0.289779	0.3	0.0102212	0.219751	0.3	0.080249	0	0	0
80	0.2336	2.17905	0.0370701	0.810551	0.189449	1	0.299616	0.107	0.0370473	0.289786	0.3	0.0102144	0.219831	0.3	0.0801686	0	0	0
81	0.233455	2.18092	0.0370479	0.810652	0.189348	1	0.299756	0.106999	0.0370265	0.289792	0.3	0.010208	0.219907	0.3	0.0800929	0	0	0
82	0.233317	2.18269	0.0370271	0.810747	0.189253	1	0.299887	0.106998	0.0370069	0.289798	0.3	0.010202	0.219978	0.3	0.0800216	0	0	0
83	0.233188	2.18435	0.0370075	0.810836	0.189164	1	0.300011	0.106997	0.0369884	0.289804	0.3	0.0101963	0.220046	0.3	0.0799544	0	0	0
84	0.233066	2.18591	0.036989	0.81092	0.18908	1	0.300127	0.106996	0.0369711	0.289809	0.3	0.010191	0.220109	0.3	0.0798912	0	0	0
