Time	[Receptor]	[JAK]	[Receptor JAK complex]	[Interferon-Receptor-JAK complex]	[IFNRJ dimer]	[Activated IFNRJ complex]	[STAT1c]	[IFNRJ2_star_STAT1c]	[STAT1c_star]	[IFNRJ2_star_STAT1c_star]	[STAT1c_star_STAT1c_star]	[SHP2]	[IFNRJ2_star_SHP2]	[PPX]	[STAT1c_star_PPX]	[STAT1c_STAT1c_star]	[STAT1n_star_STAT1n_star]	[STAT1n_star]	[PPN]	[STAT1n_star_PPN]	[STAT1n]	[STAT1n_STAT1n_star]	[mRNAn]	[mRNAc]	[SOCS1]	[IFNRJ2_star_SOCS1]	[IFNRJ2_star_SHP2_SOCS1_STAT1c]	[STAT1c_star_STAT1c_star_PPX]	[STAT1n_star_STAT1n_star_PPN]	[IFNRJ2_star_SOCS1_STAT1c]	[IFN]	[IFNRJ2_star_SHP2_STAT1c]	[IFNRJ2_star_SHP2_SOCS1]	[IFNR]
24	0.143697	1.39873	0.400501	3.38104	2.22577	0.0186768	999.412	0.116388	0.358381	5.01659e-05	0.00688274	99.951	0.00687892	49.9444	0.05483	0.000225531	8.26106e-05	4.47341e-05	60	4.69975e-06	8.89843e-08	8.65298e-08	0	0	0	0	0	0.00072242	9.54023e-06	0	10	0.0420992	0	1.25503
25	0.140303	1.39261	0.389211	3.37578	2.22612	0.0196442	999.355	0.122825	0.394917	5.90001e-05	0.00868424	99.9475	0.00734983	49.9373	0.0618029	0.000255233	0.000108423	6.17253e-05	60	6.71149e-06	1.32447e-07	1.21747e-07	0	0	0	0	0	0.000941683	1.29525e-05	0	10	0.0451939	0	1.25231
26	0.137476	1.38731	0.379873	3.37048	2.22513	0.0206076	999.295	0.129238	0.432815	6.87526e-05	0.0108185	99.9439	0.00782148	49.9296	0.0691755	0.000286957	0.000140235	8.37745e-05	60	9.40932e-06	1.93155e-07	1.68162e-07	0	0	0	0	0	0.00120966	1.72968e-05	0	10	0.0483009	0	1.24983
27	0.13512	1.38269	0.372131	3.36514	2.22304	0.0215671	999.233	0.135629	0.471991	7.94477e-05	0.0133209	99.9403	0.00829337	49.9215	0.0769332	0.000320717	0.00017897	0.000111993	60	1.29709e-05	2.76471e-07	2.2838e-07	0	0	0	0	0	0.00153324	2.27516e-05	0	10	0.0514156	0	1.24757
28	0.133154	1.37864	0.365692	3.35978	2.22004	0.0225225	999.168	0.141995	0.512361	9.11058e-05	0.0162274	99.9367	0.00876509	49.913	0.0850603	0.000356527	0.000225614	0.000147653	60	1.76059e-05	3.88989e-07	3.05386e-07	0	0	0	0	0	0.00191963	2.95139e-05	0	10	0.0545346	0	1.24548
29	0.131512	1.37508	0.360319	3.3544	2.2163	0.0234739	999.101	0.148335	0.553839	0.000103743	0.0195736	99.9331	0.00923629	49.9041	0.09354	0.000394404	0.000281211	0.000192192	59.9999	2.35584e-05	5.38704e-07	4.02559e-07	0	0	0	0	0	0.00237632	3.77995e-05	0	10	0.0576546	0	1.24356
30	0.130139	1.37192	0.355818	3.34901	2.21196	0.0244213	999.031	0.15465	0.59634	0.000117374	0.0233951	99.9295	0.00970671	49.8947	0.102355	0.000434366	0.000346857	0.000247224	59.9999	3.11104e-05	7.35207e-07	5.23688e-07	0	0	0	0	0	0.00291105	4.78423e-05	0	10	0.0607732	0	1.24178
31	0.128988	1.36911	0.352031	3.34362	2.20712	0.0253647	998.959	0.160939	0.63978	0.000132006	0.0277268	99.9259	0.0101761	49.885	0.111486	0.000476436	0.000423695	0.000314547	59.9999	4.05844e-05	9.89873e-07	6.72976e-07	0	0	0	0	0	0.00353167	5.98935e-05	0	10	0.0638882	0	1.24012
32	0.12802	1.36658	0.348828	3.33822	2.20189	0.026304	998.884	0.167201	0.684077	0.000147647	0.0326028	99.9224	0.0106443	49.8748	0.120916	0.000520636	0.000512904	0.000396145	59.9999	5.23455e-05	1.31606e-06	8.55041e-07	0	0	0	0	0	0.00424616	7.42211e-05	0	10	0.0669979	0	1.23856
33	0.127205	1.36429	0.346104	3.33283	2.19634	0.0272394	998.807	0.173436	0.729151	0.000164299	0.0380558	99.9188	0.0111112	49.8643	0.130625	0.000566993	0.000615696	0.000494197	59.9998	6.68047e-05	1.7293e-06	1.07492e-06	0	0	0	0	0	0.0050625	9.1108e-05	0	10	0.0701008	0	1.23708
34	0.126515	1.3622	0.343772	3.32744	2.19052	0.0281708	998.728	0.179645	0.774924	0.000181964	0.0441175	99.9152	0.0115766	49.8534	0.140593	0.000615536	0.000733307	0.000611076	59.9998	8.44199e-05	2.24753e-06	1.33803e-06	0	0	0	0	0	0.00598867	0.000110851	0	10	0.0731957	0	1.23569
35	0.125929	1.36028	0.341762	3.32206	2.1845	0.0290983	998.646	0.185827	0.821322	0.000200637	0.0508178	99.9117	0.0120405	49.8422	0.150803	0.000666297	0.000866987	0.000749354	59.9998	0.000105699	2.89125e-06	1.65022e-06	0	0	0	0	0	0.00703252	0.000133761	0	10	0.0762816	0	1.23435
36	0.125429	1.3585	0.340016	3.31669	2.17831	0.0300219	998.561	0.191982	0.868272	0.000220315	0.0581849	99.9081	0.0125027	49.8306	0.161234	0.000719308	0.001018	0.000911799	59.9997	0.0001312	3.68372e-06	2.01767e-06	0	0	0	0	0	0.00820174	0.000160156	0	10	0.0793577	0	1.23307
37	0.124999	1.35684	0.338487	3.31133	2.17199	0.0309416	998.475	0.198111	0.915709	0.000240991	0.0662452	99.9046	0.0129632	49.8186	0.171868	0.000774605	0.00118759	0.00110138	59.9996	0.000161535	4.6512e-06	2.44695e-06	0	0	0	0	0	0.00950384	0.000190367	0	10	0.0824234	0	1.23184
38	0.124627	1.35528	0.337135	3.30599	2.16557	0.0318575	998.385	0.204212	0.963567	0.000262656	0.0750232	99.9011	0.013422	49.8064	0.182688	0.000832226	0.00137703	0.00132125	59.9996	0.000197366	5.82306e-06	2.9449e-06	0	0	0	0	0	0.010946	0.000224729	0	10	0.085478	0	1.23065
39	0.124304	1.35379	0.33593	3.30065	2.15907	0.0327695	998.294	0.210287	1.01179	0.0002853	0.0845411	99.8976	0.0138791	49.7938	0.193675	0.000892209	0.00158755	0.00157478	59.9995	0.000239412	7.23198e-06	3.51871e-06	0	0	0	0	0	0.0125353	0.000263585	0	10	0.0885212	0	1.22949
40	0.12402	1.35238	0.334845	3.29533	2.15251	0.0336777	998.2	0.216335	1.06031	0.00030891	0.0948194	99.8941	0.0143343	49.7809	0.204812	0.000954592	0.00182036	0.00186548	59.9994	0.000288445	8.9141e-06	4.17578e-06	0	0	0	0	0	0.0142781	0.000307279	0	10	0.0915527	0	1.22836
41	0.123768	1.35102	0.333859	3.29002	2.14592	0.0345822	998.104	0.222357	1.10909	0.000333475	0.105876	99.8906	0.0147877	49.7677	0.216083	0.00101942	0.00207667	0.0021971	59.9993	0.00034529	1.09092e-05	4.92376e-06	0	0	0	0	0	0.0161808	0.000356157	0	10	0.094572	0	1.22725
42	0.123544	1.34971	0.332954	3.28473	2.13929	0.0354829	998.005	0.228351	1.15808	0.00035898	0.117728	99.8872	0.0152394	49.7543	0.227471	0.00108672	0.00235763	0.00257353	59.9992	0.000410827	1.32607e-05	5.77048e-06	0	0	0	0	0	0.018249	0.000410567	0	10	0.097579	0	1.22617
43	0.123342	1.34844	0.332117	3.27946	2.13264	0.0363799	997.905	0.23432	1.20723	0.000385411	0.130388	99.8837	0.0156891	49.7405	0.238963	0.00115654	0.00266437	0.00299883	59.999	0.00048599	1.6016e-05	6.72392e-06	0	0	0	0	0	0.0204883	0.000470851	0	10	0.100574	0	1.2251
44	0.123158	1.34721	0.331334	3.27419	2.12599	0.0372731	997.802	0.240262	1.2565	0.000412753	0.14387	99.8803	0.0161371	49.7266	0.250544	0.00122893	0.00299798	0.00347723	59.9989	0.000571762	1.92263e-05	7.79213e-06	0	0	0	0	0	0.0229035	0.00053735	0	10	0.103556	0	1.22405
45	0.122989	1.346	0.330598	3.26895	2.11934	0.0381628	997.696	0.246178	1.30586	0.000440991	0.158184	99.8769	0.0165832	49.7123	0.262201	0.0013039	0.00335949	0.0040131	59.9987	0.00066918	2.29469e-05	8.98328e-06	0	0	0	0	0	0.0254993	0.000610399	0	10	0.106525	0	1.22301
46	0.122833	1.34482	0.3299	3.26372	2.11269	0.0390487	997.588	0.252068	1.35527	0.000470109	0.173338	99.8735	0.0170275	49.6978	0.273921	0.00138151	0.00374992	0.00461097	59.9985	0.000779329	2.72372e-05	1.03055e-05	0	0	0	0	0	0.0282795	0.000690325	0	10	0.109481	0	1.22198
47	0.122687	1.34365	0.329233	3.25851	2.10605	0.039931	997.479	0.257931	1.40471	0.000500093	0.189339	99.8701	0.0174699	49.6831	0.285694	0.00146179	0.0041702	0.00527549	59.9983	0.000903343	3.21605e-05	1.1767e-05	0	0	0	0	0	0.0312479	0.00077745	0	10	0.112425	0	1.22097
48	0.12255	1.34251	0.328592	3.25331	2.09942	0.0408098	997.366	0.263769	1.45415	0.000530927	0.206192	99.8667	0.0179105	49.6681	0.297507	0.00154476	0.00462124	0.00601144	59.9981	0.0010424	3.77846e-05	1.33759e-05	0	0	0	0	0	0.0344077	0.000872083	0	10	0.115356	0	1.21996
49	0.12242	1.34138	0.327973	3.24813	2.09281	0.0416849	997.252	0.269581	1.50356	0.000562596	0.223902	99.8634	0.0183493	49.6529	0.309352	0.00163047	0.0051039	0.0068237	59.9978	0.00119772	4.4181e-05	1.51402e-05	0	0	0	0	0	0.0377616	0.000974525	0	10	0.118274	0	1.21896
50	0.122295	1.34026	0.327372	3.24297	2.08622	0.0425565	997.135	0.275368	1.55293	0.000595085	0.242471	99.86	0.0187863	49.6375	0.32122	0.00171893	0.00561897	0.00771728	59.9975	0.00137058	5.14257e-05	1.70677e-05	0	0	0	0	0	0.041312	0.00108507	0	10	0.121179	0	1.21796
51	0.122176	1.33915	0.326786	3.23782	2.07965	0.0434246	997.016	0.281128	1.60223	0.000628379	0.261901	99.8567	0.0192215	49.6218	0.333101	0.00181017	0.00616722	0.00869726	59.9972	0.00156226	5.95986e-05	1.91663e-05	0	0	0	0	0	0.0450608	0.00120399	0	10	0.124072	0	1.21698
52	0.12206	1.33805	0.326213	3.23269	2.0731	0.0442892	996.895	0.286864	1.65146	0.000662465	0.282191	99.8534	0.0196549	49.606	0.34499	0.00190421	0.00674935	0.0097688	59.9969	0.00177412	6.87837e-05	2.14436e-05	0	0	0	0	0	0.0490097	0.00133155	0	10	0.126951	0	1.21599
53	0.121948	1.33696	0.325651	3.22758	2.06658	0.0451502	996.772	0.292574	1.7006	0.000697328	0.30334	99.8501	0.0200865	49.59	0.356878	0.00200108	0.00736603	0.0109372	59.9965	0.00200753	7.90689e-05	2.39068e-05	0	0	0	0	0	0.0531599	0.00146801	0	10	0.129818	0	1.21502
54	0.121838	1.33588	0.325098	3.22248	2.06008	0.0460079	996.646	0.298259	1.74963	0.000732956	0.325348	99.8468	0.0205163	49.5737	0.36876	0.00210079	0.00801787	0.0122076	59.9961	0.00226389	9.05461e-05	2.65633e-05	0	0	0	0	0	0.0575123	0.00161362	0	10	0.132672	0	1.21404
55	0.121732	1.33481	0.324553	3.2174	2.05361	0.046862	996.518	0.303918	1.79855	0.000769335	0.348212	99.8435	0.0209443	49.5573	0.380631	0.00220335	0.00870545	0.0135855	59.9957	0.00254464	0.000103311	2.94199e-05	0	0	0	0	0	0.0620675	0.00176859	0	10	0.135514	0	1.21307
56	0.121626	1.33374	0.324015	3.21233	2.04717	0.0477128	996.389	0.309553	1.84735	0.000806453	0.371928	99.8403	0.0213706	49.5407	0.392485	0.00230877	0.00942931	0.0150763	59.9952	0.00285123	0.000117463	3.24834e-05	0	0	0	0	0	0.0668258	0.00193314	0	10	0.138342	0	1.21211
57	0.121523	1.33267	0.323482	3.20729	2.04076	0.0485601	996.256	0.315163	1.89601	0.000844298	0.396492	99.837	0.0217952	49.5239	0.404318	0.00241707	0.0101899	0.0166854	59.9947	0.00318514	0.000133105	3.57601e-05	0	0	0	0	0	0.0717873	0.00210749	0	10	0.141158	0	1.21115
58	0.121421	1.33161	0.322955	3.20226	2.03437	0.0494041	996.122	0.320748	1.94455	0.000882858	0.421901	99.8338	0.022218	49.5069	0.416127	0.00252824	0.0109878	0.0184181	59.9942	0.00354789	0.000150344	3.92563e-05	0	0	0	0	0	0.0769518	0.00229182	0	10	0.143962	0	1.21019
59	0.121321	1.33055	0.322432	3.19724	2.02802	0.0502447	995.986	0.326309	1.99294	0.000922122	0.448149	99.8306	0.0226391	49.4898	0.427907	0.00264229	0.0118234	0.0202801	59.9936	0.00394098	0.000169289	4.29778e-05	0	0	0	0	0	0.0823187	0.00248632	0	10	0.146753	0	1.20923
60	0.121221	1.3295	0.321913	3.19224	2.02169	0.051082	995.847	0.331845	2.04119	0.00096208	0.47523	99.8274	0.0230584	49.4725	0.439656	0.00275921	0.0126971	0.0222766	59.9929	0.00436595	0.000190054	4.69302e-05	0	0	0	0	0	0.0878877	0.00269115	0	10	0.149532	0	1.20828
61	0.121122	1.32845	0.321398	3.18726	2.01539	0.051916	995.707	0.337357	2.0893	0.00100272	0.503141	99.8242	0.0234761	49.455	0.451371	0.00287901	0.0136093	0.0244133	59.9923	0.00482434	0.000212755	5.11189e-05	0	0	0	0	0	0.0936577	0.00290647	0	10	0.152298	0	1.20733
62	0.121024	1.32741	0.320886	3.1823	2.00913	0.0527466	995.564	0.342844	2.13725	0.00104404	0.531873	99.8211	0.0238921	49.4373	0.463051	0.00300168	0.0145603	0.0266954	59.9915	0.0053177	0.00023751	5.5549e-05	0	0	0	0	0	0.0996279	0.00313244	0	10	0.155051	0	1.20639
63	0.120927	1.32637	0.320376	3.17735	2.00289	0.0535741	995.419	0.348308	2.18506	0.00108601	0.561422	99.8179	0.0243064	49.4195	0.474692	0.00312721	0.0155505	0.0291285	59.9908	0.0058476	0.000264441	6.02253e-05	0	0	0	0	0	0.105797	0.00336921	0	10	0.157793	0	1.20544
64	0.12083	1.32533	0.31987	3.17241	1.99668	0.0543982	995.272	0.353747	2.23271	0.00112864	0.59178	99.8148	0.024719	49.4015	0.486295	0.0032556	0.0165804	0.0317178	59.99	0.00641559	0.000293674	6.51524e-05	0	0	0	0	0	0.112164	0.00361689	0	10	0.160522	0	1.2045
65	0.120734	1.3243	0.319366	3.1675	1.9905	0.0552191	995.123	0.359162	2.28022	0.00117192	0.622942	99.8116	0.02513	49.3834	0.497856	0.00338682	0.0176501	0.0344687	59.9891	0.00702323	0.000325333	7.03347e-05	0	0	0	0	0	0.118728	0.00387563	0	10	0.163239	0	1.20356
66	0.120638	1.32327	0.318864	3.1626	1.98435	0.0560368	994.972	0.364554	2.32756	0.00121583	0.6549	99.8085	0.0255393	49.3651	0.509374	0.00352087	0.01876	0.0373865	59.9882	0.00767208	0.00035955	7.57762e-05	0	0	0	0	0	0.125486	0.00414555	0	10	0.165944	0	1.20263
67	0.120543	1.32224	0.318365	3.15771	1.97823	0.0568513	994.819	0.369921	2.37476	0.00126038	0.687649	99.8054	0.0259469	49.3467	0.52085	0.00365773	0.0199106	0.0404763	59.9872	0.00836369	0.000396454	8.1481e-05	0	0	0	0	0	0.132438	0.00442676	0	10	0.168637	0	1.20169
68	0.120448	1.32121	0.317868	3.15284	1.97213	0.0576627	994.664	0.375265	2.4218	0.00130554	0.72118	99.8023	0.026353	49.3281	0.532282	0.00379738	0.021102	0.0437433	59.9862	0.0090996	0.000436178	8.74526e-05	0	0	0	0	0	0.139582	0.00471937	0	10	0.171318	0	1.20076
69	0.120353	1.32019	0.317372	3.14799	1.96607	0.0584709	994.507	0.380586	2.46868	0.00135131	0.755487	99.7993	0.0267574	49.3094	0.543669	0.00393981	0.0223347	0.0471925	59.9851	0.00988134	0.000478858	9.36948e-05	0	0	0	0	0	0.146916	0.00502351	0	10	0.173987	0	1.19983
70	0.120259	1.31917	0.316879	3.14316	1.96004	0.0592759	994.347	0.385883	2.51542	0.00139769	0.790563	99.7962	0.0271602	49.2906	0.555011	0.004085	0.023609	0.0508289	59.984	0.0107104	0.000524629	0.000100211	0	0	0	0	0	0.154439	0.00533927	0	10	0.176644	0	1.19891
71	0.120166	1.31815	0.316388	3.13834	1.95403	0.0600778	994.186	0.391157	2.562	0.00144466	0.8264	99.7931	0.0275614	49.2715	0.566307	0.00423292	0.0249254	0.0546575	59.9827	0.0115884	0.00057363	0.000107004	0	0	0	0	0	0.162148	0.00566677	0	10	0.179289	0	1.19799
72	0.120072	1.31714	0.315898	3.13353	1.94806	0.0608767	994.023	0.396408	2.60843	0.00149222	0.862993	99.7901	0.027961	49.2524	0.577558	0.00438355	0.0262841	0.0586828	59.9815	0.0125167	0.000625999	0.000114078	0	0	0	0	0	0.170042	0.00600612	0	10	0.181922	0	1.19706
73	0.119979	1.31612	0.31541	3.12874	1.94211	0.0616724	993.857	0.401636	2.65471	0.00154036	0.900334	99.7871	0.028359	49.2331	0.588762	0.00453688	0.0276857	0.0629097	59.9801	0.0134968	0.000681875	0.000121435	0	0	0	0	0	0.178119	0.00635742	0	10	0.184544	0	1.19615
74	0.119886	1.31511	0.314924	3.12397	1.93619	0.0624651	993.69	0.406841	2.70084	0.00158908	0.938416	99.7841	0.0287554	49.2137	0.59992	0.00469287	0.0291306	0.0673426	59.9787	0.0145302	0.0007414	0.000129079	0	0	0	0	0	0.186378	0.0067208	0	10	0.187154	0	1.19523
75	0.119793	1.31411	0.31444	3.11921	1.9303	0.0632548	993.521	0.412023	2.74682	0.00163836	0.977232	99.7811	0.0291503	49.1942	0.611031	0.00485151	0.0306192	0.071986	59.9773	0.0156182	0.000804715	0.000137013	0	0	0	0	0	0.194815	0.00709636	0	10	0.189752	0	1.19431
76	0.119701	1.3131	0.313957	3.11447	1.92444	0.0640414	993.35	0.417182	2.79266	0.00168821	1.01677	99.7781	0.0295437	49.1745	0.622097	0.00501276	0.0321521	0.0768442	59.9758	0.0167622	0.000871963	0.000145239	0	0	0	0	0	0.20343	0.00748424	0	10	0.192338	0	1.1934
77	0.119609	1.3121	0.313476	3.10975	1.91861	0.064825	993.176	0.422318	2.83834	0.00173861	1.05704	99.7752	0.0299355	49.1547	0.633115	0.00517661	0.0337299	0.0819212	59.9742	0.0179637	0.000943284	0.000153761	0	0	0	0	0	0.212221	0.00788457	0	10	0.194914	0	1.19249
78	0.119517	1.3111	0.312997	3.10504	1.9128	0.0656056	993.001	0.427432	2.88388	0.00178956	1.09801	99.7722	0.0303257	49.1347	0.644087	0.00534302	0.0353532	0.0872212	59.9725	0.0192239	0.00101882	0.000162581	0	0	0	0	0	0.221185	0.00829747	0	10	0.197477	0	1.19159
