Time	[Aspartate]	[AK1]	[Lysine]	[S-adenosyl-methionine]	[Aspartyl_P]	[AK2]	[AKI-HSDHI]	[AKII-HSDHII]	[Threonine]	[ASADH]	[Aspartate semialdehyde]	[DHDPS1]	[DHDPS2]	[Homoserine]	[Phosphohomoserine]	[HSK]	[TS1]	[Phosphate]	[Cysteine]	[CGS]	[Cystathione]	[TD]	[Isoleucine]	[Valine]	[Lys-tRNA]	[Thr-tRNA]	[Ile-tRNA]	[LKR]	[Saccharopine]	[THA]	[Glycine]
15	1500	0.25	23.6536	20	0.502957	0.25	0.63	0.63	0.88582	11.6	1.06803	1.6	1.6	1.32225	9.71128	4	7.4	10000	15	0.7	0	0.36	0.0164022	100	0	0	0	0	0	0	0
16	1500	0.25	24.8123	20	0.505743	0.25	0.63	0.63	1.02638	11.6	1.08616	1.6	1.6	1.34966	10.5243	4	7.4	10000	15	0.7	0	0.36	0.0202733	100	0	0	0	0	0	0	0
17	1500	0.25	25.9321	20	0.508358	0.25	0.63	0.63	1.17759	11.6	1.10329	1.6	1.6	1.37556	11.342	4	7.4	10000	15	0.7	0	0.36	0.0247066	100	0	0	0	0	0	0	0
18	1500	0.25	27.0148	20	0.510812	0.25	0.63	0.63	1.3394	11.6	1.11948	1.6	1.6	1.40006	12.1633	4	7.4	10000	15	0.7	0	0.36	0.0297373	100	0	0	0	0	0	0	0
19	1500	0.25	28.0626	20	0.513115	0.25	0.63	0.63	1.51177	11.6	1.1348	1.6	1.6	1.42325	12.9874	4	7.4	10000	15	0.7	0	0.36	0.0353992	100	0	0	0	0	0	0	0
20	1500	0.25	29.0772	20	0.515275	0.25	0.63	0.63	1.69461	11.6	1.1493	1.6	1.6	1.4452	13.8132	4	7.4	10000	15	0.7	0	0.36	0.0417257	100	0	0	0	0	0	0	0
21	1500	0.25	30.0601	20	0.5173	0.25	0.63	0.63	1.88786	11.6	1.16304	1.6	1.6	1.46599	14.6399	4	7.4	10000	15	0.7	0	0.36	0.0487488	100	0	0	0	0	0	0	0
22	1500	0.25	31.013	20	0.519199	0.25	0.63	0.63	2.09141	11.6	1.17605	1.6	1.6	1.48568	15.4668	4	7.4	10000	15	0.7	0	0.36	0.0564996	100	0	0	0	0	0	0	0
23	1500	0.25	31.9372	20	0.520977	0.25	0.63	0.63	2.30518	11.6	1.18837	1.6	1.6	1.50433	16.2931	4	7.4	10000	15	0.7	0	0.36	0.0650081	100	0	0	0	0	0	0	0
24	1500	0.25	32.8342	20	0.522641	0.25	0.63	0.63	2.52904	11.6	1.20005	1.6	1.6	1.52199	17.1182	4	7.4	10000	15	0.7	0	0.36	0.0743034	100	0	0	0	0	0	0	0
25	1500	0.25	33.7051	20	0.524198	0.25	0.63	0.63	2.76288	11.6	1.21113	1.6	1.6	1.53872	17.9415	4	7.4	10000	15	0.7	0	0.36	0.0844133	100	0	0	0	0	0	0	0
26	1500	0.25	34.5512	20	0.525654	0.25	0.63	0.63	3.00658	11.6	1.22163	1.6	1.6	1.55456	18.7624	4	7.4	10000	15	0.7	0	0.36	0.0953646	100	0	0	0	0	0	0	0
27	1500	0.25	35.3735	20	0.527014	0.25	0.63	0.63	3.26001	11.6	1.23159	1.6	1.6	1.56956	19.5804	4	7.4	10000	15	0.7	0	0.36	0.107183	100	0	0	0	0	0	0	0
28	1500	0.25	36.1732	20	0.528284	0.25	0.63	0.63	3.52303	11.6	1.24104	1.6	1.6	1.58376	20.395	4	7.4	10000	15	0.7	0	0.36	0.119894	100	0	0	0	0	0	0	0
29	1500	0.25	36.9511	20	0.529468	0.25	0.63	0.63	3.7955	11.6	1.25001	1.6	1.6	1.59721	21.2058	4	7.4	10000	15	0.7	0	0.36	0.13352	100	0	0	0	0	0	0	0
30	1500	0.25	37.7083	20	0.530573	0.25	0.63	0.63	4.07728	11.6	1.25853	1.6	1.6	1.60993	22.0123	4	7.4	10000	15	0.7	0	0.36	0.148084	100	0	0	0	0	0	0	0
31	1500	0.25	38.4456	20	0.531601	0.25	0.63	0.63	4.36822	11.6	1.26661	1.6	1.6	1.62197	22.8141	4	7.4	10000	15	0.7	0	0.36	0.163608	100	0	0	0	0	0	0	0
32	1500	0.25	39.1637	20	0.532558	0.25	0.63	0.63	4.66817	11.6	1.2743	1.6	1.6	1.63337	23.611	4	7.4	10000	15	0.7	0	0.36	0.180112	100	0	0	0	0	0	0	0
33	1500	0.25	39.8636	20	0.533447	0.25	0.63	0.63	4.97697	11.6	1.28159	1.6	1.6	1.64415	24.4025	4	7.4	10000	15	0.7	0	0.36	0.197616	100	0	0	0	0	0	0	0
34	1500	0.25	40.5459	20	0.534273	0.25	0.63	0.63	5.29447	11.6	1.28853	1.6	1.6	1.65434	25.1885	4	7.4	10000	15	0.7	0	0.36	0.216138	100	0	0	0	0	0	0	0
35	1500	0.25	41.2112	20	0.535038	0.25	0.63	0.63	5.62051	11.6	1.29513	1.6	1.6	1.66398	25.9686	4	7.4	10000	15	0.7	0	0.36	0.235696	100	0	0	0	0	0	0	0
36	1500	0.25	41.8604	20	0.535746	0.25	0.63	0.63	5.95493	11.6	1.3014	1.6	1.6	1.6731	26.7426	4	7.4	10000	15	0.7	0	0.36	0.256307	100	0	0	0	0	0	0	0
37	1500	0.25	42.494	20	0.5364	0.25	0.63	0.63	6.29757	11.6	1.30736	1.6	1.6	1.68172	27.5102	4	7.4	10000	15	0.7	0	0.36	0.277985	100	0	0	0	0	0	0	0
38	1500	0.25	43.1125	20	0.537003	0.25	0.63	0.63	6.64826	11.6	1.31304	1.6	1.6	1.68986	28.2714	4	7.4	10000	15	0.7	0	0.36	0.300747	100	0	0	0	0	0	0	0
39	1500	0.25	43.7166	20	0.537557	0.25	0.63	0.63	7.00685	11.6	1.31843	1.6	1.6	1.69755	29.0257	4	7.4	10000	15	0.7	0	0.36	0.324605	100	0	0	0	0	0	0	0
40	1500	0.25	44.3068	20	0.538066	0.25	0.63	0.63	7.37317	11.6	1.32357	1.6	1.6	1.70481	29.7732	4	7.4	10000	15	0.7	0	0.36	0.349573	100	0	0	0	0	0	0	0
41	1500	0.25	44.8835	20	0.538531	0.25	0.63	0.63	7.74705	11.6	1.32846	1.6	1.6	1.71166	30.5137	4	7.4	10000	15	0.7	0	0.36	0.375663	100	0	0	0	0	0	0	0
42	1500	0.25	45.4473	20	0.538954	0.25	0.63	0.63	8.12834	11.6	1.33311	1.6	1.6	1.71812	31.247	4	7.4	10000	15	0.7	0	0.36	0.402886	100	0	0	0	0	0	0	0
43	1500	0.25	45.9986	20	0.539337	0.25	0.63	0.63	8.51688	11.6	1.33754	1.6	1.6	1.72421	31.973	4	7.4	10000	15	0.7	0	0.36	0.431254	100	0	0	0	0	0	0	0
44	1500	0.25	46.5378	20	0.539683	0.25	0.63	0.63	8.91249	11.6	1.34176	1.6	1.6	1.72995	32.6916	4	7.4	10000	15	0.7	0	0.36	0.460776	100	0	0	0	0	0	0	0
45	1500	0.25	47.0654	20	0.539993	0.25	0.63	0.63	9.31502	11.6	1.34577	1.6	1.6	1.73535	33.4027	4	7.4	10000	15	0.7	0	0.36	0.491461	100	0	0	0	0	0	0	0
46	1500	0.25	47.5816	20	0.540268	0.25	0.63	0.63	9.72431	11.6	1.34959	1.6	1.6	1.74043	34.1062	4	7.4	10000	15	0.7	0	0.36	0.523317	100	0	0	0	0	0	0	0
47	1500	0.25	48.087	20	0.54051	0.25	0.63	0.63	10.1402	11.6	1.35322	1.6	1.6	1.7452	34.8021	4	7.4	10000	15	0.7	0	0.36	0.556353	100	0	0	0	0	0	0	0
48	1500	0.25	48.5818	20	0.540721	0.25	0.63	0.63	10.5625	11.6	1.35668	1.6	1.6	1.74967	35.4903	4	7.4	10000	15	0.7	0	0.36	0.590575	100	0	0	0	0	0	0	0
49	1500	0.25	49.0664	20	0.540901	0.25	0.63	0.63	10.9911	11.6	1.35996	1.6	1.6	1.75387	36.1707	4	7.4	10000	15	0.7	0	0.36	0.62599	100	0	0	0	0	0	0	0
50	1500	0.25	49.5412	20	0.541052	0.25	0.63	0.63	11.4259	11.6	1.36308	1.6	1.6	1.75779	36.8433	4	7.4	10000	15	0.7	0	0.36	0.662605	100	0	0	0	0	0	0	0
51	1500	0.25	50.0063	20	0.541175	0.25	0.63	0.63	11.8666	11.6	1.36605	1.6	1.6	1.76146	37.508	4	7.4	10000	15	0.7	0	0.36	0.700423	100	0	0	0	0	0	0	0
52	1500	0.25	50.4622	20	0.54127	0.25	0.63	0.63	12.3131	11.6	1.36887	1.6	1.6	1.76487	38.1649	4	7.4	10000	15	0.7	0	0.36	0.739451	100	0	0	0	0	0	0	0
53	1500	0.25	50.909	20	0.54134	0.25	0.63	0.63	12.7653	11.6	1.37155	1.6	1.6	1.76805	38.8138	4	7.4	10000	15	0.7	0	0.36	0.779693	100	0	0	0	0	0	0	0
54	1500	0.25	51.3471	20	0.541384	0.25	0.63	0.63	13.223	11.6	1.37408	1.6	1.6	1.771	39.4548	4	7.4	10000	15	0.7	0	0.36	0.821151	100	0	0	0	0	0	0	0
55	1500	0.25	51.7767	20	0.541403	0.25	0.63	0.63	13.6861	11.6	1.37649	1.6	1.6	1.77373	40.0879	4	7.4	10000	15	0.7	0	0.36	0.863831	100	0	0	0	0	0	0	0
56	1500	0.25	52.198	20	0.541399	0.25	0.63	0.63	14.1543	11.6	1.37876	1.6	1.6	1.77624	40.7131	4	7.4	10000	15	0.7	0	0.36	0.907733	100	0	0	0	0	0	0	0
57	1500	0.25	52.6113	20	0.541371	0.25	0.63	0.63	14.6277	11.6	1.38091	1.6	1.6	1.77855	41.3303	4	7.4	10000	15	0.7	0	0.36	0.952862	100	0	0	0	0	0	0	0
58	1500	0.25	53.0168	20	0.541321	0.25	0.63	0.63	15.106	11.6	1.38295	1.6	1.6	1.78067	41.9395	4	7.4	10000	15	0.7	0	0.36	0.999218	100	0	0	0	0	0	0	0
59	1500	0.25	53.4148	20	0.54125	0.25	0.63	0.63	15.589	11.6	1.38486	1.6	1.6	1.7826	42.5409	4	7.4	10000	15	0.7	0	0.36	1.0468	100	0	0	0	0	0	0	0
60	1500	0.25	53.8053	20	0.541157	0.25	0.63	0.63	16.0767	11.6	1.38667	1.6	1.6	1.78434	43.1343	4	7.4	10000	15	0.7	0	0.36	1.09562	100	0	0	0	0	0	0	0
61	1500	0.25	54.1887	20	0.541043	0.25	0.63	0.63	16.5689	11.6	1.38837	1.6	1.6	1.7859	43.7198	4	7.4	10000	15	0.7	0	0.36	1.14567	100	0	0	0	0	0	0	0
62	1500	0.25	54.5651	20	0.540909	0.25	0.63	0.63	17.0655	11.6	1.38996	1.6	1.6	1.7873	44.2974	4	7.4	10000	15	0.7	0	0.36	1.19695	100	0	0	0	0	0	0	0
63	1500	0.25	54.9347	20	0.540755	0.25	0.63	0.63	17.5663	11.6	1.39145	1.6	1.6	1.78852	44.8671	4	7.4	10000	15	0.7	0	0.36	1.24946	100	0	0	0	0	0	0	0
64	1500	0.25	55.2977	20	0.540582	0.25	0.63	0.63	18.0712	11.6	1.39285	1.6	1.6	1.78959	45.429	4	7.4	10000	15	0.7	0	0.36	1.30321	100	0	0	0	0	0	0	0
65	1500	0.25	55.6541	20	0.54039	0.25	0.63	0.63	18.5801	11.6	1.39415	1.6	1.6	1.7905	45.9831	4	7.4	10000	15	0.7	0	0.36	1.35819	100	0	0	0	0	0	0	0
66	1500	0.25	56.0043	20	0.54018	0.25	0.63	0.63	19.0928	11.6	1.39535	1.6	1.6	1.79127	46.5294	4	7.4	10000	15	0.7	0	0.36	1.4144	100	0	0	0	0	0	0	0
67	1500	0.25	56.3483	20	0.539951	0.25	0.63	0.63	19.6092	11.6	1.39647	1.6	1.6	1.79188	47.0679	4	7.4	10000	15	0.7	0	0.36	1.47184	100	0	0	0	0	0	0	0
68	1500	0.25	56.6863	20	0.539705	0.25	0.63	0.63	20.1292	11.6	1.3975	1.6	1.6	1.79236	47.5987	4	7.4	10000	15	0.7	0	0.36	1.53051	100	0	0	0	0	0	0	0
69	1500	0.25	57.0185	20	0.539441	0.25	0.63	0.63	20.6527	11.6	1.39844	1.6	1.6	1.7927	48.1218	4	7.4	10000	15	0.7	0	0.36	1.59041	100	0	0	0	0	0	0	0
70	1500	0.25	57.3449	20	0.53916	0.25	0.63	0.63	21.1794	11.6	1.3993	1.6	1.6	1.7929	48.6373	4	7.4	10000	15	0.7	0	0.36	1.65153	100	0	0	0	0	0	0	0
71	1500	0.25	57.6657	20	0.538863	0.25	0.63	0.63	21.7094	11.6	1.40008	1.6	1.6	1.79298	49.1451	4	7.4	10000	15	0.7	0	0.36	1.71389	100	0	0	0	0	0	0	0
72	1500	0.25	57.9811	20	0.538549	0.25	0.63	0.63	22.2425	11.6	1.40078	1.6	1.6	1.79293	49.6454	4	7.4	10000	15	0.7	0	0.36	1.77746	100	0	0	0	0	0	0	0
73	1500	0.25	58.2911	20	0.538219	0.25	0.63	0.63	22.7786	11.6	1.4014	1.6	1.6	1.79276	50.1381	4	7.4	10000	15	0.7	0	0.36	1.84226	100	0	0	0	0	0	0	0
74	1500	0.25	58.5959	20	0.537873	0.25	0.63	0.63	23.3175	11.6	1.40195	1.6	1.6	1.79247	50.6234	4	7.4	10000	15	0.7	0	0.36	1.90827	100	0	0	0	0	0	0	0
75	1500	0.25	58.8956	20	0.537511	0.25	0.63	0.63	23.8591	11.6	1.40242	1.6	1.6	1.79207	51.1012	4	7.4	10000	15	0.7	0	0.36	1.9755	100	0	0	0	0	0	0	0
76	1500	0.25	59.1902	20	0.537135	0.25	0.63	0.63	24.4034	11.6	1.40282	1.6	1.6	1.79155	51.5716	4	7.4	10000	15	0.7	0	0.36	2.04395	100	0	0	0	0	0	0	0
77	1500	0.25	59.48	20	0.536743	0.25	0.63	0.63	24.9502	11.6	1.40315	1.6	1.6	1.79092	52.0346	4	7.4	10000	15	0.7	0	0.36	2.11361	100	0	0	0	0	0	0	0
78	1500	0.25	59.765	20	0.536337	0.25	0.63	0.63	25.4994	11.6	1.40342	1.6	1.6	1.79019	52.4903	4	7.4	10000	15	0.7	0	0.36	2.18447	100	0	0	0	0	0	0	0
79	1500	0.25	60.0453	20	0.535916	0.25	0.63	0.63	26.0508	11.6	1.40362	1.6	1.6	1.78936	52.9388	4	7.4	10000	15	0.7	0	0.36	2.25654	100	0	0	0	0	0	0	0
80	1500	0.25	60.321	20	0.535481	0.25	0.63	0.63	26.6045	11.6	1.40375	1.6	1.6	1.78842	53.3801	4	7.4	10000	15	0.7	0	0.36	2.32982	100	0	0	0	0	0	0	0
81	1500	0.25	60.5922	20	0.535032	0.25	0.63	0.63	27.1603	11.6	1.40382	1.6	1.6	1.78739	53.8142	4	7.4	10000	15	0.7	0	0.36	2.40429	100	0	0	0	0	0	0	0
82	1500	0.25	60.859	20	0.53457	0.25	0.63	0.63	27.7181	11.6	1.40382	1.6	1.6	1.78626	54.2411	4	7.4	10000	15	0.7	0	0.36	2.47996	100	0	0	0	0	0	0	0
83	1500	0.25	61.1214	20	0.534094	0.25	0.63	0.63	28.2777	11.6	1.40377	1.6	1.6	1.78504	54.6611	4	7.4	10000	15	0.7	0	0.36	2.55683	100	0	0	0	0	0	0	0
84	1500	0.25	61.3796	20	0.533605	0.25	0.63	0.63	28.8391	11.6	1.40365	1.6	1.6	1.78373	55.074	4	7.4	10000	15	0.7	0	0.36	2.63488	100	0	0	0	0	0	0	0
85	1500	0.25	61.6337	20	0.533104	0.25	0.63	0.63	29.4022	11.6	1.40348	1.6	1.6	1.78234	55.4799	4	7.4	10000	15	0.7	0	0.36	2.71412	100	0	0	0	0	0	0	0
86	1500	0.25	61.8837	20	0.53259	0.25	0.63	0.63	29.9669	11.6	1.40325	1.6	1.6	1.78086	55.8789	4	7.4	10000	15	0.7	0	0.36	2.79454	100	0	0	0	0	0	0	0
87	1500	0.25	62.1296	20	0.532063	0.25	0.63	0.63	30.5331	11.6	1.40297	1.6	1.6	1.77929	56.2711	4	7.4	10000	15	0.7	0	0.36	2.87614	100	0	0	0	0	0	0	0
88	1500	0.25	62.3717	20	0.531525	0.25	0.63	0.63	31.1007	11.6	1.40263	1.6	1.6	1.77765	56.6565	4	7.4	10000	15	0.7	0	0.36	2.95891	100	0	0	0	0	0	0	0
89	1500	0.25	62.6099	20	0.530975	0.25	0.63	0.63	31.6696	11.6	1.40223	1.6	1.6	1.77593	57.0352	4	7.4	10000	15	0.7	0	0.36	3.04286	100	0	0	0	0	0	0	0
90	1500	0.25	62.8443	20	0.530413	0.25	0.63	0.63	32.2397	11.6	1.40179	1.6	1.6	1.77413	57.4071	4	7.4	10000	15	0.7	0	0.36	3.12797	100	0	0	0	0	0	0	0
91	1500	0.25	63.075	20	0.52984	0.25	0.63	0.63	32.8109	11.6	1.4013	1.6	1.6	1.77227	57.7725	4	7.4	10000	15	0.7	0	0.36	3.21424	100	0	0	0	0	0	0	0
92	1500	0.25	63.302	20	0.529257	0.25	0.63	0.63	33.3832	11.6	1.40075	1.6	1.6	1.77032	58.1312	4	7.4	10000	15	0.7	0	0.36	3.30168	100	0	0	0	0	0	0	0
93	1500	0.25	63.5255	20	0.528662	0.25	0.63	0.63	33.9564	11.6	1.40016	1.6	1.6	1.76832	58.4834	4	7.4	10000	15	0.7	0	0.36	3.39027	100	0	0	0	0	0	0	0
94	1500	0.25	63.7454	20	0.528058	0.25	0.63	0.63	34.5305	11.6	1.39953	1.6	1.6	1.76624	58.8292	4	7.4	10000	15	0.7	0	0.36	3.48001	100	0	0	0	0	0	0	0
95	1500	0.25	63.9619	20	0.527443	0.25	0.63	0.63	35.1053	11.6	1.39884	1.6	1.6	1.7641	59.1685	4	7.4	10000	15	0.7	0	0.36	3.57089	100	0	0	0	0	0	0	0
96	1500	0.25	64.1749	20	0.526818	0.25	0.63	0.63	35.6809	11.6	1.39811	1.6	1.6	1.7619	59.5015	4	7.4	10000	15	0.7	0	0.36	3.66292	100	0	0	0	0	0	0	0
97	1500	0.25	64.3846	20	0.526184	0.25	0.63	0.63	36.2571	11.6	1.39734	1.6	1.6	1.75963	59.8282	4	7.4	10000	15	0.7	0	0.36	3.75608	100	0	0	0	0	0	0	0
98	1500	0.25	64.5911	20	0.52554	0.25	0.63	0.63	36.8338	11.6	1.39653	1.6	1.6	1.75731	60.1487	4	7.4	10000	15	0.7	0	0.36	3.85038	100	0	0	0	0	0	0	0
99	1500	0.25	64.7943	20	0.524888	0.25	0.63	0.63	37.4109	11.6	1.39567	1.6	1.6	1.75493	60.4629	4	7.4	10000	15	0.7	0	0.36	3.94581	100	0	0	0	0	0	0	0
100	1500	0.25	64.9943	20	0.524226	0.25	0.63	0.63	37.9885	11.6	1.39478	1.6	1.6	1.75249	60.7711	4	7.4	10000	15	0.7	0	0.36	4.04236	100	0	0	0	0	0	0	0
