Time	[glucose{external}]	[glucose{cell}]	[G6P]	[G1P]	[UDPG]	[glycogen]	[T6P]	[trehalose]
40	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
41	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
42	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
43	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
44	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
45	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
46	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
47	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
48	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
49	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
50	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
51	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
52	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
53	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
54	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
55	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
56	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
57	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
58	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
59	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
60	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
61	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
62	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
63	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
64	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
65	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
66	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
67	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
68	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
69	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
70	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
71	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
72	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
73	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
74	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
75	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
76	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
77	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
78	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
79	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
80	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
81	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
82	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
83	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
84	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
85	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
86	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
87	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
88	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
89	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
90	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
91	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
92	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
93	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
94	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
95	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
96	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
97	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
98	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
99	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
100	1	0.0299279	0.9985	0.0998493	0.699383	0.997035	0.0198969	0.0498323
