Time	[E3]	[PI3K_LY]	[E3H]	[E2]	[E23H]	[E23HP]	[Shc]	[E23HP_Shc]	[E23HP_ShcP]	[GS]	[E23HP_ShGS]	[E2_Per]	[PTEN_bpV]	[RasGDP]	[PI3Ka_PIP3]	[Raf]	[E23H_C]	[MEK]	[MEKP]	[PP2A]	[MEKP_PP2A]	[MEK_PP2A]	[Akt_PIP3_PP2A]	[MEKPP_PP2A]	[ERK]	[ERKP]	[E3H_C]	[PI3K]	[E23HP_PI3K]	[Akt_PIP3]	[PI3Ka]	[PI2]	[Akt_PI_P_PP2A]	[PTEN]	[PIP3]	[PTEN_PIP3]	[PTEN_PI]	[PTENP]	[PTENP_PTEN]	[Akt_PI_P]	[Akt]	[E23HP_PI3Ka]	[PTEN_PTEN]	[PI3Ka_PI]	[MEKPP]	[Akt_PI_PP]	[Akt_PI_PP_PP2A]	[Per]	[ShGS]	[E2Per]	[ERKPP]	[Rafa]	[RasGTP]	[ShcP]	[HRG]
20	0.493208	0	2.40064	25.2947	6.07258	26.5853	0.00220503	0.00030437	5.11368e-05	99.9993	0.000557384	-4.99046e-27	0	120	2.06903	100	2.72034	2.14709	0.275996	0.439689	0.272375	0.281178	3.7333	0.278752	0.213546	1.10083	2.40083	144.356	37.9974	0.000752192	12.6658	179.689	2.48902	17.0411	0.00288421	4.13896	17.2466	7.99342	0.894983	0.000757239	5.21564	0.843139	0.894983	2.06902	6.74461	86.0548	2.50569	-3.98004e-24	9.99756e-05	-3.30959e-26	8.68562	1.65198e-05	1.99692e-05	99.9968	2920.49
21	0.493075	0	2.39999	25.2932	6.07059	26.5746	0.00220592	0.000304367	5.11272e-05	99.9993	0.000557277	-4.98746e-27	0	120	2.06863	100	2.71926	2.31419	0.284792	0.440614	0.267181	0.275915	3.73994	0.272763	0.223058	1.12596	2.40018	144.371	37.9863	0.000753541	12.6621	179.707	2.49344	17.048	0.00288247	4.13815	17.2432	7.9905	0.895022	0.000758597	5.22816	0.842892	0.895021	2.06862	6.58516	86.0268	2.51014	-3.97746e-24	9.99756e-05	-3.56766e-26	8.65098	1.61787e-05	1.99692e-05	99.9968	2920.49
22	0.492942	0	2.39934	25.2918	6.06861	26.5639	0.00220681	0.000304365	5.11175e-05	99.9993	0.000557169	-4.9845e-27	0	120	2.06823	100	2.71817	2.47815	0.293039	0.441526	0.262069	0.270703	3.74649	0.266884	0.233033	1.15172	2.39953	144.387	37.9752	0.000754871	12.6584	179.724	2.4978	17.055	0.00288071	4.13733	17.2398	7.98756	0.89506	0.000759935	5.24057	0.842645	0.89506	2.06821	6.42916	85.9991	2.51453	-3.97492e-24	9.99755e-05	-3.82248e-26	8.61525	1.60703e-05	1.99691e-05	99.9968	2920.49
23	0.492809	0	2.3987	25.2904	6.06664	26.5532	0.0022077	0.000304362	5.11079e-05	99.9993	0.000557062	-4.98157e-27	0	120	2.06782	100	2.71708	2.639	0.300754	0.442425	0.257037	0.265557	3.75293	0.261112	0.243477	1.17808	2.39889	144.403	37.9641	0.000756179	12.6547	179.741	2.50209	17.0621	0.00287896	4.13651	17.2364	7.98462	0.895099	0.000761253	5.25286	0.842398	0.895099	2.06781	6.27654	85.9717	2.51885	-3.97241e-24	9.99755e-05	-4.07408e-26	8.57844	1.6038e-05	1.99691e-05	99.9968	2920.49
24	0.492677	0	2.39806	25.289	6.06467	26.5425	0.00220859	0.00030436	5.10983e-05	99.9993	0.000556955	-4.97867e-27	0	120	2.06741	100	2.71599	2.79678	0.307955	0.44331	0.252082	0.260481	3.75927	0.255444	0.2544	1.20503	2.39825	144.419	37.953	0.000757467	12.651	179.759	2.50632	17.0691	0.0028772	4.13569	17.233	7.98167	0.895138	0.000762549	5.26503	0.842151	0.895137	2.0674	6.12726	85.9448	2.5231	-3.96993e-24	9.99755e-05	-4.3225e-26	8.54057	1.60305e-05	1.99691e-05	99.9968	2920.49
25	0.492545	0	2.39741	25.2876	6.06271	26.5318	0.00220948	0.000304358	5.10886e-05	99.9993	0.000556848	-4.97581e-27	0	120	2.067	100	2.7149	2.95154	0.31466	0.444182	0.247203	0.255478	3.7655	0.249879	0.265816	1.23258	2.3976	144.435	37.9418	0.000758734	12.6473	179.776	2.51047	17.0762	0.00287543	4.13486	17.2295	7.97872	0.895177	0.000763825	5.27708	0.841905	0.895176	2.06699	5.98124	85.9181	2.52728	-3.96748e-24	9.99755e-05	-4.56779e-26	8.50161	1.60312e-05	1.99691e-05	99.9968	2920.49
26	0.492413	0	2.39677	25.2861	6.06074	26.5211	0.00221037	0.000304355	5.1079e-05	99.9993	0.000556741	-4.97299e-27	0	120	2.06659	100	2.71381	3.10332	0.320887	0.445041	0.2424	0.250551	3.77164	0.244415	0.277744	1.26071	2.39696	144.451	37.9307	0.000759981	12.6436	179.793	2.51456	17.0832	0.00287367	4.13403	17.2261	7.97576	0.895216	0.00076508	5.289	0.841658	0.895215	2.06658	5.83843	85.8919	2.53139	-3.96506e-24	9.99755e-05	-4.80999e-26	8.46154	1.60344e-05	1.99691e-05	99.9968	2920.49
27	0.492281	0	2.39613	25.2847	6.05878	26.5104	0.00221126	0.000304353	5.10694e-05	99.9993	0.000556634	-4.97019e-27	0	120	2.06618	100	2.71272	3.25216	0.326652	0.445886	0.23767	0.245697	3.77767	0.239051	0.290203	1.28944	2.39632	144.467	37.9196	0.000761207	12.6399	179.81	2.51858	17.0903	0.0028719	4.1332	17.2226	7.9728	0.895254	0.000766315	5.3008	0.841411	0.895254	2.06617	5.69877	85.866	2.53544	-3.96267e-24	9.99755e-05	-5.04912e-26	8.42036	1.60385e-05	1.99691e-05	99.9968	2920.49
28	0.492149	0	2.39549	25.2833	6.05682	26.4997	0.00221215	0.00030435	5.10598e-05	99.9993	0.000556527	-4.96743e-27	0	120	2.06577	100	2.71163	3.39812	0.33197	0.446719	0.233014	0.240918	3.78361	0.233787	0.303212	1.31875	2.39568	144.483	37.9085	0.000762413	12.6362	179.827	2.52254	17.0974	0.00287012	4.13237	17.2192	7.96983	0.895294	0.000767529	5.31248	0.841165	0.895293	2.06576	5.56219	85.8404	2.53942	-3.96031e-24	9.99754e-05	-5.28524e-26	8.37803	1.60429e-05	1.99691e-05	99.9968	2920.49
29	0.492018	0	2.39484	25.2819	6.05485	26.4891	0.00221304	0.000304348	5.10501e-05	99.9993	0.000556421	-4.9647e-27	0	120	2.06536	100	2.71054	3.54123	0.336858	0.447538	0.228431	0.236213	3.78944	0.22862	0.316794	1.34866	2.39503	144.499	37.8974	0.000763599	12.6325	179.843	2.52642	17.1046	0.00286835	4.13154	17.2157	7.96685	0.895333	0.000768722	5.32404	0.840918	0.895332	2.06534	5.42865	85.8152	2.54333	-3.95798e-24	9.99754e-05	-5.51838e-26	8.33454	1.60472e-05	1.99691e-05	99.9968	2920.49
30	0.491886	0	2.3942	25.2805	6.05289	26.4784	0.00221393	0.000304345	5.10405e-05	99.9993	0.000556314	-4.962e-27	0	120	2.06494	100	2.70946	3.68154	0.341331	0.448344	0.22392	0.23158	3.79518	0.223551	0.330971	1.37917	2.39439	144.514	37.8863	0.000764765	12.6288	179.86	2.53025	17.1117	0.00286657	4.1307	17.2122	7.96388	0.895372	0.000769896	5.33548	0.840672	0.895371	2.06493	5.29808	85.7904	2.54718	-3.95568e-24	9.99754e-05	-5.74858e-26	8.28986	1.60516e-05	1.99691e-05	99.9968	2920.49
31	0.491754	0	2.39356	25.2791	6.05093	26.4677	0.00221482	0.000304343	5.10309e-05	99.9993	0.000556207	-4.95933e-27	0	120	2.06453	100	2.70837	3.81909	0.345405	0.449138	0.219481	0.22702	3.80082	0.218577	0.345766	1.41027	2.39375	144.53	37.8752	0.000765911	12.6251	179.876	2.534	17.1189	0.00286479	4.12986	17.2087	7.9609	0.895411	0.00077105	5.3468	0.840426	0.895411	2.06451	5.17043	85.7659	2.55096	-3.95341e-24	9.99754e-05	-5.97587e-26	8.24396	1.60558e-05	1.99691e-05	99.9968	2920.49
32	0.491622	0	2.39292	25.2777	6.04897	26.4571	0.00221572	0.000304341	5.10213e-05	99.9993	0.000556101	-4.95669e-27	0	120	2.06411	100	2.70728	3.95392	0.349094	0.449919	0.215113	0.222533	3.80636	0.213697	0.361205	1.44197	2.39311	144.546	37.8641	0.000767037	12.6214	179.893	2.5377	17.126	0.00286301	4.12902	17.2052	7.95791	0.89545	0.000772184	5.358	0.840179	0.89545	2.0641	5.04564	85.7417	2.55467	-3.95117e-24	9.99754e-05	-6.20029e-26	8.19682	1.60601e-05	1.99691e-05	99.9968	2920.49
