Time	[Glu]	[Fru]	[Formic_acid]	[Triose]	[Acetic_acid]	[Cn]	[Amadori]	[AMP]	[C5]	[lys_R]	[Melanoidin]
72	75.788	46.0873	6.19993	28.6674	9.26309	3.62145	0.285488	0.694319	6.19993	4.86135	9.15884
73	75.167	46.1945	6.28616	29.1975	9.42154	3.74847	0.279111	0.682141	6.28616	4.79378	9.24497
74	74.5545	46.2946	6.37222	29.7267	9.5816	3.8778	0.272899	0.670181	6.37222	4.72734	9.32958
75	73.9502	46.3877	6.45809	30.2549	9.74331	4.00946	0.266849	0.658434	6.45809	4.66201	9.41271
76	73.354	46.4739	6.54378	30.7821	9.90667	4.14344	0.260955	0.646898	6.54378	4.59776	9.49438
77	72.7658	46.5536	6.62928	31.3082	10.0717	4.27973	0.255212	0.635571	6.62928	4.53459	9.57462
78	72.1854	46.6267	6.7146	31.833	10.2384	4.41832	0.249617	0.624449	6.7146	4.47247	9.65346
79	71.6127	46.6936	6.79972	32.3566	10.4068	4.55922	0.244166	0.613529	6.79972	4.41139	9.73092
80	71.0474	46.7542	6.88464	32.8788	10.5769	4.70241	0.238854	0.602808	6.88464	4.35131	9.80702
81	70.4895	46.8089	6.96936	33.3994	10.7486	4.84789	0.233677	0.592284	6.96936	4.29224	9.8818
82	69.9389	46.8578	7.05388	33.9186	10.9221	4.99566	0.228631	0.581952	7.05388	4.23415	9.95527
83	69.3954	46.9009	7.13819	34.4361	11.0974	5.1457	0.223713	0.571811	7.13819	4.17702	10.0275
84	68.8588	46.9384	7.22229	34.952	11.2743	5.29801	0.218919	0.561856	7.22229	4.12084	10.0984
85	68.3291	46.9706	7.30618	35.466	11.453	5.45257	0.214246	0.552085	7.30618	4.06558	10.1681
86	67.8061	46.9974	7.38985	35.9783	11.6334	5.60939	0.20969	0.542495	7.38985	4.01124	10.2366
87	67.2897	47.0191	7.47331	36.4886	11.8156	5.76846	0.205248	0.533083	7.47331	3.9578	10.3039
88	66.7798	47.0358	7.55655	36.997	11.9995	5.92976	0.200916	0.523845	7.55655	3.90524	10.37
89	66.2763	47.0476	7.63956	37.5033	12.1851	6.09329	0.196692	0.514779	7.63956	3.85354	10.435
90	65.779	47.0546	7.72235	38.0076	12.3726	6.25904	0.192573	0.505881	7.72235	3.8027	10.4988
91	65.2878	47.0569	7.80491	38.5097	12.5617	6.42699	0.188556	0.497149	7.80491	3.75269	10.5616
92	64.8026	47.0547	7.88725	39.0096	12.7527	6.59715	0.184637	0.48858	7.88725	3.7035	10.6233
93	64.3234	47.0481	7.96935	39.5073	12.9454	6.7695	0.180815	0.480171	7.96935	3.65512	10.6839
94	63.85	47.0372	8.05121	40.0027	13.1398	6.94402	0.177086	0.471918	8.05121	3.60753	10.7435
95	63.3823	47.0221	8.13285	40.4957	13.336	7.12072	0.173448	0.46382	8.13285	3.56072	10.802
96	62.9202	47.0029	8.21424	40.9863	13.534	7.29957	0.169898	0.455873	8.21424	3.51468	10.8596
97	62.4636	46.9798	8.2954	41.4745	13.7337	7.48057	0.166434	0.448074	8.2954	3.46938	10.9161
98	62.0124	46.9527	8.37631	41.9601	13.9352	7.66371	0.163055	0.440422	8.37631	3.42482	10.9717
99	61.5665	46.9219	8.45698	42.4433	14.1384	7.84898	0.159756	0.432912	8.45698	3.38098	11.0263
100	61.1259	46.8874	8.53741	42.9238	14.3434	8.03636	0.156537	0.425543	8.53741	3.33786	11.0801
