Time	[ATP]	[ADP]	[Patched]	[Hedgehog target gene]	[Sap18]	[Hedgehog]	[Complex_br_(Patched/Hedgehog)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"Receiving cell"}]	[Complex_br_(Costal2/Smoothened/_br_Fused)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"lipid raft"}]	[CBP]	[Microtubule]	[Cubitus_space_interruptus]	[Complex_br_(Cubitus_space_interruptus_space_repressor/Su(fu))]	[Complex_br_(Sap18/Su(fu)/_br_Cubitus_space_interruptus_space_repressor)]	[smoothened]	[complex]	[MIcrotubule]	[sag]	[Complex_br_(CBP/Cubitus)]	[Complex_br_(Costal2/Fused/../microtubule)]	[Complex_br_(Su(fu)/Fused/../_br_Smoothened)]	[Complex_br_(Su(fu)/Cubitus)]
46	1.30671	0.693293	1.78632	0.92944	0.9836	1.78632	3.21368	0.213979	0.693293	1.5655	2.41083e-05	2.60701	0.323978	0.9836	2.58693	0.0428572	0.0428572	0	0.5	4.99049e-06	0.350134	0.134241	0.148814
47	1.30665	0.693349	1.78632	0.929441	0.983601	1.78632	3.21368	0.214022	0.693349	1.56581	1.84438e-05	2.60754	0.324261	0.983601	2.58694	0.0419581	0.0419581	0	0.5	3.82177e-06	0.350506	0.134359	0.148934
48	1.3066	0.693402	1.78632	0.929442	0.983602	1.78632	3.21368	0.214064	0.693402	1.5661	1.41073e-05	2.60804	0.324533	0.983602	2.58694	0.0410959	0.0410959	0	0.5	2.92601e-06	0.350864	0.134473	0.149048
49	1.30655	0.693452	1.78632	0.929442	0.983603	1.78632	3.21368	0.214103	0.693452	1.56638	1.07882e-05	2.60852	0.324792	0.983603	2.58694	0.0402685	0.0402685	0	0.5	2.23965e-06	0.351209	0.134583	0.149158
50	1.3065	0.693501	1.78632	0.929443	0.983603	1.78632	3.21368	0.21414	0.693501	1.56665	8.24843e-06	2.60898	0.325041	0.983603	2.58694	0.0394737	0.0394737	0	0.5	1.71389e-06	0.351542	0.134689	0.149263
51	1.30645	0.693547	1.78632	0.929443	0.983603	1.78632	3.21368	0.214176	0.693547	1.56691	6.30541e-06	2.60943	0.325279	0.983603	2.58695	0.0387097	0.0387097	0	0.5	1.31126e-06	0.351862	0.134791	0.149365
52	1.30641	0.693591	1.78632	0.929443	0.983604	1.78632	3.21368	0.214211	0.693591	1.56716	4.81923e-06	2.60985	0.325507	0.983604	2.58695	0.0379747	0.0379747	0	0.5	1.00301e-06	0.352172	0.134889	0.149462
53	1.30637	0.693634	1.78632	0.929443	0.983604	1.78632	3.21368	0.214244	0.693634	1.5674	3.68272e-06	2.61026	0.325727	0.983604	2.58695	0.0372671	0.0372671	0	0.5	7.67063e-07	0.35247	0.134984	0.149556
54	1.30633	0.693675	1.78632	0.929443	0.983604	1.78632	3.21368	0.214275	0.693675	1.56763	2.81377e-06	2.61066	0.325937	0.983604	2.58695	0.0365854	0.0365854	0	0.5	5.86507e-07	0.352758	0.135076	0.149646
55	1.30629	0.693714	1.78632	0.929443	0.983604	1.78632	3.21368	0.214306	0.693714	1.56785	2.14952e-06	2.61104	0.32614	0.983604	2.58695	0.0359282	0.0359282	0	0.5	4.48368e-07	0.353036	0.135165	0.149733
56	1.30625	0.693752	1.78632	0.929443	0.983604	1.78632	3.21368	0.214335	0.693752	1.56806	1.64183e-06	2.6114	0.326335	0.983604	2.58695	0.0352941	0.0352941	0	0.5	3.42704e-07	0.353305	0.13525	0.149817
57	1.30621	0.693789	1.78632	0.929444	0.983604	1.78632	3.21368	0.214363	0.693789	1.56827	1.25386e-06	2.61175	0.326524	0.983604	2.58695	0.0346821	0.0346821	0	0.5	2.61896e-07	0.353564	0.135333	0.149898
58	1.30618	0.693824	1.78632	0.929444	0.983604	1.78632	3.21368	0.214391	0.693824	1.56847	9.57441e-07	2.61209	0.326705	0.983604	2.58695	0.0340909	0.0340909	0	0.5	2.00109e-07	0.353816	0.135413	0.149976
59	1.30614	0.693858	1.78632	0.929444	0.983604	1.78632	3.21368	0.214417	0.693858	1.56866	7.30997e-07	2.61242	0.32688	0.983604	2.58695	0.0335196	0.0335196	0	0.5	1.52875e-07	0.354059	0.135491	0.150052
