Time	[cG]	[cG_m]	[cL]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cTm]	[cY]	[cY_m]	[cZG]	[cZTL]
10	0.0322367	0.935602	0.130822	0.00820875	0.133151	0.886586	1.0178	6.59092e-05	0.937304	0.540855	0.219253	0.0119961	0.204761	0.394708	0.0581925	0.808154	0.972281	0.619582	0.213298
11	0.0335016	0.902663	0.107242	0.0055754	0.111316	0.972375	1.00977	0.00110633	0.849957	0.427466	0.163363	0.00697116	0.262932	0.592159	0.0578991	0.950888	0.851679	0.693038	0.207246
12	0.0590715	0.727581	0.0881495	0.00418811	0.0924258	1.01211	0.965542	0.0421136	0.673854	0.332853	0.095001	0.0221948	0.33556	0.782999	0.067114	0.976856	0.579824	0.709804	0.239046
13	0.22301	0.332876	0.0724603	0.00352035	0.0763919	0.953366	0.811372	0.240969	0.352951	0.256359	0.0279097	0.0323836	0.376318	0.921035	0.0861166	0.886707	0.311848	0.514652	0.387528
14	0.355104	0.124277	0.0597416	0.00327223	0.0629472	0.839717	0.579006	0.435907	0.185957	0.196373	0.00973213	0.0138912	0.427378	0.979806	0.107649	0.744608	0.173605	0.292408	0.459367
15	0.385507	0.0457545	0.0495472	0.00398138	0.0517647	0.698985	0.382629	0.582068	0.110978	0.149889	0.00361256	0.00522625	0.488566	0.961353	0.129991	0.602544	0.105068	0.160748	0.448569
16	0.364942	0.0168328	0.041699	0.00676181	0.0425137	0.55644	0.245391	0.690388	0.073267	0.114121	0.00134717	0.00195264	0.541946	0.887204	0.15202	0.478325	0.0685915	0.0882253	0.423692
17	0.324784	0.00619247	0.0364999	0.0140099	0.0348901	0.428589	0.155375	0.770633	0.0516278	0.0867434	0.000503905	0.000733905	0.575855	0.784889	0.172626	0.376178	0.0493159	0.0484192	0.40423
18	0.279783	0.00227808	0.0350796	0.0305661	0.0286282	0.322113	0.0977633	0.830081	0.0377378	0.0658794	0.000190187	0.000281152	0.586868	0.677269	0.191145	0.295317	0.0399337	0.026573	0.391797
19	0.236535	0.000838059	0.0400423	0.0655191	0.0235105	0.23761	0.0612949	0.874121	0.0281206	0.0500555	7.42255e-05	0.000116713	0.577442	0.578171	0.20725	0.233131	0.0365396	0.0145836	0.384446
20	0.197703	0.000308328	0.0564517	0.134129	0.0194026	0.172738	0.0383444	0.906747	0.0211808	0.0381792	3.48115e-05	7.46738e-05	0.552776	0.493287	0.220777	0.186584	0.0369356	0.00800369	0.380252
21	0.164064	0.000114763	0.0926909	0.257254	0.0164684	0.124126	0.0239574	0.930915	0.0161254	0.0296872	4.01844e-05	0.000167184	0.518381	0.422581	0.231614	0.152694	0.0391614	0.00439508	0.377901
22	0.135414	0.000115119	0.159229	0.453022	0.0162824	0.0883597	0.0149865	0.948746	0.0127039	0.0255405	0.000174967	0.000970318	0.47857	0.361912	0.239639	0.128275	0.0399718	0.00252725	0.376506
23	0.106783	0.00379631	0.262276	0.718972	0.0250755	0.0624663	0.00953623	0.957993	0.0117919	0.0324627	0.00188245	0.0134199	0.435886	0.305431	0.244525	0.109804	0.0381037	0.00636693	0.371861
24	0.023719	0.119266	0.414097	0.994826	0.0538231	0.0447791	0.00698827	0.824981	0.0189659	0.0742279	0.0559437	0.350642	0.395738	0.250752	0.240842	0.101817	0.0930247	0.077063	0.322856
25	0.00865434	0.361083	0.589129	0.751865	0.104982	0.0350173	0.0101089	0.36797	0.0575989	0.209215	0.468306	0.989498	0.370451	0.200013	0.215929	0.138487	0.204337	0.129499	0.316733
26	0.00866858	0.352624	0.623067	0.451331	0.157185	0.0320056	0.0338967	0.136427	0.159645	0.473284	0.881118	0.772478	0.340859	0.159558	0.190535	0.174784	0.166544	0.180894	0.309396
27	0.00769377	0.317009	0.566635	0.267214	0.19845	0.0459731	0.119016	0.0502034	0.328638	0.733342	0.995703	0.447693	0.305905	0.130743	0.168175	0.182505	0.119467	0.216555	0.311665
28	0.0078603	0.332778	0.476392	0.158202	0.224736	0.0966294	0.286478	0.018469	0.528629	0.914496	0.919251	0.238748	0.270387	0.112422	0.147468	0.177434	0.110701	0.242489	0.313927
29	0.00958278	0.40527	0.384567	0.0939437	0.233767	0.194149	0.492595	0.00679438	0.72073	1.00162	0.772287	0.129517	0.237731	0.103772	0.127794	0.180028	0.152115	0.271663	0.308905
30	0.0127916	0.52059	0.306268	0.0560587	0.226343	0.329058	0.683314	0.00249951	0.87485	0.997831	0.619645	0.0760254	0.209959	0.104865	0.109253	0.209708	0.255726	0.313812	0.295205
31	0.0172778	0.656415	0.244597	0.0337052	0.207251	0.481781	0.831905	0.00091952	0.97268	0.921169	0.48596	0.0483351	0.18852	0.118423	0.0923333	0.284981	0.428888	0.373131	0.274919
32	0.0226623	0.788327	0.196953	0.0205175	0.182529	0.633402	0.933386	0.000338278	1.00929	0.800988	0.376224	0.0316557	0.175877	0.155679	0.0776398	0.418328	0.655455	0.448302	0.251748
33	0.0281591	0.890714	0.159827	0.0127517	0.156727	0.770157	0.992204	0.000124812	0.991487	0.666465	0.288337	0.020143	0.178091	0.241288	0.0659444	0.604573	0.874364	0.533556	0.229808
34	0.03219	0.934886	0.130469	0.0082032	0.1324	0.883689	1.01487	6.59077e-05	0.93274	0.53774	0.218658	0.0118671	0.20506	0.393651	0.0586598	0.805322	0.969873	0.619379	0.213438
35	0.0334751	0.902515	0.10697	0.00557903	0.110683	0.969297	1.0067	0.00110633	0.845651	0.424905	0.16288	0.00690861	0.262841	0.590554	0.0582641	0.948222	0.851074	0.692769	0.207349
36	0.0590687	0.727864	0.0879391	0.00419708	0.0918988	1.0089	0.962267	0.0421136	0.670319	0.330804	0.0947165	0.0221678	0.335124	0.781168	0.0673665	0.974939	0.580441	0.709589	0.239068
37	0.22301	0.33305	0.0722958	0.00353117	0.0759555	0.950178	0.807958	0.240969	0.351027	0.254754	0.0278536	0.0323723	0.375704	0.919221	0.0862821	0.885548	0.312515	0.514525	0.387504
38	0.355094	0.124343	0.0596126	0.00328647	0.0625872	0.836649	0.576124	0.435907	0.184896	0.195129	0.00972252	0.0138866	0.426663	0.978151	0.107745	0.743979	0.174145	0.292338	0.45934
39	0.385489	0.0457788	0.0494476	0.00400621	0.0514685	0.69621	0.380535	0.582068	0.110317	0.148931	0.00361045	0.00522434	0.487786	0.959953	0.130035	0.602255	0.10547	0.160709	0.448549
40	0.364919	0.0168418	0.0416272	0.00681407	0.0422705	0.55408	0.243965	0.690388	0.0728157	0.113387	0.00134656	0.00195186	0.541143	0.886103	0.152028	0.47824	0.0688773	0.0882041	0.42368
41	0.324761	0.00619576	0.0364614	0.0141276	0.0346906	0.426673	0.154431	0.770633	0.0513029	0.0861838	0.000503688	0.000733594	0.575074	0.78407	0.17261	0.376207	0.0495224	0.0484075	0.404223
42	0.279761	0.00227929	0.0350931	0.030829	0.0284648	0.320611	0.0971467	0.830081	0.0374972	0.0654537	0.000190109	0.000281055	0.586144	0.676683	0.191112	0.295407	0.040092	0.0265666	0.391793
43	0.236515	0.000838504	0.0401508	0.0660782	0.0233771	0.236462	0.060896	0.874121	0.0279402	0.0497326	7.42163e-05	0.000116777	0.576796	0.577758	0.207204	0.233251	0.0366697	0.0145801	0.384443
44	0.197687	0.000308492	0.0567377	0.135227	0.0192953	0.171879	0.038088	0.906747	0.0210449	0.0379364	3.49002e-05	7.51723e-05	0.552216	0.492989	0.22072	0.186719	0.0370444	0.00800176	0.380251
45	0.164049	0.000114824	0.0932824	0.259178	0.016391	0.123492	0.0237934	0.930915	0.0160242	0.0295134	4.07203e-05	0.000170069	0.517902	0.422339	0.231548	0.152828	0.0392332	0.00439403	0.3779
46	0.135402	0.000115112	0.160254	0.455913	0.016272	0.0878985	0.0148825	0.948746	0.0126351	0.02546	0.000177935	0.000985559	0.478155	0.361649	0.239562	0.128388	0.0399665	0.00252666	0.376506
47	0.106773	0.00379223	0.263742	0.722543	0.0252473	0.0621346	0.00947338	0.957993	0.0117762	0.0326226	0.00189378	0.0134686	0.435505	0.305097	0.244438	0.109868	0.0380178	0.00636616	0.371861
48	0.0237107	0.119088	0.415943	0.998189	0.054267	0.0445413	0.0069671	0.824981	0.0190899	0.0750148	0.0559702	0.350718	0.395365	0.250373	0.240743	0.101823	0.0928947	0.0770512	0.322864
49	0.00863744	0.360414	0.591303	0.753847	0.105581	0.0348503	0.0101816	0.36797	0.058108	0.21091	0.468363	0.989572	0.370063	0.199648	0.215824	0.138437	0.20419	0.129405	0.316795
50	0.00864553	0.351792	0.625228	0.45246	0.157836	0.0319467	0.0342856	0.136427	0.160722	0.4756	0.881203	0.772551	0.340468	0.159221	0.190422	0.174693	0.166408	0.180666	0.309513
51	0.00766825	0.31609	0.568551	0.267859	0.199147	0.04616	0.120132	0.0502034	0.330298	0.73604	0.995812	0.447777	0.305527	0.130422	0.168051	0.182384	0.119316	0.216192	0.311815
52	0.00783213	0.331761	0.477945	0.158568	0.2255	0.0972516	0.288396	0.018469	0.530826	0.917467	0.919387	0.238855	0.270029	0.112102	0.147332	0.177278	0.110493	0.241996	0.314099
53	0.00955169	0.404213	0.385729	0.0941477	0.234602	0.195292	0.494974	0.00679438	0.7234	1.00478	0.772461	0.129657	0.237394	0.103441	0.127649	0.179815	0.151817	0.27105	0.309092
54	0.0127596	0.519646	0.307092	0.0561698	0.227209	0.330672	0.685822	0.00249951	0.877912	1.00107	0.619865	0.0761957	0.209639	0.104513	0.109104	0.209422	0.255364	0.313105	0.295392
55	0.0172491	0.655746	0.245176	0.0337635	0.208085	0.483753	0.834373	0.00091952	0.976031	0.924338	0.486226	0.0485121	0.18821	0.118033	0.0921849	0.28464	0.428595	0.372385	0.27508
56	0.022642	0.788023	0.197368	0.0205459	0.183286	0.635616	0.935766	0.000338279	1.0128	0.803933	0.376517	0.0318108	0.175563	0.155215	0.0774945	0.418015	0.655464	0.447587	0.25186
57	0.0281529	0.890783	0.160133	0.0127632	0.157387	0.772526	0.994517	0.000124812	0.995016	0.669068	0.288631	0.020259	0.177757	0.240741	0.0658012	0.604454	0.87497	0.532938	0.22986
58	0.032201	0.935241	0.130701	0.00820501	0.132962	0.886159	1.01716	6.59078e-05	0.936152	0.539943	0.218928	0.0119414	0.204708	0.393132	0.0585134	0.805614	0.971209	0.618904	0.21343
59	0.0334985	0.902974	0.107148	0.00557511	0.111155	0.971847	1.00905	0.00110633	0.848829	0.426709	0.163107	0.00694914	0.262508	0.590237	0.0581115	0.949017	0.852635	0.692455	0.207297
60	0.059095	0.728208	0.0880763	0.00418973	0.0922909	1.01149	0.964732	0.0421136	0.672903	0.332245	0.0948545	0.0221872	0.334882	0.781172	0.0672161	0.976036	0.581493	0.709412	0.239002
61	0.223034	0.333192	0.0724027	0.00352257	0.0762797	0.952691	0.810493	0.240969	0.352421	0.255883	0.0278822	0.032381	0.375625	0.919574	0.0861397	0.886633	0.312975	0.514426	0.387456
62	0.355105	0.124395	0.059696	0.00327478	0.0628545	0.839021	0.578247	0.435907	0.185658	0.196005	0.00972797	0.0138904	0.426744	0.978807	0.107621	0.744888	0.174295	0.292283	0.459309
63	0.38549	0.0457979	0.049511	0.0039847	0.0516882	0.698328	0.38207	0.582068	0.110788	0.149606	0.00361186	0.00522593	0.488018	0.960794	0.129935	0.602954	0.105476	0.160679	0.44853
64	0.364914	0.0168488	0.0416707	0.00676791	0.0424508	0.555865	0.245007	0.690388	0.0731355	0.113904	0.00134703	0.00195251	0.541505	0.886988	0.151953	0.478746	0.0688249	0.0881876	0.42367
65	0.324754	0.00619835	0.0364794	0.0140251	0.0348384	0.428113	0.15512	0.770633	0.0515325	0.086578	0.000503863	0.00073385	0.575532	0.784889	0.172557	0.376557	0.0494494	0.0483985	0.404217
66	0.279753	0.00228025	0.0350692	0.0306061	0.0285859	0.321735	0.0975956	0.830081	0.0376669	0.0657535	0.000190171	0.000281128	0.586654	0.677378	0.191078	0.295636	0.0400116	0.0265616	0.391789
67	0.236508	0.000838856	0.0400501	0.0656168	0.0234758	0.237318	0.0611859	0.874121	0.0280673	0.0499598	7.42201e-05	0.00011671	0.577318	0.578318	0.207187	0.23339	0.0365857	0.0145773	0.384442
68	0.197679	0.000308622	0.0564947	0.13434	0.0193745	0.172518	0.0382741	0.906747	0.0211405	0.0381068	3.48202e-05	7.47355e-05	0.552721	0.493434	0.22072	0.18679	0.036961	0.00800027	0.38025
69	0.164043	0.000114871	0.092798	0.25765	0.0164471	0.123962	0.0239123	0.930915	0.0160951	0.0296339	4.02652e-05	0.000167641	0.518372	0.422705	0.231564	0.152852	0.0391676	0.00439321	0.3779
70	0.135396	0.000115148	0.159432	0.453643	0.0162751	0.0882399	0.0149578	0.948746	0.0126823	0.0255096	0.000175471	0.000972954	0.478589	0.361997	0.239595	0.12839	0.0399542	0.00252621	0.376506
71	0.106769	0.00379518	0.262582	0.719766	0.0251064	0.0623797	0.00951849	0.957993	0.0117826	0.0324837	0.00188443	0.0134283	0.435914	0.30547	0.244488	0.109878	0.0380658	0.00636572	0.371861
72	0.0237144	0.119219	0.4145	0.995622	0.0539131	0.0447165	0.00698062	0.824981	0.0189865	0.0743842	0.0559481	0.350654	0.395764	0.250754	0.240813	0.101855	0.0929746	0.0770522	0.322863
73	0.0086497	0.360902	0.589624	0.752354	0.105109	0.0349722	0.0101215	0.36797	0.0577014	0.209575	0.468314	0.989507	0.37047	0.199996	0.215908	0.138494	0.204278	0.129466	0.316752
74	0.00866221	0.352394	0.623569	0.451611	0.157326	0.031985	0.0339765	0.136427	0.159872	0.47379	0.881128	0.772484	0.340871	0.15953	0.190521	0.174767	0.166484	0.180826	0.309429
75	0.00768657	0.316749	0.567085	0.267375	0.198604	0.0460064	0.119253	0.0502034	0.328996	0.733941	0.995714	0.447699	0.305911	0.130706	0.168165	0.182467	0.119396	0.21645	0.311707
76	0.00785215	0.332482	0.476759	0.158294	0.224908	0.0967581	0.286893	0.018469	0.529111	0.915163	0.919264	0.238758	0.270386	0.112374	0.147461	0.177374	0.110596	0.242347	0.313976
77	0.00957342	0.404948	0.384843	0.0939956	0.233957	0.194393	0.493116	0.0067944	0.721322	1.00234	0.772305	0.129534	0.237724	0.103713	0.127788	0.179932	0.151952	0.271485	0.30896
78	0.0127813	0.520276	0.306465	0.0560875	0.226543	0.329408	0.683869	0.00249952	0.875534	0.998563	0.61967	0.076051	0.209945	0.104791	0.109247	0.20956	0.25549	0.313601	0.295263
79	0.0172673	0.656153	0.244736	0.0337207	0.207444	0.482213	0.832455	0.000919522	0.973431	0.921885	0.485996	0.0483653	0.188496	0.118325	0.0923266	0.284771	0.428605	0.3729	0.274973
80	0.0226529	0.788151	0.197053	0.0205254	0.182705	0.63389	0.933919	0.00033828	1.01008	0.801652	0.376268	0.0316846	0.175837	0.155529	0.0776314	0.418068	0.655205	0.448068	0.251792
81	0.0281529	0.890652	0.159901	0.0127553	0.156881	0.770682	0.992724	0.000124813	0.992281	0.667051	0.288385	0.0201664	0.178023	0.241057	0.0659325	0.604316	0.874297	0.533338	0.229838
82	0.0321897	0.93495	0.130526	0.0082042	0.132531	0.884239	1.01538	6.59079e-05	0.933507	0.538237	0.218705	0.0118835	0.204956	0.393362	0.0586412	0.80517	0.970144	0.619196	0.213448
83	0.0334813	0.902671	0.107014	0.00557851	0.110794	0.969867	1.00723	0.00110633	0.846366	0.425312	0.162921	0.00691826	0.262708	0.590287	0.0582354	0.948272	0.851596	0.692638	0.207339
84	0.0590784	0.728018	0.0879728	0.00419566	0.0919904	1.00948	0.962823	0.0421135	0.670901	0.33113	0.0947423	0.0221726	0.334992	0.780998	0.0673294	0.97517	0.580889	0.709511	0.239046
85	0.223021	0.333119	0.0723221	0.00352937	0.0760313	0.950743	0.808531	0.240969	0.351341	0.255009	0.0278592	0.0323746	0.375615	0.919182	0.0862404	0.885844	0.312748	0.514482	0.387485
86	0.3551	0.124368	0.0596331	0.00328377	0.0626497	0.837182	0.576604	0.435907	0.185068	0.195327	0.0097237	0.0138876	0.426625	0.978239	0.107704	0.744259	0.174252	0.292314	0.459327
87	0.38549	0.0457882	0.0494632	0.00400085	0.0515199	0.696687	0.380882	0.582068	0.110423	0.149084	0.00361079	0.00522478	0.487798	0.960134	0.129999	0.602489	0.10551	0.160696	0.448541
88	0.364918	0.0168452	0.0416379	0.00680231	0.0423127	0.554482	0.2442	0.690388	0.0728881	0.113505	0.00134668	0.00195204	0.541201	0.886329	0.151998	0.478421	0.068885	0.0881969	0.423676
89	0.324759	0.00619702	0.0364657	0.0141017	0.0347252	0.426997	0.154587	0.770633	0.0513549	0.0862733	0.000503736	0.000733666	0.575169	0.784298	0.172586	0.37634	0.0495149	0.0484036	0.40422
90	0.279758	0.00227976	0.0350869	0.0307736	0.0284931	0.320864	0.0972482	0.830081	0.0375357	0.0655217	0.000190126	0.000281076	0.586264	0.676887	0.191094	0.295501	0.0400771	0.0265644	0.391791
91	0.236513	0.000838675	0.0401258	0.0659654	0.0234002	0.236655	0.0609616	0.874121	0.027969	0.0497841	7.4218e-05	0.000116761	0.576929	0.577928	0.207191	0.233315	0.0366508	0.0145789	0.384443
92	0.197684	0.000308555	0.0566783	0.135013	0.0193138	0.172023	0.0381301	0.906747	0.0210666	0.0379751	3.48805e-05	7.5064e-05	0.552351	0.493127	0.220713	0.186758	0.0370235	0.00800111	0.380251
93	0.164047	0.000114847	0.0931654	0.258814	0.016404	0.123598	0.0238203	0.930915	0.0160402	0.0295406	4.06078e-05	0.00016947	0.518031	0.422452	0.231546	0.15285	0.0392151	0.00439367	0.3779
94	0.1354	0.000115124	0.160057	0.455376	0.0162723	0.0879756	0.0148995	0.948746	0.0126457	0.0254706	0.000177331	0.00098247	0.478277	0.361753	0.239566	0.128399	0.0399601	0.00252646	0.376506
95	0.106772	0.00379288	0.263466	0.72189	0.0252133	0.0621899	0.00948355	0.957993	0.0117771	0.0325883	0.00189149	0.0134587	0.43562	0.305201	0.244447	0.109877	0.0380255	0.00636598	0.371861
96	0.0237114	0.119117	0.415603	0.997593	0.0541827	0.0445808	0.00696994	0.824981	0.0190648	0.0748642	0.0559647	0.350702	0.395477	0.250475	0.240759	0.101834	0.0929097	0.077051	0.322864
97	0.00864018	0.360523	0.59091	0.753503	0.105469	0.0348776	0.010167	0.36797	0.0580112	0.210594	0.468351	0.989556	0.370176	0.19974	0.215844	0.138451	0.204206	0.129418	0.316785
98	0.00864925	0.351926	0.624841	0.452265	0.157716	0.0319545	0.0342121	0.136427	0.160521	0.475173	0.881184	0.772534	0.340579	0.1593	0.190447	0.17471	0.166421	0.180702	0.309495
99	0.00767233	0.316236	0.56821	0.267748	0.199019	0.0461226	0.119924	0.0502033	0.329991	0.735548	0.995786	0.447757	0.305631	0.130494	0.168081	0.182401	0.119329	0.216249	0.311791
100	0.00783654	0.33192	0.477669	0.158505	0.225362	0.0971343	0.288042	0.018469	0.530423	0.916927	0.919355	0.238831	0.270126	0.11217	0.147366	0.177295	0.110508	0.242074	0.314072
