Time	[IR]	[IRp]	[IRins]	[IRip]	[IRi]	[IRS1]	[IRS1p]	[IRS1p307]	[IRS1307]	[X]	[Xp]	[PKB]	[PKB308p]	[PKB473p]	[PKB308p473p]	[mTORC1]	[mTORC1a]	[mTORC2]	[mTORC2a]	[AS160]	[AS160p]	[GLUT4m]	[GLUT4]	[S6K]	[S6Kp]	[S6]	[S6p]
42	11.8755	0.0382889	85.7477	0.168283	2.17031	41.0139	0.00275538	4.4073	54.576	99.9962	0.00383467	8.68148	3.3958	37.9213	50.0014	21.2005	78.7995	98.6567	1.34332	29.5674	70.4326	61.1003	38.8997	96.5094	3.49061	72.7382	27.2618
43	11.8755	0.0382889	85.7477	0.168254	2.1703	41.0186	0.00275524	4.40702	54.5716	99.9962	0.00383531	8.68353	3.39653	37.9215	49.9985	21.2015	78.7985	98.6569	1.34306	29.5685	70.4315	61.1	38.9	96.4885	3.51151	72.6196	27.3804
44	11.8755	0.0382889	85.7477	0.168229	2.1703	41.0228	0.00275511	4.40677	54.5677	99.9962	0.00383588	8.68534	3.39717	37.9216	49.9959	21.2024	78.7976	98.6572	1.34283	29.5694	70.4306	61.0996	38.9004	96.4685	3.53146	72.5067	27.4933
45	11.8755	0.0382889	85.7477	0.168206	2.17029	41.0264	0.00275501	4.40656	54.5642	99.9962	0.00383638	8.68692	3.39773	37.9218	49.9936	21.2031	78.7969	98.6574	1.34263	29.5702	70.4298	61.0994	38.9006	96.4495	3.5505	72.3992	27.6008
46	11.8755	0.0382889	85.7478	0.168187	2.17028	41.0296	0.00275491	4.40637	54.5612	99.9962	0.00383682	8.68832	3.39822	37.9219	49.9916	21.2038	78.7962	98.6575	1.34246	29.5709	70.4291	61.0991	38.9009	96.4313	3.56868	72.2969	27.7031
47	11.8755	0.0382889	85.7478	0.16817	2.17028	41.0325	0.00275483	4.4062	54.5586	99.9962	0.00383721	8.68954	3.39866	37.922	49.9898	21.2044	78.7956	98.6577	1.3423	29.5715	70.4285	61.0989	38.9011	96.414	3.58604	72.1994	27.8006
48	11.8755	0.0382889	85.7478	0.168154	2.17028	41.0349	0.00275475	4.40605	54.5562	99.9962	0.00383755	8.69062	3.39904	37.922	49.9883	21.2049	78.7951	98.6578	1.34217	29.5721	70.4279	61.0987	38.9013	96.3974	3.60262	72.1067	27.8933
49	11.8755	0.0382889	85.7478	0.168141	2.17027	41.0371	0.00275469	4.40592	54.5542	99.9962	0.00383785	8.69157	3.39938	37.9221	49.9869	21.2053	78.7947	98.658	1.34205	29.5725	70.4275	61.0986	38.9014	96.3816	3.61844	72.0183	27.9817
50	11.8755	0.038289	85.7478	0.168129	2.17027	41.039	0.00275463	4.40581	54.5524	99.9962	0.00383811	8.6924	3.39967	37.9222	49.9857	21.2057	78.7943	98.6581	1.34194	29.573	70.427	61.0984	38.9016	96.3665	3.63355	71.9342	28.0658
51	11.8755	0.038289	85.7478	0.168119	2.17027	41.0407	0.00275458	4.40571	54.5508	99.9962	0.00383834	8.69314	3.39993	37.9222	49.9847	21.2061	78.7939	98.6581	1.34185	29.5733	70.4267	61.0983	38.9017	96.352	3.64797	71.854	28.146
52	11.8755	0.038289	85.7478	0.16811	2.17026	41.0422	0.00275454	4.40562	54.5494	99.9962	0.00383855	8.69378	3.40016	37.9223	49.9838	21.2064	78.7936	98.6582	1.34177	29.5736	70.4264	61.0982	38.9018	96.3383	3.66175	71.7777	28.2223
53	11.8755	0.038289	85.7479	0.168102	2.17026	41.0435	0.0027545	4.40555	54.5482	99.9962	0.00383873	8.69435	3.40036	37.9223	49.983	21.2067	78.7933	98.6583	1.3417	29.5739	70.4261	61.0981	38.9019	96.3251	3.6749	71.7049	28.2951
54	11.8755	0.038289	85.7479	0.168095	2.17026	41.0446	0.00275446	4.40548	54.5471	99.9962	0.00383888	8.69485	3.40054	37.9224	49.9822	21.2069	78.7931	98.6584	1.34164	29.5742	70.4258	61.098	38.902	96.3125	3.68745	71.6356	28.3644
55	11.8755	0.038289	85.7479	0.168089	2.17026	41.0457	0.00275443	4.40542	54.5462	99.9962	0.00383902	8.69528	3.40069	37.9224	49.9816	21.2071	78.7929	98.6584	1.34158	29.5744	70.4256	61.0979	38.9021	96.3006	3.69944	71.5695	28.4305
56	11.8755	0.038289	85.7479	0.168084	2.17026	41.0465	0.00275441	4.40537	54.5453	99.9962	0.00383914	8.69567	3.40083	37.9224	49.9811	21.2073	78.7927	98.6585	1.34153	29.5746	70.4254	61.0979	38.9021	96.2891	3.71088	71.5066	28.4934
57	11.8755	0.038289	85.7479	0.168079	2.17026	41.0473	0.00275438	4.40532	54.5446	99.9962	0.00383925	8.69601	3.40095	37.9225	49.9806	21.2075	78.7925	98.6585	1.34149	29.5748	70.4252	61.0978	38.9022	96.2782	3.72181	71.4465	28.5535
58	11.8755	0.038289	85.7479	0.168075	2.17025	41.048	0.00275436	4.40528	54.544	99.9962	0.00383934	8.69631	3.40106	37.9225	49.9801	21.2076	78.7924	98.6585	1.34145	29.5749	70.4251	61.0978	38.9022	96.2678	3.73224	71.3893	28.6107
59	11.8755	0.038289	85.7479	0.168071	2.17025	41.0486	0.00275435	4.40524	54.5434	99.9962	0.00383943	8.69657	3.40115	37.9225	49.9798	21.2077	78.7923	98.6586	1.34142	29.5751	70.4249	61.0977	38.9023	96.2578	3.7422	71.3348	28.6652
60	11.8755	0.038289	85.7479	0.168068	2.17025	41.0491	0.00275433	4.40521	54.5429	99.9962	0.0038395	8.6968	3.40123	37.9225	49.9794	21.2078	78.7922	98.6586	1.34139	29.5752	70.4248	61.0977	38.9023	96.2483	3.75172	71.2828	28.7172
61	11.8755	0.038289	85.7479	0.168065	2.17025	41.0496	0.00275432	4.40519	54.5425	99.9962	0.00383956	8.697	3.4013	37.9226	49.9791	21.2079	78.7921	98.6586	1.34137	29.5753	70.4247	61.0977	38.9023	96.2392	3.7608	71.2332	28.7668
62	11.8755	0.038289	85.7479	0.168062	2.17025	41.05	0.0027543	4.40516	54.5421	99.9962	0.00383962	8.69718	3.40136	37.9226	49.9789	21.208	78.792	98.6587	1.34134	29.5754	70.4246	61.0976	38.9024	96.2305	3.76947	71.186	28.814
63	11.8755	0.038289	85.7479	0.16806	2.17025	41.0504	0.00275429	4.40514	54.5417	99.9962	0.00383967	8.69734	3.40142	37.9226	49.9787	21.2081	78.7919	98.6587	1.34133	29.5754	70.4246	61.0976	38.9024	96.2223	3.77775	71.1409	28.8591
64	11.8755	0.038289	85.7479	0.168058	2.17025	41.0507	0.00275428	4.40512	54.5414	99.9962	0.00383971	8.69747	3.40147	37.9226	49.9785	21.2082	78.7918	98.6587	1.34131	29.5755	70.4245	61.0976	38.9024	96.2143	3.78565	71.0979	28.9021
65	11.8755	0.038289	85.7479	0.168057	2.17025	41.051	0.00275428	4.40511	54.5412	99.9962	0.00383975	8.6976	3.40151	37.9226	49.9783	21.2082	78.7918	98.6587	1.34129	29.5756	70.4244	61.0976	38.9024	96.2068	3.7932	71.0569	28.9431
66	11.8755	0.038289	85.7479	0.168055	2.17025	41.0512	0.00275427	4.40509	54.541	99.9962	0.00383978	8.6977	3.40155	37.9226	49.9781	21.2083	78.7917	98.6587	1.34128	29.5756	70.4244	61.0975	38.9025	96.1996	3.80041	71.0178	28.9822
67	11.8755	0.038289	85.7479	0.168054	2.17025	41.0514	0.00275426	4.40508	54.5408	99.9962	0.00383981	8.69779	3.40158	37.9226	49.978	21.2083	78.7917	98.6587	1.34127	29.5757	70.4243	61.0975	38.9025	96.1927	3.80729	70.9805	29.0195
68	11.8755	0.038289	85.7479	0.168053	2.17025	41.0516	0.00275426	4.40507	54.5406	99.9962	0.00383984	8.69788	3.40161	37.9226	49.9779	21.2083	78.7917	98.6587	1.34126	29.5757	70.4243	61.0975	38.9025	96.1861	3.81385	70.945	29.055
69	11.8755	0.038289	85.7479	0.168052	2.17025	41.0518	0.00275425	4.40506	54.5404	99.9962	0.00383986	8.69795	3.40164	37.9226	49.9778	21.2084	78.7916	98.6588	1.34125	29.5758	70.4242	61.0975	38.9025	96.1799	3.82013	70.9111	29.0889
70	11.8755	0.038289	85.7479	0.168051	2.17025	41.0519	0.00275425	4.40505	54.5403	99.9962	0.00383988	8.69801	3.40166	37.9226	49.9777	21.2084	78.7916	98.6588	1.34124	29.5758	70.4242	61.0975	38.9025	96.1739	3.82612	70.8787	29.1213
71	11.8755	0.038289	85.7479	0.16805	2.17025	41.052	0.00275424	4.40504	54.5402	99.9962	0.0038399	8.69807	3.40168	37.9226	49.9776	21.2084	78.7916	98.6588	1.34123	29.5758	70.4242	61.0975	38.9025	96.1682	3.83183	70.8478	29.1522
72	11.8755	0.038289	85.7479	0.168049	2.17025	41.0522	0.00275424	4.40503	54.5401	99.9962	0.00383991	8.69812	3.4017	37.9226	49.9775	21.2085	78.7915	98.6588	1.34123	29.5758	70.4242	61.0975	38.9025	96.1627	3.83729	70.8184	29.1816
73	11.8755	0.038289	85.7479	0.168049	2.17025	41.0523	0.00275424	4.40503	54.54	99.9962	0.00383993	8.69816	3.40171	37.9226	49.9775	21.2085	78.7915	98.6588	1.34122	29.5759	70.4241	61.0975	38.9025	96.1575	3.84251	70.7903	29.2097
74	11.8755	0.038289	85.7479	0.168048	2.17025	41.0523	0.00275423	4.40502	54.5399	99.9962	0.00383994	8.6982	3.40173	37.9227	49.9774	21.2085	78.7915	98.6588	1.34122	29.5759	70.4241	61.0975	38.9025	96.1525	3.84749	70.7635	29.2365
75	11.8755	0.038289	85.7479	0.168048	2.17025	41.0524	0.00275423	4.40502	54.5398	99.9962	0.00383995	8.69823	3.40174	37.9227	49.9774	21.2085	78.7915	98.6588	1.34121	29.5759	70.4241	61.0974	38.9026	96.1478	3.85224	70.7379	29.2621
76	11.8755	0.038289	85.7479	0.168047	2.17025	41.0525	0.00275423	4.40501	54.5397	99.9962	0.00383996	8.69826	3.40175	37.9227	49.9773	21.2085	78.7915	98.6588	1.34121	29.5759	70.4241	61.0974	38.9026	96.1432	3.85678	70.7135	29.2865
77	11.8755	0.038289	85.7479	0.168047	2.17025	41.0525	0.00275423	4.40501	54.5397	99.9962	0.00383997	8.69829	3.40176	37.9227	49.9773	21.2085	78.7915	98.6588	1.34121	29.5759	70.4241	61.0974	38.9026	96.1389	3.86111	70.6902	29.3098
78	11.8755	0.038289	85.7479	0.168047	2.17025	41.0526	0.00275423	4.40501	54.5396	99.9962	0.00383997	8.69831	3.40176	37.9227	49.9773	21.2085	78.7915	98.6588	1.3412	29.5759	70.4241	61.0974	38.9026	96.1348	3.86525	70.668	29.332
79	11.8755	0.038289	85.7479	0.168046	2.17025	41.0526	0.00275423	4.40501	54.5396	99.9962	0.00383998	8.69833	3.40177	37.9227	49.9772	21.2086	78.7914	98.6588	1.3412	29.5759	70.4241	61.0974	38.9026	96.1308	3.8692	70.6468	29.3532
80	11.8755	0.038289	85.7479	0.168046	2.17025	41.0527	0.00275422	4.405	54.5396	99.9962	0.00383999	8.69835	3.40178	37.9227	49.9772	21.2086	78.7914	98.6588	1.3412	29.576	70.424	61.0974	38.9026	96.127	3.87297	70.6266	29.3734
81	11.8755	0.038289	85.7479	0.168046	2.17025	41.0527	0.00275422	4.405	54.5395	99.9962	0.00383999	8.69836	3.40178	37.9227	49.9772	21.2086	78.7914	98.6588	1.3412	29.576	70.424	61.0974	38.9026	96.1234	3.87657	70.6073	29.3927
82	11.8755	0.038289	85.7479	0.168046	2.17025	41.0527	0.00275422	4.405	54.5395	99.9962	0.00384	8.69837	3.40179	37.9227	49.9772	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.12	3.88001	70.5888	29.4112
83	11.8755	0.038289	85.7479	0.168045	2.17025	41.0528	0.00275422	4.405	54.5395	99.9962	0.00384	8.69839	3.40179	37.9227	49.9772	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.1167	3.88329	70.5713	29.4287
84	11.8755	0.038289	85.7479	0.168045	2.17025	41.0528	0.00275422	4.405	54.5395	99.9962	0.00384	8.6984	3.4018	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.1136	3.88642	70.5545	29.4455
85	11.8755	0.038289	85.7479	0.168045	2.17025	41.0528	0.00275422	4.40499	54.5394	99.9962	0.00384001	8.69841	3.4018	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.1106	3.88942	70.5385	29.4615
86	11.8755	0.038289	85.7479	0.168045	2.17025	41.0528	0.00275422	4.40499	54.5394	99.9962	0.00384001	8.69841	3.4018	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.1077	3.89228	70.5232	29.4768
87	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5394	99.9962	0.00384001	8.69842	3.4018	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.105	3.895	70.5086	29.4914
88	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5394	99.9962	0.00384001	8.69843	3.40181	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.1024	3.89761	70.4947	29.5053
89	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5394	99.9962	0.00384001	8.69843	3.40181	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.0999	3.9001	70.4814	29.5186
90	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5394	99.9962	0.00384002	8.69844	3.40181	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.0975	3.90247	70.4687	29.5313
91	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5394	99.9962	0.00384002	8.69844	3.40181	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.0953	3.90474	70.4566	29.5434
92	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5393	99.9962	0.00384002	8.69845	3.40181	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.0931	3.90691	70.4451	29.5549
93	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5393	99.9962	0.00384002	8.69845	3.40181	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.091	3.90897	70.434	29.566
94	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5393	99.9962	0.00384002	8.69845	3.40182	37.9227	49.9771	21.2086	78.7914	98.6588	1.34119	29.576	70.424	61.0974	38.9026	96.0891	3.91095	70.4235	29.5765
95	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5393	99.9962	0.00384002	8.69845	3.40182	37.9227	49.9771	21.2086	78.7914	98.6588	1.34118	29.576	70.424	61.0974	38.9026	96.0872	3.91283	70.4135	29.5865
96	11.8755	0.038289	85.7479	0.168045	2.17025	41.0529	0.00275422	4.40499	54.5393	99.9962	0.00384002	8.69846	3.40182	37.9227	49.9771	21.2086	78.7914	98.6588	1.34118	29.576	70.424	61.0974	38.9026	96.0854	3.91463	70.4039	29.5961
97	11.8755	0.038289	85.7479	0.168044	2.17025	41.0529	0.00275422	4.40499	54.5393	99.9962	0.00384002	8.69846	3.40182	37.9227	49.9771	21.2086	78.7914	98.6588	1.34118	29.576	70.424	61.0974	38.9026	96.0836	3.91635	70.3947	29.6053
