Time	[R1]	[P1]	[P1_prime]	[R2]	[P2]	[P2_prime]	[P3_prime]
88	1.0251e-11	1.02292e-09	0.034081	4.25096	8.97731	7.74784	1.34959
89	8.10245e-12	8.21757e-10	0.0340719	4.25108	8.97999	7.75229	1.3496
90	6.40406e-12	6.60096e-10	0.0340655	4.25117	8.98218	7.75594	1.3496
91	5.06171e-12	5.302e-10	0.034061	4.25124	8.98396	7.75893	1.3496
92	4.00075e-12	4.25836e-10	0.0340579	4.2513	8.98542	7.76138	1.3496
93	3.16216e-12	3.4199e-10	0.0340557	4.25135	8.9866	7.76338	1.3496
94	2.49924e-12	2.74626e-10	0.0340541	4.25138	8.98757	7.76502	1.3496
95	1.97537e-12	2.2052e-10	0.034053	4.25141	8.98835	7.76636	1.3496
96	1.56133e-12	1.77064e-10	0.0340523	4.25143	8.98899	7.76745	1.3496
97	1.23406e-12	1.42161e-10	0.0340517	4.25145	8.98951	7.76834	1.3496
98	9.75384e-13	1.14131e-10	0.0340513	4.25147	8.98993	7.76907	1.3496
99	7.70947e-13	9.16225e-11	0.0340511	4.25148	8.99027	7.76966	1.3496
100	6.09355e-13	7.35486e-11	0.0340509	4.25149	8.99055	7.77015	1.3496
