Time	[Protofibril]	[Fibril]	[Lewy_body]	[Dopamine]	[OH-]	[OH_radical]	[H2O2]	[DA_quinone]	[Ubiquitin]	[E1]	[Ub-E1]	[UbcH8]	[UbcH8-Ub]	[Parkin]	[Parkin-sub]	[Parkin-synphilin-1]	[Parkin-synphilin-1-ub]	[Parkin-sub-ub4]	[Fragments]	[UCH-L1]	[L-Dopa]	[DOPAL]	[DOPAC]	[GSH]	[GSSG]	[Fe2+]	[Fe3+]	[UbcH8ub2]	[UbcH8ub3]	[UbcH8ub4]	[UbcH13/Uev1a]	[UbcH13/Uev1a-ub]	[asyn-UCH-L1]	[asyn-ub]	[Protofibril-UCH-L1]	[Protofibril-Ub]	[UCH-L1-asyn-ub4]	[Hsc70-asyn]	[Hsc70-Protofibril]	[Hsc70-fibril]	[Hsc70]	[DA-S-parkin]	[O2-]	[DA-GSH]	[Neuromelanin]	[Neuromelanin-ntox-Fe3+]	[Alpha_synuclein]	[ATP]	[Synphilin-1]	[Substrate]	[TH]	[L-Tyr]	[CO2]	[Neurotoxins]	[Bioamines]	[VMAT2]	[O2]	[MAO]	[NH3]	[ALDH]	[NAD+]	[NADH]	[Catalase]	[H2O]	[Gluta_per]	[Gluta_red]	[DDC]	[Preautophagosome_membrane]	[SOD]	[Cysteine]	[V-DA]	[V-ntox-ba]	[Vesicle]	[Autophagosome]	[Proteasome]	[Lysosome]
10	0.0623133	0.0141339	0.00867576	1.10503	0.565722	0.0857223	0.0920571	0.695858	1.60056	0.0414462	0.508554	0.208012	0.26056	0.407467	0.0828245	1.11784	2.67896	0.00115097	0.944488	0.630881	0.133185	0.945031	0.694653	2.8117	0.130796	0.641921	0.0160176	0.321377	0.336638	0.473413	0.274508	0.275492	0.0710182	0.0627912	0.021818	0.0165206	0.00128261	0.0835064	0.0212506	0.00875426	0.524489	0.208362	0.359778	0.257506	0.797771	0.980677	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	15.7319	0.30011	1	0.224647	1.5	2.5
11	0.0630428	0.0135204	0.00850613	1.09995	0.57167	0.0916697	0.0924627	0.744959	1.5604	0.0421331	0.507867	0.208878	0.253847	0.40778	0.081024	1.10264	2.69393	0.00115014	0.983853	0.63366	0.133185	0.983952	0.75494	2.80231	0.130073	0.647485	0.0143511	0.31721	0.334743	0.485322	0.276968	0.273032	0.0685162	0.0637351	0.0215602	0.016817	0.0012639	0.0825326	0.0211425	0.00840139	0.525923	0.20983	0.37269	0.267617	0.816901	0.990816	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	16.1729	0.300121	1	0.21165	1.5	2.5
12	0.0637095	0.0129642	0.0083354	1.09649	0.577698	0.097698	0.0929861	0.7935	1.52095	0.0428253	0.507175	0.209744	0.2475	0.407998	0.0792194	1.08777	2.70857	0.00114775	1.02158	0.636372	0.133185	1.02015	0.817573	2.79176	0.12986	0.652836	0.0133029	0.312939	0.332736	0.497081	0.278961	0.271039	0.0660754	0.0646374	0.021309	0.0171074	0.00124411	0.0816424	0.0210619	0.0080629	0.527233	0.211399	0.384464	0.278376	0.836582	1.00065	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	16.6121	0.300132	1	0.200178	1.5	2.5
13	0.0643188	0.0124602	0.00816448	1.09402	0.583812	0.103812	0.0935692	0.841515	1.48219	0.0435244	0.506476	0.210605	0.241501	0.408119	0.0774135	1.07319	2.72293	0.00114387	1.05784	0.639018	0.133185	1.0539	0.88239	2.78032	0.129912	0.658017	0.0126419	0.308588	0.330619	0.508688	0.280541	0.269459	0.063695	0.065501	0.0210636	0.0173925	0.00122321	0.0808286	0.0210052	0.00773874	0.528427	0.213067	0.395222	0.289765	0.856622	1.01036	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	17.0502	0.300143	1	0.19005	1.5	2.5
14	0.0648757	0.0120035	0.0079942	1.09216	0.590012	0.110012	0.0941796	0.889015	1.44412	0.0442318	0.505768	0.211456	0.235831	0.408143	0.0756088	1.05888	2.73702	0.00113856	1.09281	0.641601	0.133185	1.08542	0.949246	2.76814	0.130089	0.663058	0.0122207	0.304178	0.328393	0.520142	0.281761	0.268239	0.0613744	0.0663283	0.0208234	0.0176729	0.00120129	0.0800846	0.020969	0.00742878	0.529518	0.214833	0.405065	0.301767	0.876901	1.02007	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	17.4874	0.300154	1	0.18111	1.5	2.5
15	0.0653844	0.0115898	0.00782524	1.0907	0.596301	0.116301	0.094799	0.935999	1.40674	0.0449493	0.505051	0.212291	0.230473	0.408068	0.0738081	1.04482	2.75088	0.00113191	1.12662	0.644121	0.133185	1.11488	1.01801	2.75532	0.130313	0.667977	0.0119465	0.299729	0.326064	0.531443	0.282662	0.267338	0.0591129	0.0671215	0.0205881	0.017949	0.00117844	0.0794044	0.0209507	0.00713284	0.530512	0.216695	0.414078	0.314369	0.897339	1.02986	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	17.924	0.300165	1	0.173217	1.5	2.5
16	0.0658493	0.0112151	0.00765821	1.08949	0.602677	0.122677	0.0954182	0.982463	1.37001	0.0456783	0.504322	0.213106	0.225411	0.407893	0.0720136	1.03099	2.76451	0.00112399	1.1594	0.646578	0.133186	1.14245	1.08855	2.74191	0.13054	0.672785	0.0117611	0.295258	0.323634	0.54259	0.283283	0.266717	0.0569101	0.0678824	0.0203571	0.0182211	0.00115478	0.0787824	0.0209475	0.00685065	0.531419	0.218652	0.422336	0.327552	0.917886	1.03978	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	18.36	0.300176	1	0.166247	1.5	2.5
17	0.0662739	0.0108757	0.00749363	1.08847	0.60914	0.12914	0.0960325	1.0284	1.33394	0.0464204	0.50358	0.213898	0.220629	0.407617	0.0702277	1.01736	2.77795	0.00111488	1.19126	0.648974	0.133185	1.16825	1.16076	2.72795	0.130746	0.677492	0.0116289	0.29078	0.321111	0.553583	0.283658	0.266342	0.0547656	0.0686127	0.0201302	0.0184896	0.00113041	0.0782138	0.0209573	0.00658193	0.532247	0.220702	0.429905	0.341301	0.938513	1.04985	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	18.7956	0.300187	1	0.160093	1.5	2.5
18	0.0666618	0.0105684	0.00733195	1.08758	0.615689	0.135689	0.0966401	1.0738	1.29851	0.0471772	0.502823	0.214662	0.216111	0.407241	0.0684527	1.00393	2.79119	0.00110465	1.2223	0.651308	0.133185	1.1924	1.23452	2.71348	0.130921	0.6821	0.0115282	0.28631	0.318498	0.564419	0.283815	0.266185	0.0526792	0.069314	0.0199069	0.0187549	0.00110541	0.0776939	0.0209779	0.00632633	0.533002	0.222843	0.436844	0.355601	0.959198	1.06008	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	19.2308	0.300198	1	0.154658	1.5	2.5
19	0.0670161	0.01029	0.00717353	1.08679	0.622323	0.142323	0.0972408	1.11867	1.26371	0.0479501	0.50205	0.215397	0.211844	0.406763	0.0666906	0.990672	2.80426	0.00109338	1.25261	0.653583	0.133185	1.21502	1.30975	2.69851	0.131057	0.686615	0.0114459	0.28186	0.315801	0.575099	0.283779	0.266221	0.0506505	0.0699877	0.019687	0.0190171	0.0010799	0.0772184	0.0210078	0.00608349	0.53369	0.225074	0.443207	0.370433	0.979929	1.0705	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	19.6657	0.300209	1	0.149858	1.5	2.5
20	0.0673397	0.010038	0.00701867	1.08608	0.629042	0.149042	0.0978352	1.16299	1.22952	0.0487409	0.501259	0.216098	0.207812	0.406183	0.0649434	0.977589	2.81716	0.00108114	1.28226	0.655797	0.133185	1.2362	1.38635	2.68306	0.131153	0.691037	0.0113743	0.277441	0.313028	0.585621	0.283574	0.266426	0.0486792	0.0706349	0.0194703	0.0192765	0.00105397	0.0767837	0.0210452	0.00585301	0.534318	0.227393	0.449043	0.385782	1.0007	1.0811	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	20.1002	0.30022	1	0.145618	1.5	2.5
21	0.0676352	0.00980986	0.00686764	1.08544	0.635845	0.155845	0.0984242	1.20676	1.19594	0.049551	0.500449	0.216764	0.204004	0.405502	0.0632129	0.964665	2.82991	0.001068	1.31132	0.657951	0.133185	1.25604	1.46423	2.66716	0.13121	0.695368	0.0113092	0.273063	0.310183	0.595986	0.283218	0.266782	0.046765	0.0712567	0.0192565	0.0195333	0.0010277	0.0763861	0.0210888	0.00563448	0.534891	0.229798	0.454395	0.401631	1.0215	1.09189	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	20.5345	0.300231	1	0.141873	1.5	2.5
22	0.0679051	0.00960325	0.00672062	1.08486	0.64273	0.16273	0.0990091	1.25	1.16294	0.0503822	0.499618	0.217393	0.200407	0.40472	0.061501	0.951891	2.84251	0.00105403	1.33985	0.660046	0.133185	1.27462	1.54331	2.65081	0.131228	0.699611	0.0112478	0.268735	0.307273	0.606192	0.282729	0.267271	0.0449075	0.0718543	0.0190455	0.0197876	0.00100118	0.0760226	0.0211375	0.00542747	0.535412	0.232286	0.459305	0.417963	1.04233	1.10287	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	20.9686	0.300242	1	0.138563	1.5	2.5
23	0.0681516	0.00941617	0.00657778	1.08433	0.649698	0.169698	0.0995911	1.29269	1.13051	0.051236	0.498764	0.217983	0.197009	0.403836	0.0598091	0.939261	2.85497	0.00103932	1.3679	0.662082	0.133185	1.29203	1.62351	2.63403	0.131209	0.703765	0.0111889	0.264464	0.304306	0.616238	0.282122	0.267878	0.0431064	0.0724285	0.0188371	0.0200397	0.000974505	0.0756901	0.02119	0.00523155	0.535888	0.234856	0.463809	0.434761	1.06318	1.11404	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	21.4024	0.300253	1	0.135639	1.5	2.5
24	0.0683766	0.00924676	0.00643924	1.08384	0.656748	0.176748	0.100171	1.33484	1.09866	0.0521143	0.497886	0.218534	0.193798	0.402852	0.0581389	0.926769	2.8673	0.00102391	1.39551	0.66406	0.133185	1.30834	1.70477	2.61684	0.131155	0.707831	0.0111317	0.260257	0.301286	0.626125	0.281411	0.268589	0.0413611	0.0729803	0.0186311	0.0202896	0.000947738	0.075386	0.0212456	0.00504627	0.536322	0.237505	0.467942	0.452007	1.08406	1.12539	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	21.8361	0.300264	1	0.133054	1.5	2.5
25	0.0685821	0.00909335	0.00630507	1.0834	0.663879	0.183879	0.100751	1.37646	1.06735	0.0530187	0.496981	0.219043	0.190764	0.401768	0.0564916	0.914408	2.8795	0.00100789	1.42274	0.66598	0.133185	1.32363	1.78701	2.59925	0.131068	0.71181	0.0110759	0.25612	0.298222	0.635851	0.280607	0.269393	0.0396712	0.0735105	0.0184275	0.0205374	0.000920957	0.0751078	0.0213034	0.0048712	0.536718	0.240233	0.471733	0.469686	1.10496	1.13694	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	22.2695	0.300275	1	0.130769	1.5	2.5
26	0.0687697	0.00895438	0.00617532	1.083	0.671091	0.191091	0.101331	1.41755	1.03658	0.0539511	0.496049	0.219511	0.187897	0.400585	0.0548686	0.902174	2.89157	0.000991304	1.44961	0.667844	0.133185	1.33795	1.87018	2.58127	0.130949	0.715703	0.0110213	0.252057	0.295118	0.645418	0.279721	0.270279	0.0380361	0.0740199	0.018226	0.0207832	0.000894231	0.0748534	0.0213627	0.00470589	0.537078	0.243035	0.475211	0.487779	1.12587	1.14868	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	22.7028	0.300286	1	0.128749	1.5	2.5
27	0.068941	0.0088285	0.00605003	1.08263	0.678383	0.198383	0.101913	1.45812	1.00635	0.0549134	0.495087	0.219938	0.185186	0.399304	0.0532711	0.890063	2.90352	0.000974229	1.47616	0.669651	0.133185	1.35137	1.95421	2.56293	0.130801	0.71951	0.0109678	0.248072	0.291981	0.654823	0.278763	0.271237	0.0364552	0.0745092	0.0180267	0.0210271	0.000867624	0.0746207	0.021423	0.00454991	0.537406	0.24591	0.478403	0.506271	1.14679	1.16061	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	23.1359	0.300297	1	0.126962	1.5	2.5
28	0.0690974	0.00871442	0.00592919	1.08229	0.685756	0.205756	0.102498	1.49818	0.976638	0.0559076	0.494092	0.220322	0.182624	0.397927	0.0517001	0.878071	2.91535	0.00095672	1.50241	0.671402	0.133185	1.36394	2.03906	2.54423	0.130625	0.723231	0.0109155	0.24417	0.288817	0.664068	0.277741	0.272259	0.0349277	0.0749791	0.0178294	0.0212693	0.000841197	0.0744079	0.0214836	0.00440282	0.537706	0.248856	0.481332	0.525144	1.16773	1.17273	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	23.5689	0.300308	1	0.125382	1.5	2.5
29	0.0692401	0.00861104	0.00581278	1.08198	0.693209	0.213209	0.103085	1.53774	0.947438	0.0569357	0.493064	0.220664	0.1802	0.396453	0.0501565	0.866196	2.92707	0.000938834	1.5284	0.673098	0.133185	1.37573	2.12466	2.52519	0.130423	0.726867	0.0108643	0.240352	0.285632	0.673152	0.276662	0.273338	0.0334531	0.0754304	0.017634	0.0215096	0.000815003	0.0742131	0.0215441	0.00426421	0.537979	0.251871	0.484019	0.544383	1.18868	1.18503	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	24.0017	0.300319	1	0.123983	1.5	2.5
30	0.0693704	0.0085173	0.00570077	1.08169	0.700742	0.220742	0.103677	1.57681	0.918742	0.0579997	0.492	0.220965	0.177907	0.394886	0.0486412	0.854434	2.93868	0.000920628	1.55414	0.67474	0.133185	1.38677	2.21098	2.50583	0.130197	0.730418	0.0108143	0.236621	0.282431	0.682076	0.275534	0.274466	0.0320304	0.0758636	0.0174406	0.0217483	0.000789093	0.074035	0.0216043	0.00413366	0.538227	0.254952	0.486485	0.56397	1.20964	1.19753	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	24.4345	0.30033	1	0.122746	1.5	2.5
31	0.0694894	0.00843229	0.0055931	1.08143	0.708354	0.228354	0.104273	1.6154	0.890544	0.0591019	0.490898	0.221226	0.175737	0.393226	0.047155	0.842783	2.95017	0.000902155	1.57965	0.676329	0.133185	1.39712	2.29797	2.48616	0.129947	0.733885	0.0107655	0.232978	0.27922	0.690839	0.274361	0.275639	0.0306588	0.0762793	0.0172489	0.0219853	0.000763516	0.073872	0.0216637	0.00401077	0.538454	0.258097	0.488748	0.583889	1.23061	1.21021	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	24.8671	0.300341	1	0.12165	1.5	2.5
32	0.069598	0.00835514	0.00548971	1.08119	0.716047	0.236047	0.104875	1.65351	0.862835	0.0602446	0.489755	0.221446	0.173683	0.391476	0.0456984	0.831242	2.96156	0.000883465	1.60495	0.677865	0.133185	1.40683	2.38559	2.4662	0.129675	0.737267	0.010718	0.229425	0.276004	0.699442	0.27315	0.27685	0.0293375	0.0766783	0.0170591	0.0222207	0.000738311	0.0737228	0.0217222	0.00389514	0.53866	0.261304	0.490825	0.604126	1.25157	1.22308	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	25.2996	0.300352	1	0.120679	1.5	2.5
33	0.0696971	0.0082851	0.00539052	1.08097	0.723819	0.243819	0.105483	1.69118	0.835611	0.0614301	0.48857	0.221627	0.171737	0.389635	0.044272	0.819809	2.97284	0.000864606	1.63006	0.67935	0.133185	1.41592	2.47379	2.44596	0.129382	0.740564	0.0106717	0.225963	0.272788	0.707884	0.271905	0.278095	0.0280654	0.0770611	0.016871	0.0224545	0.000713518	0.0735863	0.0217794	0.00378641	0.538848	0.264569	0.492732	0.624663	1.27254	1.23614	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	25.732	0.300363	1	0.119819	1.5	2.5
34	0.0697876	0.00822149	0.00529545	1.08077	0.73167	0.25167	0.106097	1.72839	0.808867	0.0626608	0.487339	0.221771	0.169893	0.387708	0.0428763	0.808482	2.98401	0.000845624	1.65499	0.680785	0.133185	1.42445	2.56254	2.42545	0.129069	0.743778	0.0106268	0.222592	0.269577	0.716167	0.27063	0.27937	0.0268417	0.0774282	0.0166846	0.0226868	0.00068917	0.0734615	0.0218353	0.0036842	0.539019	0.267892	0.494481	0.645486	1.29351	1.24939	0.2	2	0.05	0.4	0.6	5	0.5	0.01	0.1	2	2	1.5	0.5	1.5	1.5	1.5	1	3	0.8	0.8	1.5	1	0.6	0.5	26.1644	0.300374	1	0.119057	1.5	2.5
