Time	[Calcium in Nucleus]	[Calcium in Cytosol]	[NFAT_nuc]	[Active Calcineurin in Nucleus]	[Phosphorylated NFAT in nucleus]	[NFAT Calcineurin complex in nucleus]	[Phosphorylated NFAT Calcineurin complex in nucleus]	[Inactive Calcineurin in nucleus]	[NFAT_Cyt]	[Active Calcineurin in cytosol]	[Phosphorylated NFAT in cytosol]	[NFAT Calcineurin complex in cytosol]	[Phosphorylated NFAT Calcineurin complex in cytosol]	[Inactive Calcineurin in cytosol]
25	0.1	0.1	0.000272887	6.00588e-05	0.000167832	0.00699881	1.80752e-05	0.0484496	8.87822e-05	7.18845e-06	0.0070012	4.04269e-05	8.77176e-06	0.00743371
26	0.1	0.1	0.000283869	6.00405e-05	0.000167903	0.00699077	1.8056e-05	0.0484503	8.8776e-05	7.18896e-06	0.00700118	3.93647e-05	8.60346e-06	0.00743806
27	0.1	0.1	0.000294794	6.00223e-05	0.000167967	0.00698175	1.8034e-05	0.0484509	8.87728e-05	7.19081e-06	0.00700118	3.8657e-05	8.49695e-06	0.00744239
28	0.1	0.1	0.00030566	6.00033e-05	0.000168029	0.00697213	1.80102e-05	0.0484516	8.87729e-05	7.19347e-06	0.00700119	3.81809e-05	8.42791e-06	0.00744672
29	0.1	0.1	0.000316468	5.99836e-05	0.000168088	0.00696211	1.7985e-05	0.0484523	8.87768e-05	7.19661e-06	0.00700121	3.78552e-05	8.38159e-06	0.00745104
30	0.1	0.1	0.000327216	5.99632e-05	0.000168146	0.00695186	1.79591e-05	0.0484529	8.87845e-05	7.20007e-06	0.00700124	3.76267e-05	8.34904e-06	0.00745535
31	0.1	0.1	0.000337905	5.99425e-05	0.000168202	0.00694146	1.79326e-05	0.0484536	8.87962e-05	7.20371e-06	0.00700129	3.74608e-05	8.32485e-06	0.00745965
32	0.1	0.1	0.000348534	5.99216e-05	0.000168259	0.00693098	1.79058e-05	0.0484542	8.88119e-05	7.20747e-06	0.00700134	3.7335e-05	8.30573e-06	0.00746394
33	0.1	0.1	0.000359105	5.99004e-05	0.000168315	0.00692045	1.78788e-05	0.0484549	8.88316e-05	7.21131e-06	0.00700141	3.72349e-05	8.2897e-06	0.00746823
34	0.1	0.1	0.000369617	5.98793e-05	0.000168371	0.00690989	1.78518e-05	0.0484555	8.88553e-05	7.21518e-06	0.00700149	3.71511e-05	8.27555e-06	0.0074725
35	0.1	0.1	0.00038007	5.98581e-05	0.000168427	0.00689934	1.78247e-05	0.0484562	8.8883e-05	7.21908e-06	0.00700158	3.70779e-05	8.26255e-06	0.00747677
36	0.1	0.1	0.000390465	5.98369e-05	0.000168482	0.00688879	1.77976e-05	0.0484568	8.89147e-05	7.223e-06	0.00700168	3.70113e-05	8.25025e-06	0.00748103
37	0.1	0.1	0.000400801	5.98158e-05	0.000168538	0.00687825	1.77705e-05	0.0484574	8.89503e-05	7.22691e-06	0.00700179	3.69489e-05	8.23839e-06	0.00748528
38	0.1	0.1	0.00041108	5.97946e-05	0.000168594	0.00686773	1.77434e-05	0.0484581	8.89898e-05	7.23083e-06	0.00700191	3.68893e-05	8.22681e-06	0.00748952
39	0.1	0.1	0.000421301	5.97736e-05	0.000168649	0.00685722	1.77163e-05	0.0484587	8.90331e-05	7.23475e-06	0.00700204	3.68314e-05	8.21541e-06	0.00749376
40	0.1	0.1	0.000431465	5.97525e-05	0.000168705	0.00684673	1.76894e-05	0.0484593	8.90803e-05	7.23866e-06	0.00700219	3.67747e-05	8.20412e-06	0.00749798
41	0.1	0.1	0.000441572	5.97316e-05	0.00016876	0.00683627	1.76624e-05	0.0484599	8.91313e-05	7.24256e-06	0.00700234	3.67188e-05	8.19291e-06	0.0075022
42	0.1	0.1	0.000451622	5.97107e-05	0.000168815	0.00682582	1.76355e-05	0.0484606	8.9186e-05	7.24645e-06	0.00700251	3.66634e-05	8.18176e-06	0.00750641
43	0.1	0.1	0.000461615	5.96898e-05	0.000168871	0.0068154	1.76087e-05	0.0484612	8.92445e-05	7.25034e-06	0.00700269	3.66083e-05	8.17065e-06	0.00751062
44	0.1	0.1	0.000471552	5.9669e-05	0.000168926	0.006805	1.75819e-05	0.0484618	8.93066e-05	7.25423e-06	0.00700287	3.65536e-05	8.15958e-06	0.00751481
45	0.1	0.1	0.000481434	5.96483e-05	0.000168981	0.00679461	1.75552e-05	0.0484624	8.93724e-05	7.2581e-06	0.00700307	3.6499e-05	8.14855e-06	0.007519
46	0.1	0.1	0.000491259	5.96276e-05	0.000169037	0.00678425	1.75286e-05	0.048463	8.94418e-05	7.26196e-06	0.00700328	3.64446e-05	8.13754e-06	0.00752317
47	0.1	0.1	0.00050103	5.9607e-05	0.000169092	0.00677392	1.7502e-05	0.0484636	8.95147e-05	7.26582e-06	0.0070035	3.63904e-05	8.12656e-06	0.00752734
48	0.1	0.1	0.000510745	5.95864e-05	0.000169147	0.0067636	1.74754e-05	0.0484642	8.95912e-05	7.26967e-06	0.00700373	3.63363e-05	8.1156e-06	0.00753151
49	0.1	0.1	0.000520405	5.95659e-05	0.000169202	0.0067533	1.74489e-05	0.0484648	8.96712e-05	7.27351e-06	0.00700397	3.62823e-05	8.10467e-06	0.00753566
50	0.1	0.1	0.00053001	5.95455e-05	0.000169257	0.00674303	1.74225e-05	0.0484654	8.97547e-05	7.27735e-06	0.00700422	3.62285e-05	8.09376e-06	0.00753981
51	0.1	0.1	0.000539561	5.95251e-05	0.000169312	0.00673278	1.73961e-05	0.048466	8.98416e-05	7.28117e-06	0.00700448	3.61748e-05	8.08288e-06	0.00754395
52	0.1	0.1	0.000549058	5.95047e-05	0.000169367	0.00672254	1.73697e-05	0.0484666	8.99318e-05	7.28499e-06	0.00700475	3.61212e-05	8.07202e-06	0.00754808
53	0.1	0.1	0.000558502	5.94844e-05	0.000169422	0.00671233	1.73435e-05	0.0484672	9.00254e-05	7.2888e-06	0.00700503	3.60677e-05	8.06119e-06	0.0075522
54	0.1	0.1	0.000567891	5.94642e-05	0.000169477	0.00670214	1.73172e-05	0.0484678	9.01224e-05	7.2926e-06	0.00700532	3.60143e-05	8.05038e-06	0.00755631
55	0.1	0.1	0.000577228	5.94441e-05	0.000169532	0.00669198	1.72911e-05	0.0484683	9.02226e-05	7.2964e-06	0.00700562	3.59611e-05	8.03959e-06	0.00756042
56	0.1	0.1	0.000586511	5.94239e-05	0.000169587	0.00668183	1.72649e-05	0.0484689	9.03261e-05	7.30018e-06	0.00700593	3.59079e-05	8.02883e-06	0.00756452
57	0.1	0.1	0.000595741	5.94039e-05	0.000169642	0.0066717	1.72389e-05	0.0484695	9.04328e-05	7.30396e-06	0.00700626	3.58549e-05	8.01808e-06	0.00756861
58	0.1	0.1	0.000604919	5.93839e-05	0.000169697	0.0066616	1.72129e-05	0.0484701	9.05427e-05	7.30773e-06	0.00700659	3.58019e-05	8.00737e-06	0.00757269
59	0.1	0.1	0.000614044	5.93639e-05	0.000169752	0.00665151	1.71869e-05	0.0484706	9.06558e-05	7.31149e-06	0.00700693	3.57491e-05	7.99667e-06	0.00757677
60	0.1	0.1	0.000623118	5.93441e-05	0.000169807	0.00664145	1.7161e-05	0.0484712	9.0772e-05	7.31525e-06	0.00700728	3.56964e-05	7.986e-06	0.00758083
61	0.1	0.1	0.000632139	5.93242e-05	0.000169861	0.00663141	1.71352e-05	0.0484718	9.08912e-05	7.319e-06	0.00700764	3.56438e-05	7.97535e-06	0.00758489
62	0.1	0.1	0.00064111	5.93044e-05	0.000169916	0.00662138	1.71094e-05	0.0484723	9.10135e-05	7.32273e-06	0.00700801	3.55913e-05	7.96473e-06	0.00758895
63	0.1	0.1	0.000650028	5.92847e-05	0.000169971	0.00661138	1.70836e-05	0.0484729	9.11388e-05	7.32647e-06	0.00700839	3.5539e-05	7.95413e-06	0.00759299
64	0.1	0.1	0.000658896	5.9265e-05	0.000170025	0.0066014	1.7058e-05	0.0484735	9.12671e-05	7.33019e-06	0.00700878	3.54867e-05	7.94355e-06	0.00759703
65	0.1	0.1	0.000667713	5.92454e-05	0.00017008	0.00659144	1.70323e-05	0.048474	9.13983e-05	7.3339e-06	0.00700918	3.54346e-05	7.93299e-06	0.00760105
66	0.1	0.1	0.00067648	5.92259e-05	0.000170135	0.0065815	1.70067e-05	0.0484746	9.15325e-05	7.33761e-06	0.00700959	3.53825e-05	7.92246e-06	0.00760507
67	0.1	0.1	0.000685196	5.92064e-05	0.000170189	0.00657158	1.69812e-05	0.0484751	9.16696e-05	7.34131e-06	0.00701001	3.53306e-05	7.91195e-06	0.00760909
68	0.1	0.1	0.000693862	5.91869e-05	0.000170244	0.00656168	1.69557e-05	0.0484757	9.18095e-05	7.345e-06	0.00701044	3.52787e-05	7.90146e-06	0.00761309
69	0.1	0.1	0.000702478	5.91675e-05	0.000170298	0.00655181	1.69303e-05	0.0484762	9.19522e-05	7.34869e-06	0.00701087	3.5227e-05	7.891e-06	0.00761709
70	0.1	0.1	0.000711045	5.91482e-05	0.000170353	0.00654195	1.69049e-05	0.0484768	9.20978e-05	7.35237e-06	0.00701132	3.51754e-05	7.88056e-06	0.00762108
71	0.1	0.1	0.000719562	5.91289e-05	0.000170407	0.00653211	1.68796e-05	0.0484773	9.22461e-05	7.35603e-06	0.00701178	3.51239e-05	7.87014e-06	0.00762506
72	0.1	0.1	0.000728031	5.91096e-05	0.000170462	0.00652229	1.68543e-05	0.0484778	9.23971e-05	7.3597e-06	0.00701224	3.50725e-05	7.85974e-06	0.00762904
73	0.1	0.1	0.00073645	5.90904e-05	0.000170516	0.00651249	1.68291e-05	0.0484784	9.25508e-05	7.36335e-06	0.00701272	3.50212e-05	7.84936e-06	0.007633
74	0.1	0.1	0.000744821	5.90713e-05	0.00017057	0.00650272	1.6804e-05	0.0484789	9.27072e-05	7.367e-06	0.0070132	3.497e-05	7.83901e-06	0.00763696
75	0.1	0.1	0.000753143	5.90522e-05	0.000170625	0.00649296	1.67789e-05	0.0484795	9.28663e-05	7.37063e-06	0.00701369	3.49189e-05	7.82868e-06	0.00764091
76	0.1	0.1	0.000761417	5.90332e-05	0.000170679	0.00648322	1.67538e-05	0.04848	9.30279e-05	7.37427e-06	0.0070142	3.4868e-05	7.81837e-06	0.00764486
77	0.1	0.1	0.000769643	5.90142e-05	0.000170733	0.0064735	1.67288e-05	0.0484805	9.31922e-05	7.37789e-06	0.00701471	3.48171e-05	7.80809e-06	0.00764879
78	0.1	0.1	0.000777822	5.89953e-05	0.000170787	0.0064638	1.67038e-05	0.048481	9.3359e-05	7.3815e-06	0.00701523	3.47663e-05	7.79782e-06	0.00765272
79	0.1	0.1	0.000785953	5.89764e-05	0.000170842	0.00645413	1.66789e-05	0.0484816	9.35283e-05	7.38511e-06	0.00701576	3.47157e-05	7.78758e-06	0.00765664
80	0.1	0.1	0.000794037	5.89576e-05	0.000170896	0.00644447	1.66541e-05	0.0484821	9.37001e-05	7.38871e-06	0.00701629	3.46651e-05	7.77736e-06	0.00766056
81	0.1	0.1	0.000802074	5.89388e-05	0.00017095	0.00643483	1.66293e-05	0.0484826	9.38744e-05	7.39231e-06	0.00701684	3.46147e-05	7.76716e-06	0.00766446
82	0.1	0.1	0.000810064	5.89201e-05	0.000171004	0.00642521	1.66045e-05	0.0484831	9.40511e-05	7.39589e-06	0.0070174	3.45643e-05	7.75698e-06	0.00766836
83	0.1	0.1	0.000818007	5.89014e-05	0.000171058	0.00641561	1.65798e-05	0.0484836	9.42303e-05	7.39947e-06	0.00701796	3.45141e-05	7.74683e-06	0.00767225
84	0.1	0.1	0.000825904	5.88828e-05	0.000171112	0.00640603	1.65551e-05	0.0484841	9.44118e-05	7.40304e-06	0.00701854	3.4464e-05	7.7367e-06	0.00767614
85	0.1	0.1	0.000833755	5.88642e-05	0.000171166	0.00639647	1.65305e-05	0.0484847	9.45957e-05	7.4066e-06	0.00701912	3.44139e-05	7.72659e-06	0.00768001
86	0.1	0.1	0.00084156	5.88457e-05	0.00017122	0.00638693	1.6506e-05	0.0484852	9.47818e-05	7.41016e-06	0.00701971	3.4364e-05	7.7165e-06	0.00768388
87	0.1	0.1	0.00084932	5.88272e-05	0.000171274	0.00637741	1.64815e-05	0.0484857	9.49703e-05	7.41371e-06	0.00702031	3.43142e-05	7.70643e-06	0.00768774
88	0.1	0.1	0.000857034	5.88088e-05	0.000171328	0.0063679	1.6457e-05	0.0484862	9.51611e-05	7.41725e-06	0.00702092	3.42644e-05	7.69638e-06	0.0076916
89	0.1	0.1	0.000864702	5.87904e-05	0.000171382	0.00635842	1.64326e-05	0.0484867	9.53541e-05	7.42078e-06	0.00702153	3.42148e-05	7.68636e-06	0.00769544
90	0.1	0.1	0.000872326	5.87721e-05	0.000171436	0.00634896	1.64083e-05	0.0484872	9.55493e-05	7.42431e-06	0.00702216	3.41653e-05	7.67635e-06	0.00769928
91	0.1	0.1	0.000879905	5.87538e-05	0.00017149	0.00633951	1.6384e-05	0.0484877	9.57467e-05	7.42782e-06	0.00702279	3.41159e-05	7.66637e-06	0.00770311
92	0.1	0.1	0.00088744	5.87356e-05	0.000171544	0.00633008	1.63597e-05	0.0484882	9.59463e-05	7.43133e-06	0.00702343	3.40666e-05	7.65641e-06	0.00770694
93	0.1	0.1	0.00089493	5.87174e-05	0.000171597	0.00632068	1.63355e-05	0.0484887	9.6148e-05	7.43484e-06	0.00702408	3.40174e-05	7.64647e-06	0.00771075
94	0.1	0.1	0.000902375	5.86993e-05	0.000171651	0.00631129	1.63113e-05	0.0484892	9.63518e-05	7.43833e-06	0.00702474	3.39682e-05	7.63655e-06	0.00771456
95	0.1	0.1	0.000909777	5.86812e-05	0.000171705	0.00630192	1.62872e-05	0.0484897	9.65577e-05	7.44182e-06	0.00702541	3.39192e-05	7.62665e-06	0.00771837
96	0.1	0.1	0.000917136	5.86632e-05	0.000171759	0.00629257	1.62632e-05	0.0484902	9.67657e-05	7.4453e-06	0.00702608	3.38703e-05	7.61677e-06	0.00772216
97	0.1	0.1	0.00092445	5.86452e-05	0.000171812	0.00628324	1.62391e-05	0.0484906	9.69757e-05	7.44878e-06	0.00702677	3.38215e-05	7.60692e-06	0.00772595
98	0.1	0.1	0.000931722	5.86273e-05	0.000171866	0.00627393	1.62152e-05	0.0484911	9.71877e-05	7.45225e-06	0.00702746	3.37728e-05	7.59708e-06	0.00772973
99	0.1	0.1	0.00093895	5.86094e-05	0.00017192	0.00626463	1.61913e-05	0.0484916	9.74016e-05	7.45571e-06	0.00702816	3.37242e-05	7.58727e-06	0.0077335
100	1	1	0.000946135	5.85916e-05	0.000171973	0.00625536	1.61674e-05	0.0484921	9.76176e-05	7.45916e-06	0.00702887	3.36757e-05	7.57747e-06	0.00773727
